Data Set,Time,Confirmed,Healed,Dead,Increased Confirmed,Increased Healed,Increased Dead,Healed/Confirmed(Permillage),Dead/Confirmed(Permillage),Data Source,Level,Continent,Country,Province,City,County,Town,Village,Building,Longitude,Latitude
COVID-19_Tencent,2020-05-27 23:59:00,16105,15861,130,277,280,1,984.85,8.07,Statistic Data,Country,Asia,People's Republic of China,,,,,,,104.195397,35.86166
COVID-19_Tencent,2020-05-27 23:59:00,16105,15861,130,277,280,1,984.85,8.07,Statistic Data,Continent,Asia,,,,,,,,111.23125,33.47486
COVID-19_Tencent,2020-05-27 23:59:00,16105,15861,130,277,280,1,984.85,8.07,Statistic Data,Global,,,,,,,,,148.770017,27.499299
COVID-19_Tencent,2020-05-27 23:59:00,1592,1581,8,0,0,0,993.09,5.03,Inputted Data,Province,Asia,People's Republic of China,Guangdong,,,,,,113.26653,23.132191
COVID-19_Tencent,2020-05-27 23:59:00,1276,1254,22,0,0,0,982.76,17.24,Inputted Data,Province,Asia,People's Republic of China,Henan,,,,,,113.753602,34.765515
COVID-19_Tencent,2020-05-27 23:59:00,1268,1267,1,0,0,0,999.21,0.79,Inputted Data,Province,Asia,People's Republic of China,Zhejiang,,,,,,120.152791,30.267446
COVID-19_Tencent,2020-05-27 23:59:00,1066,1034,4,1,1,0,969.98,3.75,Inputted Data,Province,Asia,People's Republic of China,Hong Kong,,,,,,114.163825,22.276284
COVID-19_Tencent,2020-05-27 23:59:00,1019,1015,4,0,0,0,996.07,3.93,Inputted Data,Province,Asia,People's Republic of China,Hunan,,,,,,112.98381,28.112444
COVID-19_Tencent,2020-05-27 23:59:00,991,985,6,0,0,0,993.95,6.05,Inputted Data,Province,Asia,People's Republic of China,Anhui,,,,,,117.284922,31.861184
COVID-19_Tencent,2020-05-27 23:59:00,945,932,13,0,0,0,986.24,13.76,Inputted Data,Province,Asia,People's Republic of China,Heilongjiang,,,,,,126.661669,45.742347
COVID-19_Tencent,2020-05-27 23:59:00,937,936,1,0,0,0,998.93,1.07,Inputted Data,Province,Asia,People's Republic of China,Jiangxi,,,,,,115.909228,28.675696
COVID-19_Tencent,2020-05-27 23:59:00,788,780,7,0,0,0,989.85,8.88,Inputted Data,Province,Asia,People's Republic of China,Shandong,,,,,,117.020359,36.66853
COVID-19_Tencent,2020-05-27 23:59:00,653,653,0,0,0,0,1000.0,0.0,Inputted Data,Province,Asia,People's Republic of China,Jiangsu,,,,,,118.763232,32.061707
COVID-19_Tencent,2020-05-27 23:59:00,593,581,9,0,0,0,979.76,15.18,Inputted Data,Province,Asia,People's Republic of China,Beijing,,,,,,116.407526,39.90403
COVID-19_Tencent,2020-05-27 23:59:00,579,573,6,0,0,0,989.64,10.36,Inputted Data,Province,Asia,People's Republic of China,Chongqing,,,,,,106.551556,29.563009
COVID-19_Tencent,2020-05-27 23:59:00,564,558,3,0,0,0,989.36,5.32,Inputted Data,Province,Asia,People's Republic of China,Sichuan,,,,,,104.075931,30.651651
COVID-19_Tencent,2020-05-27 23:59:00,441,419,7,0,3,0,950.11,15.87,Inputted Data,Province,Asia,People's Republic of China,Taiwan,,,,,,121.508903,25.044319
COVID-19_Tencent,2020-05-27 23:59:00,357,355,1,296,295,1,994.4,2.8,Inputted Data,Province,Asia,People's Republic of China,Fujian,,,,,,119.295144,26.100779
COVID-19_Tencent,2020-05-27 23:59:00,329,322,0,1,1,0,978.72,0.0,Inputted Data,Province,Asia,People's Republic of China,Shanghai,,,,,,121.473701,31.230416
COVID-19_Tencent,2020-05-27 23:59:00,328,322,6,0,0,0,981.71,18.29,Inputted Data,Province,Asia,People's Republic of China,Hebei,,,,,,114.468664,38.037057
COVID-19_Tencent,2020-05-27 23:59:00,308,305,3,0,0,0,990.26,9.74,Inputted Data,Province,Asia,People's Republic of China,Shaanxi,,,,,,108.954239,34.265472
COVID-19_Tencent,2020-05-27 23:59:00,254,252,2,0,0,0,992.13,7.87,Inputted Data,Province,Asia,People's Republic of China,Guangxi,,,,,,108.327546,22.815478
COVID-19_Tencent,2020-05-27 23:59:00,252,245,7,0,0,0,972.22,27.78,Inputted Data,Province,Asia,People's Republic of China,Hubei,,,,,,114.341861,30.546498
COVID-19_Tencent,2020-05-27 23:59:00,198,198,0,0,0,0,1000.0,0.0,Inputted Data,Province,Asia,People's Republic of China,Shanxi,,,,,,112.562398,37.873531
COVID-19_Tencent,2020-05-27 23:59:00,192,188,3,0,0,0,979.17,15.63,Inputted Data,Province,Asia,People's Republic of China,Tianjin,,,,,,117.200983,39.084158
COVID-19_Tencent,2020-05-27 23:59:00,185,183,2,0,0,0,989.19,10.81,Inputted Data,Province,Asia,People's Republic of China,Yunnan,,,,,,102.710002,25.045806
COVID-19_Tencent,2020-05-27 23:59:00,169,162,6,0,0,0,958.58,35.5,Inputted Data,Province,Asia,People's Republic of China,Hainan,,,,,,110.349228,20.017377
COVID-19_Tencent,2020-05-27 23:59:00,155,128,2,0,0,0,825.81,12.9,Inputted Data,Province,Asia,People's Republic of China,Jilin,,,,,,125.32599,43.896536
COVID-19_Tencent,2020-05-27 23:59:00,155,129,0,0,1,0,832.26,0.0,Inputted Data,Province,Asia,People's Republic of China,Inner Mongolia,,,,,,111.765617,40.817498
COVID-19_Tencent,2020-05-27 23:59:00,149,147,2,118,116,2,986.58,13.42,Inputted Data,Province,Asia,People's Republic of China,Liaoning,,,,,,123.42944,41.835441
COVID-19_Tencent,2020-05-27 23:59:00,147,145,2,0,0,0,986.39,13.61,Inputted Data,Province,Asia,People's Republic of China,Guizhou,,,,,,106.70741,26.598194
COVID-19_Tencent,2020-05-27 23:59:00,76,73,3,0,0,0,960.53,39.47,Inputted Data,Province,Asia,People's Republic of China,Xinjiang,,,,,,87.627704,43.793026
COVID-19_Tencent,2020-05-27 23:59:00,75,75,0,0,0,0,1000.0,0.0,Inputted Data,Province,Asia,People's Republic of China,Ningxia,,,,,,106.258754,38.471317
COVID-19_Tencent,2020-05-27 23:59:00,45,45,0,0,0,0,1000.0,0.0,Inputted Data,Province,Asia,People's Republic of China,Macau,,,,,,113.543028,22.186835
COVID-19_Tencent,2020-05-27 23:59:00,18,18,0,0,0,0,1000.0,0.0,Inputted Data,Province,Asia,People's Republic of China,Qinghai,,,,,,101.780199,36.620901
COVID-19_Tencent,2020-05-27 23:59:00,1,1,0,0,0,0,1000.0,0.0,Inputted Data,Province,Asia,People's Republic of China,Xizang,,,,,,91.117212,29.646922
COVID-19_Tencent,2020-05-26 23:59:00,15828,15581,129,2078,2066,14,984.39,8.15,Statistic Data,Country,Asia,People's Republic of China,,,,,,,104.195397,35.86166
COVID-19_Tencent,2020-05-26 23:59:00,15828,15581,129,2078,2066,14,984.39,8.15,Statistic Data,Continent,Asia,,,,,,,,111.23125,33.47486
COVID-19_Tencent,2020-05-26 23:59:00,15828,15581,129,2078,2066,14,984.39,8.15,Statistic Data,Global,,,,,,,,,148.770017,27.499299
COVID-19_Tencent,2020-05-26 23:59:00,1592,1581,8,1395,1386,8,993.09,5.03,Inputted Data,Province,Asia,People's Republic of China,Guangdong,,,,,,113.26653,23.132191
COVID-19_Tencent,2020-05-26 23:59:00,1276,1254,22,0,0,0,982.76,17.24,Inputted Data,Province,Asia,People's Republic of China,Henan,,,,,,113.753602,34.765515
COVID-19_Tencent,2020-05-26 23:59:00,1268,1267,1,0,0,0,999.21,0.79,Inputted Data,Province,Asia,People's Republic of China,Zhejiang,,,,,,120.152791,30.267446
COVID-19_Tencent,2020-05-26 23:59:00,1065,1033,4,0,3,0,969.95,3.76,Inputted Data,Province,Asia,People's Republic of China,Hong Kong,,,,,,114.163825,22.276284
COVID-19_Tencent,2020-05-26 23:59:00,1019,1015,4,0,0,0,996.07,3.93,Inputted Data,Province,Asia,People's Republic of China,Hunan,,,,,,112.98381,28.112444
COVID-19_Tencent,2020-05-26 23:59:00,991,985,6,0,0,0,993.95,6.05,Inputted Data,Province,Asia,People's Republic of China,Anhui,,,,,,117.284922,31.861184
COVID-19_Tencent,2020-05-26 23:59:00,945,932,13,0,0,0,986.24,13.76,Inputted Data,Province,Asia,People's Republic of China,Heilongjiang,,,,,,126.661669,45.742347
COVID-19_Tencent,2020-05-26 23:59:00,937,936,1,0,0,0,998.93,1.07,Inputted Data,Province,Asia,People's Republic of China,Jiangxi,,,,,,115.909228,28.675696
COVID-19_Tencent,2020-05-26 23:59:00,788,780,7,0,0,0,989.85,8.88,Inputted Data,Province,Asia,People's Republic of China,Shandong,,,,,,117.020359,36.66853
COVID-19_Tencent,2020-05-26 23:59:00,653,653,0,0,0,0,1000.0,0.0,Inputted Data,Province,Asia,People's Republic of China,Jiangsu,,,,,,118.763232,32.061707
COVID-19_Tencent,2020-05-26 23:59:00,593,581,9,0,0,0,979.76,15.18,Inputted Data,Province,Asia,People's Republic of China,Beijing,,,,,,116.407526,39.90403
COVID-19_Tencent,2020-05-26 23:59:00,579,573,6,0,0,0,989.64,10.36,Inputted Data,Province,Asia,People's Republic of China,Chongqing,,,,,,106.551556,29.563009
COVID-19_Tencent,2020-05-26 23:59:00,564,558,3,540,537,3,989.36,5.32,Inputted Data,Province,Asia,People's Republic of China,Sichuan,,,,,,104.075931,30.651651
COVID-19_Tencent,2020-05-26 23:59:00,441,416,7,0,1,0,943.31,15.87,Inputted Data,Province,Asia,People's Republic of China,Taiwan,,,,,,121.508903,25.044319
COVID-19_Tencent,2020-05-26 23:59:00,328,321,0,1,1,0,978.66,0.0,Inputted Data,Province,Asia,People's Republic of China,Shanghai,,,,,,121.473701,31.230416
COVID-19_Tencent,2020-05-26 23:59:00,328,322,6,0,0,0,981.71,18.29,Inputted Data,Province,Asia,People's Republic of China,Hebei,,,,,,114.468664,38.037057
COVID-19_Tencent,2020-05-26 23:59:00,308,305,3,0,0,0,990.26,9.74,Inputted Data,Province,Asia,People's Republic of China,Shaanxi,,,,,,108.954239,34.265472
COVID-19_Tencent,2020-05-26 23:59:00,254,252,2,0,0,0,992.13,7.87,Inputted Data,Province,Asia,People's Republic of China,Guangxi,,,,,,108.327546,22.815478
COVID-19_Tencent,2020-05-26 23:59:00,252,245,7,0,0,0,972.22,27.78,Inputted Data,Province,Asia,People's Republic of China,Hubei,,,,,,114.341861,30.546498
COVID-19_Tencent,2020-05-26 23:59:00,198,198,0,0,0,0,1000.0,0.0,Inputted Data,Province,Asia,People's Republic of China,Shanxi,,,,,,112.562398,37.873531
COVID-19_Tencent,2020-05-26 23:59:00,192,188,3,136,133,3,979.17,15.63,Inputted Data,Province,Asia,People's Republic of China,Tianjin,,,,,,117.200983,39.084158
COVID-19_Tencent,2020-05-26 23:59:00,185,183,2,0,0,0,989.19,10.81,Inputted Data,Province,Asia,People's Republic of China,Yunnan,,,,,,102.710002,25.045806
COVID-19_Tencent,2020-05-26 23:59:00,169,162,6,0,0,0,958.58,35.5,Inputted Data,Province,Asia,People's Republic of China,Hainan,,,,,,110.349228,20.017377
COVID-19_Tencent,2020-05-26 23:59:00,155,128,2,0,0,0,825.81,12.9,Inputted Data,Province,Asia,People's Republic of China,Jilin,,,,,,125.32599,43.896536
COVID-19_Tencent,2020-05-26 23:59:00,155,128,0,5,3,0,825.81,0.0,Inputted Data,Province,Asia,People's Republic of China,Inner Mongolia,,,,,,111.765617,40.817498
COVID-19_Tencent,2020-05-26 23:59:00,147,145,2,0,0,0,986.39,13.61,Inputted Data,Province,Asia,People's Republic of China,Guizhou,,,,,,106.70741,26.598194
COVID-19_Tencent,2020-05-26 23:59:00,139,137,2,0,0,0,985.61,14.39,Inputted Data,Province,Asia,People's Republic of China,Gansu,,,,,,103.826308,36.059421
COVID-19_Tencent,2020-05-26 23:59:00,76,73,3,0,0,0,960.53,39.47,Inputted Data,Province,Asia,People's Republic of China,Xinjiang,,,,,,87.627704,43.793026
COVID-19_Tencent,2020-05-26 23:59:00,75,75,0,0,0,0,1000.0,0.0,Inputted Data,Province,Asia,People's Republic of China,Ningxia,,,,,,106.258754,38.471317
COVID-19_Tencent,2020-05-26 23:59:00,61,60,0,1,0,0,983.61,0.0,Inputted Data,Province,Asia,People's Republic of China,Fujian,,,,,,119.295144,26.100779
COVID-19_Tencent,2020-05-26 23:59:00,45,45,0,0,0,0,1000.0,0.0,Inputted Data,Province,Asia,People's Republic of China,Macau,,,,,,113.543028,22.186835
COVID-19_Tencent,2020-05-26 23:59:00,31,31,0,0,2,0,1000.0,0.0,Inputted Data,Province,Asia,People's Republic of China,Liaoning,,,,,,123.42944,41.835441
COVID-19_Tencent,2020-05-26 23:59:00,18,18,0,0,0,0,1000.0,0.0,Inputted Data,Province,Asia,People's Republic of China,Qinghai,,,,,,101.780199,36.620901
COVID-19_Tencent,2020-05-26 23:59:00,1,1,0,0,0,0,1000.0,0.0,Inputted Data,Province,Asia,People's Republic of China,Xizang,,,,,,91.117212,29.646922
COVID-19_Tencent,2020-05-25 23:59:00,13750,13515,115,363,358,4,982.91,8.36,Statistic Data,Country,Asia,People's Republic of China,,,,,,,104.195397,35.86166
COVID-19_Tencent,2020-05-25 23:59:00,13750,13515,115,363,358,4,982.91,8.36,Statistic Data,Continent,Asia,,,,,,,,111.23125,33.47486
COVID-19_Tencent,2020-05-25 23:59:00,13750,13515,115,363,358,4,982.91,8.36,Statistic Data,Global,,,,,,,,,148.770017,27.499299
COVID-19_Tencent,2020-05-25 23:59:00,1276,1254,22,0,0,0,982.76,17.24,Inputted Data,Province,Asia,People's Republic of China,Henan,,,,,,113.753602,34.765515
COVID-19_Tencent,2020-05-25 23:59:00,1268,1267,1,0,0,0,999.21,0.79,Inputted Data,Province,Asia,People's Republic of China,Zhejiang,,,,,,120.152791,30.267446
COVID-19_Tencent,2020-05-25 23:59:00,1065,1030,4,0,0,0,967.14,3.76,Inputted Data,Province,Asia,People's Republic of China,Hong Kong,,,,,,114.163825,22.276284
COVID-19_Tencent,2020-05-25 23:59:00,1019,1015,4,0,0,0,996.07,3.93,Inputted Data,Province,Asia,People's Republic of China,Hunan,,,,,,112.98381,28.112444
COVID-19_Tencent,2020-05-25 23:59:00,991,985,6,0,0,0,993.95,6.05,Inputted Data,Province,Asia,People's Republic of China,Anhui,,,,,,117.284922,31.861184
COVID-19_Tencent,2020-05-25 23:59:00,945,932,13,0,0,0,986.24,13.76,Inputted Data,Province,Asia,People's Republic of China,Heilongjiang,,,,,,126.661669,45.742347
COVID-19_Tencent,2020-05-25 23:59:00,937,936,1,0,0,0,998.93,1.07,Inputted Data,Province,Asia,People's Republic of China,Jiangxi,,,,,,115.909228,28.675696
COVID-19_Tencent,2020-05-25 23:59:00,788,780,7,0,0,0,989.85,8.88,Inputted Data,Province,Asia,People's Republic of China,Shandong,,,,,,117.020359,36.66853
COVID-19_Tencent,2020-05-25 23:59:00,653,653,0,0,0,0,1000.0,0.0,Inputted Data,Province,Asia,People's Republic of China,Jiangsu,,,,,,118.763232,32.061707
