数据集,时间,确认,治愈,死亡,治愈/确认（千分比）,死亡/确认（千分比）,确认/人口（千分比）,死亡/人口（千分比）,治愈/人口（千分比）,确认/面积（千分比）,治愈/面积（千分比）,死亡/面积（千分比）,数据源,级别,洲,国家,省,市,区县,乡镇,村庄,建筑物,经度,纬度
COVID-19_Baidu,2020-05-27 23:59:00,5709490,2451752,352758,429.42,61.78,0.0,0.0,0.0,0.0,0.0,0.0,统计数据,全球,,,,,,,,,148.770017,27.499299
COVID-19_Baidu,2020-05-27 23:59:00,1943776,926931,169786,476.87,87.35,0.0,0.0,0.0,0.0,0.0,0.0,统计数据,洲,欧洲,,,,,,,,24.918,54.376174
COVID-19_Baidu,2020-05-27 23:59:00,1930930,597861,116727,309.62,60.45,0.0,0.0,0.0,0.0,0.0,0.0,统计数据,洲,北美洲,,,,,,,,-104.695554,59.336138
COVID-19_Baidu,2020-05-27 23:59:00,1725808,479816,100625,278.02,58.31,5.56,0.32,1.55,179.23,49.83,10.45,输入的数据,国家,北美洲,美国,,,,,,,-95.712891,37.09024
COVID-19_Baidu,2020-05-27 23:59:00,1016382,595201,28453,585.61,27.99,0.0,0.0,0.0,0.0,0.0,0.0,统计数据,洲,亚洲,,,,,,,,111.23125,33.47486
COVID-19_Baidu,2020-05-27 23:59:00,686365,272324,33981,396.76,49.51,0.0,0.0,0.0,0.0,0.0,0.0,统计数据,洲,南美洲,,,,,,,,-60.396237,-16.81103
COVID-19_Baidu,2020-05-27 23:59:00,394507,158593,24593,402.0,62.34,1.96,0.12,0.79,46.35,18.63,2.89,输入的数据,国家,南美洲,巴西,,,,,,,-51.92528,-14.235004
COVID-19_Baidu,2020-05-27 23:59:00,373622,64866,29451,173.61,78.83,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,纽约州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,370680,142208,3968,383.64,10.7,2.63,0.03,1.01,21.68,8.32,0.23,输入的数据,国家,欧洲,俄罗斯,,,,,,,105.318756,61.52401
COVID-19_Baidu,2020-05-27 23:59:00,283339,196958,27117,695.13,95.71,6.09,0.58,4.24,561.31,390.18,53.72,输入的数据,国家,欧洲,西班牙,,,,,,,-3.74922,40.463667
COVID-19_Baidu,2020-05-27 23:59:00,265227,1161,37048,4.38,139.68,4.25,0.59,0.02,1083.36,4.74,151.33,输入的数据,国家,欧洲,英国,,,,,,,-3.435973,55.378051
COVID-19_Baidu,2020-05-27 23:59:00,230555,144658,32955,627.43,142.94,3.82,0.55,2.4,765.38,480.22,109.4,输入的数据,国家,欧洲,意大利,,,,,,,12.56738,41.87194
COVID-19_Baidu,2020-05-27 23:59:00,182722,65879,28530,360.54,156.14,2.82,0.44,1.02,334.03,120.43,52.15,输入的数据,国家,欧洲,法国,,,,,,,2.213749,46.227638
COVID-19_Baidu,2020-05-27 23:59:00,181288,162800,8498,898.02,46.88,2.22,0.1,1.99,507.78,456.0,23.8,输入的数据,国家,欧洲,德国,,,,,,,10.451526,51.165691
COVID-19_Baidu,2020-05-27 23:59:00,158762,121507,4397,765.34,27.7,2.04,0.06,1.56,203.39,155.66,5.63,输入的数据,国家,亚洲,土耳其,,,,,,,35.243322,38.963745
COVID-19_Baidu,2020-05-27 23:59:00,157015,13907,11197,88.57,71.31,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,新泽西州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,153230,64729,4365,422.43,28.49,0.13,0.0,0.06,46.61,19.69,1.33,输入的数据,国家,亚洲,印度,,,,,,,78.96288,20.593684
COVID-19_Baidu,2020-05-27 23:59:00,141591,111176,7564,785.19,53.42,1.84,0.1,1.45,85.92,67.46,4.59,输入的数据,国家,亚洲,伊朗,,,,,,,53.688046,32.427908
COVID-19_Baidu,2020-05-27 23:59:00,129751,52906,3788,407.75,29.19,4.34,0.13,1.77,100.96,41.16,2.95,输入的数据,国家,南美洲,秘鲁,,,,,,,-75.015152,-9.189967
COVID-19_Baidu,2020-05-27 23:59:00,122019,50143,3629,410.94,29.74,0.0,0.0,0.0,0.0,0.0,0.0,统计数据,洲,非洲,,,,,,,,27.118551,8.777388
COVID-19_Baidu,2020-05-27 23:59:00,113195,3615,4923,31.94,43.49,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,伊利诺伊州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,99776,20840,3852,208.87,38.61,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,加利福尼亚州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,93693,32549,6473,347.4,69.09,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,马萨诸塞州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,87417,47044,15896,538.16,181.84,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,伦巴第,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,86647,45339,6639,523.26,76.62,2.57,0.2,1.35,8.68,4.54,0.66,输入的数据,国家,北美洲,加拿大,,,,,,,-106.346771,56.130366
COVID-19_Baidu,2020-05-27 23:59:00,84545,79780,4645,943.64,54.94,0.06,0.0,0.06,8.81,8.31,0.48,统计数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_Baidu,2020-05-27 23:59:00,77961,30915,806,396.54,10.34,4.66,0.05,1.85,102.99,40.84,1.06,输入的数据,国家,南美洲,智利,,,,,,,-71.542969,-35.675147
