Level,Longitude,Latitude,Chinese Name,English Name,Code 1,Code 2,Code 3,Code 4,Code 5,Alias 1,Alias 2,Alias 3,Alias 4,Alias 5,Square Kilometers,Population,Continent,Country,Province,City,County,Town,Village,Building,Comments
City,116.407526,39.90403,市辖区,,110000,010,500100000000,,,,,,,,,,Asia,People's Republic of China,Beijing,市辖区,,,,,
City,117.200983,39.084158,市辖区,,120000,022,120100000000,,,,,,,,,,Asia,People's Republic of China,Tianjin,市辖区,,,,,
City,114.514859,38.042306,石家庄,,130100,0311,130100000000,,,石家庄市,,,,,,,Asia,People's Republic of China,Hebei,石家庄,,,,,
City,118.180193,39.630867,唐山,,130200,0315,130200000000,,,唐山市,,,,,,,Asia,People's Republic of China,Hebei,唐山,,,,,
City,119.600492,39.935385,秦皇岛,,130300,0335,130300000000,,,秦皇岛市,,,,,,,Asia,People's Republic of China,Hebei,秦皇岛,,,,,
City,114.538961,36.625657,邯郸,,130400,0310,130400000000,,,邯郸市,,,,,,,Asia,People's Republic of China,Hebei,邯郸,,,,,
City,114.504844,37.070589,邢台,,130500,0319,130500000000,,,邢台市,,,,,,,Asia,People's Republic of China,Hebei,邢台,,,,,
City,115.464806,38.873891,保定,,130600,0312,130600000000,,,保定市,,,,,,,Asia,People's Republic of China,Hebei,保定,,,,,
City,114.887543,40.824418,张家口,,130700,0313,130700000000,,,张家口市,,,,,,,Asia,People's Republic of China,Hebei,张家口,,,,,
City,117.96241,40.954071,承德,,130800,0314,130800000000,,,承德市,,,,,,,Asia,People's Republic of China,Hebei,承德,,,,,
City,116.838834,38.304477,沧州,,130900,0317,130900000000,,,沧州市,,,,,,,Asia,People's Republic of China,Hebei,沧州,,,,,
City,116.683752,39.538047,廊坊,,131000,0316,131000000000,,,廊坊市,,,,,,,Asia,People's Republic of China,Hebei,廊坊,,,,,
City,115.670177,37.73892,衡水,,131100,0318,131100000000,,,衡水市,,,,,,,Asia,People's Republic of China,Hebei,衡水,,,,,
City,112.548879,37.87059,太原,,140100,0351,140100000000,,,太原市,,,,,,,Asia,People's Republic of China,Shanxi,太原,,,,,
City,113.300129,40.076762,大同,,140200,0352,140200000000,,,大同市,,,,,,,Asia,People's Republic of China,Shanxi,大同,,,,,
City,113.580519,37.856971,阳泉,,140300,0353,140300000000,,,阳泉市,,,,,,,Asia,People's Republic of China,Shanxi,阳泉,,,,,
City,113.116255,36.195386,长治,,140400,0355,140400000000,,,长治市,,,,,,,Asia,People's Republic of China,Shanxi,长治,,,,,
City,112.851831,35.490701,晋城,,140500,0356,140500000000,,,晋城市,,,,,,,Asia,People's Republic of China,Shanxi,晋城,,,,,
City,112.432825,39.331595,朔州,,140600,0349,140600000000,,,朔州市,,,,,,,Asia,People's Republic of China,Shanxi,朔州,,,,,
City,112.752694,37.687024,晋中,,140700,0354,140700000000,,,晋中市,,,,,,,Asia,People's Republic of China,Shanxi,晋中,,,,,
City,111.007528,35.026412,运城,,140800,0359,140800000000,,,运城市,,,,,,,Asia,People's Republic of China,Shanxi,运城,,,,,
