数据集,时间,确认,治愈,死亡,新增确诊,新增治愈,新增死亡,治愈/确认（千分比）,死亡/确认（千分比）,确认/人口（千分比）,死亡/人口（千分比）,治愈/人口（千分比）,确认/平方公里（千分比）,治愈/平方公里（千分比）,死亡/平方公里（千分比）,数据源,级别,洲,国家,省,市,区县,乡镇,村庄,建筑物,经度,纬度
COVID-19_Baidu,2020-06-17 23:59:00,352776,285441,40311,0,0,0,809.13,114.27,0.0,0.0,0.0,0.0,0.0,0.0,统计数据,全球,,,,,,,,,148.770017,27.499299
COVID-19_Baidu,2020-06-17 23:59:00,237500,178526,34405,0,0,0,751.69,144.86,3.94,0.57,2.96,788.43,592.66,114.22,输入的数据,国家,欧洲,意大利,,,,,,,12.56738,41.87194
COVID-19_Baidu,2020-06-17 23:59:00,237500,178526,34405,0,0,0,751.69,144.86,0.0,0.0,0.0,0.0,0.0,0.0,统计数据,洲,欧洲,,,,,,,,24.918,54.376174
COVID-19_Baidu,2020-06-17 23:59:00,114711,106403,5858,0,0,0,927.57,51.07,0.0,0.0,0.0,0.0,0.0,0.0,统计数据,洲,亚洲,,,,,,,,111.23125,33.47486
COVID-19_Baidu,2020-06-17 23:59:00,92060,60361,16466,0,0,0,655.67,178.86,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,伦巴第,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,84868,79928,4645,0,0,0,941.79,54.73,0.06,0.0,0.06,8.84,8.33,0.48,统计数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_Baidu,2020-06-17 23:59:00,68135,63623,4512,0,0,0,933.78,66.22,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,湖北,,,,,,114.341861,30.546498
COVID-19_Baidu,2020-06-17 23:59:00,50340,46471,3869,0,0,0,923.14,76.86,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖北,武汉,,,,,114.305392,30.593098
COVID-19_Baidu,2020-06-17 23:59:00,31090,24622,4018,0,0,0,791.96,129.24,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,皮埃蒙特,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,28097,22483,4209,0,0,0,800.19,149.8,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,艾米利亚-罗马涅,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,19221,16521,1982,0,0,0,859.53,103.12,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,威尼托,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,17645,15701,934,0,0,0,889.83,52.93,0.14,0.01,0.12,46.7,41.56,2.47,输入的数据,国家,亚洲,日本,,,,,,,138.252924,36.204824
COVID-19_Baidu,2020-06-17 23:59:00,12198,10774,279,0,0,0,883.26,22.87,0.25,0.01,0.22,123.86,109.4,2.83,输入的数据,国家,亚洲,韩国,,,,,,,127.766922,35.907757
COVID-19_Baidu,2020-06-17 23:59:00,10191,8637,1091,0,0,0,847.51,107.06,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,托斯卡纳,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,9891,8120,1529,0,0,0,820.95,154.58,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,利古里亚,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,7967,6024,814,0,0,0,756.12,102.17,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,拉齐奥,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,6895,6672,189,0,0,0,967.66,27.41,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,韩国,,大邱,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,6763,5168,994,0,0,0,764.16,146.98,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,马尔凯,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,5619,4887,314,0,0,0,869.73,55.88,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,东京都,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,4613,3910,430,0,0,0,847.6,93.21,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,坎帕尼亚,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,4516,3628,535,0,0,0,803.37,118.47,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,普利亚,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,4448,3919,465,0,0,0,881.07,104.54,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,特伦托,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,3518,3389,129,0,0,0,963.33,36.67,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖北,孝感,,,,,113.916902,30.924568
COVID-19_Baidu,2020-06-17 23:59:00,3460,2374,280,0,0,0,686.13,80.92,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,西西里,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,3297,2855,343,0,0,0,865.94,104.03,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,弗留利-威尼斯朱利亚,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,3280,2355,457,0,0,0,717.99,139.33,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,阿布鲁佐,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,2907,2782,125,0,0,0,957.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖北,黄冈,,,,,114.872316,30.453905
COVID-19_Baidu,2020-06-17 23:59:00,2611,2226,292,0,0,0,852.55,111.83,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,博尔扎诺,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,1790,1668,85,0,0,0,931.84,47.49,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,大阪府,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,1628,1593,8,0,0,0,978.5,4.91,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,广东,,,,,,113.26653,23.132191
COVID-19_Baidu,2020-06-17 23:59:00,1580,1528,52,0,0,0,967.09,32.91,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖北,荆州,,,,,112.239741,30.335165
COVID-19_Baidu,2020-06-17 23:59:00,1437,1342,77,0,0,0,933.89,53.58,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,翁布里亚,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,1411,1183,90,0,0,0,838.41,63.78,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,神奈川,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,1394,1335,59,0,0,0,957.68,42.32,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖北,鄂州,,,,,114.894843,30.39194
