数据集,时间,确认,治愈,死亡,新增确诊,新增治愈,新增死亡,治愈/确认（千分比）,死亡/确认（千分比）,确认/人口（千分比）,死亡/人口（千分比）,治愈/人口（千分比）,确认/平方公里（千分比）,治愈/平方公里（千分比）,死亡/平方公里（千分比）,数据源,级别,洲,国家,省,市,区县,乡镇,村庄,建筑物,经度,纬度
COVID-19_JHU,2020-06-16 23:59:00,84867,79926,4645,44,4,0,941.78,54.73,0.06,0.0,0.06,8.84,8.33,0.48,统计数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-06-15 23:59:00,84823,79922,4645,45,9,0,942.22,54.76,0.06,0.0,0.06,8.84,8.33,0.48,统计数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-06-14 23:59:00,84778,79913,4645,49,7,0,942.61,54.79,0.06,0.0,0.06,8.83,8.33,0.48,统计数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-06-13 23:59:00,84729,79906,4645,58,3,0,943.08,54.82,0.06,0.0,0.06,8.83,8.33,0.48,统计数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-06-12 23:59:00,84671,79903,4645,12,8,0,943.69,54.86,0.06,0.0,0.06,8.82,8.33,0.48,统计数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-06-11 23:59:00,84659,79895,4645,7,8,0,943.73,54.87,0.06,0.0,0.06,8.82,8.33,0.48,统计数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-06-10 23:59:00,84652,79887,4645,11,5,0,943.71,54.87,0.06,0.0,0.06,8.82,8.32,0.48,统计数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-06-09 23:59:00,84641,79882,4645,3,8,0,943.77,54.88,0.06,0.0,0.06,8.82,8.32,0.48,统计数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-06-08 23:59:00,84638,79874,4645,4,10,0,943.71,54.88,0.06,0.0,0.06,8.82,8.32,0.48,统计数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-06-07 23:59:00,84634,79864,4645,5,11,0,943.64,54.88,0.06,0.0,0.06,8.82,8.32,0.48,统计数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-06-06 23:59:00,84629,79853,4645,9,4,0,943.57,54.89,0.06,0.0,0.06,8.82,8.32,0.48,统计数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-06-05 23:59:00,84620,79849,4645,6,6,0,943.62,54.89,0.06,0.0,0.06,8.82,8.32,0.48,统计数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-06-04 23:59:00,84614,79843,4645,11,11,0,943.61,54.9,0.06,0.0,0.06,8.82,8.32,0.48,统计数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-06-03 23:59:00,84603,79832,4645,-1,5,0,943.61,54.9,0.06,0.0,0.06,8.82,8.32,0.48,统计数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-06-02 23:59:00,84604,79827,4645,7,2,0,943.54,54.9,0.06,0.0,0.06,8.82,8.32,0.48,统计数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-06-01 23:59:00,84597,79825,4645,9,13,0,943.59,54.91,0.06,0.0,0.06,8.81,8.32,0.48,统计数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-05-31 23:59:00,84588,79812,4645,18,5,0,943.54,54.91,0.06,0.0,0.06,8.81,8.32,0.48,统计数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-05-30 23:59:00,84570,79807,4645,5,5,0,943.68,54.92,0.06,0.0,0.06,8.81,8.32,0.48,统计数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-05-29 23:59:00,84565,79802,4645,18,11,0,943.68,54.93,0.06,0.0,0.06,8.81,8.32,0.48,统计数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-05-28 23:59:00,84547,79791,4645,0,5,0,943.75,54.94,0.06,0.0,0.06,8.81,8.31,0.48,统计数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-05-27 23:59:00,84547,79786,4645,3,12,0,943.69,54.94,0.06,0.0,0.06,8.81,8.31,0.48,统计数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-05-26 23:59:00,84544,79774,4645,1,7,0,943.58,54.94,0.06,0.0,0.06,8.81,8.31,0.48,统计数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-05-25 23:59:00,84543,79767,4645,7,10,0,943.51,54.94,0.06,0.0,0.06,8.81,8.31,0.48,统计数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-05-24 23:59:00,84536,79757,4645,11,11,0,943.47,54.95,0.06,0.0,0.06,8.81,8.31,0.48,预定义的数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-05-23 23:59:00,84525,79746,4645,3,6,0,943.46,54.95,0.06,0.0,0.06,8.81,8.31,0.48,预定义的数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-05-22 23:59:00,84522,79740,4645,19,32,0,943.42,54.96,0.06,0.0,0.06,8.81,8.31,0.48,预定义的数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-05-21 23:59:00,84503,79708,4645,0,0,0,943.26,54.97,0.06,0.0,0.06,8.81,8.31,0.48,预定义的数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-05-20 23:59:00,84503,79708,4645,0,0,0,943.26,54.97,0.06,0.0,0.06,8.81,8.31,0.48,预定义的数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-05-19 23:59:00,84503,79708,4645,0,0,0,943.26,54.97,0.06,0.0,0.06,8.81,8.31,0.48,预定义的数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-05-18 23:59:00,84503,79708,4645,9,7,0,943.26,54.97,0.06,0.0,0.06,8.81,8.31,0.48,预定义的数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-05-17 23:59:00,84494,79701,4645,10,19,0,943.27,54.97,0.06,0.0,0.06,8.8,8.3,0.48,预定义的数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-05-16 23:59:00,84484,79682,4645,6,14,1,943.16,54.98,0.06,0.0,0.06,8.8,8.3,0.48,预定义的数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-05-15 23:59:00,84478,79668,4644,9,24,0,943.06,54.97,0.06,0.0,0.06,8.8,8.3,0.48,预定义的数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-05-14 23:59:00,84469,79644,4644,5,23,0,942.88,54.98,0.06,0.0,0.06,8.8,8.3,0.48,预定义的数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-05-13 23:59:00,84464,79621,4644,6,27,0,942.66,54.98,0.06,0.0,0.06,8.8,8.3,0.48,预定义的数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-05-12 23:59:00,84458,79594,4644,7,28,0,942.41,54.99,0.06,0.0,0.06,8.8,8.29,0.48,预定义的数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-05-11 23:59:00,84451,79566,4644,1,33,1,942.16,54.99,0.06,0.0,0.06,8.8,8.29,0.48,预定义的数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-05-10 23:59:00,84450,79533,4643,20,45,0,941.78,54.98,0.06,0.0,0.06,8.8,8.29,0.48,预定义的数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-05-09 23:59:00,84430,79488,4643,14,140,0,941.47,54.99,0.06,0.0,0.06,8.8,8.28,0.48,预定义的数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
COVID-19_JHU,2020-05-08 23:59:00,84416,79348,4643,1,24,0,939.96,55.0,0.06,0.0,0.06,8.8,8.27,0.48,预定义的数据,国家,亚洲,中国,,,,,,,104.195397,35.86166
