Level,Longitude,Latitude,Chinese Name,English Name,Code 1,Code 2,Code 3,Code 4,Code 5,Alias 1,Alias 2,Alias 3,Alias 4,Alias 5,Square Kilometers,Population,Continent,Country,Province,City,County,Town,Village,Building,Comments
Province,116.407526,39.90403,北京,Beijing,110000,10,,,,北京市,,,,,,,Asia,People's Republic of China,Beijing,,,,,,
Province,117.200983,39.084158,天津,Tianjin,120000,22,,,,天津市,,,,,,,Asia,People's Republic of China,Tianjin,,,,,,
Province,114.468664,38.037057,河北,Hebei,130000,,,,,河北省,Hebei Province,,,,,,Asia,People's Republic of China,Hebei,,,,,,
Province,112.562398,37.873531,山西,Shanxi,140000,,,,,山西省,Shanxi Province,,,,,,Asia,People's Republic of China,Shanxi,,,,,,
Province,111.765617,40.817498,内蒙古,Inner Mongolia,150000,,,,,内蒙古自治区,,,,,,,Asia,People's Republic of China,Inner Mongolia,,,,,,
Province,123.42944,41.835441,辽宁,Liaoning,210000,,,,,辽宁省,Liaoning Province,,,,,,Asia,People's Republic of China,Liaoning,,,,,,
Province,125.32599,43.896536,吉林,Jilin,220000,,,,,吉林省,Jilin Province,,,,,,Asia,People's Republic of China,Jilin,,,,,,
Province,126.661669,45.742347,黑龙江,Heilongjiang,230000,,,,,黑龙江省,Heilongjiang Province,,,,,,Asia,People's Republic of China,Heilongjiang,,,,,,
Province,121.473701,31.230416,上海,Shanghai,310000,21,,,,上海市,,,,,,,Asia,People's Republic of China,Shanghai,,,,,,
Province,118.763232,32.061707,江苏,Jiangsu,320000,,,,,江苏省,Jiangsu Province,,,,,,Asia,People's Republic of China,Jiangsu,,,,,,
Province,120.152791,30.267446,浙江,Zhejiang,330000,,,,,浙江省,Zhejiang Province,,,,,,Asia,People's Republic of China,Zhejiang,,,,,,
Province,117.284922,31.861184,安徽,Anhui,340000,,,,,安徽省,Anhui Province,,,,,,Asia,People's Republic of China,Anhui,,,,,,
Province,119.295144,26.100779,福建,Fujian,350000,,,,,福建省,Fujian Province,,,,,,Asia,People's Republic of China,Fujian,,,,,,
Province,115.909228,28.675696,江西,Jiangxi,360000,,,,,江西省,Jiangxi Province,,,,,,Asia,People's Republic of China,Jiangxi,,,,,,
Province,117.020359,36.66853,山东,Shandong,370000,,,,,山东省,Shandong Province,,,,,,Asia,People's Republic of China,Shandong,,,,,,
Province,113.753602,34.765515,河南,Henan,410000,,,,,河南省,Henan Province,,,,,,Asia,People's Republic of China,Henan,,,,,,
Province,114.341861,30.546498,湖北,Hubei,420000,,,,,湖北省,Hubei Province,,,,,,Asia,People's Republic of China,Hubei,,,,,,
Province,112.98381,28.112444,湖南,Hunan,430000,,,,,湖南省,Hunan Province,,,,,,Asia,People's Republic of China,Hunan,,,,,,
Province,113.26653,23.132191,广东,Guangdong,440000,,,,,广东省,Guangdong Province,,,,,,Asia,People's Republic of China,Guangdong,,,,,,
Province,108.327546,22.815478,广西,Guangxi,450000,,,,,广西壮族自治区,Guangxi Province,,,,,,Asia,People's Republic of China,Guangxi,,,,,,
Province,110.349228,20.017377,海南,Hainan,460000,,,,,海南省,Hainan Province,,,,,,Asia,People's Republic of China,Hainan,,,,,,
Province,106.551556,29.563009,重庆,Chongqing,500000,23,,,,重庆市,,,,,,,Asia,People's Republic of China,Chongqing,,,,,,
Province,104.075931,30.651651,四川,Sichuan,510000,,,,,四川省,Sichuan Province,,,,,,Asia,People's Republic of China,Sichuan,,,,,,
Province,106.70741,26.598194,贵州,Guizhou,530000,,,,,贵州省,Guizhou Province,,,,,,Asia,People's Republic of China,Guizhou,,,,,,
Province,102.710002,25.045806,云南,Yunnan,530000,,,,,云南省,Yunnan Province,,,,,,Asia,People's Republic of China,Yunnan,,,,,,
Province,91.117212,29.646922,西藏,Xizang,540000,,,,,西藏自治区,Xizang Province,Tibet,,,,,Asia,People's Republic of China,Xizang,,,,,,
Province,108.954239,34.265472,陕西,Shaanxi,610000,,,,,陕西省,Shaanxi Province,Shensi,,,,,Asia,People's Republic of China,Shaanxi,,,,,,
Province,103.826308,36.059421,甘肃,Gansu,620000,,,,,甘肃省,Gansu Province,,,,,,Asia,People's Republic of China,Gansu,,,,,,
Province,101.780199,36.620901,青海,Qinghai,630000,,,,,青海省,Qinghai Province,,,,,,Asia,People's Republic of China,Qinghai,,,,,,
Province,106.258754,38.471317,宁夏,Ningxia,640000,,,,,宁夏回族自治区,Ningxia Province,,,,,,Asia,People's Republic of China,Ningxia,,,,,,
Province,87.627704,43.793026,新疆,Xinjiang,650000,,,,,新疆维吾尔自治区,Xinjiang Province,,,,,,Asia,People's Republic of China,Xinjiang,,,,,,
Province,113.543028,22.186835,澳门,Macau,820000,,,,,澳门特别行政区,,,,,,,Asia,People's Republic of China,Macau,,,,,,
Province,114.163825,22.276284,香港,Hong Kong,810000,,,,,香港特别行政区,,,,,,,Asia,People's Republic of China,Hong Kong,,,,,,
Province,121.508903,25.044319,台湾,Taiwan,710000,,,,,台湾省,,,,,,,Asia,People's Republic of China,Taiwan,,,,,,
