CIE 1931 2 Degree Observer(D50) and sRGB(D65/Gamma encoded)

Wave Length	Tristimulus X	Tristimulus Y	Tristimulus Z	Normalized x	Normalized y	Normalized z	Relative X	Relative Y	Relative Z	Red	Green	Blue	Red-Integer	Green-Integer	Blue-Integer	
360	1.299E-4	3.92E-6	6.061E-4	0.17556023	0.00529384	0.81914593	33.16313505	1.0	154.73576717	1.0	0.0	1.0	255	0	255	
365	2.321E-4	6.97E-6	0.001086	0.17516122	0.00525635	0.81958244	33.32376167	1.0	155.92246949	1.0	0.0	1.0	255	0	255	
370	4.149E-4	1.239E-5	0.001946	0.17482061	0.0052206	0.81995879	33.48668281	1.0	157.06214689	1.0	0.0	1.0	255	0	255	
375	7.416E-4	2.202E-5	0.003486	0.17450972	0.00518164	0.82030864	33.67847411	1.0	158.3106267	1.0	0.0	1.0	255	0	255	
380	0.001368	3.9E-5	0.00645	0.17411223	0.00496373	0.82092404	35.07692308	1.0	165.38464103	1.0	0.0	1.0	255	0	255	
385	0.002236	6.4E-5	0.01054999	0.17400792	0.00498055	0.82101153	34.9375	1.0	164.84359375	1.0	0.0	1.0	255	0	255	
390	0.004243	1.2E-4	0.02005001	0.17380077	0.00491541	0.82128382	35.35833333	1.0	167.08341667	1.0	0.0	1.0	255	0	255	
395	0.00765	2.17E-4	0.03621	0.17355991	0.0049232	0.82151689	35.25345622	1.0	166.86635945	1.0	0.0	1.0	255	0	255	
400	0.01431	3.96E-4	0.06785001	0.17333687	0.00479674	0.82186639	36.13636364	1.0	171.33840909	1.0	0.0	1.0	255	0	255	
405	0.02319	6.4E-4	0.1102	0.17302097	0.00477505	0.82220398	36.234375	1.0	172.1875	1.0	0.0	1.0	255	0	255	
410	0.04351	0.00121	0.2074	0.17257655	0.0047993	0.82262415	35.95867769	1.0	171.40495868	1.0	0.0	1.0	255	0	255	
415	0.07763	0.00218	0.3713	0.17208663	0.00483252	0.82308085	35.61009174	1.0	170.32110092	1.0	0.0	1.0	255	0	255	
420	0.13438	0.004	0.6456	0.17140743	0.00510217	0.8234904	33.595	1.0	161.4	1.0	0.0	1.0	255	0	255	
425	0.21477	0.0073	1.0390501	0.17030099	0.0057885	0.82391051	29.42054795	1.0	142.33563014	1.0	0.0	1.0	255	0	255	
430	0.2839	0.0116	1.3856	0.16887752	0.00690024	0.82422224	24.47413793	1.0	119.44827586	1.0	0.0	1.0	255	0	255	
435	0.3285	0.01684	1.62296	0.16689529	0.00855561	0.8245491	19.50712589	1.0	96.37529691	1.0	0.0	1.0	255	0	255	
440	0.34828	0.023	1.74706	0.16441176	0.01085756	0.82473069	15.1426087	1.0	75.95913043	1.0	0.0	1.0	255	0	255	
445	0.34806	0.0298	1.7826	0.16110458	0.01379336	0.82510206	11.67986577	1.0	59.81879195	1.0	0.0	1.0	255	0	255	
450	0.3362	0.038	1.77211	0.15664093	0.0177048	0.82565426	8.84736842	1.0	46.63447368	1.0	0.0	1.0	255	0	255	
455	0.3187	0.048	1.7441	0.15098541	0.02274019	0.8262744	6.63958333	1.0	36.33541667	1.0	0.0	1.0	255	0	255	
460	0.2908	0.06	1.6692	0.1439604	0.02970297	0.82633663	4.84666667	1.0	27.82	0.0	0.0	1.0	0	0	255	
465	0.2511	0.0739	1.5281	0.13550267	0.03987912	0.82461821	3.39783491	1.0	20.67794317	0.0	0.0	1.0	0	0	255	
470	0.19536	0.09098	1.28764	0.12411848	0.05780251	0.81807901	2.14728512	1.0	14.15300066	0.0	0.57298109	1.0	0	146	255	
475	0.1421	0.1126	1.0419	0.10959432	0.08684251	0.80356317	1.26198934	1.0	9.25310835	0.0	0.9958025	1.0	0	254	255	
480	0.09564	0.13902	0.8129501	0.09129351	0.13270204	0.77600445	0.68795857	1.0	5.84772047	0.0	1.0	1.0	0	255	255	
485	0.05795001	0.1693	0.6162	0.06870592	0.20072322	0.73057086	0.34229185	1.0	3.63969285	0.0	1.0	1.0	0	255	255	
490	0.03201	0.20802	0.46518	0.04539073	0.29497596	0.6596333	0.15387943	1.0	2.23622729	0.0	1.0	1.0	0	255	255	
495	0.0147	0.2586	0.3533	0.02345994	0.41270348	0.56383658	0.05684455	1.0	1.36620263	0.0	1.0	1.0	0	255	255	
500	0.0049	0.323	0.272	0.00816803	0.53842307	0.4534089	0.01517028	1.0	0.84210526	0.0	1.0	0.98005798	0	255	250	
505	0.0024	0.4073	0.2123	0.00385852	0.65482315	0.34131833	0.00589246	1.0	0.52123742	0.0	1.0	0.73783898	0	255	188	
510	0.0093	0.503	0.1582	0.01387025	0.75018643	0.23594333	0.01848907	1.0	0.31451292	0.0	1.0	0.5002303	0	255	128	
515	0.0291	0.6082	0.1117	0.0388518	0.81201602	0.14913218	0.0478461	1.0	0.18365669	0.0	1.0	0.1981307	0	255	51	
520	0.06327	0.71	0.07824999	0.07430242	0.83380309	0.09189448	0.08911268	1.0	0.11021125	0.0	1.0	0.0	0	255	0	
525	0.1096	0.7932	0.05725001	0.11416072	0.82620696	0.05963232	0.13817448	1.0	0.07217601	0.0	1.0	0.0	0	255	0	
530	0.1655	0.862	0.04216	0.15472206	0.80586355	0.03941439	0.19199536	1.0	0.04890951	0.0	1.0	0.0	0	255	0	
535	0.2257499	0.9148501	0.02984	0.1928761	0.78162922	0.02549469	0.24676163	1.0	0.03261737	0.0	1.0	0.0	0	255	0	
540	0.2904	0.954	0.0203	0.22961967	0.75432909	0.01605124	0.30440252	1.0	0.02127883	0.0	1.0	0.0	0	255	0	
