CIE 1964 10度观察者（D50）与sRGB（Gamma编码/D65）

波长	刺激值X	刺激值Y	刺激值Z	归一化值x	归一化值y	归一化值z	相对值X	相对值Y	相对值Z	红色	绿色	蓝色	红色-整型	绿色-整型	蓝色-整型	
360	1.2E-7	1.0E-8	5.4E-7	0.18222542	0.01997918	0.7977954	9.12076429	1.0	39.93133303	1.0	0.0	1.0	255	0	255	
365	9.2E-7	1.0E-7	4.03E-6	0.18209785	0.01993772	0.79796443	9.13333333	1.0	40.02285147	1.0	0.0	1.0	255	0	255	
370	5.96E-6	6.5E-7	2.614E-5	0.1819231	0.01987885	0.79819805	9.15158962	1.0	40.15312548	1.0	0.0	1.0	255	0	255	
375	3.327E-5	3.63E-6	1.4622E-4	0.18167123	0.01979674	0.79853204	9.17682759	1.0	40.33655172	1.0	0.0	1.0	255	0	255	
380	1.5995E-4	1.736E-5	7.0478E-4	0.18133256	0.01968502	0.79898242	9.21170237	1.0	40.5883437	1.0	0.0	1.0	255	0	255	
385	6.6244E-4	7.156E-5	0.0029278	0.18090557	0.0195423	0.79955213	9.25712689	1.0	40.91391839	1.0	0.0	1.0	255	0	255	
390	0.0023616	2.534E-4	0.0104822	0.18031335	0.01934765	0.800339	9.31965272	1.0	41.36621942	1.0	0.0	1.0	255	0	255	
395	0.0072423	7.685E-4	0.032344	0.17946564	0.01904358	0.80149078	9.42394275	1.0	42.08718282	1.0	0.0	1.0	255	0	255	
400	0.0191097	0.0020044	0.0860109	0.17838693	0.01871085	0.80290222	9.53387547	1.0	42.9110457	1.0	0.0	1.0	255	0	255	
405	0.0434	0.004509	0.19712	0.17712189	0.0184019	0.8044762	9.62519406	1.0	43.71701042	1.0	0.0	1.0	255	0	255	
410	0.084736	0.008756	0.389366	0.17548845	0.0181337	0.80637786	9.6774783	1.0	44.46847876	1.0	0.0	1.0	255	0	255	
415	0.140638	0.014456	0.65676	0.17323065	0.01780616	0.80896319	9.72869397	1.0	45.43165468	1.0	0.0	1.0	255	0	255	
420	0.204492	0.021391	0.972542	0.17063396	0.01784926	0.81151678	9.55972138	1.0	45.46500865	1.0	0.0	1.0	255	0	255	
425	0.264737	0.029497	1.2825	0.16790213	0.01870766	0.81339021	8.97504831	1.0	43.47899786	1.0	0.0	1.0	255	0	255	
430	0.314679	0.038676	1.55348	0.16502686	0.02028282	0.81469031	8.13628607	1.0	40.16651153	1.0	0.0	1.0	255	0	255	
435	0.357719	0.049602	1.7985	0.16217046	0.02248687	0.81534268	7.21178582	1.0	36.2586186	1.0	0.0	1.0	255	0	255	
440	0.383734	0.062077	1.96728	0.15902177	0.0257251	0.81525313	6.18158094	1.0	31.69096445	1.0	0.0	1.0	255	0	255	
445	0.386726	0.074704	2.0273	0.1553909	0.03001692	0.81459218	5.17677768	1.0	27.1377704	1.0	0.0	1.0	255	0	255	
450	0.370702	0.089456	1.9948	0.15100136	0.03643891	0.81255973	4.14395904	1.0	22.29923091	0.68681427	0.0	1.0	175	0	255	
455	0.342957	0.106256	1.9007	0.14594455	0.04521699	0.80883845	3.22764832	1.0	17.88793103	0.0	0.0	1.0	0	0	255	
460	0.302273	0.128201	1.74537	0.13892218	0.05892012	0.80215769	2.35780532	1.0	13.61432438	0.0	0.28027583	1.0	0	71	255	
465	0.254085	0.152761	1.5549	0.12951983	0.07786992	0.79261026	1.66328448	1.0	10.17864507	0.0	0.81448708	1.0	0	208	255	
470	0.195618	0.18519	1.31756	0.11517998	0.10903997	0.77578004	1.05630974	1.0	7.11463902	0.0	1.0	1.0	0	255	255	
475	0.132349	0.21994	1.0302	0.09573241	0.15908987	0.74517772	0.60175048	1.0	4.68400473	0.0	1.0	1.0	0	255	255	
480	0.080507	0.253589	0.772125	0.0727766	0.229239	0.6979844	0.3174704	1.0	3.04478901	0.0	1.0	1.0	0	255	255	
485	0.041072	0.297665	0.5706	0.04516697	0.32734289	0.62749014	0.13798062	1.0	1.91692003	0.0	1.0	1.0	0	255	255	
490	0.016172	0.339133	0.415254	0.02098736	0.44011296	0.53889968	0.04768631	1.0	1.22445766	0.0	1.0	1.0	0	255	255	
495	0.005132	0.395379	0.302356	0.00730152	0.56252321	0.43017527	0.01297995	1.0	0.76472448	0.0	1.0	0.9291645	0	255	237	
500	0.003816	0.460777	0.218502	0.00558634	0.67454307	0.31987059	0.00828166	1.0	0.47420336	0.0	1.0	0.69284745	0	255	177	
505	0.015444	0.53136	0.159249	0.02187371	0.75257806	0.22554822	0.02906504	1.0	0.29970077	0.0	1.0	0.47796007	0	255	122	
510	0.037465	0.606741	0.112044	0.0495405	0.80230215	0.14815736	0.06174793	1.0	0.18466529	0.0	1.0	0.20580463	0	255	52	
515	0.071358	0.68566	0.082248	0.0850243	0.81697579	0.09799992	0.10407199	1.0	0.1199545	0.0	1.0	0.0	0	255	0	
520	0.117749	0.761757	0.060709	0.12523625	0.81019448	0.06456927	0.15457554	1.0	0.07969602	0.0	1.0	0.0	0	255	0	
525	0.172953	0.82333	0.04305	0.16640769	0.79217152	0.0414208	0.21006522	1.0	0.05228766	0.0	1.0	0.0	0	255	0	
530	0.236491	0.875211	0.030451	0.2070572	0.76628175	0.02666105	0.27021027	1.0	0.03479275	0.0	1.0	0.0	0	255	0	
535	0.304213	0.92381	0.020584	0.24364191	0.73987251	0.01648557	0.32930256	1.0	0.02228164	0.0	1.0	0.0	0	255	0	
540	0.376772	0.961988	0.013676	0.27858767	0.7113002	0.01011212	0.39165977	1.0	0.01421639	0.0	1.0	0.0	0	255	0	
545	0.451584	0.9822	0.007918	0.31322978	0.6812781	0.00549212	0.45976787	1.0	0.00806149	0.0	1.0	0.0	0	255	0	
550	0.529826	0.991761	0.003988	0.34729594	0.65008997	0.0026141	0.5342275	1.0	0.00402113	0.26092879	1.0	0.0	67	255	0	
555	0.616053	0.99911	0.001091	0.38116101	0.61816398	6.7502E-4	0.61660178	1.0	0.00109197	0.59694194	1.0	0.0	152	255	0	
560	0.705224	0.99734	0.0	0.41421292	0.58578708	0.0	0.7071049	1.0	0.0	0.79726013	1.0	0.0	203	255	0	
