色彩空间	光源	适应算法	基色	归一化值x	归一化值y	归一化值z	相对值X	相对值Y	相对值Z	刺激值X	刺激值Y	刺激值Z
CIE RGB	E		红色	0.735	0.265	0.0	2.77358491	1.0	0.0	0.48871675	0.176204	0.0	
CIE RGB	E		绿色	0.274	0.717	0.009	0.38214784	1.0	0.0125523	0.31068046	0.812985	0.01020483	
CIE RGB	E		蓝色	0.167	0.009	0.824	18.55555556	1.0	91.55555556	0.20060411	0.010811	0.98980711	
ECI RGB v2	D50		红色	0.67	0.33	0.0	2.03030303	1.0	0.0	0.65020455	0.32025	0.0	
ECI RGB v2	D50		绿色	0.21	0.71	0.08	0.29577465	1.0	0.11267606	0.17807734	0.602071	0.06783899	
ECI RGB v2	D50		蓝色	0.14	0.08	0.78	1.75	1.0	9.75	0.13593825	0.077679	0.75737025	
Adobe RGB (1998)	D65		红色	0.64	0.33	0.03	1.93939394	1.0	0.09090909	0.57670012	0.297361	0.02703282	
Adobe RGB (1998)	D65		绿色	0.21	0.71	0.08	0.29577465	1.0	0.11267606	0.1855557	0.627355	0.07068789	
Adobe RGB (1998)	D65		蓝色	0.15	0.06	0.79	2.5	1.0	13.16666667	0.1882125	0.075285	0.9912525	
Apple RGB	D65		红色	0.625	0.34	0.035	1.83823529	1.0	0.10294118	0.44969485	0.244634	0.02518291	
Apple RGB	D65		绿色	0.28	0.595	0.125	0.47058824	1.0	0.21008403	0.31625129	0.672034	0.14118361	
Apple RGB	D65		蓝色	0.155	0.07	0.775	2.21428571	1.0	11.07142857	0.18452086	0.083332	0.92260429	
sRGB	D65		红色	0.64	0.33	0.03	1.93939394	1.0	0.09090909	0.41242376	0.212656	0.01933236	
sRGB	D65		绿色	0.3	0.6	0.1	0.5	1.0	0.16666667	0.357579	0.715158	0.119193	
sRGB	D65		蓝色	0.15	0.06	0.79	2.5	1.0	13.16666667	0.180465	0.072186	0.950449	
PAL/SECAM RGB	D65		红色	0.64	0.33	0.03	1.93939394	1.0	0.09090909	0.43058618	0.222021	0.02018373	
PAL/SECAM RGB	D65		绿色	0.29	0.6	0.11	0.48333333	1.0	0.18333333	0.34154508	0.706645	0.12955158	
PAL/SECAM RGB	D65		蓝色	0.15	0.06	0.79	2.5	1.0	13.16666667	0.178335	0.071334	0.939231	
NTSC RGB	C		红色	0.67	0.33	0.0	2.03030303	1.0	0.0	0.60673373	0.298839	0.0	
NTSC RGB	C		绿色	0.21	0.71	0.08	0.29577465	1.0	0.11267606	0.17356382	0.586811	0.06611955	
NTSC RGB	C		蓝色	0.14	0.08	0.78	1.75	1.0	9.75	0.2001125	0.11435	1.1149125	
ColorMatch RGB	D50		红色	0.63	0.34	0.03	1.85294118	1.0	0.08823529	0.50934388	0.274884	0.02425447	
ColorMatch RGB	D50		绿色	0.295	0.605	0.1	0.48760331	1.0	0.16528926	0.32090734	0.658132	0.10878215	
ColorMatch RGB	D50		蓝色	0.15	0.075	0.775	2.0	1.0	10.33333333	0.13397	0.066985	0.69217833	
ProPhoto RGB	D50		红色	0.7347	0.2653	0.0	2.76931775	1.0	0.0	0.79767429	0.28804	0.0	
ProPhoto RGB	D50		绿色	0.1596	0.8404	0.0	0.18990957	1.0	0.0	0.13519168	0.711874	0.0	
ProPhoto RGB	D50		蓝色	0.0366	1.0E-4	0.9633	366.0	1.0	9633.0	0.031476	8.6E-5	0.828438	
SMPTE-C RGB	D65		红色	0.63	0.34	0.03	1.85294118	1.0	0.08823529	0.39355544	0.212395	0.01874074	
SMPTE-C RGB	D65		绿色	0.31	0.595	0.095	0.5210084	1.0	0.15966387	0.36525242	0.701049	0.11193219	
SMPTE-C RGB	D65		蓝色	0.155	0.07	0.775	2.21428571	1.0	11.07142857	0.19165971	0.086556	0.95829857	
CIE RGB	A - CIE1931	Bradford	红色	0.72964213	0.27662691	-0.00626904	2.63763973	1.0	-0.02266244	0.57889489	0.21947459	-0.00497383	
CIE RGB	A - CIE1931	Bradford	绿色	0.34034281	0.63879825	0.02085894	0.53278608	1.0	0.03265341	0.42428508	0.79635167	0.0260036	
CIE RGB	A - CIE1931	Bradford	蓝色	0.23002949	-0.03820185	0.80817236	-6.02142279	1.0	-21.15531965	0.0952901	-0.01582518	0.33478676	
CIE RGB	A - CIE1964	Bradford	红色	0.72899472	0.2772671	-0.00626182	2.62921466	1.0	-0.02258405	0.58463552	0.22236127	-0.00502182	
CIE RGB	A - CIE1964	Bradford	绿色	0.34538688	0.63413892	0.0204742	0.54465491	1.0	0.03228661	0.43192779	0.79303019	0.02560426	
CIE RGB	A - CIE1964	Bradford	蓝色	0.23087316	-0.03745705	0.80658389	-6.16367666	1.0	-21.53356572	0.09486116	-0.01539035	0.33140918	
CIE RGB	A - CIE1931	XYZScaling	红色	0.75288439	0.24711561	0.0	3.04668891	1.0	0.0	0.53683877	0.176204	0.0	
CIE RGB	A - CIE1931	XYZScaling	绿色	0.29473659	0.70212753	0.00313588	0.41977643	1.0	0.00446626	0.34127194	0.812985	0.003631	
