光源	观察者	归一化值x	归一化值y	归一化值z	相对值X	相对值Y	相对值Z	色温（K）	说明
A	CIE1931	0.44757	0.40745	0.14498	1.09846607	1.0	0.3558228	2856K	白炽灯/钨丝灯光	
A	CIE1964	0.45117	0.40594	0.14289	1.11142041	1.0	0.35199783	2856K	白炽灯/钨丝灯光	
B	CIE1931	0.34842	0.35161	0.29997	0.99092745	1.0	0.85313273	4874K	｛作废｝正午的直射日光	
B	CIE1964	0.3498	0.3527	0.2975	0.99177771	1.0	0.84349305	4874K	｛作废｝正午的直射日光	
C	CIE1931	0.31006	0.31616	0.37378	0.98070597	1.0	1.18224949	6774K	｛作废｝平均/北方天空的自然光	
C	CIE1964	0.31039	0.31905	0.37056	0.97285692	1.0	1.16144805	6774K	｛作废｝平均/北方天空的自然光	
D50	CIE1931	0.34567	0.3585	0.29583	0.96421199	1.0	0.82518828	5003K	地平线光线。ICC特性文件的连接空间	
D50	CIE1964	0.34773	0.35952	0.29275	0.96720628	1.0	0.81428015	5003K	地平线光线。ICC特性文件的连接空间	
D55	CIE1931	0.33242	0.34743	0.32015	0.95679705	1.0	0.92148059	5503K	半上午或半下午的自然光	
D55	CIE1964	0.33411	0.34877	0.31712	0.95796657	1.0	0.90925252	5503K	半上午或半下午的自然光	
D65	CIE1931	0.31271	0.32902	0.35827	0.95042855	1.0	1.08890037	6504K	正午的自然光：电视、sRGB的颜色空间	
D65	CIE1964	0.31382	0.331	0.35518	0.94809668	1.0	1.07305136	6504K	正午的自然光：电视、sRGB的颜色空间	
D75	CIE1931	0.29902	0.31485	0.38613	0.94972209	1.0	1.22639352	7504K	北方天空的自然光	
D75	CIE1964	0.29968	0.3174	0.38292	0.94417139	1.0	1.20642722	7504K	北方天空的自然光	
E	CIE1931	0.33333	0.33333	0.33334	1.0	1.0	1.00003	5454K	均等能量的辐射体。用于理论参考	
E	CIE1964	0.33333	0.33333	0.33334	1.0	1.0	1.00003	5454K	均等能量的辐射体。用于理论参考	
F1	CIE1931	0.3131	0.33727	0.34963	0.92833635	1.0	1.0366472	6430K	自然光荧光灯	
F1	CIE1964	0.31811	0.33559	0.3463	0.94791263	1.0	1.03191394	6430K	自然光荧光灯	
F2	CIE1931	0.37208	0.37529	0.25263	0.99144661	1.0	0.67315942	4230K	冷白荧光灯, 主要用于美国商业和办公	
F2	CIE1964	0.37925	0.36733	0.25342	1.03245039	1.0	0.68989737	4230K	冷白荧光灯, 主要用于美国商业和办公	
F3	CIE1931	0.4091	0.3943	0.1966	1.03753487	1.0	0.49860512	3450K	白色荧光灯	
F3	CIE1964	0.41761	0.38324	0.19915	1.08968271	1.0	0.51964826	3450K	白色荧光灯	
F4:	CIE1931	0.44018	0.40329	0.15653	1.09147264	1.0	0.38813261	2940K	暖白荧光灯	
F4:	CIE1964	0.4492	0.39074	0.16006	1.14961355	1.0	0.409633	2940K	暖白荧光灯	
F5	CIE1931	0.31379	0.34531	0.3409	0.9087197	1.0	0.98722887	6350K	自然光荧光灯	
F5	CIE1964	0.31975	0.34246	0.33779	0.93368569	1.0	0.98636337	6350K	自然光荧光灯	
F6	CIE1931	0.3779	0.38835	0.23375	0.97309128	1.0	0.6019055	4150K	淡白荧光灯	
F6	CIE1964	0.3866	0.37847	0.23493	1.02148123	1.0	0.62073612	4150K	淡白荧光灯	
F7	CIE1931	0.31292	0.32933	0.35775	0.95017156	1.0	1.08629642	6500K	模拟D65。模拟自然光	
F7	CIE1964	0.31569	0.3296	0.35471	0.95779733	1.0	1.07618325	6500K	模拟D65。模拟自然光	
F8	CIE1931	0.34588	0.35875	0.29537	0.96412544	1.0	0.82333101	5000K	模拟D50， Sylvania F40 Design 50	
F8	CIE1964	0.34902	0.35939	0.29159	0.97114555	1.0	0.811347	5000K	模拟D50， Sylvania F40 Design 50	
F9	CIE1931	0.37417	0.37281	0.25302	1.00364797	1.0	0.67868351	4150K	冷白豪华荧光灯	
F9	CIE1964	0.37829	0.37045	0.25126	1.02116345	1.0	0.67825617	4150K	冷白豪华荧光灯	
F10	CIE1931	0.34609	0.35986	0.29405	0.96173512	1.0	0.81712333	5000K	飞利浦 TL85, Ultralume 50	
F10	CIE1964	0.3509	0.35444	0.29466	0.99001241	1.0	0.83133958	5000K	飞利浦 TL85, Ultralume 50	
F11	CIE1931	0.38052	0.37713	0.24235	1.00898894	1.0	0.6426166	4000K	飞利浦 TL84, Ultralume 40	
F11	CIE1964	0.38541	0.37123	0.24336	1.03819734	1.0	0.65555047	4000K	飞利浦 TL84, Ultralume 40	
F12	CIE1931	0.43695	0.40441	0.15864	1.0804629	1.0	0.39227517	3000K	飞利浦 TL83, Ultralume 30	
F12	CIE1964	0.44256	0.39717	0.16027	1.11428356	1.0	0.40352997	3000K	飞利浦 TL83, Ultralume 30	
ICC	CIE1931	0.3457	0.35854	0.29576	0.9641881	1.0	0.82490099	5003K	ICC色彩特征文件中连接空间（PCS）所用光源。即D50。	
ICC	CIE1964	0.34773	0.35952	0.29275	0.96720628	1.0	0.81428015	5003K	ICC色彩特征文件中连接空间（PCS）所用光源。即D50。	
