dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
20278,7,121.471941,31.226107,南京东路街道,,310101,021,310101002000,,,,,,,,,,2,100,1008,1273,2751,20278,,,
20279,7,121.481432,31.239541,外滩街道,,310101,021,310101013000,,,,,,,,,,2,100,1008,1273,2751,20279,,,
20280,7,121.487103,31.206786,半淞园路街道,,310101,021,310101015000,,,,,,,,,,2,100,1008,1273,2751,20280,,,
20281,7,121.501063,31.220083,小东门街道,,310101,021,310101017000,,,,,,,,,,2,100,1008,1273,2751,20281,,,
20282,7,121.486984,31.225396,豫园街道,,310101,021,310101018000,,,,,,,,,,2,100,1008,1273,2751,20282,,,
20283,7,121.486244,31.215171,老西门街道,,310101,021,310101019000,,,,,,,,,,2,100,1008,1273,2751,20283,,,
20284,7,121.481785,31.200743,五里桥街道,,310101,021,310101020000,,,,,,,,,,2,100,1008,1273,2751,20284,,,
20285,7,121.473506,31.203656,打浦桥街道,,310101,021,310101021000,,,,,,,,,,2,100,1008,1273,2751,20285,,,
20286,7,121.475832,31.214941,淮海中路街道,,310101,021,310101022000,,,,,,,,,,2,100,1008,1273,2751,20286,,,
20287,7,121.466792,31.217426,瑞金二路街道,,310101,021,310101023000,,,,,,,,,,2,100,1008,1273,2751,20287,,,
20288,7,121.438794,31.202978,天平路街道,,310104,021,310104003000,,,,,,,,,,2,100,1008,1273,2752,20288,,,
20289,7,121.435733,31.208326,湖南路街道,,310105,021,310104004000,,,,,,,,,,2,100,1008,1273,2752,20289,,,
20290,7,121.463834,31.200783,斜土路街道,,310104,021,310104007000,,,,,,,,,,2,100,1008,1273,2752,20290,,,
20291,7,121.451725,31.185289,枫林路街道,,310104,021,310104008000,,,,,,,,,,2,100,1008,1273,2752,20291,,,
20292,7,121.436917,31.131972,长桥街道,,310104,021,310104010000,,,,,,,,,,2,100,1008,1273,2752,20292,,,
20293,7,121.437866,31.19919,田林街道,,310104,021,310104011000,,,,,,,,,,2,100,1008,1273,2752,20293,,,
20294,7,121.411222,31.164411,虹梅路街道,,310104,021,310104012000,,,,,,,,,,2,100,1008,1273,2752,20294,,,
20295,7,121.422967,31.155922,康健新村街道,,310104,021,310104013000,,,,,,,,,,2,100,1008,1273,2752,20295,,,
20296,7,121.445796,31.191316,徐家汇街道,,310104,021,310104014000,,,,,,,,,,2,100,1008,1273,2752,20296,,,
20297,7,121.41434,31.138651,凌云路街道,,310104,021,310104015000,,,,,,,,,,2,100,1008,1273,2752,20297,,,
20298,7,121.450579,31.16859,龙华街道,,310104,021,310104016000,,,,,,,,,,2,100,1008,1273,2752,20298,,,
20299,7,121.429846,31.165667,漕河泾街道,,310104,021,310104017000,,,,,,,,,,2,100,1008,1273,2752,20299,,,
20300,7,121.456202,31.117411,华泾镇,,310104,021,310104103000,,,,,,,,,,2,100,1008,1273,2752,20300,,,
20301,7,121.403546,31.172395,漕河泾新兴技术开发区,,310104,021,310104501000,,,,,,,,,,2,100,1008,1273,2752,20301,,,
20302,7,121.423952,31.216258,华阳路街道,,310105,021,310105001000,,,,,,,,,,2,100,1008,1273,2753,20302,,,
20303,7,121.4287,31.21542,江苏路街道,,310105,021,310105002000,,,,,,,,,,2,100,1008,1273,2753,20303,,,
20304,7,121.426252,31.205077,新华路街道,,310105,021,310105004000,,,,,,,,,,2,100,1008,1273,2753,20304,,,
20305,7,121.407167,31.217515,周家桥街道,,310105,021,310105005000,,,,,,,,,,2,100,1008,1273,2753,20305,,,
20306,7,121.407102,31.209169,天山路街道,,310105,021,310105006000,,,,,,,,,,2,100,1008,1273,2753,20306,,,
20307,7,121.394701,31.203999,仙霞新村街道,,310105,021,310105008000,,,,,,,,,,2,100,1008,1273,2753,20307,,,
20308,7,121.409094,31.197235,虹桥街道,,310105,021,310105009000,,,,,,,,,,2,100,1008,1273,2753,20308,,,
20309,7,121.368599,31.194634,程家桥街道,,310105,021,310105010000,,,,,,,,,,2,100,1008,1273,2753,20309,,,
20310,7,121.374725,31.218815,北新泾街道,,310105,021,310105011000,,,,,,,,,,2,100,1008,1273,2753,20310,,,
20311,7,121.372833,31.212343,新泾镇,,310105,021,310105102000,,,,,,,,,,2,100,1008,1273,2753,20311,,,
20312,7,121.447983,31.239969,江宁路街道,,310106,021,310106006000,,,,,,,,,,2,100,1008,1273,2754,20312,,,
20313,7,121.457488,31.235861,石门二路街道,,310106,021,310106011000,,,,,,,,,,2,100,1008,1273,2754,20313,,,
20314,7,121.452359,31.222682,南京西路街道,,310106,021,310106012000,,,,,,,,,,2,100,1008,1273,2754,20314,,,
20315,7,121.440874,31.214889,静安寺街道,,310106,021,310106013000,,,,,,,,,,2,100,1008,1273,2754,20315,,,
20316,7,121.43979,31.229489,曹家渡街道,,310106,021,310106014000,,,,,,,,,,2,100,1008,1273,2754,20316,,,
20317,7,121.461918,31.24746,天目西路街道,,310106,021,310106015000,,,,,,,,,,2,100,1008,1273,2754,20317,,,
