gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
46034,7,102.701292,25.043924,华山街道,,530102,0871,530102001000,,,,,,,,,,2,100,1024,1468,4421,46034,,,
46035,7,102.713495,25.038405,护国街道,,530102,0871,530102002000,,,,,,,,,,2,100,1024,1468,4421,46035,,,
46036,7,102.696104,25.041404,大观街道,,530102,0871,530102003000,,,,,,,,,,2,100,1024,1468,4421,46036,,,
46037,7,102.69521,25.044111,龙翔街道,,530102,0871,530102004000,,,,,,,,,,2,100,1024,1468,4421,46037,,,
46038,7,102.684189,25.053529,丰宁街道,,530102,0871,530102005000,,,,,,,,,,2,100,1024,1468,4421,46038,,,
46039,7,102.697134,25.069189,莲华街道,,530102,0871,530102006000,,,,,,,,,,2,100,1024,1468,4421,46039,,,
46040,7,102.73827,25.12006,红云街道,,530102,0871,530102007000,,,,,,,,,,2,100,1024,1468,4421,46040,,,
46041,7,102.65315,25.065376,黑林铺街道,,530102,0871,530102008000,,,,,,,,,,2,100,1024,1468,4421,46041,,,
46042,7,102.67183,25.08909,普吉街道,,530102,0871,530102009000,,,,,,,,,,2,100,1024,1468,4421,46042,,,
46043,7,102.662914,25.159909,西翥街道,,530102,0871,530102010000,,,,,,,,,,2,100,1024,1468,4421,46043,,,
46044,7,102.655872,25.074056,昆明国家高新技术产业开发区,,530102,0871,530102401000,,,,,,,,,,2,100,1024,1468,4421,46044,,,
46045,7,102.723261,25.034109,拓东街道,,530103,0871,530103001000,,,,,,,,,,2,100,1024,1468,4422,46045,,,
46046,7,102.71966,25.046143,鼓楼街道,,530103,0871,530103002000,,,,,,,,,,2,100,1024,1468,4422,46046,,,
46047,7,102.731666,25.047808,东华街道,,530103,0871,530103003000,,,,,,,,,,2,100,1024,1468,4422,46047,,,
46048,7,102.724982,25.050738,联盟街道,,530103,0871,530103004000,,,,,,,,,,2,100,1024,1468,4422,46048,,,
46049,7,102.72616,25.07399,金辰街道,,530103,0871,530103005000,,,,,,,,,,2,100,1024,1468,4422,46049,,,
46050,7,102.752401,25.064876,青云街道,,530103,0871,530103006000,,,,,,,,,,2,100,1024,1468,4422,46050,,,
46051,7,102.743948,25.109203,龙泉街道,,530103,0871,530103007000,,,,,,,,,,2,100,1024,1468,4422,46051,,,
46052,7,102.739541,25.1446,茨坝街道,,530103,0871,530103008000,,,,,,,,,,2,100,1024,1468,4422,46052,,,
46053,7,102.850534,25.110688,双龙街道,,530103,0871,530103009000,,,,,,,,,,2,100,1024,1468,4422,46053,,,
46054,7,102.751907,25.116106,松华街道,,530103,0871,530103010000,,,,,,,,,,2,100,1024,1468,4422,46054,,,
46055,7,102.87775,25.293054,滇源街道,,530103,0871,530103011000,,,,,,,,,,2,100,1024,1468,4422,46055,,,
46056,7,102.777743,25.340095,阿子营街道,,530103,0871,530103012000,,,,,,,,,,2,100,1024,1468,4422,46056,,,
46057,7,102.741889,25.011739,关上街道,,530111,0871,530111001000,,,,,,,,,,2,100,1024,1468,4423,46057,,,
46058,7,102.724637,25.025731,太和街道,,530111,0871,530111002000,,,,,,,,,,2,100,1024,1468,4423,46058,,,
46059,7,102.731932,25.030758,吴井街道,,530111,0871,530111003000,,,,,,,,,,2,100,1024,1468,4423,46059,,,
46060,7,102.747563,25.036091,金马街道,,530111,0871,530111004000,,,,,,,,,,2,100,1024,1468,4423,46060,,,
46061,7,102.774791,24.977125,小板桥街道,,530111,0871,530111005000,,,,,,,,,,2,100,1024,1468,4423,46061,,,
46062,7,102.760597,24.957345,官渡街道,,530111,0871,530111006000,,,,,,,,,,2,100,1024,1468,4423,46062,,,
46063,7,102.779123,24.936483,矣六街道,,530111,0871,530111007000,,,,,,,,,,2,100,1024,1468,4423,46063,,,
46064,7,102.711356,24.962608,六甲街道,,530111,0871,530111008000,,,,,,,,,,2,100,1024,1468,4423,46064,,,
46065,7,102.881098,25.04567,大板桥街道,,530111,0871,530111009000,,,,,,,,,,2,100,1024,1468,4423,46065,,,
46066,7,102.793806,24.998889,阿拉街道,,530111,0871,530111010000,,,,,,,,,,2,100,1024,1468,4423,46066,,,
46067,7,102.82113,24.982351,昆明经济技术开发区,,530111,0871,530111402000,,,,,,,,,,2,100,1024,1468,4423,46067,,,
46068,7,102.664428,25.040769,西苑街道,,530112,0871,530112001000,,,,,,,,,,2,100,1024,1468,4424,46068,,,
46069,7,102.647229,25.040251,马街街道,,530112,0871,530112002000,,,,,,,,,,2,100,1024,1468,4424,46069,,,
46070,7,102.704849,25.026532,金碧街道,,530112,0871,530112003000,,,,,,,,,,2,100,1024,1468,4424,46070,,,
46071,7,102.705601,25.020148,永昌街道,,530112,0871,530112004000,,,,,,,,,,2,100,1024,1468,4424,46071,,,
46072,7,102.709875,25.002116,前卫街道,,530112,0871,530112005000,,,,,,,,,,2,100,1024,1468,4424,46072,,,
46073,7,102.681908,25.010759,福海街道,,530112,0871,530112006000,,,,,,,,,,2,100,1024,1468,4424,46073,,,
46074,7,102.686741,25.038885,棕树营街道,,530112,0871,530112007000,,,,,,,,,,2,100,1024,1468,4424,46074,,,
46075,7,102.624776,24.982891,碧鸡街道,,530112,0871,530112008000,,,,,,,,,,2,100,1024,1468,4424,46075,,,
46076,7,102.608982,24.784034,海口街道,,530112,0871,530112009000,,,,,,,,,,2,100,1024,1468,4424,46076,,,
46077,7,102.5341,25.071749,团结街道,,530112,0871,530112010000,,,,,,,,,,2,100,1024,1468,4424,46077,,,
46078,7,102.673186,24.97534,昆明滇池国家旅游度假区,,530112,0871,530112403000,,,,,,,,,,2,100,1024,1468,4424,46078,,,
46079,7,103.189749,26.06688,铜都街道,,530113,0871,530113001000,,,,,,,,,,2,100,1024,1468,4425,46079,,,
46080,7,103.066855,26.177783,汤丹镇,,530113,0871,530113102000,,,,,,,,,,2,100,1024,1468,4425,46080,,,
46081,7,102.924193,26.327923,因民镇,,530113,0871,530113103000,,,,,,,,,,2,100,1024,1468,4425,46081,,,
46082,7,103.253849,25.916335,阿旺镇,,530113,0871,530113104000,,,,,,,,,,2,100,1024,1468,4425,46082,,,
46083,7,103.097649,26.022585,乌龙镇,,530113,0871,530113105000,,,,,,,,,,2,100,1024,1468,4425,46083,,,
46084,7,103.017471,26.024765,红土地镇,,530113,0871,530113106000,,,,,,,,,,2,100,1024,1468,4425,46084,,,
46085,7,103.044116,26.371358,拖布卡镇,,530113,0871,530113107000,,,,,,,,,,2,100,1024,1468,4425,46085,,,
46086,7,102.82983,26.238982,舍块乡,,530113,0871,530113201000,,,,,,,,,,2,100,1024,1468,4425,46086,,,
46087,7,102.798573,24.891228,龙城街道,,530114,0871,530114001000,,,,,,,,,,2,100,1024,1468,4426,46087,,,
46088,7,102.84572,24.86774,洛龙街道,,530114,0871,530114002000,,,,,,,,,,2,100,1024,1468,4426,46088,,,
46089,7,102.791511,24.911975,斗南街道,,530114,0871,530114003000,,,,,,,,,,2,100,1024,1468,4426,46089,,,
46090,7,102.8077,24.86153,乌龙街道,,530114,0871,530114004000,,,,,,,,,,2,100,1024,1468,4426,46090,,,
46091,7,102.841747,24.843746,吴家营街道,,530114,0871,530114005000,,,,,,,,,,2,100,1024,1468,4426,46091,,,
46092,7,102.81911,24.837606,雨花街道,,530114,0871,530114006000,,,,,,,,,,2,100,1024,1468,4426,46092,,,
46093,7,102.945882,24.951972,七甸街道,,530114,0871,530114007000,,,,,,,,,,2,100,1024,1468,4426,46093,,,
