gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
14486,7,111.66704,40.841739,海拉尔东路街道,,150102,0471,150102001000,,,,,,,,,,2,100,1004,1225,2346,14486,,,
14487,7,111.665059,40.827792,锡林路街道,,150102,0471,150102002000,,,,,,,,,,2,100,1004,1225,2346,14487,,,
14488,7,111.671109,40.819498,中山东路街道,,150102,0471,150102003000,,,,,,,,,,2,100,1004,1225,2346,14488,,,
14489,7,111.692937,40.823569,东街街道,,150102,0471,150102004000,,,,,,,,,,2,100,1004,1225,2346,14489,,,
14490,7,111.68187,40.826131,西街街道,,150102,0471,150102005000,,,,,,,,,,2,100,1004,1225,2346,14490,,,
14491,7,111.707377,40.834103,东风路街道,,150102,0471,150102006000,,,,,,,,,,2,100,1004,1225,2346,14491,,,
14492,7,111.730575,40.838206,迎新路街道,,150102,0471,150102007000,,,,,,,,,,2,100,1004,1225,2346,14492,,,
14493,7,111.701737,40.888407,成吉思汗大街街道,,150102,0471,150102008000,,,,,,,,,,2,100,1004,1225,2346,14493,,,
14494,7,111.942808,40.912936,保合少镇,,150102,0471,150102101000,,,,,,,,,,2,100,1004,1225,2346,14494,,,
14495,7,111.665544,40.858289,新城区鸿盛高科技园区,,150102,0471,150102400000,,,,,,,,,,2,100,1004,1225,2346,14495,,,
14496,7,111.623001,40.807497,新华西路街道,,150103,0471,150103001000,,,,,,,,,,2,100,1004,1225,2347,14496,,,
14497,7,111.664594,40.803213,中山西路街道,,150103,0471,150103002000,,,,,,,,,,2,100,1004,1225,2347,14497,,,
14498,7,111.646061,40.824033,光明路街道,,150103,0471,150103003000,,,,,,,,,,2,100,1004,1225,2347,14498,,,
14499,7,111.647689,40.835266,海拉尔西路街道,,150103,0471,150103004000,,,,,,,,,,2,100,1004,1225,2347,14499,,,
14500,7,111.623692,40.808608,环河街街道,,150103,0471,150103005000,,,,,,,,,,2,100,1004,1225,2347,14500,,,
14501,7,111.657567,40.81269,通道街街道,,150103,0471,150103006000,,,,,,,,,,2,100,1004,1225,2347,14501,,,
14502,7,111.62571,40.81022,钢铁路街道,,150103,0471,150103007000,,,,,,,,,,2,100,1004,1225,2347,14502,,,
