dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
17315,7,125.350173,43.863989,南岭街道,,220102,0431,220102001000,,,,,,,,,,2,100,1006,1251,2555,17315,,,
17316,7,125.331474,43.884234,自强街道,,220102,0431,220102002000,,,,,,,,,,2,100,1006,1251,2555,17316,,,
17317,7,125.343187,43.881957,民康街道,,220102,0431,220102003000,,,,,,,,,,2,100,1006,1251,2555,17317,,,
17318,7,125.342651,43.893426,新春街道,,220102,0431,220102004000,,,,,,,,,,2,100,1006,1251,2555,17318,,,
17319,7,125.350173,43.863989,长通街道,,220102,0431,220102005000,,,,,,,,,,2,100,1006,1251,2555,17319,,,
17320,7,125.346562,43.879861,全安街道,,220102,0431,220102006000,,,,,,,,,,2,100,1006,1251,2555,17320,,,
17321,7,125.331789,43.874748,曙光街道,,220102,0431,220102007000,,,,,,,,,,2,100,1006,1251,2555,17321,,,
17322,7,125.342887,43.877727,永吉街道,,220102,0431,220102008000,,,,,,,,,,2,100,1006,1251,2555,17322,,,
17323,7,125.355968,43.8914,桃源街道,,220102,0431,220102009000,,,,,,,,,,2,100,1006,1251,2555,17323,,,
17324,7,125.35409,43.83652,鸿城街道,,220102,0431,220102010000,,,,,,,,,,2,100,1006,1251,2555,17324,,,
17325,7,125.314973,43.824171,明珠街道,,220102,0431,220102011000,,,,,,,,,,2,100,1006,1251,2555,17325,,,
17326,7,125.360263,43.81499,富裕街道,,220102,0431,220102012000,,,,,,,,,,2,100,1006,1251,2555,17326,,,
17327,7,125.276963,43.788321,幸福乡,,220102,0431,220102200000,,,,,,,,,,2,100,1006,1251,2555,17327,,,
17328,7,125.326628,43.901167,新发街道,,220103,0431,220103001000,,,,,,,,,,2,100,1006,1251,2556,17328,,,
17329,7,125.307148,43.901079,站前街道,,220103,0431,220103002000,,,,,,,,,,2,100,1006,1251,2556,17329,,,
17330,7,125.329837,43.90456,南广街道,,220103,0431,220103003000,,,,,,,,,,2,100,1006,1251,2556,17330,,,
17331,7,125.347389,43.907711,东广街道,,220103,0431,220103004000,,,,,,,,,,2,100,1006,1251,2556,17331,,,
17332,7,125.351718,43.920108,群英街道,,220103,0431,220103005000,,,,,,,,,,2,100,1006,1251,2556,17332,,,
17333,7,125.342836,43.936996,兴业街道,,220103,0431,220103006000,,,,,,,,,,2,100,1006,1251,2556,17333,,,
17334,7,125.319563,43.931179,凯旋街道,,220103,0431,220103007000,,,,,,,,,,2,100,1006,1251,2556,17334,,,
17335,7,125.354998,43.93233,团山街道,,220103,0431,220103008000,,,,,,,,,,2,100,1006,1251,2556,17335,,,
17336,7,125.305143,43.944573,柳影街道,,220103,0431,220103009000,,,,,,,,,,2,100,1006,1251,2556,17336,,,
17337,7,125.326578,43.943614,欣园街道,,220103,0431,220103010000,,,,,,,,,,2,100,1006,1251,2556,17337,,,
17338,7,125.242718,44.004403,兰家镇,,220103,0431,220103100000,,,,,,,,,,2,100,1006,1251,2556,17338,,,
17339,7,125.47605,44.129161,米沙子镇,,220103,0431,220103101000,,,,,,,,,,2,100,1006,1251,2556,17339,,,
17340,7,125.353482,44.144111,万宝镇,,220103,0431,220103102000,,,,,,,,,,2,100,1006,1251,2556,17340,,,
17341,7,125.181359,44.060011,合隆镇,,220103,0431,220103171000,,,,,,,,,,2,100,1006,1251,2556,17341,,,
17342,7,125.288319,43.833513,前进街道,,220104,0431,220104001000,,,,,,,,,,2,100,1006,1251,2557,17342,,,
17343,7,125.323337,43.86009,桂林街道,,220104,0431,220104002000,,,,,,,,,,2,100,1006,1251,2557,17343,,,
17344,7,125.30126,43.845728,南湖街道,,220104,0431,220104003000,,,,,,,,,,2,100,1006,1251,2557,17344,,,
17345,7,125.321383,43.872545,永昌街道,,220104,0431,220104004000,,,,,,,,,,2,100,1006,1251,2557,17345,,,
17346,7,125.317672,43.891886,重庆街道,,220104,0431,220104005000,,,,,,,,,,2,100,1006,1251,2557,17346,,,
17347,7,125.30764,43.893343,清和街道,,220104,0431,220104006000,,,,,,,,,,2,100,1006,1251,2557,17347,,,
17348,7,125.28844,43.87099,红旗街道,,220104,0431,220104007000,,,,,,,,,,2,100,1006,1251,2557,17348,,,
17349,7,125.27905,43.860335,湖西街道,,220104,0431,220104008000,,,,,,,,,,2,100,1006,1251,2557,17349,,,
17350,7,125.205164,43.79635,富锋街道,,220104,0431,220104009000,,,,,,,,,,2,100,1006,1251,2557,17350,,,
17351,7,125.302328,43.572881,乐山镇,,220104,0431,220104100000,,,,,,,,,,2,100,1006,1251,2557,17351,,,
17352,7,125.307514,43.737942,永春镇,,220104,0431,220104101000,,,,,,,,,,2,100,1006,1251,2557,17352,,,
17353,7,125.367187,43.881637,东盛街道,,220105,0431,220105001000,,,,,,,,,,2,100,1006,1251,2558,17353,,,
17354,7,125.358479,43.88326,吉林街道,,220105,0431,220105002000,,,,,,,,,,2,100,1006,1251,2558,17354,,,
17355,7,125.386634,43.870801,荣光街道,,220105,0431,220105003000,,,,,,,,,,2,100,1006,1251,2558,17355,,,
17356,7,125.363192,43.892706,东站街道,,220105,0431,220105004000,,,,,,,,,,2,100,1006,1251,2558,17356,,,
17357,7,125.397398,43.920164,远达街道,,220105,0431,220105005000,,,,,,,,,,2,100,1006,1251,2558,17357,,,
17358,7,125.372012,43.933987,八里堡街道,,220105,0431,220105006000,,,,,,,,,,2,100,1006,1251,2558,17358,,,
17359,7,125.422132,43.891689,长青街道,,220105,0431,220105007000,,,,,,,,,,2,100,1006,1251,2558,17359,,,
17360,7,125.470344,43.865983,英俊镇,,220105,0431,220105100000,,,,,,,,,,2,100,1006,1251,2558,17360,,,
17361,7,125.699561,43.805632,劝农山镇,,220105,0431,220105173000,,,,,,,,,,2,100,1006,1251,2558,17361,,,
17362,7,125.54513,43.871056,泉眼镇,,220105,0431,220105174000,,,,,,,,,,2,100,1006,1251,2558,17362,,,
17363,7,125.780784,43.830351,四家乡,,220105,0431,220105270000,,,,,,,,,,2,100,1006,1251,2558,17363,,,
17364,7,125.271663,43.883067,正阳街道,,220106,0431,220106001000,,,,,,,,,,2,100,1006,1251,2559,17364,,,
17365,7,125.272,43.879474,春城街道,,220106,0431,220106003000,,,,,,,,,,2,100,1006,1251,2559,17365,,,
17366,7,125.256136,43.880975,青年街道,,220106,0431,220106005000,,,,,,,,,,2,100,1006,1251,2559,17366,,,
17367,7,125.281532,43.884865,普阳街道,,220106,0431,220106006000,,,,,,,,,,2,100,1006,1251,2559,17367,,,
17368,7,125.302887,43.904188,铁西街道,,220106,0431,220106007000,,,,,,,,,,2,100,1006,1251,2559,17368,,,
17369,7,125.278985,43.916726,林园街道,,220106,0431,220106010000,,,,,,,,,,2,100,1006,1251,2559,17369,,,
17370,7,125.185594,43.857921,同心街道,,220106,0431,220106011000,,,,,,,,,,2,100,1006,1251,2559,17370,,,
17371,7,125.142217,43.951509,合心镇,,220106,0431,220106100000,,,,,,,,,,2,100,1006,1251,2559,17371,,,
17372,7,125.185508,43.858169,西新镇,,220106,0431,220106101000,,,,,,,,,,2,100,1006,1251,2559,17372,,,
17373,7,125.242057,43.884674,城西镇,,220106,0431,220106102000,,,,,,,,,,2,100,1006,1251,2559,17373,,,
17374,7,125.179618,43.937991,绿园经济开发区,,220106,0431,220106400000,,,,,,,,,,2,100,1006,1251,2559,17374,,,
17375,7,125.667146,43.531697,云山街道,,220112,0431,220112001000,,,,,,,,,,2,100,1006,1251,2560,17375,,,
17376,7,125.664662,43.525311,平湖街道,,220112,0431,220112002000,,,,,,,,,,2,100,1006,1251,2560,17376,,,
17377,7,125.548871,43.665431,奢岭街道,,220112,0431,220112003000,,,,,,,,,,2,100,1006,1251,2560,17377,,,
17378,7,125.922758,43.42051,山河街道,,220112,0431,220112004000,,,,,,,,,,2,100,1006,1251,2560,17378,,,
17379,7,125.711967,43.688942,齐家镇,,220112,0431,220112100000,,,,,,,,,,2,100,1006,1251,2560,17379,,,
17380,7,125.73774,43.404808,太平镇,,220112,0431,220112101000,,,,,,,,,,2,100,1006,1251,2560,17380,,,
17381,7,125.485698,43.565499,鹿乡镇,,220112,0431,220112102000,,,,,,,,,,2,100,1006,1251,2560,17381,,,
17382,7,125.588202,43.577999,双营子回族乡,,220112,0431,220112270000,,,,,,,,,,2,100,1006,1251,2560,17382,,,
17383,7,125.839869,44.14484,九台街道,,220113,0431,220113001000,,,,,,,,,,2,100,1006,1251,2561,17383,,,
17384,7,125.872099,44.157269,营城街道,,220113,0431,220113002000,,,,,,,,,,2,100,1006,1251,2561,17384,,,
17385,7,125.830968,44.154649,九郊街道,,220113,0431,220113003000,,,,,,,,,,2,100,1006,1251,2561,17385,,,
17386,7,125.804785,44.033102,西营城街道,,220113,0431,220113004000,,,,,,,,,,2,100,1006,1251,2561,17386,,,
17387,7,125.817139,43.957986,土们岭街道,,220113,0431,220113005000,,,,,,,,,,2,100,1006,1251,2561,17387,,,
17388,7,125.896258,44.209117,苇子沟街道,,220113,0431,220113006000,,,,,,,,,,2,100,1006,1251,2561,17388,,,
17389,7,125.745705,44.310366,兴隆街道,,220113,0431,220113007000,,,,,,,,,,2,100,1006,1251,2561,17389,,,
17390,7,125.63932,44.26224,纪家街道,,220113,0431,220113008000,,,,,,,,,,2,100,1006,1251,2561,17390,,,
17391,7,125.884867,43.89381,波泥河街道,,220113,0431,220113009000,,,,,,,,,,2,100,1006,1251,2561,17391,,,
