dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
40174,7,104.072329,30.64772,督院街街道,,510104,028,510104020000,,,,,,,,,,2,100,1022,1438,4147,40174,,,
40175,7,104.069611,30.653686,盐市口街道,,510104,028,510104021000,,,,,,,,,,2,100,1022,1438,4147,40175,,,
40176,7,104.078586,30.656295,春熙路街道,,510104,028,510104022000,,,,,,,,,,2,100,1022,1438,4147,40176,,,
40177,7,104.087237,30.658906,书院街街道,,510104,028,510104023000,,,,,,,,,,2,100,1022,1438,4147,40177,,,
40178,7,104.08344,30.644979,合江亭街道,,510104,028,510104024000,,,,,,,,,,2,100,1022,1438,4147,40178,,,
40179,7,104.090503,30.641397,水井坊街道,,510104,028,510104025000,,,,,,,,,,2,100,1022,1438,4147,40179,,,
40180,7,104.10253,30.643339,牛市口街道,,510104,028,510104026000,,,,,,,,,,2,100,1022,1438,4147,40180,,,
40181,7,104.099013,30.626245,龙舟路街道,,510104,028,510104027000,,,,,,,,,,2,100,1022,1438,4147,40181,,,
40182,7,104.102862,30.628828,双桂路街道,,510104,028,510104028000,,,,,,,,,,2,100,1022,1438,4147,40182,,,
40183,7,104.097057,30.637715,莲新街道,,510104,028,510104029000,,,,,,,,,,2,100,1022,1438,4147,40183,,,
40184,7,104.121883,30.621988,沙河街道,,510104,028,510104030000,,,,,,,,,,2,100,1022,1438,4147,40184,,,
40185,7,104.101844,30.617843,东光街道,,510104,028,510104031000,,,,,,,,,,2,100,1022,1438,4147,40185,,,
40186,7,104.120718,30.620369,狮子山街道,,510104,028,510104032000,,,,,,,,,,2,100,1022,1438,4147,40186,,,
40187,7,104.114548,30.611062,成龙路街道,,510104,028,510104035000,,,,,,,,,,2,100,1022,1438,4147,40187,,,
40188,7,104.101681,30.588841,柳江街道,,510104,028,510104036000,,,,,,,,,,2,100,1022,1438,4147,40188,,,
40189,7,104.079427,30.649361,三圣街道,,510104,028,510104037000,,,,,,,,,,2,100,1022,1438,4147,40189,,,
40190,7,104.071996,30.664123,太升路街道,,510105,028,510105001000,,,,,,,,,,2,100,1022,1438,4148,40190,,,
40191,7,104.073682,30.676913,草市街街道,,510105,028,510105002000,,,,,,,,,,2,100,1022,1438,4148,40191,,,
40192,7,104.068489,30.661497,西御河街道,,510105,028,510105003000,,,,,,,,,,2,100,1022,1438,4148,40192,,,
40193,7,104.055169,30.659714,汪家拐街道,,510105,028,510105004000,,,,,,,,,,2,100,1022,1438,4148,40193,,,
40194,7,104.056883,30.660082,少城街道,,510105,028,510105005000,,,,,,,,,,2,100,1022,1438,4148,40194,,,
40195,7,104.063042,30.673297,新华西路街道,,510105,028,510105006000,,,,,,,,,,2,100,1022,1438,4148,40195,,,
40196,7,104.041718,30.657638,草堂街道,,510105,028,510105007000,,,,,,,,,,2,100,1022,1438,4148,40196,,,
40197,7,104.026949,30.674009,府南街道,,510105,028,510105008000,,,,,,,,,,2,100,1022,1438,4148,40197,,,
40198,7,104.068466,30.653566,光华街道,,510104,028,510105009000,,,,,,,,,,2,100,1022,1438,4148,40198,,,
40199,7,103.990496,30.665043,东坡街道,,510105,028,510105010000,,,,,,,,,,2,100,1022,1438,4148,40199,,,
40200,7,104.008411,30.680345,金沙街道,,510105,028,510105011000,,,,,,,,,,2,100,1022,1438,4148,40200,,,
40201,7,103.971824,30.697511,黄田坝街道,,510105,028,510105012000,,,,,,,,,,2,100,1022,1438,4148,40201,,,
40202,7,103.98472,30.669517,苏坡街道,,510105,028,510105013000,,,,,,,,,,2,100,1022,1438,4148,40202,,,
40203,7,103.926038,30.695932,文家街道,,510105,028,510105014000,,,,,,,,,,2,100,1022,1438,4148,40203,,,
40204,7,104.034611,30.672558,西安路街道,,510106,028,510106024000,,,,,,,,,,2,100,1022,1438,4149,40204,,,
40205,7,104.117422,30.763102,西华街道,,510106,028,510106025000,,,,,,,,,,2,100,1022,1438,4149,40205,,,
40206,7,104.070527,30.679886,人民北路街道,,510106,028,510106026000,,,,,,,,,,2,100,1022,1438,4149,40206,,,
