dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
10340,7,117.18696,39.12523,劝业场街道,,120101,022,120101001000,,,,,,,,,,2,100,1001,1202,2017,10340,,,
10341,7,117.212052,39.118992,小白楼街道,,120101,022,120101002000,,,,,,,,,,2,100,1001,1202,2017,10341,,,
10342,7,117.200739,39.110617,五大道街道,,120101,022,120101003000,,,,,,,,,,2,100,1001,1202,2017,10342,,,
10343,7,117.18634,39.105538,新兴街道,,120101,022,120101004000,,,,,,,,,,2,100,1001,1202,2017,10343,,,
10344,7,117.187309,39.117157,南营门街道,,120101,022,120101005000,,,,,,,,,,2,100,1001,1202,2017,10344,,,
10345,7,117.1815,39.127565,南市街道,,120101,022,120101006000,,,,,,,,,,2,100,1001,1202,2017,10345,,,
10346,7,117.222164,39.126678,大王庄街道,,120102,022,120102001000,,,,,,,,,,2,100,1001,1202,2018,10346,,,
10347,7,117.246534,39.109686,大直沽街道,,120102,022,120102002000,,,,,,,,,,2,100,1001,1202,2018,10347,,,
10348,7,117.27065,39.102209,中山门街道,,120102,022,120102003000,,,,,,,,,,2,100,1001,1202,2018,10348,,,
10349,7,117.252172,39.092503,富民路街道,,120102,022,120102004000,,,,,,,,,,2,100,1001,1202,2018,10349,,,
10350,7,117.289855,39.095578,二号桥街道,,120102,022,120102005000,,,,,,,,,,2,100,1001,1202,2018,10350,,,
10351,7,117.20848,39.140014,春华街道,,120102,022,120102006000,,,,,,,,,,2,100,1001,1202,2018,10351,,,
10352,7,117.241001,39.127777,唐家口街道,,120102,022,120102007000,,,,,,,,,,2,100,1001,1202,2018,10352,,,
10353,7,117.245048,39.134597,向阳楼街道,,120102,022,120102008000,,,,,,,,,,2,100,1001,1202,2018,10353,,,
10354,7,117.24028,39.146624,常州道街道,,120102,022,120102009000,,,,,,,,,,2,100,1001,1202,2018,10354,,,
10355,7,117.260614,39.12815,上杭路街道,,120102,022,120102010000,,,,,,,,,,2,100,1001,1202,2018,10355,,,
10356,7,117.276584,39.14234,东新街道,,120102,022,120102011000,,,,,,,,,,2,100,1001,1202,2018,10356,,,
10357,7,117.281549,39.156303,鲁山道街道,,120102,022,120102012000,,,,,,,,,,2,100,1001,1202,2018,10357,,,
10358,7,117.251587,39.128291,天津铁厂街道,,120102,022,120102013000,,,,,,,,,,2,100,1001,1202,2018,10358,,,
10359,7,117.21477,39.108836,大营门街道,,120103,022,120103001000,,,,,,,,,,2,100,1001,1202,2019,10359,,,
10360,7,117.225289,39.106094,下瓦房街道,,120103,022,120103002000,,,,,,,,,,2,100,1001,1202,2019,10360,,,
10361,7,117.213659,39.101926,桃园街道,,120103,022,120103003000,,,,,,,,,,2,100,1001,1202,2019,10361,,,
10362,7,117.221729,39.098031,挂甲寺街道,,120103,022,120103004000,,,,,,,,,,2,100,1001,1202,2019,10362,,,
10363,7,117.188636,39.095777,马场街道,,120103,022,120103005000,,,,,,,,,,2,100,1001,1202,2019,10363,,,
10364,7,117.213936,39.096976,越秀路街道,,120103,022,120103006000,,,,,,,,,,2,100,1001,1202,2019,10364,,,
10365,7,117.214529,39.076082,友谊路街道,,120103,022,120103007000,,,,,,,,,,2,100,1001,1202,2019,10365,,,
10366,7,117.185247,39.08158,天塔街道,,120103,022,120103008000,,,,,,,,,,2,100,1001,1202,2019,10366,,,
10367,7,117.23089,39.076271,尖山街道,,120103,022,120103009000,,,,,,,,,,2,100,1001,1202,2019,10367,,,
10368,7,117.257352,39.072435,陈塘庄街道,,120103,022,120103010000,,,,,,,,,,2,100,1001,1202,2019,10368,,,
10369,7,117.283493,39.061473,柳林街道,,120103,022,120103011000,,,,,,,,,,2,100,1001,1202,2019,10369,,,
10370,7,117.253747,39.055498,东海街道,,120103,022,120103012000,,,,,,,,,,2,100,1001,1202,2019,10370,,,
10371,7,117.223372,39.109563,梅江街道,,120103,022,120103013000,,,,,,,,,,2,100,1001,1202,2019,10371,,,
10372,7,117.235749,39.082059,太湖路街道,,120103,022,120103014000,,,,,,,,,,2,100,1001,1202,2019,10372,,,
10373,7,117.152781,39.140826,长虹街道,,120104,022,120104001000,,,,,,,,,,2,100,1001,1202,2020,10373,,,
10374,7,117.175523,39.142985,鼓楼街道,,120104,022,120104002000,,,,,,,,,,2,100,1001,1202,2020,10374,,,
10375,7,117.176528,39.12622,兴南街道,,120104,022,120104003000,,,,,,,,,,2,100,1001,1202,2020,10375,,,
10376,7,117.16666,39.135493,广开街道,,120104,022,120104004000,,,,,,,,,,2,100,1001,1202,2020,10376,,,
10377,7,117.150738,39.138203,万兴街道,,120104,022,120104005000,,,,,,,,,,2,100,1001,1202,2020,10377,,,
10378,7,117.166075,39.112805,学府街道,,120104,022,120104006000,,,,,,,,,,2,100,1001,1202,2020,10378,,,
