gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
51360,7,106.256801,38.472304,凤凰北街街道,,640104,0951,640104001000,,,,,,,,,,2,100,1029,1523,4868,51360,,,
51361,7,106.269627,38.478796,解放西街街道,,640104,0951,640104002000,,,,,,,,,,2,100,1029,1523,4868,51361,,,
51362,7,106.286858,38.470203,文化街街道,,640104,0951,640104003000,,,,,,,,,,2,100,1029,1523,4868,51362,,,
51363,7,106.263688,38.466446,富宁街街道,,640104,0951,640104004000,,,,,,,,,,2,100,1029,1523,4868,51363,,,
51364,7,106.282222,38.460785,新华街街道,,640104,0951,640104005000,,,,,,,,,,2,100,1029,1523,4868,51364,,,
51365,7,106.290076,38.476249,玉皇阁北街街道,,640104,0951,640104006000,,,,,,,,,,2,100,1029,1523,4868,51365,,,
51366,7,106.273173,38.464878,前进街街道,,640104,0951,640104007000,,,,,,,,,,2,100,1029,1523,4868,51366,,,
51367,7,106.285364,38.462518,中山南街街道,,640104,0951,640104008000,,,,,,,,,,2,100,1029,1523,4868,51367,,,
51368,7,106.29376,38.45282,银古路街道,,640104,0951,640104009000,,,,,,,,,,2,100,1029,1523,4868,51368,,,
51369,7,106.282942,38.453095,胜利街街道,,640104,0951,640104010000,,,,,,,,,,2,100,1029,1523,4868,51369,,,
51370,7,106.2912,38.489781,丽景街街道,,640104,0951,640104011000,,,,,,,,,,2,100,1029,1523,4868,51370,,,
51371,7,106.367285,38.415875,掌政镇,,640104,0951,640104100000,,,,,,,,,,2,100,1029,1523,4868,51371,,,
51372,7,106.315479,38.443089,大新镇,,640104,0951,640104101000,,,,,,,,,,2,100,1029,1523,4868,51372,,,
51373,7,106.491549,38.495878,通贵乡,,640104,0951,640104200000,,,,,,,,,,2,100,1029,1523,4868,51373,,,
51374,7,106.570757,38.617776,月牙湖乡,,640104,0951,640104201000,,,,,,,,,,2,100,1029,1523,4868,51374,,,
51375,7,106.161023,38.489971,西花园街道,,640105,0951,640105001000,,,,,,,,,,2,100,1029,1523,4869,51375,,,
51376,7,106.138208,38.487926,北京西路街道,,640105,0951,640105002000,,,,,,,,,,2,100,1029,1523,4869,51376,,,
