gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
23431,7,117.307179,31.856484,明光路街道,,340102,0551,340102001000,,,,,,,,,,2,100,1011,1298,2965,23431,,,
23432,7,117.301437,31.862853,胜利路街道,,340102,0551,340102003000,,,,,,,,,,2,100,1011,1298,2965,23432,,,
23433,7,117.316549,31.872984,三里街街道,,340102,0551,340102004000,,,,,,,,,,2,100,1011,1298,2965,23433,,,
23434,7,117.322946,31.870626,铜陵路街道,,340102,0551,340102005000,,,,,,,,,,2,100,1011,1298,2965,23434,,,
23435,7,117.338854,31.866845,七里站街道,,340102,0551,340102006000,,,,,,,,,,2,100,1011,1298,2965,23435,,,
23436,7,117.346698,31.847709,红光街道,,340102,0551,340102007000,,,,,,,,,,2,100,1011,1298,2965,23436,,,
23437,7,117.323818,31.854652,和平路街道,,340102,0551,340102008000,,,,,,,,,,2,100,1011,1298,2965,23437,,,
23438,7,117.334335,31.851272,城东街道,,340102,0551,340102010000,,,,,,,,,,2,100,1011,1298,2965,23438,,,
23439,7,117.308614,31.871842,长淮街道,,340102,0551,340102011000,,,,,,,,,,2,100,1011,1298,2965,23439,,,
23440,7,117.374804,31.87593,方庙街道,,340102,0551,340102012000,,,,,,,,,,2,100,1011,1298,2965,23440,,,
23441,7,117.292071,31.891888,嘉山路街道,,340102,0551,340102014000,,,,,,,,,,2,100,1011,1298,2965,23441,,,
23442,7,117.382057,31.835948,大兴镇,,340102,0551,340102100000,,,,,,,,,,2,100,1011,1298,2965,23442,,,
23443,7,117.37499,31.885147,合肥龙岗综合经济开发区,,340102,0551,340102401000,,,,,,,,,,2,100,1011,1298,2965,23443,,,
23444,7,117.261114,31.883918,亳州路街道,,340103,0551,340103001000,,,,,,,,,,2,100,1011,1298,2966,23444,,,
23445,7,117.285075,31.882703,双岗街道,,340103,0551,340103002000,,,,,,,,,,2,100,1011,1298,2966,23445,,,
23446,7,117.2911,31.9003,杏林街道,,340103,0551,340103003000,,,,,,,,,,2,100,1011,1298,2966,23446,,,
23447,7,117.270742,31.892971,海棠街道,,340103,0551,340103004000,,,,,,,,,,2,100,1011,1298,2966,23447,,,
23448,7,117.271142,31.890697,杏花村街道,,340103,0551,340103005000,,,,,,,,,,2,100,1011,1298,2966,23448,,,
23449,7,117.282167,31.858932,逍遥津街道,,340103,0551,340103006000,,,,,,,,,,2,100,1011,1298,2966,23449,,,
23450,7,117.275205,31.860642,三孝口街道,,340103,0551,340103009000,,,,,,,,,,2,100,1011,1298,2966,23450,,,
23451,7,117.23714,31.884971,四里河街道,,340103,0551,340103012000,,,,,,,,,,2,100,1011,1298,2966,23451,,,
23452,7,117.212672,31.91879,大杨镇,,340103,0551,340103100000,,,,,,,,,,2,100,1011,1298,2966,23452,,,
23453,7,117.124237,31.92834,三十岗乡,,340103,0551,340103200000,,,,,,,,,,2,100,1011,1298,2966,23453,,,
23454,7,117.274197,31.913024,庐阳工业区（林店街道）,,340103,0551,340103400000,,,,,,,,,,2,100,1011,1298,2966,23454,,,
23455,7,117.253406,31.850818,三里庵街道,,340104,0551,340104001000,,,,,,,,,,2,100,1011,1298,2967,23455,,,
23456,7,117.251941,31.832525,稻香村街道,,340104,0551,340104002000,,,,,,,,,,2,100,1011,1298,2967,23456,,,
23457,7,117.258512,31.869719,琥珀街道,,340104,0551,340104003000,,,,,,,,,,2,100,1011,1298,2967,23457,,,
23458,7,117.242306,31.826987,南七街道,,340104,0551,340104004000,,,,,,,,,,2,100,1011,1298,2967,23458,,,
23459,7,117.253519,31.85096,西园街道,,340104,0551,340104005000,,,,,,,,,,2,100,1011,1298,2967,23459,,,
23460,7,117.243087,31.863013,五里墩街道,,340104,0551,340104006000,,,,,,,,,,2,100,1011,1298,2967,23460,,,
23461,7,117.240632,31.822126,荷叶地街道,,340104,0551,340104007000,,,,,,,,,,2,100,1011,1298,2967,23461,,,
23462,7,117.21971,31.824151,笔架山街道,,340104,0551,340104008000,,,,,,,,,,2,100,1011,1298,2967,23462,,,
23463,7,117.184524,31.852581,井岗镇,,340104,0551,340104100000,,,,,,,,,,2,100,1011,1298,2967,23463,,,
23464,7,117.130231,31.857545,南岗镇,,340104,0551,340104101000,,,,,,,,,,2,100,1011,1298,2967,23464,,,
23465,7,117.037768,31.847986,小庙镇,,340104,0551,340104102000,,,,,,,,,,2,100,1011,1298,2967,23465,,,
23466,7,117.260536,31.851158,蜀山新产业园区,,340104,0551,340104400000,,,,,,,,,,2,100,1011,1298,2967,23466,,,
23467,7,117.314734,31.797176,骆岗街道,,340111,0551,340111001000,,,,,,,,,,2,100,1011,1298,2968,23467,,,
23468,7,117.248636,31.808263,常青街道,,340111,0551,340111002000,,,,,,,,,,2,100,1011,1298,2968,23468,,,
23469,7,117.276571,31.839994,芜湖路街道,,340111,0551,340111003000,,,,,,,,,,2,100,1011,1298,2968,23469,,,
23470,7,117.291462,31.837907,包公街道,,340111,0551,340111004000,,,,,,,,,,2,100,1011,1298,2968,23470,,,
23471,7,117.299947,31.819997,望湖街道,,340111,0551,340111005000,,,,,,,,,,2,100,1011,1298,2968,23471,,,
23472,7,117.332797,31.744163,义城街道,,340111,0551,340111006000,,,,,,,,,,2,100,1011,1298,2968,23472,,,
23473,7,117.280709,31.728358,烟墩街道,,340111,0551,340111007000,,,,,,,,,,2,100,1011,1298,2968,23473,,,
23474,7,117.28776,31.747172,滨湖世纪社区街道,,340111,0551,340111008000,,,,,,,,,,2,100,1011,1298,2968,23474,,,
23475,7,117.309658,31.793093,方兴社区街道,,340111,0551,340111009000,,,,,,,,,,2,100,1011,1298,2968,23475,,,
23476,7,117.312831,31.712861,万年埠街道,,340111,0551,340111010000,,,,,,,,,,2,100,1011,1298,2968,23476,,,
23477,7,117.309658,31.793093,同安街道,,340111,0551,340111011000,,,,,,,,,,2,100,1011,1298,2968,23477,,,
23478,7,117.31725,31.805506,淝河镇,,340111,0551,340111100000,,,,,,,,,,2,100,1011,1298,2968,23478,,,
23479,7,117.375995,31.773279,大圩镇,,340111,0551,340111102000,,,,,,,,,,2,100,1011,1298,2968,23479,,,
23480,7,117.16587,32.477849,水湖镇,,340121,0551,340121100000,,,,,,,,,,2,100,1011,1298,2969,23480,,,
23481,7,117.125339,32.345337,庄墓镇,,340121,0551,340121101000,,,,,,,,,,2,100,1011,1298,2969,23481,,,
23482,7,117.087429,32.19274,杨庙镇,,340121,0551,340121102000,,,,,,,,,,2,100,1011,1298,2969,23482,,,
23483,7,117.078932,32.064223,吴山镇,,340121,0551,340121103000,,,,,,,,,,2,100,1011,1298,2969,23483,,,
23484,7,117.185422,31.949994,岗集镇,,340121,0551,340121104000,,,,,,,,,,2,100,1011,1298,2969,23484,,,
23485,7,117.264479,32.007788,双墩镇,,340121,0551,340121105000,,,,,,,,,,2,100,1011,1298,2969,23485,,,
23486,7,117.210659,32.197332,下塘镇,,340121,0551,340121106000,,,,,,,,,,2,100,1011,1298,2969,23486,,,
23487,7,117.218616,32.323393,朱巷镇,,340121,0551,340121107000,,,,,,,,,,2,100,1011,1298,2969,23487,,,
23488,7,117.146802,32.132786,陶楼镇,,340121,0551,340121109000,,,,,,,,,,2,100,1011,1298,2969,23488,,,
23489,7,117.167564,32.478018,杜集镇,,340121,0551,340121110000,,,,,,,,,,2,100,1011,1298,2969,23489,,,
23490,7,117.144023,32.389485,罗塘乡,,340121,0551,340121200000,,,,,,,,,,2,100,1011,1298,2969,23490,,,
23491,7,117.109729,32.294996,义井乡,,340121,0551,340121201000,,,,,,,,,,2,100,1011,1298,2969,23491,,,
23492,7,117.339926,32.243999,造甲乡,,340121,0551,340121203000,,,,,,,,,,2,100,1011,1298,2969,23492,,,
23493,7,117.23696,32.407915,左店乡,,340121,0551,340121204000,,,,,,,,,,2,100,1011,1298,2969,23493,,,
23494,7,117.268872,32.02918,双凤开发区,,340121,0551,340121400000,,,,,,,,,,2,100,1011,1298,2969,23494,,,
23495,7,117.240159,32.006428,安徽省水家湖农场,,340121,0551,340121401000,,,,,,,,,,2,100,1011,1298,2969,23495,,,
23496,7,117.4761,31.889848,店埠镇,,340122,0551,340122100000,,,,,,,,,,2,100,1011,1298,2970,23496,,,
23497,7,117.478182,31.813735,撮镇镇,,340122,0551,340122101000,,,,,,,,,,2,100,1011,1298,2970,23497,,,
23498,7,117.555561,31.996384,梁园镇,,340122,0551,340122102000,,,,,,,,,,2,100,1011,1298,2970,23498,,,
23499,7,117.556736,31.759589,桥头集镇,,340122,0551,340122103000,,,,,,,,,,2,100,1011,1298,2970,23499,,,
23500,7,117.461681,31.690263,长临河镇,,340122,0551,340122104000,,,,,,,,,,2,100,1011,1298,2970,23500,,,
23501,7,117.633299,31.932134,石塘镇,,340122,0551,340122105000,,,,,,,,,,2,100,1011,1298,2970,23501,,,
23502,7,117.815539,32.144208,古城镇,,340122,0551,340122106000,,,,,,,,,,2,100,1011,1298,2970,23502,,,
23503,7,117.61005,32.158005,八斗镇,,340122,0551,340122107000,,,,,,,,,,2,100,1011,1298,2970,23503,,,
23504,7,117.385373,32.083946,元疃镇,,340122,0551,340122108000,,,,,,,,,,2,100,1011,1298,2970,23504,,,
23505,7,117.425283,32.14425,白龙镇,,340122,0551,340122109000,,,,,,,,,,2,100,1011,1298,2970,23505,,,
23506,7,117.675617,31.941575,包公镇,,340122,0551,340122110000,,,,,,,,,,2,100,1011,1298,2970,23506,,,
23507,7,117.75741,32.206773,陈集镇,,340122,0551,340122111000,,,,,,,,,,2,100,1011,1298,2970,23507,,,
23508,7,117.410041,31.987731,众兴乡,,340122,0551,340122200000,,,,,,,,,,2,100,1011,1298,2970,23508,,,
23509,7,117.666176,32.032136,张集乡,,340122,0551,340122201000,,,,,,,,,,2,100,1011,1298,2970,23509,,,
23510,7,117.834908,32.072012,马湖乡,,340122,0551,340122202000,,,,,,,,,,2,100,1011,1298,2970,23510,,,
23511,7,117.613311,32.211002,响导乡,,340122,0551,340122204000,,,,,,,,,,2,100,1011,1298,2970,23511,,,
23512,7,117.532712,32.125437,杨店乡,,340122,0551,340122205000,,,,,,,,,,2,100,1011,1298,2970,23512,,,
23513,7,117.481223,31.953583,牌坊回族满族乡,,340122,0551,340122206000,,,,,,,,,,2,100,1011,1298,2970,23513,,,
23514,7,117.469383,31.88794,肥东新城开发区,,340122,0551,340122401000,,,,,,,,,,2,100,1011,1298,2970,23514,,,
23515,7,117.502107,31.767751,合肥循环经济示范园,,340122,0551,340122402000,,,,,,,,,,2,100,1011,1298,2970,23515,,,
23516,7,117.165882,31.715144,上派镇,,340123,0551,340123100000,,,,,,,,,,2,100,1011,1298,2971,23516,,,
23517,7,117.251774,31.515189,三河镇,,340123,0551,340123101000,,,,,,,,,,2,100,1011,1298,2971,23517,,,
23518,7,116.898371,31.80876,官亭镇,,340123,0551,340123103000,,,,,,,,,,2,100,1011,1298,2971,23518,,,
23519,7,116.885559,31.621326,山南镇,,340123,0551,340123105000,,,,,,,,,,2,100,1011,1298,2971,23519,,,
23520,7,117.059607,31.624168,花岗镇,,340123,0551,340123106000,,,,,,,,,,2,100,1011,1298,2971,23520,,,
23521,7,117.03159,31.754738,紫蓬镇,,340123,0551,340123107000,,,,,,,,,,2,100,1011,1298,2971,23521,,,
23522,7,117.159511,31.802358,桃花镇,,340123,0551,340123108000,,,,,,,,,,2,100,1011,1298,2971,23522,,,
23523,7,117.174438,31.554711,丰乐镇,,340123,0551,340123109000,,,,,,,,,,2,100,1011,1298,2971,23523,,,
23524,7,116.83428,31.899028,高店乡,,340123,0551,340123200000,,,,,,,,,,2,100,1011,1298,2971,23524,,,
23525,7,116.812741,31.751847,铭传乡,,340123,0551,340123201000,,,,,,,,,,2,100,1011,1298,2971,23525,,,
23526,7,116.948981,31.586895,柿树岗乡,,340123,0551,340123202000,,,,,,,,,,2,100,1011,1298,2971,23526,,,
23527,7,117.2096,31.636974,严店乡,,340123,0551,340123203000,,,,,,,,,,2,100,1011,1298,2971,23527,,,
23528,7,117.157981,31.70681,安徽肥西经济开发区,,340123,0551,340123400000,,,,,,,,,,2,100,1011,1298,2971,23528,,,
23529,7,117.023015,31.742644,紫蓬山管委会,,340123,0551,340123401000,,,,,,,,,,2,100,1011,1298,2971,23529,,,
23530,7,117.2878,31.25555,庐城镇,,340124,0551,340124100000,,,,,,,,,,2,100,1011,1298,2972,23530,,,
23531,7,117.334653,31.270536,冶父山镇,,340124,0551,340124101000,,,,,,,,,,2,100,1011,1298,2972,23531,,,
23532,7,117.181348,31.326978,万山镇,,340124,0551,340124102000,,,,,,,,,,2,100,1011,1298,2972,23532,,,
23533,7,117.092523,31.336548,汤池镇,,340124,0551,340124103000,,,,,,,,,,2,100,1011,1298,2972,23533,,,
23534,7,117.159198,31.426058,郭河镇,,340124,0551,340124104000,,,,,,,,,,2,100,1011,1298,2972,23534,,,
23535,7,117.208901,31.397622,金牛镇,,340124,0551,340124105000,,,,,,,,,,2,100,1011,1298,2972,23535,,,
23536,7,117.269557,31.424689,石头镇,,340124,0551,340124106000,,,,,,,,,,2,100,1011,1298,2972,23536,,,
23537,7,117.266829,31.499979,同大镇,,340124,0551,340124107000,,,,,,,,,,2,100,1011,1298,2972,23537,,,
23538,7,117.396507,31.45578,白山镇,,340124,0551,340124108000,,,,,,,,,,2,100,1011,1298,2972,23538,,,
23539,7,117.490974,31.395425,盛桥镇,,340124,0551,340124109000,,,,,,,,,,2,100,1011,1298,2972,23539,,,
23540,7,117.397019,31.221296,白湖镇,,340124,0551,340124110000,,,,,,,,,,2,100,1011,1298,2972,23540,,,
23541,7,117.437657,31.144207,龙桥镇,,340124,0551,340124111000,,,,,,,,,,2,100,1011,1298,2972,23541,,,
23542,7,117.425872,31.113288,矾山镇,,340124,0551,340124112000,,,,,,,,,,2,100,1011,1298,2972,23542,,,
23543,7,117.283809,31.012715,罗河镇,,340124,0551,340124113000,,,,,,,,,,2,100,1011,1298,2972,23543,,,
23544,7,117.317514,31.083403,泥河镇,,340124,0551,340124114000,,,,,,,,,,2,100,1011,1298,2972,23544,,,
23545,7,117.191886,31.137162,乐桥镇,,340124,0551,340124115000,,,,,,,,,,2,100,1011,1298,2972,23545,,,
23546,7,117.141727,31.234655,柯坦镇,,340124,0551,340124116000,,,,,,,,,,2,100,1011,1298,2972,23546,,,
23547,7,117.2878,31.25555,安徽庐江经济开发区,,340124,0551,340124400000,,,,,,,,,,2,100,1011,1298,2972,23547,,,
23548,7,117.136168,31.833331,天乐社区服务中心,,340104,0551,340171401000,,,,,,,,,,2,100,1011,1298,2973,23548,,,
23549,7,117.136168,31.833331,兴园社区服务中心,,340104,0551,340171402000,,,,,,,,,,2,100,1011,1298,2973,23549,,,
23550,7,117.16657,31.82833,蜀麓社区服务中心,,340104,0551,340171403000,,,,,,,,,,2,100,1011,1298,2973,23550,,,
23551,7,117.118532,31.817975,长宁社区服务中心,,340104,0551,340171404000,,,,,,,,,,2,100,1011,1298,2973,23551,,,
23552,7,117.197482,31.785186,莲花社区管理委员会街道,,340123,0551,340172001000,,,,,,,,,,2,100,1011,1298,2974,23552,,,
23553,7,117.197482,31.785186,芙蓉社区管理委员会街道,,340123,0551,340172002000,,,,,,,,,,2,100,1011,1298,2974,23553,,,
23554,7,117.197482,31.785186,锦绣社区管理委员会街道,,340123,0551,340172003000,,,,,,,,,,2,100,1011,1298,2974,23554,,,
23555,7,117.197482,31.785186,海恒社区管理委员会街道,,340123,0551,340172004000,,,,,,,,,,2,100,1011,1298,2974,23555,,,
23556,7,117.197482,31.785186,临湖社区管理委员会街道,,340123,0551,340172005000,,,,,,,,,,2,100,1011,1298,2974,23556,,,
23557,7,116.938488,31.94014,高刘镇,,340104,0551,340172100000,,,,,,,,,,2,100,1011,1298,2974,23557,,,
23558,7,117.328807,31.918233,七里塘街道,,340102,0551,340173001000,,,,,,,,,,2,100,1011,1298,2975,23558,,,
23559,7,117.379913,31.938601,磨店街道,,340102,0551,340173002000,,,,,,,,,,2,100,1011,1298,2975,23559,,,
23560,7,117.377451,31.940098,三十头街道,,340102,0551,340173003000,,,,,,,,,,2,100,1011,1298,2975,23560,,,
23561,7,117.343095,31.89166,瑶海工业园,,340102,0551,340173400000,,,,,,,,,,2,100,1011,1298,2975,23561,,,
23562,7,117.369154,31.91211,站北社区,,340102,0551,340173401000,,,,,,,,,,2,100,1011,1298,2975,23562,,,
23563,7,117.485776,31.596967,中庙街道,,340181,0551,340181001000,,,,,,,,,,2,100,1011,1298,2976,23563,,,
23564,7,117.874854,31.595453,亚父街道,,340181,0551,340181002000,,,,,,,,,,2,100,1011,1298,2976,23564,,,
23565,7,117.853397,31.599106,卧牛山街道,,340181,0551,340181003000,,,,,,,,,,2,100,1011,1298,2976,23565,,,
23566,7,117.885609,31.61311,凤凰山街道,,340181,0551,340181004000,,,,,,,,,,2,100,1011,1298,2976,23566,,,
23567,7,117.866309,31.586112,天河街道,,340181,0551,340181005000,,,,,,,,,,2,100,1011,1298,2976,23567,,,
23568,7,117.917699,31.644523,半汤街道,,340181,0551,340181006000,,,,,,,,,,2,100,1011,1298,2976,23568,,,
23569,7,117.821139,31.976854,栏杆集镇,,340181,0551,340181100000,,,,,,,,,,2,100,1011,1298,2976,23569,,,
23570,7,117.820959,31.879272,苏湾镇,,340181,0551,340181101000,,,,,,,,,,2,100,1011,1298,2976,23570,,,
23571,7,117.748695,31.776305,柘皋镇,,340181,0551,340181102000,,,,,,,,,,2,100,1011,1298,2976,23571,,,
23572,7,117.855026,31.552473,银屏镇,,340181,0551,340181103000,,,,,,,,,,2,100,1011,1298,2976,23572,,,
23573,7,117.834859,31.701703,夏阁镇,,340181,0551,340181104000,,,,,,,,,,2,100,1011,1298,2976,23573,,,
23574,7,117.771787,31.660974,中垾镇,,340181,0551,340181105000,,,,,,,,,,2,100,1011,1298,2976,23574,,,
23575,7,117.751297,31.530525,散兵镇,,340181,0551,340181106000,,,,,,,,,,2,100,1011,1298,2976,23575,,,
23576,7,117.636127,31.68465,烔炀镇,,340181,0551,340181107000,,,,,,,,,,2,100,1011,1298,2976,23576,,,
23577,7,117.579388,31.624516,黄麓镇,,340181,0551,340181108000,,,,,,,,,,2,100,1011,1298,2976,23577,,,
23578,7,117.61411,31.41583,槐林镇,,340181,0551,340181109000,,,,,,,,,,2,100,1011,1298,2976,23578,,,
23579,7,117.571438,31.316441,坝镇镇,,340181,0551,340181110000,,,,,,,,,,2,100,1011,1298,2976,23579,,,
23580,7,117.68164,31.792013,庙岗乡,,340181,0551,340181200000,,,,,,,,,,2,100,1011,1298,2976,23580,,,
