dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
12998,7,112.575813,37.82032,坞城街道,,140105,0351,140105001000,,,,,,,,,,2,100,1003,1214,2224,12998,,,
12999,7,112.580415,37.826378,营盘街道,,140105,0351,140105002000,,,,,,,,,,2,100,1003,1214,2224,12999,,,
13000,7,112.603408,37.787338,北营街道,,140105,0351,140105003000,,,,,,,,,,2,100,1003,1214,2224,13000,,,
13001,7,112.55488,37.81834,平阳路街道,,140105,0351,140105004000,,,,,,,,,,2,100,1003,1214,2224,13001,,,
13002,7,112.608661,37.780219,黄陵街道,,140105,0351,140105005000,,,,,,,,,,2,100,1003,1214,2224,13002,,,
13003,7,112.569991,37.729963,小店街道,,140105,0351,140105006000,,,,,,,,,,2,100,1003,1214,2224,13003,,,
13004,7,112.564306,37.742941,龙城街道,,140105,0351,140105007000,,,,,,,,,,2,100,1003,1214,2224,13004,,,
13005,7,112.538797,37.637045,北格镇,,140105,0351,140105100000,,,,,,,,,,2,100,1003,1214,2224,13005,,,
13006,7,112.626296,37.724746,西温庄乡,,140105,0351,140105200000,,,,,,,,,,2,100,1003,1214,2224,13006,,,
13007,7,112.481676,37.647415,刘家堡乡,,140105,0351,140105201000,,,,,,,,,,2,100,1003,1214,2224,13007,,,
13008,7,112.56578,37.869021,柳巷街道,,140106,0351,140106001000,,,,,,,,,,2,100,1003,1214,2225,13008,,,
13009,7,112.580241,37.863976,文庙街道,,140106,0351,140106002000,,,,,,,,,,2,100,1003,1214,2225,13009,,,
13010,7,112.557761,37.8666,庙前街道,,140106,0351,140106003000,,,,,,,,,,2,100,1003,1214,2225,13010,,,
13011,7,112.56426,37.8464,迎泽街道,,140106,0351,140106004000,,,,,,,,,,2,100,1003,1214,2225,13011,,,
13012,7,112.578031,37.856938,桥东街道,,140106,0351,140106005000,,,,,,,,,,2,100,1003,1214,2225,13012,,,
13013,7,112.547417,37.842364,老军营街道,,140106,0351,140106006000,,,,,,,,,,2,100,1003,1214,2225,13013,,,
13014,7,112.598937,37.85465,郝庄镇,,140106,0351,140106100000,,,,,,,,,,2,100,1003,1214,2225,13014,,,
13015,7,112.561622,37.893541,巨轮街道,,140107,0351,140107001000,,,,,,,,,,2,100,1003,1214,2226,13015,,,
13016,7,112.558483,37.877212,三桥街道,,140107,0351,140107002000,,,,,,,,,,2,100,1003,1214,2226,13016,,,
13017,7,112.564444,37.871145,鼓楼街道,,140107,0351,140107003000,,,,,,,,,,2,100,1003,1214,2226,13017,,,
13018,7,112.571032,37.873248,杏花岭街道,,140107,0351,140107004000,,,,,,,,,,2,100,1003,1214,2226,13018,,,
13019,7,112.56968,37.882291,坝陵桥街道,,140107,0351,140107005000,,,,,,,,,,2,100,1003,1214,2226,13019,,,
13020,7,112.592778,37.875,大东关街道,,140107,0351,140107006000,,,,,,,,,,2,100,1003,1214,2226,13020,,,
13021,7,112.58842,37.890679,职工新街街道,,140107,0351,140107007000,,,,,,,,,,2,100,1003,1214,2226,13021,,,
13022,7,112.578272,37.894383,敦化坊街道,,140107,0351,140107008000,,,,,,,,,,2,100,1003,1214,2226,13022,,,
13023,7,112.569823,37.917135,涧河街道,,140107,0351,140107009000,,,,,,,,,,2,100,1003,1214,2226,13023,,,
13024,7,112.625503,37.87829,杨家峪街道,,140107,0351,140107010000,,,,,,,,,,2,100,1003,1214,2226,13024,,,
13025,7,112.577653,37.914709,中涧河乡,,140107,0351,140107200000,,,,,,,,,,2,100,1003,1214,2226,13025,,,
13026,7,112.615862,37.950085,小返乡,,140107,0351,140107201000,,,,,,,,,,2,100,1003,1214,2226,13026,,,
13027,7,112.564624,37.913201,尖草坪街道,,140108,0351,140108001000,,,,,,,,,,2,100,1003,1214,2227,13027,,,
13028,7,112.556887,37.93406,光社街道,,140108,0351,140108002000,,,,,,,,,,2,100,1003,1214,2227,13028,,,
13029,7,112.456282,38.003694,上兰街道,,140108,0351,140108003000,,,,,,,,,,2,100,1003,1214,2227,13029,,,
13030,7,112.532131,37.956842,南寨街道,,140108,0351,140108004000,,,,,,,,,,2,100,1003,1214,2227,13030,,,
13031,7,112.539149,37.955975,迎新街道,,140108,0351,140108005000,,,,,,,,,,2,100,1003,1214,2227,13031,,,
13032,7,112.537697,37.920831,古城街道,,140108,0351,140108006000,,,,,,,,,,2,100,1003,1214,2227,13032,,,
13033,7,112.522721,37.897324,汇丰街道,,140108,0351,140108007000,,,,,,,,,,2,100,1003,1214,2227,13033,,,
13034,7,112.489685,37.93815,柴村街道,,140108,0351,140108008000,,,,,,,,,,2,100,1003,1214,2227,13034,,,
13035,7,112.486691,37.940387,新城街道,,140108,0351,140108009000,,,,,,,,,,2,100,1003,1214,2227,13035,,,
13036,7,112.511396,37.992214,向阳镇,,140108,0351,140108100000,,,,,,,,,,2,100,1003,1214,2227,13036,,,
13037,7,112.585304,37.98439,阳曲镇,,140108,0351,140108101000,,,,,,,,,,2,100,1003,1214,2227,13037,,,
13038,7,112.414671,37.956882,马头水乡,,140108,0351,140108200000,,,,,,,,,,2,100,1003,1214,2227,13038,,,
13039,7,112.483876,38.024085,柏板乡,,140108,0351,140108201000,,,,,,,,,,2,100,1003,1214,2227,13039,,,
13040,7,112.532551,38.023182,西墕乡,,140108,0351,140108202000,,,,,,,,,,2,100,1003,1214,2227,13040,,,
13041,7,112.514493,37.862792,千峰街道,,140109,0351,140109001000,,,,,,,,,,2,100,1003,1214,2228,13041,,,
13042,7,112.507288,37.854701,下元街道,,140109,0351,140109002000,,,,,,,,,,2,100,1003,1214,2228,13042,,,
13043,7,112.496384,37.861571,和平街道,,140109,0351,140109003000,,,,,,,,,,2,100,1003,1214,2228,13043,,,
13044,7,112.523319,37.887371,兴华街道,,140108,0351,140109004000,,,,,,,,,,2,100,1003,1214,2228,13044,,,
13045,7,112.512232,37.886456,万柏林街道,,140109,0351,140109005000,,,,,,,,,,2,100,1003,1214,2228,13045,,,
13046,7,112.410025,37.837474,杜儿坪街道,,140109,0351,140109006000,,,,,,,,,,2,100,1003,1214,2228,13046,,,
13047,7,112.44071,37.83758,白家庄街道,,140109,0351,140109007000,,,,,,,,,,2,100,1003,1214,2228,13047,,,
13048,7,112.458575,37.853977,南寒街道,,140109,0351,140109008000,,,,,,,,,,2,100,1003,1214,2228,13048,,,
13049,7,112.471125,37.8815,东社街道,,140109,0351,140109009000,,,,,,,,,,2,100,1003,1214,2228,13049,,,
13050,7,112.392447,37.882596,化客头街道,,140109,0351,140109010000,,,,,,,,,,2,100,1003,1214,2228,13050,,,
13051,7,112.50462,37.851279,小井峪街道,,140109,0351,140109011000,,,,,,,,,,2,100,1003,1214,2228,13051,,,
13052,7,112.43947,37.863639,西铭街道,,140109,0351,140109012000,,,,,,,,,,2,100,1003,1214,2228,13052,,,
13053,7,112.50829,37.821082,长风西街街道,,140109,0351,140109013000,,,,,,,,,,2,100,1003,1214,2228,13053,,,
13054,7,112.489998,37.812439,神堂沟街道,,140110,0351,140109014000,,,,,,,,,,2,100,1003,1214,2228,13054,,,
13055,7,112.355503,37.89832,王封乡,,140109,0351,140109200000,,,,,,,,,,2,100,1003,1214,2228,13055,,,
13056,7,112.516172,37.815618,义井街道,,140109,0351,140110001000,,,,,,,,,,2,100,1003,1214,2229,13056,,,
13057,7,112.485412,37.767954,罗城街道,,140110,0351,140110002000,,,,,,,,,,2,100,1003,1214,2229,13057,,,
13058,7,112.482218,37.729047,晋源街道,,140110,0351,140110003000,,,,,,,,,,2,100,1003,1214,2229,13058,,,
13059,7,112.490346,37.783089,金胜镇,,140110,0351,140110100000,,,,,,,,,,2,100,1003,1214,2229,13059,,,
13060,7,112.442789,37.698777,晋祠镇,,140110,0351,140110101000,,,,,,,,,,2,100,1003,1214,2229,13060,,,
13061,7,112.389912,37.650774,姚村镇,,140110,0351,140110102000,,,,,,,,,,2,100,1003,1214,2229,13061,,,
13062,7,112.370155,37.593832,清源镇,,140121,0351,140121100000,,,,,,,,,,2,100,1003,1214,2230,13062,,,
13063,7,112.506604,37.56402,徐沟镇,,140121,0351,140121101000,,,,,,,,,,2,100,1003,1214,2230,13063,,,
13064,7,112.269751,37.600712,东于镇,,140121,0351,140121102000,,,,,,,,,,2,100,1003,1214,2230,13064,,,
13065,7,112.411239,37.494674,孟封镇,,140121,0351,140121103000,,,,,,,,,,2,100,1003,1214,2230,13065,,,
13066,7,112.309899,37.621736,马峪乡,,140121,0351,140121200000,,,,,,,,,,2,100,1003,1214,2230,13066,,,
13067,7,112.329065,37.524223,柳杜乡,,140121,0351,140121201000,,,,,,,,,,2,100,1003,1214,2230,13067,,,
13068,7,112.409901,37.570825,西谷乡,,140121,0351,140121202000,,,,,,,,,,2,100,1003,1214,2230,13068,,,
13069,7,112.478977,37.592635,王答乡,,140121,0351,140121203000,,,,,,,,,,2,100,1003,1214,2230,13069,,,
13070,7,112.566528,37.550678,集义乡,,140121,0351,140121204000,,,,,,,,,,2,100,1003,1214,2230,13070,,,
13071,7,112.67637,38.061324,黄寨镇,,140122,0351,140122100000,,,,,,,,,,2,100,1003,1214,2231,13071,,,
13072,7,112.724944,38.17685,大盂镇,,140122,0351,140122101000,,,,,,,,,,2,100,1003,1214,2231,13072,,,
13073,7,112.783959,38.070412,东黄水镇,,140122,0351,140122102000,,,,,,,,,,2,100,1003,1214,2231,13073,,,
13074,7,112.544039,38.088877,泥屯镇,,140122,0351,140122103000,,,,,,,,,,2,100,1003,1214,2231,13074,,,
13075,7,112.68626,38.16575,高村乡,,140122,0351,140122200000,,,,,,,,,,2,100,1003,1214,2231,13075,,,
13076,7,112.659798,38.025413,侯村乡,,140122,0351,140122201000,,,,,,,,,,2,100,1003,1214,2231,13076,,,
13077,7,112.936302,38.050478,凌井店乡,,140122,0351,140122202000,,,,,,,,,,2,100,1003,1214,2231,13077,,,
13078,7,112.422273,38.13597,西凌井乡,,140122,0351,140122203000,,,,,,,,,,2,100,1003,1214,2231,13078,,,
13079,7,112.306458,38.221351,北小店乡,,140122,0351,140122204000,,,,,,,,,,2,100,1003,1214,2231,13079,,,
13080,7,112.896057,38.248526,杨兴乡,,140122,0351,140122205000,,,,,,,,,,2,100,1003,1214,2231,13080,,,
13081,7,112.672953,38.058489,中心镇,,140122,0351,140122400000,,,,,,,,,,2,100,1003,1214,2231,13081,,,
13082,7,111.797615,38.070146,娄烦镇,,140123,0351,140123100000,,,,,,,,,,2,100,1003,1214,2232,13082,,,
13083,7,111.831772,38.163644,静游镇,,140123,0351,140123101000,,,,,,,,,,2,100,1003,1214,2232,13083,,,
13084,7,111.941706,38.042779,杜交曲镇,,140123,0351,140123102000,,,,,,,,,,2,100,1003,1214,2232,13084,,,
13085,7,111.899542,38.094039,庙湾乡,,140123,0351,140123200000,,,,,,,,,,2,100,1003,1214,2232,13085,,,
13086,7,111.633701,38.010583,马家庄乡,,140123,0351,140123201000,,,,,,,,,,2,100,1003,1214,2232,13086,,,
13087,7,111.637102,38.0911,盖家庄乡,,140123,0351,140123202000,,,,,,,,,,2,100,1003,1214,2232,13087,,,
13088,7,111.681818,37.943807,米峪镇乡,,140123,0351,140123203000,,,,,,,,,,2,100,1003,1214,2232,13088,,,
13089,7,111.862741,37.942081,天池店乡,,140123,0351,140123204000,,,,,,,,,,2,100,1003,1214,2232,13089,,,
13090,7,112.584525,37.829681,唐槐园区街道,,140105,0351,140171401000,,,,,,,,,,2,100,1003,1214,2233,13090,,,
13091,7,112.56925,37.794968,学府园区街道,,140105,0351,140171402000,,,,,,,,,,2,100,1003,1214,2233,13091,,,
13092,7,112.58918,37.99398,阳曲产业园区街道,,140108,0351,140171403000,,,,,,,,,,2,100,1003,1214,2233,13092,,,
13093,7,112.548879,37.87059,潇河园区街道,,140100,0351,140171404000,,,,,,,,,,2,100,1003,1214,2233,13093,,,
13094,7,112.548879,37.87059,科创城街道,,140100,0351,140171405000,,,,,,,,,,2,100,1003,1214,2233,13094,,,
13095,7,112.183858,37.904681,东曲街道,,140181,0351,140181001000,,,,,,,,,,2,100,1003,1214,2234,13095,,,
13096,7,112.166503,37.92085,西曲街道,,140181,0351,140181002000,,,,,,,,,,2,100,1003,1214,2234,13096,,,
13097,7,112.153151,37.916679,桃园街道,,140181,0351,140181003000,,,,,,,,,,2,100,1003,1214,2234,13097,,,
13098,7,112.10749,37.901591,屯兰街道,,140181,0351,140181004000,,,,,,,,,,2,100,1003,1214,2234,13098,,,
13099,7,112.224762,37.923749,河口镇,,140181,0351,140181100000,,,,,,,,,,2,100,1003,1214,2234,13099,,,
13100,7,112.066955,37.9519,镇城底镇,,140181,0351,140181101000,,,,,,,,,,2,100,1003,1214,2234,13100,,,
13101,7,112.033752,37.849267,马兰镇,,140181,0351,140181102000,,,,,,,,,,2,100,1003,1214,2234,13101,,,
13102,7,112.153033,38.098308,阁上乡,,140181,0351,140181200000,,,,,,,,,,2,100,1003,1214,2234,13102,,,
13103,7,112.099439,37.991609,加乐泉乡,,140181,0351,140181201000,,,,,,,,,,2,100,1003,1214,2234,13103,,,
13104,7,112.087776,37.944397,梭峪乡,,140181,0351,140181202000,,,,,,,,,,2,100,1003,1214,2234,13104,,,
13105,7,111.895655,37.849082,岔口乡,,140181,0351,140181203000,,,,,,,,,,2,100,1003,1214,2234,13105,,,
13106,7,112.043657,37.803201,常安乡,,140181,0351,140181204000,,,,,,,,,,2,100,1003,1214,2234,13106,,,
13107,7,112.07939,37.784305,原相乡,,140181,0351,140181205000,,,,,,,,,,2,100,1003,1214,2234,13107,,,
13108,7,112.187537,37.798826,邢家社乡,,140181,0351,140181206000,,,,,,,,,,2,100,1003,1214,2234,13108,,,
13109,7,113.158625,40.2638,新荣镇,,140212,0352,140212100000,,,,,,,,,,2,100,1003,1215,2235,13109,,,
13110,7,113.308368,40.171945,古店镇,,140211,0352,140212101000,,,,,,,,,,2,100,1003,1215,2235,13110,,,
13111,7,113.009856,40.224831,破鲁堡乡,,140212,0352,140212200000,,,,,,,,,,2,100,1003,1215,2235,13111,,,
13112,7,113.040938,40.282739,郭家窑乡,,140212,0352,140212202000,,,,,,,,,,2,100,1003,1215,2235,13112,,,
13113,7,113.346302,40.161667,花元屯乡,,140212,0352,140212203000,,,,,,,,,,2,100,1003,1215,2235,13113,,,
13114,7,113.223849,40.231371,西村乡,,140212,0352,140212206000,,,,,,,,,,2,100,1003,1215,2235,13114,,,
13115,7,113.044806,40.188813,上深涧乡,,140212,0352,140212207000,,,,,,,,,,2,100,1003,1215,2235,13115,,,
13116,7,113.275608,40.349799,堡子湾乡,,140212,0352,140212209000,,,,,,,,,,2,100,1003,1215,2235,13116,,,
13117,7,112.708329,39.996068,南关街道,,140226,0352,140213001000,,,,,,,,,,2,100,1003,1215,2236,13117,,,
13118,7,113.302372,40.113891,北关街道,,140202,0352,140213002000,,,,,,,,,,2,100,1003,1215,2236,13118,,,
13119,7,113.615229,40.039602,东街街道,,140227,0352,140213003000,,,,,,,,,,2,100,1003,1215,2236,13119,,,
13120,7,113.298966,40.093888,西街街道,,140202,0352,140213004000,,,,,,,,,,2,100,1003,1215,2236,13120,,,
13121,7,113.2707,40.079513,南街街道,,140202,0352,140213005000,,,,,,,,,,2,100,1003,1215,2236,13121,,,
13122,7,113.303614,40.100183,北街街道,,140202,0352,140213006000,,,,,,,,,,2,100,1003,1215,2236,13122,,,
13123,7,113.284014,40.083038,新建南路街道,,140202,0352,140213007000,,,,,,,,,,2,100,1003,1215,2236,13123,,,
