gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
35941,7,113.2483,23.107235,沙面街道,,440103,020,440103001000,,,,,,,,,,2,100,1018,1396,3850,35941,,,
35942,7,113.247694,23.110019,岭南街道,,440103,020,440103002000,,,,,,,,,,2,100,1018,1396,3850,35942,,,
35943,7,113.243446,23.11782,华林街道,,440103,020,440103003000,,,,,,,,,,2,100,1018,1396,3850,35943,,,
35944,7,113.238196,23.116253,多宝街道,,440103,020,440103004000,,,,,,,,,,2,100,1018,1396,3850,35944,,,
35945,7,113.235955,23.11561,昌华街道,,440103,020,440103005000,,,,,,,,,,2,100,1018,1396,3850,35945,,,
35946,7,113.242893,23.12339,逢源街道,,440103,020,440103006000,,,,,,,,,,2,100,1018,1396,3850,35946,,,
35947,7,113.248614,23.122688,龙津街道,,440103,020,440103007000,,,,,,,,,,2,100,1018,1396,3850,35947,,,
35948,7,113.249816,23.127538,金花街道,,440103,020,440103008000,,,,,,,,,,2,100,1018,1396,3850,35948,,,
35949,7,113.237818,23.128855,彩虹街道,,440103,020,440103009000,,,,,,,,,,2,100,1018,1396,3850,35949,,,
35950,7,113.234523,23.137531,南源街道,,440103,020,440103010000,,,,,,,,,,2,100,1018,1396,3850,35950,,,
35951,7,113.23906,23.144299,西村街道,,440103,020,440103011000,,,,,,,,,,2,100,1018,1396,3850,35951,,,
35952,7,113.247835,23.139892,站前街道,,440103,020,440103012000,,,,,,,,,,2,100,1018,1396,3850,35952,,,
35953,7,113.224984,23.120577,桥中街道,,440103,020,440103013000,,,,,,,,,,2,100,1018,1396,3850,35953,,,
35954,7,113.246758,23.079236,白鹤洞街道,,440103,020,440103014000,,,,,,,,,,2,100,1018,1396,3850,35954,,,
35955,7,113.246917,23.085414,冲口街道,,440103,020,440103015000,,,,,,,,,,2,100,1018,1396,3850,35955,,,
35956,7,113.234166,23.098943,花地街道,,440103,020,440103016000,,,,,,,,,,2,100,1018,1396,3850,35956,,,
35957,7,113.212597,23.111935,石围塘街道,,440103,020,440103017000,,,,,,,,,,2,100,1018,1396,3850,35957,,,
35958,7,113.224691,23.08783,茶滘街道,,440103,020,440103018000,,,,,,,,,,2,100,1018,1396,3850,35958,,,
35959,7,113.224579,23.079956,东漖街道,,440103,020,440103019000,,,,,,,,,,2,100,1018,1396,3850,35959,,,
35960,7,113.212928,23.072749,海龙街道,,440103,020,440103020000,,,,,,,,,,2,100,1018,1396,3850,35960,,,
35961,7,113.24431,23.05541,东沙街道,,440103,020,440103021000,,,,,,,,,,2,100,1018,1396,3850,35961,,,
35962,7,113.221608,23.051783,中南街道,,440103,020,440103022000,,,,,,,,,,2,100,1018,1396,3850,35962,,,
