dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
51620,7,87.598766,43.738733,燕儿窝街道,,650102,0991,650102002000,,,,,,,,,,2,100,1030,1528,4890,51620,,,
51621,7,87.63186,43.76214,胜利路街道,,650102,0991,650102003000,,,,,,,,,,2,100,1030,1528,4890,51621,,,
51622,7,87.619154,43.777882,团结路街道,,650102,0991,650102004000,,,,,,,,,,2,100,1030,1528,4890,51622,,,
51623,7,87.621068,43.784832,解放南路街道,,650102,0991,650102005000,,,,,,,,,,2,100,1030,1528,4890,51623,,,
51624,7,87.609647,43.77919,新华南路街道,,650102,0991,650102006000,,,,,,,,,,2,100,1030,1528,4890,51624,,,
51625,7,87.62129,43.780204,和平路街道,,650102,0991,650102007000,,,,,,,,,,2,100,1030,1528,4890,51625,,,
51626,7,87.619863,43.79267,解放北路街道,,650102,0991,650102008000,,,,,,,,,,2,100,1030,1528,4890,51626,,,
51627,7,87.634501,43.790732,幸福路街道,,650102,0991,650102009000,,,,,,,,,,2,100,1030,1528,4890,51627,,,
51628,7,87.631914,43.799671,东门街道,,650102,0991,650102010000,,,,,,,,,,2,100,1030,1528,4890,51628,,,
51629,7,87.612001,43.796305,新华北路街道,,650102,0991,650102011000,,,,,,,,,,2,100,1030,1528,4890,51629,,,
51630,7,87.618828,43.806892,青年路街道,,650102,0991,650102012000,,,,,,,,,,2,100,1030,1528,4890,51630,,,
51631,7,87.640707,43.801104,碱泉街道,,650102,0991,650102013000,,,,,,,,,,2,100,1030,1528,4890,51631,,,
51632,7,87.63327,43.754424,延安路街道,,650102,0991,650102014000,,,,,,,,,,2,100,1030,1528,4890,51632,,,
51633,7,87.631676,43.794399,红雁街道,,650102,0991,650102015000,,,,,,,,,,2,100,1030,1528,4890,51633,,,
51634,7,87.631676,43.794399,南草滩街道,,650102,0991,650102016000,,,,,,,,,,2,100,1030,1528,4890,51634,,,
51635,7,87.660927,43.791205,东泉路街道,,650102,0991,650102017000,,,,,,,,,,2,100,1030,1528,4890,51635,,,
51636,7,87.618895,43.785066,二道桥片区,,650102,0991,650102400000,,,,,,,,,,2,100,1030,1528,4890,51636,,,
51637,7,87.640836,43.778605,黑甲山片区,,650102,0991,650102401000,,,,,,,,,,2,100,1030,1528,4890,51637,,,
51638,7,87.636024,43.753265,大湾片区,,650102,0991,650102402000,,,,,,,,,,2,100,1030,1528,4890,51638,,,
51639,7,87.620346,43.756203,赛马场片区,,650102,0991,650102403000,,,,,,,,,,2,100,1030,1528,4890,51639,,,
51640,7,87.636813,43.765889,南湾街片区,,650102,0991,650102404000,,,,,,,,,,2,100,1030,1528,4890,51640,,,
51641,7,87.631676,43.794399,大巴扎片区,,650102,0991,650102405000,,,,,,,,,,2,100,1030,1528,4890,51641,,,
51642,7,87.595205,43.788841,长江路街道,,650103,0991,650103001000,,,,,,,,,,2,100,1030,1528,4891,51642,,,
51643,7,87.602821,43.791919,和田街街道,,650103,0991,650103002000,,,,,,,,,,2,100,1030,1528,4891,51643,,,
51644,7,87.598659,43.799948,扬子江路街道,,650103,0991,650103003000,,,,,,,,,,2,100,1030,1528,4891,51644,,,
51645,7,87.594205,43.812279,友好南路街道,,650103,0991,650103004000,,,,,,,,,,2,100,1030,1528,4891,51645,,,
51646,7,87.594365,43.827706,友好北路街道,,650103,0991,650103005000,,,,,,,,,,2,100,1030,1528,4891,51646,,,
51647,7,87.586294,43.817776,八一街道,,650103,0991,650103006000,,,,,,,,,,2,100,1030,1528,4891,51647,,,
51648,7,87.594808,43.778381,炉院街街道,,650103,0991,650103007000,,,,,,,,,,2,100,1030,1528,4891,51648,,,
51649,7,87.538644,43.802678,西山街道,,650103,0991,650103008000,,,,,,,,,,2,100,1030,1528,4891,51649,,,
51650,7,87.581597,43.778191,雅玛里克山街道,,650103,0991,650103009000,,,,,,,,,,2,100,1030,1528,4891,51650,,,
51651,7,87.575065,43.828934,红庙子街道,,650103,0991,650103010000,,,,,,,,,,2,100,1030,1528,4891,51651,,,
51652,7,87.598195,43.800939,长胜东街道,,650103,0991,650103011000,,,,,,,,,,2,100,1030,1528,4891,51652,,,
51653,7,87.598195,43.800939,长胜西街道,,650103,0991,650103012000,,,,,,,,,,2,100,1030,1528,4891,51653,,,
51654,7,87.598195,43.800939,长胜南街道,,650103,0991,650103013000,,,,,,,,,,2,100,1030,1528,4891,51654,,,
51655,7,87.589027,43.779858,火车南站街道,,650103,0991,650103014000,,,,,,,,,,2,100,1030,1528,4891,51655,,,
51656,7,87.570399,43.752281,仓房沟片区街道,,650103,0991,650103015000,,,,,,,,,,2,100,1030,1528,4891,51656,,,
51657,7,87.551316,43.801899,环卫路街道,,650103,0991,650103016000,,,,,,,,,,2,100,1030,1528,4891,51657,,,
51658,7,87.521738,43.809683,骑马山街道,,650103,0991,650103017000,,,,,,,,,,2,100,1030,1528,4891,51658,,,
51659,7,87.570878,43.828818,平顶山街道,,650103,0991,650103018000,,,,,,,,,,2,100,1030,1528,4891,51659,,,
51660,7,87.598195,43.800939,兵团农十二师一零四团,,650103,0991,650103501000,,,,,,,,,,2,100,1030,1528,4891,51660,,,
51661,7,87.598195,43.800939,兵团十二师西山农场,,650103,0991,650103502000,,,,,,,,,,2,100,1030,1528,4891,51661,,,
51662,7,87.575276,43.835963,北京路街道,,650104,0991,650104001000,,,,,,,,,,2,100,1030,1528,4892,51662,,,
51663,7,87.571042,43.877026,二工街道,,650104,0991,650104002000,,,,,,,,,,2,100,1030,1528,4892,51663,,,
51664,7,87.546844,43.890258,三工街道,,650104,0991,650104003000,,,,,,,,,,2,100,1030,1528,4892,51664,,,
51665,7,87.526165,43.874999,石油新村街道,,650104,0991,650104004000,,,,,,,,,,2,100,1030,1528,4892,51665,,,
51666,7,87.493451,43.892993,迎宾路街道,,650104,0991,650104005000,,,,,,,,,,2,100,1030,1528,4892,51666,,,
51667,7,87.587636,43.903311,喀什东路街道,,650104,0991,650104006000,,,,,,,,,,2,100,1030,1528,4892,51667,,,
51668,7,87.595178,43.86777,八家户街道,,650104,0991,650104009000,,,,,,,,,,2,100,1030,1528,4892,51668,,,
51669,7,87.59096,43.848261,银川路街道,,650104,0991,650104010000,,,,,,,,,,2,100,1030,1528,4892,51669,,,
51670,7,87.552201,43.866409,南纬路街道,,650104,0991,650104011000,,,,,,,,,,2,100,1030,1528,4892,51670,,,
51671,7,87.57443,43.894451,杭州路街道,,650104,0991,650104012000,,,,,,,,,,2,100,1030,1528,4892,51671,,,
51672,7,87.585555,43.850633,鲤鱼山街道,,650104,0991,650104013000,,,,,,,,,,2,100,1030,1528,4892,51672,,,
51673,7,87.540455,43.919827,百园路街道,,650104,0991,650104014000,,,,,,,,,,2,100,1030,1528,4892,51673,,,
51674,7,87.590284,43.960421,正扬路街道,,650104,0991,650104015000,,,,,,,,,,2,100,1030,1528,4892,51674,,,
51675,7,87.573916,43.843752,机场街道,,650104,0991,650104016000,,,,,,,,,,2,100,1030,1528,4892,51675,,,
51676,7,87.51401,43.899781,友谊路街道,,650104,0991,650104017000,,,,,,,,,,2,100,1030,1528,4892,51676,,,
51677,7,87.5723,43.85751,高新街街道,,650104,0991,650104018000,,,,,,,,,,2,100,1030,1528,4892,51677,,,
51678,7,87.585899,43.887502,长春中路街道,,650104,0991,650104019000,,,,,,,,,,2,100,1030,1528,4892,51678,,,
51679,7,87.504932,43.981545,安宁渠镇,,650104,0991,650104100000,,,,,,,,,,2,100,1030,1528,4892,51679,,,
51680,7,87.563648,43.878743,二工乡,,650104,0991,650104200000,,,,,,,,,,2,100,1030,1528,4892,51680,,,
51681,7,87.514643,43.884155,地窝堡乡,,650104,0991,650104201000,,,,,,,,,,2,100,1030,1528,4892,51681,,,
51682,7,87.521755,44.029974,青格达湖乡,,650104,0991,650104202000,,,,,,,,,,2,100,1030,1528,4892,51682,,,
51683,7,87.458303,44.016544,六十户乡,,650104,0991,650104203000,,,,,,,,,,2,100,1030,1528,4892,51683,,,
51684,7,87.65688,43.835228,水磨沟街道,,650105,0991,650105001000,,,,,,,,,,2,100,1030,1528,4893,51684,,,
51685,7,87.632458,43.829549,六道湾街道,,650105,0991,650105002000,,,,,,,,,,2,100,1030,1528,4893,51685,,,
51686,7,87.647807,43.857632,苇湖梁街道,,650105,0991,650105003000,,,,,,,,,,2,100,1030,1528,4893,51686,,,
51687,7,87.676679,43.872887,八道湾街道,,650105,0991,650105004000,,,,,,,,,,2,100,1030,1528,4893,51687,,,
51688,7,87.611242,43.812849,新民路街道,,650105,0991,650105005000,,,,,,,,,,2,100,1030,1528,4893,51688,,,
51689,7,87.60759,43.829616,南湖南路街道,,650105,0991,650105006000,,,,,,,,,,2,100,1030,1528,4893,51689,,,
