gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
29878,7,113.618688,34.736062,林山寨街道,,410102,0371,410102001000,,,,,,,,,,2,100,1015,1350,3425,29878,,,
29879,7,113.612523,34.753785,建设路街道,,410102,0371,410102002000,,,,,,,,,,2,100,1015,1350,3425,29879,,,
29880,7,113.618535,34.756445,棉纺路街道,,410102,0371,410102003000,,,,,,,,,,2,100,1015,1350,3425,29880,,,
29881,7,113.603734,34.759669,秦岭路街道,,410102,0371,410102004000,,,,,,,,,,2,100,1015,1350,3425,29881,,,
29882,7,113.61556,34.768503,桐柏路街道,,410102,0371,410102005000,,,,,,,,,,2,100,1015,1350,3425,29882,,,
29883,7,113.596544,34.757699,三官庙街道,,410102,0371,410102006000,,,,,,,,,,2,100,1015,1350,3425,29883,,,
29884,7,113.611344,34.746519,绿东村街道,,410102,0371,410102007000,,,,,,,,,,2,100,1015,1350,3425,29884,,,
29885,7,113.596461,34.728642,汝河路街道,,410102,0371,410102008000,,,,,,,,,,2,100,1015,1350,3425,29885,,,
29886,7,113.606693,34.733525,航海西路街道,,410102,0371,410102009000,,,,,,,,,,2,100,1015,1350,3425,29886,,,
29887,7,113.602471,34.74803,中原西路街道,,410102,0371,410102010000,,,,,,,,,,2,100,1015,1350,3425,29887,,,
29888,7,113.579473,34.766025,西流湖街道,,410102,0371,410102011000,,,,,,,,,,2,100,1015,1350,3425,29888,,,
29889,7,113.523381,34.759708,须水街道,,410102,0371,410102012000,,,,,,,,,,2,100,1015,1350,3425,29889,,,
29890,7,113.61285,34.748257,莲湖街道,,410102,0371,410102013000,,,,,,,,,,2,100,1015,1350,3425,29890,,,
29891,7,113.61285,34.748257,柳湖街道,,410102,0371,410102014000,,,,,,,,,,2,100,1015,1350,3425,29891,,,
29892,7,113.638582,34.73154,淮河路街道,,410103,0371,410103001000,,,,,,,,,,2,100,1015,1350,3426,29892,,,
29893,7,113.663639,34.753641,解放路街道,,410103,0371,410103002000,,,,,,,,,,2,100,1015,1350,3426,29893,,,
29894,7,113.659484,34.754967,铭功路街道,,410103,0371,410103003000,,,,,,,,,,2,100,1015,1350,3426,29894,,,
29895,7,113.662483,34.747183,一马路街道,,410103,0371,410103004000,,,,,,,,,,2,100,1015,1350,3426,29895,,,
29896,7,113.654138,34.747637,蜜蜂张街道,,410103,0371,410103005000,,,,,,,,,,2,100,1015,1350,3426,29896,,,
29897,7,113.646882,34.75586,五里堡街道,,410103,0371,410103006000,,,,,,,,,,2,100,1015,1350,3426,29897,,,
29898,7,113.646965,34.739418,大学路街道,,410103,0371,410103007000,,,,,,,,,,2,100,1015,1350,3426,29898,,,
29899,7,113.647221,34.735064,建中街街道,,410103,0371,410103008000,,,,,,,,,,2,100,1015,1350,3426,29899,,,
29900,7,113.656787,34.730701,福华街街道,,410103,0371,410103009000,,,,,,,,,,2,100,1015,1350,3426,29900,,,
29901,7,113.665017,34.749885,德化街街道,,410103,0371,410103010000,,,,,,,,,,2,100,1015,1350,3426,29901,,,
29902,7,113.64003,34.699986,嵩山路街道,,410103,0371,410103011000,,,,,,,,,,2,100,1015,1350,3426,29902,,,
29903,7,113.666948,34.710663,京广路街道,,410103,0371,410103012000,,,,,,,,,,2,100,1015,1350,3426,29903,,,
29904,7,113.643453,34.714265,长江路街道,,410103,0371,410103013000,,,,,,,,,,2,100,1015,1350,3426,29904,,,
29905,7,113.648894,34.700389,人和路街道,,410103,0371,410103015000,,,,,,,,,,2,100,1015,1350,3426,29905,,,
29906,7,113.587386,34.669302,侯寨街道,,410103,0371,410103016000,,,,,,,,,,2,100,1015,1350,3426,29906,,,
29907,7,113.532688,34.714876,马寨镇,,410103,0371,410103100000,,,,,,,,,,2,100,1015,1350,3426,29907,,,
29908,7,113.669772,34.75236,北下街街道,,410104,0371,410104001000,,,,,,,,,,2,100,1015,1350,3427,29908,,,
29909,7,113.673225,34.749882,西大街街道,,410104,0371,410104002000,,,,,,,,,,2,100,1015,1350,3427,29909,,,
29910,7,113.675431,34.742435,南关街道,,410104,0371,410104003000,,,,,,,,,,2,100,1015,1350,3427,29910,,,
29911,7,113.691254,34.752848,城东路街道,,410104,0371,410104004000,,,,,,,,,,2,100,1015,1350,3427,29911,,,
29912,7,113.688667,34.751403,东大街街道,,410104,0371,410104005000,,,,,,,,,,2,100,1015,1350,3427,29912,,,
29913,7,113.687797,34.727777,二里岗街道,,410104,0371,410104006000,,,,,,,,,,2,100,1015,1350,3427,29913,,,
29914,7,113.685196,34.733576,陇海马路街道,,410104,0371,410104007000,,,,,,,,,,2,100,1015,1350,3427,29914,,,
29915,7,113.691578,34.705154,紫荆山南路街道,,410104,0371,410104008000,,,,,,,,,,2,100,1015,1350,3427,29915,,,
29916,7,113.698831,34.718942,航海东路街道,,410104,0371,410104009000,,,,,,,,,,2,100,1015,1350,3427,29916,,,
29917,7,113.701073,34.674866,十八里河街道,,410104,0371,410104010000,,,,,,,,,,2,100,1015,1350,3427,29917,,,
29918,7,113.754078,34.668751,南曹乡,,410104,0371,410104201000,,,,,,,,,,2,100,1015,1350,3427,29918,,,
29919,7,113.815594,34.747228,圃田乡,,410104,0371,410104202000,,,,,,,,,,2,100,1015,1350,3427,29919,,,
29920,7,113.774445,34.744384,商都路街道,,410104,0371,410104570000,,,,,,,,,,2,100,1015,1350,3427,29920,,,
29921,7,113.669418,34.768403,经八路街道,,410105,0371,410105001000,,,,,,,,,,2,100,1015,1350,3428,29921,,,
29922,7,113.686765,34.770348,花园路街道,,410105,0371,410105002000,,,,,,,,,,2,100,1015,1350,3428,29922,,,
29923,7,113.683059,34.758021,人民路街道,,410105,0371,410105003000,,,,,,,,,,2,100,1015,1350,3428,29923,,,
29924,7,113.672237,34.760926,杜岭街道,,410105,0371,410105004000,,,,,,,,,,2,100,1015,1350,3428,29924,,,
29925,7,113.661386,34.77029,大石桥街道,,410105,0371,410105005000,,,,,,,,,,2,100,1015,1350,3428,29925,,,
29926,7,113.658265,34.7756,南阳路街道,,410105,0371,410105006000,,,,,,,,,,2,100,1015,1350,3428,29926,,,
29927,7,113.645215,34.789218,南阳新村街道,,410105,0371,410105007000,,,,,,,,,,2,100,1015,1350,3428,29927,,,
29928,7,113.659149,34.787988,文化路街道,,410105,0371,410105008000,,,,,,,,,,2,100,1015,1350,3428,29928,,,
29929,7,113.705183,34.783879,丰产路街道,,410105,0371,410105009000,,,,,,,,,,2,100,1015,1350,3428,29929,,,
29930,7,113.640119,34.80193,东风路街道,,410105,0371,410105010000,,,,,,,,,,2,100,1015,1350,3428,29930,,,
29931,7,113.691085,34.805799,北林路街道,,410105,0371,410105011000,,,,,,,,,,2,100,1015,1350,3428,29931,,,
29932,7,113.703599,34.758802,未来路街道,,410105,0371,410105012000,,,,,,,,,,2,100,1015,1350,3428,29932,,,
29933,7,113.718799,34.740039,凤凰台街道,,410105,0371,410105013000,,,,,,,,,,2,100,1015,1350,3428,29933,,,
29934,7,113.798612,34.813735,龙子湖街道,,410105,0371,410105014000,,,,,,,,,,2,100,1015,1350,3428,29934,,,
29935,7,113.767214,34.779738,祭城路街道,,410105,0371,410105015000,,,,,,,,,,2,100,1015,1350,3428,29935,,,
29936,7,113.805261,34.850199,兴达路街道,,410105,0371,410105016000,,,,,,,,,,2,100,1015,1350,3428,29936,,,
29937,7,113.664615,34.81947,国基路街道,,410105,0371,410105017000,,,,,,,,,,2,100,1015,1350,3428,29937,,,
29938,7,113.73425,34.845565,杨金路街道,,410105,0371,410105018000,,,,,,,,,,2,100,1015,1350,3428,29938,,,
29939,7,113.648352,34.816258,丰庆路街道,,410105,0371,410105019000,,,,,,,,,,2,100,1015,1350,3428,29939,,,
29940,7,113.726035,34.774587,如意湖街道,,410105,0371,410105560000,,,,,,,,,,2,100,1015,1350,3428,29940,,,
29941,7,113.79397,34.810047,博学路街道,,410105,0371,410105561000,,,,,,,,,,2,100,1015,1350,3428,29941,,,
29942,7,113.660555,34.800156,龙湖街道,,410105,0371,410105562000,,,,,,,,,,2,100,1015,1350,3428,29942,,,
29943,7,113.660555,34.800156,龙源路街道,,410105,0371,410105563000,,,,,,,,,,2,100,1015,1350,3428,29943,,,
29944,7,113.660555,34.800156,金光路街道,,410105,0371,410105564000,,,,,,,,,,2,100,1015,1350,3428,29944,,,
29945,7,113.314611,34.810176,济源路街道,,410106,0371,410106001000,,,,,,,,,,2,100,1015,1350,3429,29945,,,
29946,7,113.284481,34.805612,中心路街道,,410106,0371,410106002000,,,,,,,,,,2,100,1015,1350,3429,29946,,,
29947,7,113.297639,34.814698,新安路街道,,410106,0371,410106003000,,,,,,,,,,2,100,1015,1350,3429,29947,,,
29948,7,113.30263,34.820161,工业路街道,,410106,0371,410106004000,,,,,,,,,,2,100,1015,1350,3429,29948,,,
29949,7,113.29097,34.812899,矿山街道,,410106,0371,410106005000,,,,,,,,,,2,100,1015,1350,3429,29949,,,
29950,7,113.309132,34.788907,峡窝镇,,410106,0371,410106100000,,,,,,,,,,2,100,1015,1350,3429,29950,,,
29951,7,113.62656,34.870453,新城街道,,410108,0371,410108001000,,,,,,,,,,2,100,1015,1350,3430,29951,,,
29952,7,113.6306,34.803656,刘寨街道,,410108,0371,410108002000,,,,,,,,,,2,100,1015,1350,3430,29952,,,
29953,7,113.619289,34.820988,江山路街道,,410108,0371,410108003000,,,,,,,,,,2,100,1015,1350,3430,29953,,,
29954,7,113.625647,34.824033,长兴路街道,,410108,0371,410108004000,,,,,,,,,,2,100,1015,1350,3430,29954,,,
29955,7,113.667705,34.870388,迎宾路街道,,410108,0371,410108005000,,,,,,,,,,2,100,1015,1350,3430,29955,,,
29956,7,113.577468,34.889469,大河路街道,,410108,0371,410108006000,,,,,,,,,,2,100,1015,1350,3430,29956,,,
29957,7,113.672521,34.874804,花园口镇,,410108,0371,410108100000,,,,,,,,,,2,100,1015,1350,3430,29957,,,
29958,7,113.536492,34.879313,古荥镇,,410108,0371,410108101000,,,,,,,,,,2,100,1015,1350,3430,29958,,,
29959,7,114.031545,34.730038,青年路街道,,410122,0371,410122001000,,,,,,,,,,2,100,1015,1350,3431,29959,,,
29960,7,114.026912,34.717631,东风路街道,,410122,0371,410122002000,,,,,,,,,,2,100,1015,1350,3431,29960,,,
29961,7,113.963441,34.719661,广惠街街道,,410122,0371,410122003000,,,,,,,,,,2,100,1015,1350,3431,29961,,,
29962,7,114.109502,34.659404,韩寺镇,,410122,0371,410122101000,,,,,,,,,,2,100,1015,1350,3431,29962,,,
29963,7,114.089286,34.733345,官渡镇,,410122,0371,410122102000,,,,,,,,,,2,100,1015,1350,3431,29963,,,
29964,7,114.189841,34.861338,狼城岗镇,,410122,0371,410122103000,,,,,,,,,,2,100,1015,1350,3431,29964,,,
29965,7,113.943069,34.86068,万滩镇,,410122,0371,410122104000,,,,,,,,,,2,100,1015,1350,3431,29965,,,
29966,7,113.901642,34.729775,白沙镇,,410122,0371,410122105000,,,,,,,,,,2,100,1015,1350,3431,29966,,,
29967,7,113.91759,34.673431,郑庵镇,,410122,0371,410122106000,,,,,,,,,,2,100,1015,1350,3431,29967,,,
29968,7,114.007928,34.549364,黄店镇,,410122,0371,410122109000,,,,,,,,,,2,100,1015,1350,3431,29968,,,
29969,7,114.032375,34.780631,大孟镇,,410122,0371,410122110000,,,,,,,,,,2,100,1015,1350,3431,29969,,,
29970,7,113.947716,34.791685,刘集镇,,410122,0371,410122112000,,,,,,,,,,2,100,1015,1350,3431,29970,,,
29971,7,114.078527,34.863742,雁鸣湖镇,,410122,0371,410122114000,,,,,,,,,,2,100,1015,1350,3431,29971,,,
29972,7,114.022053,34.655896,姚家镇,,410122,0371,410122115000,,,,,,,,,,2,100,1015,1350,3431,29972,,,
29973,7,114.084882,34.543463,刁家乡,,410122,0371,410122208000,,,,,,,,,,2,100,1015,1350,3431,29973,,,
29974,7,113.976181,34.71895,杨桥街道,,410122,0371,410122570000,,,,,,,,,,2,100,1015,1350,3431,29974,,,
29975,7,113.976181,34.71895,豫兴街道,,410122,0371,410122571000,,,,,,,,,,2,100,1015,1350,3431,29975,,,
29976,7,113.850492,34.682409,九龙镇,,410122,0371,410171111000,,,,,,,,,,2,100,1015,1350,3432,29976,,,
29977,7,113.743251,34.721775,郑州经济技术开发区明湖街道,,410104,0371,410171560000,,,,,,,,,,2,100,1015,1350,3432,29977,,,
29978,7,113.743251,34.721775,郑州经济技术开发区潮河街道,,410104,0371,410171561000,,,,,,,,,,2,100,1015,1350,3432,29978,,,
29979,7,113.743251,34.721775,郑州经济技术开发区京航街道,,410104,0371,410171562000,,,,,,,,,,2,100,1015,1350,3432,29979,,,
29980,7,113.743251,34.721775,郑州经济技术开发区前程街道,,410104,0371,410171563000,,,,,,,,,,2,100,1015,1350,3432,29980,,,
29981,7,113.743251,34.721775,郑州经济技术开发区祥云街道,,410104,0371,410171565000,,,,,,,,,,2,100,1015,1350,3432,29981,,,
29982,7,113.584572,34.781962,石佛镇,,410102,0371,410172160000,,,,,,,,,,2,100,1015,1350,3433,29982,,,
29983,7,113.52013,34.804523,沟赵乡,,410102,0371,410172360000,,,,,,,,,,2,100,1015,1350,3433,29983,,,
29984,7,113.554074,34.814216,枫杨街道,,410102,0371,410172560000,,,,,,,,,,2,100,1015,1350,3433,29984,,,
29985,7,113.547083,34.794171,梧桐街道,,410102,0371,410172561000,,,,,,,,,,2,100,1015,1350,3433,29985,,,
29986,7,113.56343,34.801278,双桥街道,,410102,0371,410172562000,,,,,,,,,,2,100,1015,1350,3433,29986,,,
29987,7,113.890527,34.567489,张庄镇,,410122,0371,410173108000,,,,,,,,,,2,100,1015,1350,3434,29987,,,
29988,7,113.936344,34.592906,八岗镇,,410122,0371,410173113000,,,,,,,,,,2,100,1015,1350,3434,29988,,,
29989,7,113.625368,34.746599,三官庙镇,,410100,0371,410173116000,,,,,,,,,,2,100,1015,1350,3434,29989,,,
29990,7,113.827262,34.375276,八千乡,,410184,0371,410173202000,,,,,,,,,,2,100,1015,1350,3434,29990,,,
29991,7,113.625368,34.746599,龙王乡,,410100,0371,410173203000,,,,,,,,,,2,100,1015,1350,3434,29991,,,
29992,7,113.625368,34.746599,新港街道,,410100,0371,410173400000,,,,,,,,,,2,100,1015,1350,3434,29992,,,
29993,7,113.625368,34.746599,郑港街道,,410100,0371,410173401000,,,,,,,,,,2,100,1015,1350,3434,29993,,,
29994,7,113.623928,34.826123,银河街道,,410108,0371,410173404000,,,,,,,,,,2,100,1015,1350,3434,29994,,,
29995,7,113.625368,34.746599,明港街道,,410100,0371,410173405000,,,,,,,,,,2,100,1015,1350,3434,29995,,,
29996,7,113.625368,34.746599,滨河街道,,410100,0371,410173580000,,,,,,,,,,2,100,1015,1350,3434,29996,,,
29997,7,113.985188,34.468526,冯堂街道,,410122,0371,410173581000,,,,,,,,,,2,100,1015,1350,3434,29997,,,
29998,7,113.625368,34.746599,清河街道,,410100,0371,410173582000,,,,,,,,,,2,100,1015,1350,3434,29998,,,
29999,7,113.625368,34.746599,龙港街道,,410100,0371,410173583000,,,,,,,,,,2,100,1015,1350,3434,29999,,,
30000,7,112.98404,34.751361,新华路街道,,410181,0371,410181001000,,,,,,,,,,2,100,1015,1350,3435,30000,,,
30001,7,112.98257,34.743901,杜甫路街道,,410181,0371,410181002000,,,,,,,,,,2,100,1015,1350,3435,30001,,,
30002,7,112.963805,34.702398,永安路街道,,410181,0371,410181003000,,,,,,,,,,2,100,1015,1350,3435,30002,,,
30003,7,112.97585,34.759877,孝义街道,,410181,0371,410181004000,,,,,,,,,,2,100,1015,1350,3435,30003,,,
30004,7,113.024512,34.753768,紫荆路街道,,410181,0371,410181005000,,,,,,,,,,2,100,1015,1350,3435,30004,,,
30005,7,113.239115,34.723761,米河镇,,410181,0371,410181100000,,,,,,,,,,2,100,1015,1350,3435,30005,,,
30006,7,113.21088,34.687776,新中镇,,410181,0371,410181101000,,,,,,,,,,2,100,1015,1350,3435,30006,,,
30007,7,113.171233,34.705773,小关镇,,410181,0371,410181102000,,,,,,,,,,2,100,1015,1350,3435,30007,,,
30008,7,113.125444,34.700323,竹林镇,,410181,0371,410181103000,,,,,,,,,,2,100,1015,1350,3435,30008,,,
30009,7,113.097676,34.713231,大峪沟镇,,410181,0371,410181104000,,,,,,,,,,2,100,1015,1350,3435,30009,,,
30010,7,113.081817,34.825486,河洛镇,,410181,0371,410181105000,,,,,,,,,,2,100,1015,1350,3435,30010,,,
30011,7,113.061753,34.788704,站街镇,,410181,0371,410181106000,,,,,,,,,,2,100,1015,1350,3435,30011,,,
30012,7,112.950607,34.755128,康店镇,,410181,0371,410181108000,,,,,,,,,,2,100,1015,1350,3435,30012,,,
30013,7,113.003239,34.728114,北山口镇,,410181,0371,410181110000,,,,,,,,,,2,100,1015,1350,3435,30013,,,
30014,7,112.962509,34.644009,西村镇,,410181,0371,410181111000,,,,,,,,,,2,100,1015,1350,3435,30014,,,
30015,7,112.945632,34.692851,芝田镇,,410181,0371,410181112000,,,,,,,,,,2,100,1015,1350,3435,30015,,,
30016,7,112.871479,34.679943,回郭镇,,410181,0371,410181113000,,,,,,,,,,2,100,1015,1350,3435,30016,,,
30017,7,112.872208,34.61754,鲁庄镇,,410181,0371,410181114000,,,,,,,,,,2,100,1015,1350,3435,30017,,,
30018,7,113.03015,34.626022,夹津口镇,,410181,0371,410181115000,,,,,,,,,,2,100,1015,1350,3435,30018,,,
30019,7,113.06188,34.617718,涉村镇,,410181,0371,410181116000,,,,,,,,,,2,100,1015,1350,3435,30019,,,
30020,7,113.376851,34.787632,索河街道,,410182,0371,410182001000,,,,,,,,,,2,100,1015,1350,3436,30020,,,
30021,7,113.39257,34.797579,京城路街道,,410182,0371,410182002000,,,,,,,,,,2,100,1015,1350,3436,30021,,,
30022,7,113.385751,34.761219,乔楼镇,,410182,0371,410182101000,,,,,,,,,,2,100,1015,1350,3436,30022,,,
30023,7,113.430521,34.770797,豫龙镇,,410182,0371,410182102000,,,,,,,,,,2,100,1015,1350,3436,30023,,,
30024,7,113.445384,34.894329,广武镇,,410182,0371,410182103000,,,,,,,,,,2,100,1015,1350,3436,30024,,,
30025,7,113.277538,34.878491,王村镇,,410182,0371,410182104000,,,,,,,,,,2,100,1015,1350,3436,30025,,,
30026,7,113.218385,34.844321,汜水镇,,410182,0371,410182105000,,,,,,,,,,2,100,1015,1350,3436,30026,,,
30027,7,113.217376,34.786075,高山镇,,410182,0371,410182106000,,,,,,,,,,2,100,1015,1350,3436,30027,,,
30028,7,113.28755,34.68343,刘河镇,,410182,0371,410182108000,,,,,,,,,,2,100,1015,1350,3436,30028,,,
30029,7,113.354804,34.672806,崔庙镇,,410182,0371,410182109000,,,,,,,,,,2,100,1015,1350,3436,30029,,,
30030,7,113.450655,34.67429,贾峪镇,,410182,0371,410182110000,,,,,,,,,,2,100,1015,1350,3436,30030,,,
30031,7,113.365533,34.786969,城关乡,,410182,0371,410182200000,,,,,,,,,,2,100,1015,1350,3436,30031,,,
30032,7,113.372703,34.885257,高村乡,,410182,0371,410182201000,,,,,,,,,,2,100,1015,1350,3436,30032,,,
30033,7,113.361668,34.823395,金寨回族乡,,410182,0371,410182204000,,,,,,,,,,2,100,1015,1350,3436,30033,,,
30034,7,113.370114,34.54251,青屏街街道,,410183,0371,410183001000,,,,,,,,,,2,100,1015,1350,3437,30034,,,
30035,7,113.403953,34.525763,新华路街道,,410183,0371,410183002000,,,,,,,,,,2,100,1015,1350,3437,30035,,,
