gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
22045,7,120.158768,30.23765,清波街道,,330102,0571,330102001000,,,,,,,,,,2,100,1010,1287,2874,22045,,,
22046,7,120.170441,30.255597,湖滨街道,,330102,0571,330102003000,,,,,,,,,,2,100,1010,1287,2874,22046,,,
22047,7,120.176654,30.23965,小营街道,,330102,0571,330102004000,,,,,,,,,,2,100,1010,1287,2874,22047,,,
22048,7,120.162473,30.207356,南星街道,,330102,0571,330102008000,,,,,,,,,,2,100,1010,1287,2874,22048,,,
22049,7,120.176449,30.219172,紫阳街道,,330102,0571,330102009000,,,,,,,,,,2,100,1010,1287,2874,22049,,,
22050,7,120.198455,30.235373,望江街道,,330102,0571,330102010000,,,,,,,,,,2,100,1010,1287,2874,22050,,,
22051,7,120.173981,30.260506,长庆街道,,330103,0571,330103001000,,,,,,,,,,2,100,1010,1287,2875,22051,,,
22052,7,120.167789,30.262603,武林街道,,330103,0571,330103002000,,,,,,,,,,2,100,1010,1287,2875,22052,,,
22053,7,120.162429,30.267276,天水街道,,330103,0571,330103003000,,,,,,,,,,2,100,1010,1287,2875,22053,,,
22054,7,120.181551,30.260662,潮鸣街道,,330103,0571,330103005000,,,,,,,,,,2,100,1010,1287,2875,22054,,,
22055,7,120.159817,30.290087,朝晖街道,,330103,0571,330103006000,,,,,,,,,,2,100,1010,1287,2875,22055,,,
22056,7,120.178881,30.278254,文晖街道,,330103,0571,330103007000,,,,,,,,,,2,100,1010,1287,2875,22056,,,
22057,7,120.171575,30.31085,东新街道,,330103,0571,330103008000,,,,,,,,,,2,100,1010,1287,2875,22057,,,
22058,7,120.184936,30.339178,石桥街道,,330103,0571,330103009000,,,,,,,,,,2,100,1010,1287,2875,22058,,,
22059,7,120.2039,30.267714,凯旋街道,,330104,0571,330104005000,,,,,,,,,,2,100,1010,1287,2876,22059,,,
22060,7,120.198381,30.255539,采荷街道,,330104,0571,330104006000,,,,,,,,,,2,100,1010,1287,2876,22060,,,
22061,7,120.191093,30.289037,闸弄口街道,,330104,0571,330104007000,,,,,,,,,,2,100,1010,1287,2876,22061,,,
22062,7,120.203109,30.2523,四季青街道,,330104,0571,330104008000,,,,,,,,,,2,100,1010,1287,2876,22062,,,
22063,7,120.35112,30.306501,白杨街道,,330104,0571,330104009000,,,,,,,,,,2,100,1010,1287,2876,22063,,,
22064,7,120.32487,30.302039,下沙街道,,330104,0571,330104010000,,,,,,,,,,2,100,1010,1287,2876,22064,,,
22065,7,120.218777,30.278392,彭埠街道,,330104,0571,330104011000,,,,,,,,,,2,100,1010,1287,2876,22065,,,
22066,7,120.218735,30.315732,笕桥街道,,330104,0571,330104012000,,,,,,,,,,2,100,1010,1287,2876,22066,,,
22067,7,120.218084,30.357987,丁兰街道,,330104,0571,330104013000,,,,,,,,,,2,100,1010,1287,2876,22067,,,
22068,7,120.272351,30.310801,九堡街道,,330104,0571,330104014000,,,,,,,,,,2,100,1010,1287,2876,22068,,,
22069,7,120.150321,30.286473,米市巷街道,,330105,0571,330105001000,,,,,,,,,,2,100,1010,1287,2877,22069,,,
22070,7,120.145267,30.293368,湖墅街道,,330105,0571,330105002000,,,,,,,,,,2,100,1010,1287,2877,22070,,,
22071,7,120.13218,30.305749,小河街道,,330105,0571,330105003000,,,,,,,,,,2,100,1010,1287,2877,22071,,,
22072,7,120.124278,30.30745,和睦街道,,330105,0571,330105004000,,,,,,,,,,2,100,1010,1287,2877,22072,,,
22073,7,120.144759,30.321356,拱宸桥街道,,330105,0571,330105005000,,,,,,,,,,2,100,1010,1287,2877,22073,,,
22074,7,120.156482,30.305445,大关街道,,330105,0571,330105007000,,,,,,,,,,2,100,1010,1287,2877,22074,,,
22075,7,120.156134,30.31296,上塘街道,,330105,0571,330105008000,,,,,,,,,,2,100,1010,1287,2877,22075,,,
22076,7,120.098898,30.325287,祥符街道,,330105,0571,330105009000,,,,,,,,,,2,100,1010,1287,2877,22076,,,
22077,7,120.149161,30.365269,康桥街道,,330105,0571,330105010000,,,,,,,,,,2,100,1010,1287,2877,22077,,,
22078,7,120.181101,30.349789,半山街道,,330105,0571,330105011000,,,,,,,,,,2,100,1010,1287,2877,22078,,,
22079,7,120.144569,30.256066,北山街道,,330106,0571,330106002000,,,,,,,,,,2,100,1010,1287,2878,22079,,,
22080,7,120.149577,30.275251,西溪街道,,330106,0571,330106004000,,,,,,,,,,2,100,1010,1287,2878,22080,,,
22081,7,120.132839,30.274706,翠苑街道,,330106,0571,330106005000,,,,,,,,,,2,100,1010,1287,2878,22081,,,
22082,7,120.118797,30.276899,古荡街道,,330106,0571,330106007000,,,,,,,,,,2,100,1010,1287,2878,22082,,,
22083,7,120.111368,30.245573,西湖街道,,330106,0571,330106008000,,,,,,,,,,2,100,1010,1287,2878,22083,,,
22084,7,120.053062,30.24276,留下街道,,330106,0571,330106009000,,,,,,,,,,2,100,1010,1287,2878,22084,,,
