dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
32455,7,114.290612,30.585108,大智街道,,420102,027,420102002000,,,,,,,,,,2,100,1016,1368,3607,32455,,,
32456,7,114.300956,30.589141,一元街道,,420102,027,420102003000,,,,,,,,,,2,100,1016,1368,3607,32456,,,
32457,7,114.27876,30.592688,车站街道,,420102,027,420102004000,,,,,,,,,,2,100,1016,1368,3607,32457,,,
32458,7,114.306405,30.600229,四唯街道,,420102,027,420102005000,,,,,,,,,,2,100,1016,1368,3607,32458,,,
32459,7,114.310077,30.606333,永清街道,,420102,027,420102006000,,,,,,,,,,2,100,1016,1368,3607,32459,,,
32460,7,114.290042,30.593255,西马街道,,420102,027,420102007000,,,,,,,,,,2,100,1016,1368,3607,32460,,,
32461,7,114.294127,30.592845,球场街道,,420102,027,420102008000,,,,,,,,,,2,100,1016,1368,3607,32461,,,
32462,7,114.298676,30.601885,劳动街道,,420102,027,420102009000,,,,,,,,,,2,100,1016,1368,3607,32462,,,
32463,7,114.318675,30.625385,二七街道,,420102,027,420102010000,,,,,,,,,,2,100,1016,1368,3607,32463,,,
32464,7,114.31969,30.628558,新村街道,,420102,027,420102011000,,,,,,,,,,2,100,1016,1368,3607,32464,,,
32465,7,114.332852,30.643665,丹水池街道,,420102,027,420102012000,,,,,,,,,,2,100,1016,1368,3607,32465,,,
32466,7,114.280027,30.597131,台北街道,,420102,027,420102014000,,,,,,,,,,2,100,1016,1368,3607,32466,,,
32467,7,114.283656,30.608761,花桥街道,,420103,027,420102015000,,,,,,,,,,2,100,1016,1368,3607,32467,,,
32468,7,114.367693,30.671868,谌家矶街道,,420102,027,420102016000,,,,,,,,,,2,100,1016,1368,3607,32468,,,
32469,7,114.287785,30.638197,后湖街道,,420102,027,420102017000,,,,,,,,,,2,100,1016,1368,3607,32469,,,
32470,7,114.28767,30.638251,塔子湖街道,,420102,027,420102018000,,,,,,,,,,2,100,1016,1368,3607,32470,,,
32471,7,114.320556,30.647592,百步亭花园,,420102,027,420102400000,,,,,,,,,,2,100,1016,1368,3607,32471,,,
32472,7,114.28492,30.568408,民族街街道,,420103,027,420103001000,,,,,,,,,,2,100,1016,1368,3608,32472,,,
32473,7,114.29411,30.57853,花楼街街道,,420103,027,420103002000,,,,,,,,,,2,100,1016,1368,3608,32473,,,
32474,7,114.284717,30.582807,水塔街街道,,420103,027,420103003000,,,,,,,,,,2,100,1016,1368,3608,32474,,,
32475,7,114.291003,30.574808,民权街街道,,420103,027,420103004000,,,,,,,,,,2,100,1016,1368,3608,32475,,,
32476,7,114.283247,30.573396,满春街街道,,420103,027,420103005000,,,,,,,,,,2,100,1016,1368,3608,32476,,,
32477,7,114.2805,30.5794,民意街街道,,420103,027,420103006000,,,,,,,,,,2,100,1016,1368,3608,32477,,,
32478,7,114.2757,30.581702,新华街街道,,420103,027,420103007000,,,,,,,,,,2,100,1016,1368,3608,32478,,,
32479,7,114.267497,30.582327,万松街街道,,420103,027,420103008000,,,,,,,,,,2,100,1016,1368,3608,32479,,,
32480,7,114.271487,30.616642,唐家墩街街道,,420103,027,420103009000,,,,,,,,,,2,100,1016,1368,3608,32480,,,
32481,7,114.27375,30.605259,北湖街街道,,420103,027,420103010000,,,,,,,,,,2,100,1016,1368,3608,32481,,,
32482,7,114.284531,30.5767,前进街街道,,420103,027,420103011000,,,,,,,,,,2,100,1016,1368,3608,32482,,,
32483,7,114.244943,30.603809,常青街街道,,420103,027,420103012000,,,,,,,,,,2,100,1016,1368,3608,32483,,,
32484,7,114.261636,30.623883,汉兴街街道,,420103,027,420103013000,,,,,,,,,,2,100,1016,1368,3608,32484,,,
32485,7,114.270871,30.60143,江汉经济开发区,,420103,027,420103400000,,,,,,,,,,2,100,1016,1368,3608,32485,,,
32486,7,114.250828,30.592662,武汉中央商务区管理委员会,,420103,027,420103401000,,,,,,,,,,2,100,1016,1368,3608,32486,,,
32487,7,114.26583,30.571236,古田街道,,420104,027,420104001000,,,,,,,,,,2,100,1016,1368,3609,32487,,,
32488,7,114.213371,30.589095,韩家墩街道,,420104,027,420104002000,,,,,,,,,,2,100,1016,1368,3609,32488,,,
32489,7,114.230341,30.579182,宗关街道,,420104,027,420104003000,,,,,,,,,,2,100,1016,1368,3609,32489,,,
32490,7,114.238156,30.575144,汉水桥街道,,420104,027,420104004000,,,,,,,,,,2,100,1016,1368,3609,32490,,,
32491,7,114.264514,30.577402,宝丰街道,,420104,027,420104005000,,,,,,,,,,2,100,1016,1368,3609,32491,,,
32492,7,114.265264,30.571277,荣华街道,,420104,027,420104006000,,,,,,,,,,2,100,1016,1368,3609,32492,,,
32493,7,114.263889,30.566993,汉中街道,,420104,027,420104008000,,,,,,,,,,2,100,1016,1368,3609,32493,,,
32494,7,114.266861,30.56499,汉正街道,,420104,027,420104009000,,,,,,,,,,2,100,1016,1368,3609,32494,,,
32495,7,114.276044,30.575445,六角亭街道,,420104,027,420104010000,,,,,,,,,,2,100,1016,1368,3609,32495,,,
32496,7,114.202698,30.606948,长丰街道,,420104,027,420104011000,,,,,,,,,,2,100,1016,1368,3609,32496,,,
32497,7,114.26583,30.571236,易家街道,,420104,027,420104012000,,,,,,,,,,2,100,1016,1368,3609,32497,,,
32498,7,114.273149,30.54778,建桥街道,,420105,027,420105002000,,,,,,,,,,2,100,1016,1368,3610,32498,,,
32499,7,114.284347,30.5602,晴川街道,,420105,027,420105004000,,,,,,,,,,2,100,1016,1368,3610,32499,,,
32500,7,114.269575,30.535582,鹦鹉街道,,420105,027,420105005000,,,,,,,,,,2,100,1016,1368,3610,32500,,,
32501,7,114.254841,30.523457,洲头街道,,420105,027,420105006000,,,,,,,,,,2,100,1016,1368,3610,32501,,,
32502,7,114.239022,30.553686,五里墩街道,,420105,027,420105007000,,,,,,,,,,2,100,1016,1368,3610,32502,,,
32503,7,114.217075,30.558291,琴断口街道,,420105,027,420105008000,,,,,,,,,,2,100,1016,1368,3610,32503,,,
32504,7,114.203429,30.571431,江汉二桥街道,,420105,027,420105009000,,,,,,,,,,2,100,1016,1368,3610,32504,,,
32505,7,114.213989,30.564158,永丰街道,,420105,027,420105010000,,,,,,,,,,2,100,1016,1368,3610,32505,,,
32506,7,114.243014,30.518518,江堤街道,,420105,027,420105011000,,,,,,,,,,2,100,1016,1368,3610,32506,,,
32507,7,114.218724,30.553905,四新街道,,420105,027,420105012000,,,,,,,,,,2,100,1016,1368,3610,32507,,,
32508,7,114.218724,30.553905,龙阳街道,,420105,027,420105013000,,,,,,,,,,2,100,1016,1368,3610,32508,,,
32509,7,114.307732,30.557737,积玉桥街道,,420106,027,420106001000,,,,,,,,,,2,100,1016,1368,3611,32509,,,
32510,7,114.341223,30.603995,杨园街道,,420106,027,420106002000,,,,,,,,,,2,100,1016,1368,3611,32510,,,
32511,7,114.33212,30.592219,徐家棚街道,,420106,027,420106003000,,,,,,,,,,2,100,1016,1368,3611,32511,,,
32512,7,114.310807,30.547394,粮道街道,,420106,027,420106005000,,,,,,,,,,2,100,1016,1368,3611,32512,,,
32513,7,114.301391,30.548266,中华路街道,,420106,027,420106006000,,,,,,,,,,2,100,1016,1368,3611,32513,,,
32514,7,114.301211,30.538547,黄鹤楼街道,,420106,027,420106007000,,,,,,,,,,2,100,1016,1368,3611,32514,,,
32515,7,114.308015,30.53066,紫阳街道,,420106,027,420106008000,,,,,,,,,,2,100,1016,1368,3611,32515,,,
32516,7,114.286518,30.512835,白沙洲街道,,420106,027,420106009000,,,,,,,,,,2,100,1016,1368,3611,32516,,,
32517,7,114.310633,30.536151,首义路街道,,420106,027,420106010000,,,,,,,,,,2,100,1016,1368,3611,32517,,,
32518,7,114.324897,30.531515,中南路街道,,420106,027,420106011000,,,,,,,,,,2,100,1016,1368,3611,32518,,,
32519,7,114.350918,30.539106,水果湖街道,,420106,027,420106012000,,,,,,,,,,2,100,1016,1368,3611,32519,,,
32520,7,114.355151,30.535253,珞珈山街道,,420106,027,420106013000,,,,,,,,,,2,100,1016,1368,3611,32520,,,
32521,7,114.316223,30.554235,石洞街道,,420106,027,420106014000,,,,,,,,,,2,100,1016,1368,3611,32521,,,
32522,7,114.313938,30.514287,南湖街道,,420106,027,420106015000,,,,,,,,,,2,100,1016,1368,3611,32522,,,
32523,7,114.316223,30.554235,东湖风景区街道（武昌）,,420106,027,420106490000,,,,,,,,,,2,100,1016,1368,3611,32523,,,
32524,7,114.380058,30.62502,红卫路街道,,420107,027,420107001000,,,,,,,,,,2,100,1016,1368,3612,32524,,,
