gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
33933,7,112.988764,28.188617,文艺路街道,,430102,0731,430102001000,,,,,,,,,,2,100,1017,1382,3712,33933,,,
33934,7,113.01059,28.190151,朝阳街街道,,430102,0731,430102002000,,,,,,,,,,2,100,1017,1382,3712,33934,,,
33935,7,112.992286,28.196152,韭菜园街道,,430102,0731,430102003000,,,,,,,,,,2,100,1017,1382,3712,33935,,,
33936,7,113.010271,28.195408,五里牌街道,,430102,0731,430102008000,,,,,,,,,,2,100,1017,1382,3712,33936,,,
33937,7,113.021667,28.204384,火星街道,,430102,0731,430102009000,,,,,,,,,,2,100,1017,1382,3712,33937,,,
33938,7,113.017497,28.185844,马王堆街道,,430102,0731,430102010000,,,,,,,,,,2,100,1017,1382,3712,33938,,,
33939,7,113.038722,28.190736,东屯渡街道,,430102,0731,430102011000,,,,,,,,,,2,100,1017,1382,3712,33939,,,
33940,7,113.010569,28.208378,湘湖街道,,430102,0731,430102012000,,,,,,,,,,2,100,1017,1382,3712,33940,,,
33941,7,112.98333,28.188463,定王台街道,,430102,0731,430102013000,,,,,,,,,,2,100,1017,1382,3712,33941,,,
33942,7,113.01866,28.187851,荷花园街道,,430102,0731,430102014000,,,,,,,,,,2,100,1017,1382,3712,33942,,,
33943,7,113.032539,28.185386,东岸街道,,430102,0731,430102015000,,,,,,,,,,2,100,1017,1382,3712,33943,,,
33944,7,113.050357,28.2006,马坡岭街道,,430102,0731,430102016000,,,,,,,,,,2,100,1017,1382,3712,33944,,,
33945,7,113.085335,28.196562,东湖街道,,430102,0731,430102017000,,,,,,,,,,2,100,1017,1382,3712,33945,,,
33946,7,113.06649,28.21579,隆平高科技园,,430102,0731,430102400000,,,,,,,,,,2,100,1017,1382,3712,33946,,,
33947,7,112.974005,28.189685,坡子街街道,,430103,0731,430103002000,,,,,,,,,,2,100,1017,1382,3713,33947,,,
33948,7,112.979125,28.183083,城南路街道,,430103,0731,430103004000,,,,,,,,,,2,100,1017,1382,3713,33948,,,
33949,7,112.971184,28.163918,裕南街街道,,430103,0731,430103005000,,,,,,,,,,2,100,1017,1382,3713,33949,,,
