dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
49513,7,103.833485,36.049783,酒泉路街道,,620102,0931,620102001000,,,,,,,,,,2,100,1027,1501,4735,49513,,,
49514,7,103.82213,36.061549,张掖路街道,,620102,0931,620102002000,,,,,,,,,,2,100,1027,1501,4735,49514,,,
49515,7,103.878983,36.060588,雁南街道,,620102,0931,620102003000,,,,,,,,,,2,100,1027,1501,4735,49515,,,
49516,7,103.814097,36.059028,临夏路街道,,620102,0931,620102004000,,,,,,,,,,2,100,1027,1501,4735,49516,,,
49517,7,103.878983,36.060588,雁北街道,,620102,0931,620102005000,,,,,,,,,,2,100,1027,1501,4735,49517,,,
49518,7,103.825474,36.041423,五泉街道,,620102,0931,620102006000,,,,,,,,,,2,100,1027,1501,4735,49518,,,
49519,7,103.822632,36.051842,白银路街道,,620102,0931,620102007000,,,,,,,,,,2,100,1027,1501,4735,49519,,,
49520,7,103.840579,36.046954,皋兰路街道,,620102,0931,620102008000,,,,,,,,,,2,100,1027,1501,4735,49520,,,
49521,7,103.845155,36.055164,广武门街道,,620102,0931,620102009000,,,,,,,,,,2,100,1027,1501,4735,49521,,,
49522,7,103.810572,36.05074,伏龙坪街道,,620102,0931,620102010000,,,,,,,,,,2,100,1027,1501,4735,49522,,,
49523,7,103.816079,36.079479,靖远路街道,,620102,0931,620102011000,,,,,,,,,,2,100,1027,1501,4735,49523,,,
49524,7,103.834325,36.070469,草场街街道,,620102,0931,620102012000,,,,,,,,,,2,100,1027,1501,4735,49524,,,
49525,7,103.853471,36.036038,火车站街道,,620102,0931,620102013000,,,,,,,,,,2,100,1027,1501,4735,49525,,,
49526,7,103.906131,36.039172,拱星墩街道,,620102,0931,620102014000,,,,,,,,,,2,100,1027,1501,4735,49526,,,
49527,7,103.92392,36.04474,东岗街道,,620102,0931,620102015000,,,,,,,,,,2,100,1027,1501,4735,49527,,,
49528,7,103.867456,36.038166,团结新村街道,,620102,0931,620102016000,,,,,,,,,,2,100,1027,1501,4735,49528,,,
49529,7,103.850767,36.047451,东岗西路街道,,620102,0931,620102017000,,,,,,,,,,2,100,1027,1501,4735,49529,,,
49530,7,103.841998,36.036504,铁路东村街道,,620102,0931,620102018000,,,,,,,,,,2,100,1027,1501,4735,49530,,,
