dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
47480,7,91.132694,29.649356,八廓街道,,540102,0891,540102002000,,,,,,,,,,2,100,1025,1484,4550,47480,,,
47481,7,91.137981,29.649606,吉日街道,,540102,0891,540102003000,,,,,,,,,,2,100,1025,1484,4550,47481,,,
47482,7,91.131496,29.655325,吉崩岗街道,,540102,0891,540102004000,,,,,,,,,,2,100,1025,1484,4550,47482,,,
47483,7,91.145404,29.672299,扎细街道,,540102,0891,540102005000,,,,,,,,,,2,100,1025,1484,4550,47483,,,
47484,7,91.117428,29.665029,公德林街道,,540102,0891,540102006000,,,,,,,,,,2,100,1025,1484,4550,47484,,,
47485,7,91.154441,29.653,嘎玛贡桑街道,,540102,0891,540102007000,,,,,,,,,,2,100,1025,1484,4550,47485,,,
47486,7,91.1193,29.642511,两岛街道,,540102,0891,540102008000,,,,,,,,,,2,100,1025,1484,4550,47486,,,
47487,7,91.05112,29.63703,金珠西路街道,,540102,0891,540102009000,,,,,,,,,,2,100,1025,1484,4550,47487,,,
47488,7,91.197848,29.631435,蔡公堂街道,,540102,0891,540102010000,,,,,,,,,,2,100,1025,1484,4550,47488,,,
47489,7,91.140435,29.654792,夺底街道,,540102,0891,540102011000,,,,,,,,,,2,100,1025,1484,4550,47489,,,
47490,7,91.11894,29.6542,娘热街道,,540102,0891,540102012000,,,,,,,,,,2,100,1025,1484,4550,47490,,,
47491,7,91.140435,29.654792,纳金街道,,540102,0891,540102013000,,,,,,,,,,2,100,1025,1484,4550,47491,,,
47492,7,91.030366,29.652006,东嘎街道,,540103,0891,540103001000,,,,,,,,,,2,100,1025,1484,4551,47492,,,
47493,7,90.986029,29.630313,乃琼街道,,540103,0891,540103002000,,,,,,,,,,2,100,1025,1484,4551,47493,,,
47494,7,90.952631,29.662911,羊达街道,,540103,0891,540103003000,,,,,,,,,,2,100,1025,1484,4551,47494,,,
47495,7,91.089381,29.607424,柳梧街道,,540103,0891,540103004000,,,,,,,,,,2,100,1025,1484,4551,47495,,,
47496,7,91.140856,29.645554,古荣镇,,540100,0891,540103102000,,,,,,,,,,2,100,1025,1484,4551,47496,,,
47497,7,91.140856,29.645554,马镇,,540100,0891,540103103000,,,,,,,,,,2,100,1025,1484,4551,47497,,,
47498,7,91.140856,29.645554,德庆镇,,540100,0891,540103104000,,,,,,,,,,2,100,1025,1484,4551,47498,,,
47499,7,91.366711,29.669212,德庆镇,,540126,0891,540104100000,,,,,,,,,,2,100,1025,1484,4552,47499,,,
47500,7,91.349867,29.66941,塔杰乡,,540126,0891,540104200000,,,,,,,,,,2,100,1025,1484,4552,47500,,,
47501,7,91.491575,29.779146,章多乡,,540126,0891,540104201000,,,,,,,,,,2,100,1025,1484,4552,47501,,,
47502,7,91.553591,29.837043,唐嘎乡,,540126,0891,540104202000,,,,,,,,,,2,100,1025,1484,4552,47502,,,
47503,7,91.488038,29.823737,雪乡,,540126,0891,540104203000,,,,,,,,,,2,100,1025,1484,4552,47503,,,
47504,7,91.377968,29.697496,帮堆乡,,540126,0891,540104204000,,,,,,,,,,2,100,1025,1484,4552,47504,,,
47505,7,91.259712,29.895656,甘丹曲果镇,,540121,0891,540121100000,,,,,,,,,,2,100,1025,1484,4553,47505,,,
47506,7,91.033581,29.934479,春堆乡,,540121,0891,540121200000,,,,,,,,,,2,100,1025,1484,4553,47506,,,
47507,7,91.270161,29.978096,松盘乡,,540121,0891,540121201000,,,,,,,,,,2,100,1025,1484,4553,47507,,,
47508,7,91.146359,29.946916,强嘎乡,,540121,0891,540121202000,,,,,,,,,,2,100,1025,1484,4553,47508,,,
47509,7,91.160684,29.903121,卡孜乡,,540121,0891,540121203000,,,,,,,,,,2,100,1025,1484,4553,47509,,,
47510,7,91.437894,29.805075,边交林乡,,540121,0891,540121204000,,,,,,,,,,2,100,1025,1484,4553,47510,,,
47511,7,91.359033,29.858906,江热夏乡,,540121,0891,540121205000,,,,,,,,,,2,100,1025,1484,4553,47511,,,
47512,7,91.494625,30.105873,阿朗乡,,540121,0891,540121206000,,,,,,,,,,2,100,1025,1484,4553,47512,,,
47513,7,91.515283,30.301258,唐古乡,,540121,0891,540121207000,,,,,,,,,,2,100,1025,1484,4553,47513,,,
47514,7,91.36373,30.171122,旁多乡,,540121,0891,540121208000,,,,,,,,,,2,100,1025,1484,4553,47514,,,
47515,7,91.109596,30.475618,当曲卡镇,,540122,0891,540122100000,,,,,,,,,,2,100,1025,1484,4554,47515,,,
47516,7,90.539258,30.095326,羊八井镇,,540122,0891,540122101000,,,,,,,,,,2,100,1025,1484,4554,47516,,,
47517,7,90.362216,29.883808,格达乡,,540122,0891,540122200000,,,,,,,,,,2,100,1025,1484,4554,47517,,,
47518,7,90.913604,30.375511,宁中乡,,540122,0891,540122201000,,,,,,,,,,2,100,1025,1484,4554,47518,,,
47519,7,91.107983,30.482978,公塘乡,,540122,0891,540122202000,,,,,,,,,,2,100,1025,1484,4554,47519,,,
47520,7,91.290611,30.524848,龙仁乡,,540122,0891,540122203000,,,,,,,,,,2,100,1025,1484,4554,47520,,,
47521,7,91.403239,30.556174,乌玛塘乡,,540122,0891,540122204000,,,,,,,,,,2,100,1025,1484,4554,47521,,,
47522,7,91.08827,30.730969,纳木湖乡,,540122,0891,540122205000,,,,,,,,,,2,100,1025,1484,4554,47522,,,
47523,7,90.15979,29.433182,塔荣镇,,540123,0891,540123100000,,,,,,,,,,2,100,1025,1484,4555,47523,,,
47524,7,90.286225,29.335775,吞巴镇,,540123,0891,540123101000,,,,,,,,,,2,100,1025,1484,4555,47524,,,
47525,7,89.978435,29.734935,麻江乡,,540123,0891,540123200000,,,,,,,,,,2,100,1025,1484,4555,47525,,,
47526,7,90.150743,29.498438,普松乡,,540123,0891,540123201000,,,,,,,,,,2,100,1025,1484,4555,47526,,,
47527,7,90.06083,29.34287,卡如乡,,540123,0891,540123202000,,,,,,,,,,2,100,1025,1484,4555,47527,,,
47528,7,90.141509,29.434942,尼木乡,,540123,0891,540123203000,,,,,,,,,,2,100,1025,1484,4555,47528,,,
47529,7,90.266691,29.48381,续迈乡,,540123,0891,540123204000,,,,,,,,,,2,100,1025,1484,4555,47529,,,
47530,7,90.01578,29.542661,帕古乡,,540123,0891,540123205000,,,,,,,,,,2,100,1025,1484,4555,47530,,,
47531,7,90.742088,29.349565,曲水镇,,540124,0891,540124100000,,,,,,,,,,2,100,1025,1484,4556,47531,,,
47532,7,90.679579,29.334494,达嘎镇,,540124,0891,540124101000,,,,,,,,,,2,100,1025,1484,4556,47532,,,
47533,7,90.95487,29.438184,才纳乡,,540124,0891,540124201000,,,,,,,,,,2,100,1025,1484,4556,47533,,,
47534,7,90.914425,29.420597,南木乡,,540124,0891,540124202000,,,,,,,,,,2,100,1025,1484,4556,47534,,,
47535,7,90.969277,29.553041,聂当乡,,540124,0891,540124203000,,,,,,,,,,2,100,1025,1484,4556,47535,,,
47536,7,90.53654,29.258237,茶巴拉乡,,540124,0891,540124204000,,,,,,,,,,2,100,1025,1484,4556,47536,,,
47537,7,91.72814,29.833664,工卡镇,,540127,0891,540127100000,,,,,,,,,,2,100,1025,1484,4557,47537,,,
47538,7,91.761391,30.074361,扎雪乡,,540127,0891,540127200000,,,,,,,,,,2,100,1025,1484,4557,47538,,,
47539,7,92.208017,30.099153,门巴乡,,540127,0891,540127201000,,,,,,,,,,2,100,1025,1484,4557,47539,,,
47540,7,91.916107,29.762748,扎西岗乡,,540127,0891,540127202000,,,,,,,,,,2,100,1025,1484,4557,47540,,,
47541,7,92.237152,29.692491,日多乡,,540127,0891,540127203000,,,,,,,,,,2,100,1025,1484,4557,47541,,,
47542,7,91.907931,29.984058,尼玛江热乡,,540127,0891,540127204000,,,,,,,,,,2,100,1025,1484,4557,47542,,,
47543,7,91.6638,29.768782,甲玛乡,,540127,0891,540127205000,,,,,,,,,,2,100,1025,1484,4557,47543,,,
47544,7,91.775829,29.890034,唐加乡,,540127,0891,540127206000,,,,,,,,,,2,100,1025,1484,4557,47544,,,
47545,7,91.140856,29.645554,藏青工业园乡,,540100,0891,540171400000,,,,,,,,,,2,100,1025,1484,4558,47545,,,
47546,7,91.021933,29.639132,拉萨市经济技术开发区管委会,,540103,0891,540172400000,,,,,,,,,,2,100,1025,1484,4559,47546,,,
47547,7,91.141571,29.615196,西藏文化旅游创意园区,,540102,0891,540173400000,,,,,,,,,,2,100,1025,1484,4560,47547,,,
47548,7,91.318207,29.664209,达孜县工业园区,,540126,0891,540174400000,,,,,,,,,,2,100,1025,1484,4561,47548,,,
47549,7,88.880492,29.270311,城南街道,,540202,0892,540202001000,,,,,,,,,,2,100,1025,1485,4562,47549,,,
47550,7,88.885225,29.275554,城北街道,,540202,0892,540202002000,,,,,,,,,,2,100,1025,1485,4562,47550,,,
47551,7,88.875884,29.190686,曲布雄乡,,540202,0892,540202200000,,,,,,,,,,2,100,1025,1485,4562,47551,,,
47552,7,88.726001,29.143422,曲美乡,,540202,0892,540202201000,,,,,,,,,,2,100,1025,1485,4562,47552,,,
47553,7,88.791428,29.324991,聂日雄乡,,540202,0892,540202202000,,,,,,,,,,2,100,1025,1485,4562,47553,,,
47554,7,88.936052,29.184234,甲措雄乡,,540202,0892,540202203000,,,,,,,,,,2,100,1025,1485,4562,47554,,,
47555,7,88.701844,29.071286,纳尔乡,,540202,0892,540202204000,,,,,,,,,,2,100,1025,1485,4562,47555,,,
47556,7,88.83571,29.35504,东嘎乡,,540202,0892,540202205000,,,,,,,,,,2,100,1025,1485,4562,47556,,,
47557,7,89.054565,29.317181,边雄乡,,540202,0892,540202206000,,,,,,,,,,2,100,1025,1485,4562,47557,,,
47558,7,89.246024,29.334246,江当乡,,540202,0892,540202207000,,,,,,,,,,2,100,1025,1485,4562,47558,,,
47559,7,89.44532,29.317837,年木乡,,540202,0892,540202208000,,,,,,,,,,2,100,1025,1485,4562,47559,,,
47560,7,89.554816,29.301416,联乡,,540202,0892,540202209000,,,,,,,,,,2,100,1025,1485,4562,47560,,,
47561,7,89.101213,29.684993,南木林镇,,540221,0892,540221100000,,,,,,,,,,2,100,1025,1485,4563,47561,,,
47562,7,89.239845,29.700208,达那乡,,540221,0892,540221200000,,,,,,,,,,2,100,1025,1485,4563,47562,,,
47563,7,89.076517,29.56979,卡孜乡,,540221,0892,540221201000,,,,,,,,,,2,100,1025,1485,4563,47563,,,
47564,7,89.064537,29.528437,多角乡,,540221,0892,540221202000,,,,,,,,,,2,100,1025,1485,4563,47564,,,
