gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
15734,7,123.384534,41.761616,浑河湾街道,,210102,024,210102001000,,,,,,,,,,2,100,1005,1237,2455,15734,,,
15735,7,123.39529,41.780481,新华街道,,210102,024,210102002000,,,,,,,,,,2,100,1005,1237,2455,15735,,,
15736,7,123.411347,41.808486,西塔街道,,210102,024,210102007000,,,,,,,,,,2,100,1005,1237,2455,15736,,,
15737,7,123.4223,41.795109,八经街道,,210102,024,210102013000,,,,,,,,,,2,100,1005,1237,2455,15737,,,
15738,7,123.411248,41.78787,马路湾街道,,210102,024,210102016000,,,,,,,,,,2,100,1005,1237,2455,15738,,,
15739,7,123.397033,41.775042,集贤街道,,210102,024,210102017000,,,,,,,,,,2,100,1005,1237,2455,15739,,,
15740,7,123.425281,41.771858,南湖街道,,210102,024,210102019000,,,,,,,,,,2,100,1005,1237,2455,15740,,,
15741,7,123.401873,41.732807,长白街道,,210102,024,210102021000,,,,,,,,,,2,100,1005,1237,2455,15741,,,
15742,7,123.401479,41.790309,太原街街道,,210102,024,210102022000,,,,,,,,,,2,100,1005,1237,2455,15742,,,
15743,7,123.427229,41.806067,北市场街道,,210102,024,210102023000,,,,,,,,,,2,100,1005,1237,2455,15743,,,
15744,7,123.418516,41.788493,南市场街道,,210102,024,210102025000,,,,,,,,,,2,100,1005,1237,2455,15744,,,
15745,7,123.410916,41.735023,沈水湾街道,,210102,024,210102027000,,,,,,,,,,2,100,1005,1237,2455,15745,,,
15746,7,123.363432,41.719457,浑河站西街道,,210102,024,210102028000,,,,,,,,,,2,100,1005,1237,2455,15746,,,
15747,7,123.447341,41.793726,大西街道,,210103,024,210103004000,,,,,,,,,,2,100,1005,1237,2456,15747,,,
15748,7,123.46247,41.789661,滨河街道,,210103,024,210103005000,,,,,,,,,,2,100,1005,1237,2456,15748,,,
15749,7,123.48087,41.784616,万莲街道,,210103,024,210103006000,,,,,,,,,,2,100,1005,1237,2456,15749,,,
15750,7,123.458319,41.781603,大南街道,,210103,024,210103010000,,,,,,,,,,2,100,1005,1237,2456,15750,,,
15751,7,123.428945,41.792724,山东庙街道,,210103,024,210103011000,,,,,,,,,,2,100,1005,1237,2456,15751,,,
15752,7,123.43847,41.810385,朱剪炉街道,,210103,024,210103013000,,,,,,,,,,2,100,1005,1237,2456,15752,,,
15753,7,123.443397,41.814215,新北站街道,,210103,024,210103014000,,,,,,,,,,2,100,1005,1237,2456,15753,,,
15754,7,123.445497,41.785314,风雨坛街道,,210103,024,210103015000,,,,,,,,,,2,100,1005,1237,2456,15754,,,
15755,7,123.45811,41.79607,皇城街道,,210103,024,210103017000,,,,,,,,,,2,100,1005,1237,2456,15755,,,
15756,7,123.431659,41.766159,五里河街道,,210102,024,210103018000,,,,,,,,,,2,100,1005,1237,2456,15756,,,
15757,7,123.449318,41.763517,南塔街道,,210103,024,210103019000,,,,,,,,,,2,100,1005,1237,2456,15757,,,
15758,7,123.479077,41.770735,泉园街道,,210103,024,210103020000,,,,,,,,,,2,100,1005,1237,2456,15758,,,
15759,7,123.474693,41.767241,丰乐街道,,210103,024,210103021000,,,,,,,,,,2,100,1005,1237,2456,15759,,,
15760,7,123.555954,41.819086,马官桥街道,,210103,024,210103022000,,,,,,,,,,2,100,1005,1237,2456,15760,,,
15761,7,123.530132,41.81341,东陵街道,,210103,024,210103023000,,,,,,,,,,2,100,1005,1237,2456,15761,,,
15762,7,123.460907,41.807705,大北街道,,210104,024,210104002000,,,,,,,,,,2,100,1005,1237,2457,15762,,,
15763,7,123.471948,41.788031,万泉街道,,210103,024,210104003000,,,,,,,,,,2,100,1005,1237,2457,15763,,,
15764,7,123.471083,41.821758,洮昌街道,,210104,024,210104004000,,,,,,,,,,2,100,1005,1237,2457,15764,,,
15765,7,123.488736,41.877793,文官街道,,210104,024,210104006000,,,,,,,,,,2,100,1005,1237,2457,15765,,,
15766,7,123.496663,41.842829,二台子街道,,210104,024,210104007000,,,,,,,,,,2,100,1005,1237,2457,15766,,,
15767,7,123.480921,41.810469,津桥街道,,210104,024,210104008000,,,,,,,,,,2,100,1005,1237,2457,15767,,,
15768,7,123.509883,41.835652,东站街道,,210104,024,210104009000,,,,,,,,,,2,100,1005,1237,2457,15768,,,
15769,7,123.481168,41.821328,北海街道,,210104,024,210104010000,,,,,,,,,,2,100,1005,1237,2457,15769,,,
15770,7,123.485955,41.796127,长安街道,,210104,024,210104012000,,,,,,,,,,2,100,1005,1237,2457,15770,,,
15771,7,123.513256,41.808219,新东街道,,210104,024,210104014000,,,,,,,,,,2,100,1005,1237,2457,15771,,,
15772,7,123.508419,41.802539,东塔街道,,210104,024,210104015000,,,,,,,,,,2,100,1005,1237,2457,15772,,,
15773,7,123.485211,41.799332,小东街道,,210104,024,210104016000,,,,,,,,,,2,100,1005,1237,2457,15773,,,
15774,7,123.508858,41.81317,上园街道,,210104,024,210104017000,,,,,,,,,,2,100,1005,1237,2457,15774,,,
15775,7,123.526239,41.849581,前进街道,,210104,024,210104018000,,,,,,,,,,2,100,1005,1237,2457,15775,,,
15776,7,123.422923,41.8815,三台子街道,,210105,024,210105001000,,,,,,,,,,2,100,1005,1237,2458,15776,,,
