gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
39146,7,108.379923,30.800755,高笋塘街道,,500101,023,500101001000,,,,,,,,,,2,100,1021,1436,4109,39146,,,
39147,7,108.356664,30.817549,太白街道,,500101,023,500101017000,,,,,,,,,,2,100,1021,1436,4109,39147,,,
39148,7,108.392121,30.783296,牌楼街道,,500101,023,500101018000,,,,,,,,,,2,100,1021,1436,4109,39148,,,
39149,7,108.3725,30.756032,双河口街道,,500101,023,500101019000,,,,,,,,,,2,100,1021,1436,4109,39149,,,
39150,7,108.411649,30.763107,龙都街道,,500101,023,500101020000,,,,,,,,,,2,100,1021,1436,4109,39150,,,
39151,7,108.372519,30.84512,周家坝街道,,500101,023,500101021000,,,,,,,,,,2,100,1021,1436,4109,39151,,,
39152,7,108.365493,30.848978,沙河街道,,500101,023,500101022000,,,,,,,,,,2,100,1021,1436,4109,39152,,,
39153,7,108.388801,30.823399,钟鼓楼街道,,500101,023,500101023000,,,,,,,,,,2,100,1021,1436,4109,39153,,,
39154,7,108.44986,30.75974,百安坝街道,,500101,023,500101024000,,,,,,,,,,2,100,1021,1436,4109,39154,,,
39155,7,108.448885,30.770818,五桥街道,,500101,023,500101025000,,,,,,,,,,2,100,1021,1436,4109,39155,,,
39156,7,108.413297,30.811712,陈家坝街道,,500101,023,500101026000,,,,,,,,,,2,100,1021,1436,4109,39156,,,
39157,7,108.527813,30.91965,小周镇,,500101,023,500101109000,,,,,,,,,,2,100,1021,1436,4109,39157,,,
39158,7,108.502386,30.884865,大周镇,,500101,023,500101110000,,,,,,,,,,2,100,1021,1436,4109,39158,,,
39159,7,108.2772,30.497821,新乡镇,,500101,023,500101123000,,,,,,,,,,2,100,1021,1436,4109,39159,,,
39160,7,108.019963,30.726767,孙家镇,,500101,023,500101132000,,,,,,,,,,2,100,1021,1436,4109,39160,,,
39161,7,108.346585,30.70995,高峰镇,,500101,023,500101134000,,,,,,,,,,2,100,1021,1436,4109,39161,,,
39162,7,108.237769,30.634316,龙沙镇,,500101,023,500101135000,,,,,,,,,,2,100,1021,1436,4109,39162,,,
39163,7,108.19774,30.653519,响水镇,,500101,023,500101136000,,,,,,,,,,2,100,1021,1436,4109,39163,,,
39164,7,108.250179,30.51301,武陵镇,,500101,023,500101137000,,,,,,,,,,2,100,1021,1436,4109,39164,,,
39165,7,108.310272,30.589596,瀼渡镇,,500101,023,500101138000,,,,,,,,,,2,100,1021,1436,4109,39165,,,
39166,7,108.282265,30.668997,甘宁镇,,500101,023,500101139000,,,,,,,,,,2,100,1021,1436,4109,39166,,,
39167,7,108.37336,30.868549,天城镇,,500101,023,500101140000,,,,,,,,,,2,100,1021,1436,4109,39167,,,
39168,7,108.438181,30.89962,熊家镇,,500101,023,500101141000,,,,,,,,,,2,100,1021,1436,4109,39168,,,
39169,7,108.305503,30.82439,高梁镇,,500101,023,500101142000,,,,,,,,,,2,100,1021,1436,4109,39169,,,
39170,7,108.266139,30.815786,李河镇,,500101,023,500101143000,,,,,,,,,,2,100,1021,1436,4109,39170,,,
39171,7,108.086862,30.717724,分水镇,,500101,023,500101144000,,,,,,,,,,2,100,1021,1436,4109,39171,,,
39172,7,107.962104,30.801498,余家镇,,500101,023,500101145000,,,,,,,,,,2,100,1021,1436,4109,39172,,,
39173,7,108.03628,30.82487,后山镇,,500101,023,500101146000,,,,,,,,,,2,100,1021,1436,4109,39173,,,
39174,7,108.010265,30.855069,弹子镇,,500101,023,500101147000,,,,,,,,,,2,100,1021,1436,4109,39174,,,
39175,7,108.489848,30.767762,长岭镇,,500101,023,500101148000,,,,,,,,,,2,100,1021,1436,4109,39175,,,
39176,7,108.406837,30.696436,新田镇,,500101,023,500101149000,,,,,,,,,,2,100,1021,1436,4109,39176,,,
39177,7,108.616795,30.813663,白羊镇,,500101,023,500101150000,,,,,,,,,,2,100,1021,1436,4109,39177,,,
39178,7,108.640488,30.608611,龙驹镇,,500101,023,500101151000,,,,,,,,,,2,100,1021,1436,4109,39178,,,
39179,7,108.444397,30.56709,走马镇,,500101,023,500101152000,,,,,,,,,,2,100,1021,1436,4109,39179,,,
39180,7,108.569413,30.516074,罗田镇,,500101,023,500101153000,,,,,,,,,,2,100,1021,1436,4109,39180,,,
39181,7,108.535545,30.902144,太龙镇,,500101,023,500101154000,,,,,,,,,,2,100,1021,1436,4109,39181,,,
