dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
48181,7,108.958216,34.2617,西一路街道,,610102,029,610102001000,,,,,,,,,,2,100,1026,1491,4628,48181,,,
48182,7,109.002434,34.270758,长乐中路街道,,610102,029,610102002000,,,,,,,,,,2,100,1026,1491,4628,48182,,,
48183,7,108.96849,34.27171,中山门街道,,610102,029,610102003000,,,,,,,,,,2,100,1026,1491,4628,48183,,,
48184,7,109.008851,34.255499,韩森寨街道,,610102,029,610102004000,,,,,,,,,,2,100,1026,1491,4628,48184,,,
48185,7,108.966757,34.273844,解放门街道,,610102,029,610102005000,,,,,,,,,,2,100,1026,1491,4628,48185,,,
48186,7,108.952418,34.280882,自强路街道,,610102,029,610102006000,,,,,,,,,,2,100,1026,1491,4628,48186,,,
48187,7,108.974869,34.287897,太华路街道,,610102,029,610102007000,,,,,,,,,,2,100,1026,1491,4628,48187,,,
48188,7,108.982463,34.267714,长乐西路街道,,610102,029,610102008000,,,,,,,,,,2,100,1026,1491,4628,48188,,,
48189,7,109.014181,34.287143,胡家庙街道,,610102,029,610102009000,,,,,,,,,,2,100,1026,1491,4628,48189,,,
48190,7,108.944968,34.253076,南院门街道,,610103,029,610103001000,,,,,,,,,,2,100,1026,1491,4629,48190,,,
48191,7,108.965486,34.254914,柏树林街道,,610103,029,610103002000,,,,,,,,,,2,100,1026,1491,4629,48191,,,
48192,7,108.975435,34.264411,长乐坊街道,,610103,029,610103003000,,,,,,,,,,2,100,1026,1491,4629,48192,,,
48193,7,108.975725,34.257677,东关南街街道,,610103,029,610103004000,,,,,,,,,,2,100,1026,1491,4629,48193,,,
48194,7,108.969575,34.245966,太乙路街道,,610103,029,610103005000,,,,,,,,,,2,100,1026,1491,4629,48194,,,
48195,7,108.95231,34.244901,文艺路街道,,610103,029,610103006000,,,,,,,,,,2,100,1026,1491,4629,48195,,,
48196,7,108.947364,34.238509,长安路街道,,610103,029,610103007000,,,,,,,,,,2,100,1026,1491,4629,48196,,,
48197,7,108.935451,34.247264,张家村街道,,610103,029,610103008000,,,,,,,,,,2,100,1026,1491,4629,48197,,,
48198,7,108.93962,34.271041,青年路街道,,610104,029,610104001000,,,,,,,,,,2,100,1026,1491,4630,48198,,,
48199,7,108.943977,34.263173,北院门街道,,610104,029,610104002000,,,,,,,,,,2,100,1026,1491,4630,48199,,,
48200,7,108.947571,34.282589,北关街道,,610102,029,610104003000,,,,,,,,,,2,100,1026,1491,4630,48200,,,
48201,7,108.928126,34.286536,红庙坡街道,,610104,029,610104004000,,,,,,,,,,2,100,1026,1491,4630,48201,,,
48202,7,108.919514,34.263233,环城西路街道,,610104,029,610104005000,,,,,,,,,,2,100,1026,1491,4630,48202,,,
48203,7,108.919699,34.251455,西关街道,,610104,029,610104006000,,,,,,,,,,2,100,1026,1491,4630,48203,,,
48204,7,108.888829,34.259178,土门街道,,610104,029,610104007000,,,,,,,,,,2,100,1026,1491,4630,48204,,,
48205,7,108.892122,34.267771,桃园路街道,,610104,029,610104008000,,,,,,,,,,2,100,1026,1491,4630,48205,,,
48206,7,108.872139,34.274355,枣园街道,,610104,029,610104009000,,,,,,,,,,2,100,1026,1491,4630,48206,,,
48207,7,109.064461,34.268599,纺织城街道,,610111,029,610111001000,,,,,,,,,,2,100,1026,1491,4631,48207,,,
48208,7,109.025441,34.28841,十里铺街道,,610111,029,610111002000,,,,,,,,,,2,100,1026,1491,4631,48208,,,
48209,7,109.05566,34.24263,红旗街道,,610111,029,610111003000,,,,,,,,,,2,100,1026,1491,4631,48209,,,
48210,7,109.063447,34.287901,席王街道,,610111,029,610111004000,,,,,,,,,,2,100,1026,1491,4631,48210,,,
48211,7,109.117756,34.304467,洪庆街道,,610111,029,610111005000,,,,,,,,,,2,100,1026,1491,4631,48211,,,
48212,7,109.116264,34.208934,狄寨街道,,610111,029,610111006000,,,,,,,,,,2,100,1026,1491,4631,48212,,,
48213,7,109.081423,34.313129,灞桥街道,,610111,029,610111007000,,,,,,,,,,2,100,1026,1491,4631,48213,,,
48214,7,109.06174,34.385171,新筑街道,,610111,029,610111008000,,,,,,,,,,2,100,1026,1491,4631,48214,,,
48215,7,109.104409,34.416195,新合街道,,610111,029,610111009000,,,,,,,,,,2,100,1026,1491,4631,48215,,,
48216,7,108.945121,34.327157,张家堡街道,,610112,029,610112001000,,,,,,,,,,2,100,1026,1491,4632,48216,,,
48217,7,108.830556,34.291471,三桥街道,,610112,029,610112002000,,,,,,,,,,2,100,1026,1491,4632,48217,,,
48218,7,109.020757,34.321644,辛家庙街道,,610112,029,610112003000,,,,,,,,,,2,100,1026,1491,4632,48218,,,
48219,7,108.964425,34.347232,徐家湾街道,,610112,029,610112004000,,,,,,,,,,2,100,1026,1491,4632,48219,,,
48220,7,108.964016,34.311909,大明宫街道,,610112,029,610112005000,,,,,,,,,,2,100,1026,1491,4632,48220,,,
48221,7,108.966124,34.341654,谭家街道,,610112,029,610112006000,,,,,,,,,,2,100,1026,1491,4632,48221,,,
48222,7,108.94685,34.292873,草滩街道,,610112,029,610112007000,,,,,,,,,,2,100,1026,1491,4632,48222,,,
48223,7,108.852547,34.335764,六村堡街道,,610112,029,610112008000,,,,,,,,,,2,100,1026,1491,4632,48223,,,
48224,7,108.906628,34.300551,未央宫街道,,610112,029,610112009000,,,,,,,,,,2,100,1026,1491,4632,48224,,,
48225,7,108.914792,34.338071,汉城街道,,610112,029,610112010000,,,,,,,,,,2,100,1026,1491,4632,48225,,,
48226,7,108.990111,34.400862,未央湖街道,,610112,029,610112011000,,,,,,,,,,2,100,1026,1491,4632,48226,,,
48227,7,108.84277,34.32685,建章路街道,,610112,029,610112012000,,,,,,,,,,2,100,1026,1491,4632,48227,,,
48228,7,108.944349,34.225292,小寨路街道,,610113,029,610113001000,,,,,,,,,,2,100,1026,1491,4633,48228,,,
48229,7,108.965902,34.225632,大雁塔街道,,610113,029,610113002000,,,,,,,,,,2,100,1026,1491,4633,48229,,,
48230,7,108.929949,34.206575,长延堡街道,,610113,029,610113003000,,,,,,,,,,2,100,1026,1491,4633,48230,,,
48231,7,108.920463,34.221531,电子城街道,,610113,029,610113004000,,,,,,,,,,2,100,1026,1491,4633,48231,,,
48232,7,109.01825,34.230691,等驾坡街道,,610113,029,610113005000,,,,,,,,,,2,100,1026,1491,4633,48232,,,
48233,7,108.860762,34.2332,鱼化寨街道,,610113,029,610113006000,,,,,,,,,,2,100,1026,1491,4633,48233,,,
48234,7,108.879881,34.196133,丈八沟街道,,610113,029,610113007000,,,,,,,,,,2,100,1026,1491,4633,48234,,,
48235,7,108.996312,34.211398,曲江街道,,610113,029,610113008000,,,,,,,,,,2,100,1026,1491,4633,48235,,,
48236,7,108.926593,34.213389,杜城街道,,610113,029,610113009000,,,,,,,,,,2,100,1026,1491,4633,48236,,,
48237,7,108.842269,34.21312,漳浒寨街道,,610113,029,610113010000,,,,,,,,,,2,100,1026,1491,4633,48237,,,
48238,7,109.221232,34.660501,凤凰路街道,,610114,029,610114001000,,,,,,,,,,2,100,1026,1491,4634,48238,,,
48239,7,109.242304,34.658488,新华路街道,,610114,029,610114002000,,,,,,,,,,2,100,1026,1491,4634,48239,,,
48240,7,109.196623,34.666659,振兴街道,,610114,029,610114003000,,,,,,,,,,2,100,1026,1491,4634,48240,,,
48241,7,109.278301,34.666238,新兴街道,,610114,029,610114004000,,,,,,,,,,2,100,1026,1491,4634,48241,,,
48242,7,109.236131,34.616979,北屯街道,,610114,029,610114005000,,,,,,,,,,2,100,1026,1491,4634,48242,,,
48243,7,109.226102,34.662234,武屯街道,,610114,029,610114006000,,,,,,,,,,2,100,1026,1491,4634,48243,,,
48244,7,109.226102,34.662234,关山街道,,610114,029,610114007000,,,,,,,,,,2,100,1026,1491,4634,48244,,,
48245,7,109.213022,34.372941,骊山街道,,610115,029,610115001000,,,,,,,,,,2,100,1026,1491,4635,48245,,,
48246,7,109.230618,34.380093,秦陵街道,,610115,029,610115002000,,,,,,,,,,2,100,1026,1491,4635,48246,,,
48247,7,109.275187,34.422423,新丰街道,,610115,029,610115003000,,,,,,,,,,2,100,1026,1491,4635,48247,,,
48248,7,109.298368,34.394059,代王街道,,610115,029,610115004000,,,,,,,,,,2,100,1026,1491,4635,48248,,,
48249,7,109.155912,34.358707,斜口街道,,610115,029,610115005000,,,,,,,,,,2,100,1026,1491,4635,48249,,,
48250,7,109.205882,34.396,行者街道,,610115,029,610115006000,,,,,,,,,,2,100,1026,1491,4635,48250,,,
48251,7,109.362336,34.477726,零口街道,,610115,029,610115007000,,,,,,,,,,2,100,1026,1491,4635,48251,,,
48252,7,109.372882,34.615168,相桥街道,,610115,029,610115008000,,,,,,,,,,2,100,1026,1491,4635,48252,,,
48253,7,109.249447,34.513808,雨金街道,,610115,029,610115009000,,,,,,,,,,2,100,1026,1491,4635,48253,,,
48254,7,109.183132,34.537233,新市街道,,610115,029,610115010000,,,,,,,,,,2,100,1026,1491,4635,48254,,,
48255,7,109.146745,34.616176,徐杨街道,,610115,029,610115011000,,,,,,,,,,2,100,1026,1491,4635,48255,,,
48256,7,109.143953,34.405435,西泉街道,,610115,029,610115012000,,,,,,,,,,2,100,1026,1491,4635,48256,,,
48257,7,109.218113,34.583047,栎阳街道,,610115,029,610115013000,,,,,,,,,,2,100,1026,1491,4635,48257,,,
48258,7,109.38959,34.40187,马额街道,,610115,029,610115014000,,,,,,,,,,2,100,1026,1491,4635,48258,,,
48259,7,109.323535,34.515053,何寨街道,,610115,029,610115015000,,,,,,,,,,2,100,1026,1491,4635,48259,,,
48260,7,109.214238,34.367275,交口街道,,610115,029,610115016000,,,,,,,,,,2,100,1026,1491,4635,48260,,,
48261,7,109.214238,34.367275,油槐街道,,610115,029,610115017000,,,,,,,,,,2,100,1026,1491,4635,48261,,,
48262,7,109.181222,34.456512,北田街道,,610115,029,610115018000,,,,,,,,,,2,100,1026,1491,4635,48262,,,
48263,7,109.214238,34.367275,铁炉街道,,610115,029,610115019000,,,,,,,,,,2,100,1026,1491,4635,48263,,,
48264,7,109.242699,34.489953,任留街道,,610115,029,610115020000,,,,,,,,,,2,100,1026,1491,4635,48264,,,
48265,7,109.373035,34.365037,穆寨街道,,610115,029,610115021000,,,,,,,,,,2,100,1026,1491,4635,48265,,,
48266,7,109.214238,34.367275,小金街道,,610115,029,610115022000,,,,,,,,,,2,100,1026,1491,4635,48266,,,
48267,7,109.291345,34.315223,仁宗街道,,610115,029,610115023000,,,,,,,,,,2,100,1026,1491,4635,48267,,,
48268,7,108.934632,34.158892,韦曲街道,,610116,029,610116001000,,,,,,,,,,2,100,1026,1491,4636,48268,,,
48269,7,108.869257,34.159957,郭杜街道,,610116,029,610116002000,,,,,,,,,,2,100,1026,1491,4636,48269,,,
48270,7,108.826969,34.065271,滦镇街道,,610116,029,610116003000,,,,,,,,,,2,100,1026,1491,4636,48270,,,
48271,7,109.107564,34.076835,引镇街道,,610116,029,610116004000,,,,,,,,,,2,100,1026,1491,4636,48271,,,
48272,7,108.789099,34.258264,王寺街道,,610116,029,610116005000,,,,,,,,,,2,100,1026,1491,4636,48272,,,
48273,7,108.721354,34.204101,马王街道,,610116,029,610116006000,,,,,,,,,,2,100,1026,1491,4636,48273,,,
48274,7,109.00801,34.030723,太乙宫街道,,610116,029,610116007000,,,,,,,,,,2,100,1026,1491,4636,48274,,,
48275,7,108.906917,34.159016,东大街道,,610116,029,610116008000,,,,,,,,,,2,100,1026,1491,4636,48275,,,
48276,7,108.908032,34.055435,子午街道,,610116,029,610116009000,,,,,,,,,,2,100,1026,1491,4636,48276,,,
48277,7,108.810306,34.220587,斗门街道,,610116,029,610116010000,,,,,,,,,,2,100,1026,1491,4636,48277,,,
48278,7,108.790006,34.157158,细柳街道,,610116,029,610116011000,,,,,,,,,,2,100,1026,1491,4636,48278,,,
48279,7,109.006352,34.105692,杜曲街道,,610116,029,610116012000,,,,,,,,,,2,100,1026,1491,4636,48279,,,
48280,7,109.056457,34.135066,大兆街道,,610116,029,610116013000,,,,,,,,,,2,100,1026,1491,4636,48280,,,
48281,7,108.906917,34.159016,黄良街道,,610116,029,610116014000,,,,,,,,,,2,100,1026,1491,4636,48281,,,
48282,7,108.845094,34.128701,兴隆街道,,610116,029,610116015000,,,,,,,,,,2,100,1026,1491,4636,48282,,,
48283,7,108.972495,34.065424,王曲街道,,610116,029,610116016000,,,,,,,,,,2,100,1026,1491,4636,48283,,,
48284,7,109.109699,34.125103,鸣犊街道,,610116,029,610116017000,,,,,,,,,,2,100,1026,1491,4636,48284,,,
48285,7,109.056539,34.055269,王莽街道,,610116,029,610116018000,,,,,,,,,,2,100,1026,1491,4636,48285,,,
48286,7,108.970511,34.031899,五台街道,,610116,029,610116019000,,,,,,,,,,2,100,1026,1491,4636,48286,,,
48287,7,108.716601,34.246972,高桥街道,,610116,029,610116020000,,,,,,,,,,2,100,1026,1491,4636,48287,,,
48288,7,108.787148,34.083111,五星街道,,610116,029,610116021000,,,,,,,,,,2,100,1026,1491,4636,48288,,,
48289,7,108.735921,34.156597,灵沼街道,,610116,029,610116022000,,,,,,,,,,2,100,1026,1491,4636,48289,,,
48290,7,109.145111,34.04119,杨庄街道,,610116,029,610116023000,,,,,,,,,,2,100,1026,1491,4636,48290,,,
48291,7,109.140942,34.167219,砲里街道,,610116,029,610116024000,,,,,,,,,,2,100,1026,1491,4636,48291,,,
48292,7,109.174926,34.107964,魏寨街道,,610116,029,610116025000,,,,,,,,,,2,100,1026,1491,4636,48292,,,
48293,7,109.086194,34.535901,鹿苑街道,,610117,029,610117001000,,,,,,,,,,2,100,1026,1491,4637,48293,,,
48294,7,108.987047,34.444188,泾渭街道,,610117,029,610117002000,,,,,,,,,,2,100,1026,1491,4637,48294,,,
48295,7,109.021485,34.501526,崇皇街道,,610117,029,610117003000,,,,,,,,,,2,100,1026,1491,4637,48295,,,
48296,7,109.00199,34.492374,姬家街道,,610117,029,610117004000,,,,,,,,,,2,100,1026,1491,4637,48296,,,
48297,7,109.105562,34.43696,耿镇街道,,610117,029,610117005000,,,,,,,,,,2,100,1026,1491,4637,48297,,,
48298,7,109.12241,34.482074,张卜街道,,610117,029,610117006000,,,,,,,,,,2,100,1026,1491,4637,48298,,,
48299,7,109.088297,34.53483,通远街道,,610117,029,610117007000,,,,,,,,,,2,100,1026,1491,4637,48299,,,
48300,7,108.6023,34.10783,甘亭街道,,610118,029,610118001000,,,,,,,,,,2,100,1026,1491,4638,48300,,,
48301,7,108.627329,34.062051,余下街道,,610118,029,610118002000,,,,,,,,,,2,100,1026,1491,4638,48301,,,
48302,7,108.570971,34.094993,玉蝉街道,,610118,029,610118003000,,,,,,,,,,2,100,1026,1491,4638,48302,,,
48303,7,108.605011,34.108626,五竹街道,,610118,029,610118004000,,,,,,,,,,2,100,1026,1491,4638,48303,,,
48304,7,108.605011,34.108626,大王街道,,610118,029,610118005000,,,,,,,,,,2,100,1026,1491,4638,48304,,,
48305,7,108.605011,34.108626,秦渡街道,,610118,029,610118006000,,,,,,,,,,2,100,1026,1491,4638,48305,,,
48306,7,108.605011,34.108626,草堂街道,,610118,029,610118007000,,,,,,,,,,2,100,1026,1491,4638,48306,,,
48307,7,108.605011,34.108626,庞光街道,,610118,029,610118008000,,,,,,,,,,2,100,1026,1491,4638,48307,,,
48308,7,108.494793,34.1055,祖庵镇,,610118,029,610118102000,,,,,,,,,,2,100,1026,1491,4638,48308,,,
48309,7,108.478444,34.077773,蒋村镇,,610118,029,610118106000,,,,,,,,,,2,100,1026,1491,4638,48309,,,
48310,7,108.559052,34.16872,涝店镇,,610118,029,610118108000,,,,,,,,,,2,100,1026,1491,4638,48310,,,
48311,7,108.521174,34.158408,甘河镇,,610118,029,610118109000,,,,,,,,,,2,100,1026,1491,4638,48311,,,
