gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
50938,7,101.801476,36.615698,东关大街街道,,630102,0971,630102001000,,,,,,,,,,2,100,1028,1515,4823,50938,,,
50939,7,101.8012,36.6191,清真巷街道,,630102,0971,630102002000,,,,,,,,,,2,100,1028,1515,4823,50939,,,
50940,7,101.796876,36.616019,大众街街道,,630102,0971,630102003000,,,,,,,,,,2,100,1028,1515,4823,50940,,,
50941,7,101.806707,36.621155,周家泉街道,,630102,0971,630102004000,,,,,,,,,,2,100,1028,1515,4823,50941,,,
50942,7,101.813601,36.619818,火车站街道,,630102,0971,630102005000,,,,,,,,,,2,100,1028,1515,4823,50942,,,
50943,7,101.82404,36.59769,八一路街道,,630102,0971,630102006000,,,,,,,,,,2,100,1028,1515,4823,50943,,,
50944,7,101.812254,36.627633,林家崖街道,,630102,0971,630102007000,,,,,,,,,,2,100,1028,1515,4823,50944,,,
50945,7,101.843828,36.582301,乐家湾镇,,630102,0971,630102100000,,,,,,,,,,2,100,1028,1515,4823,50945,,,
50946,7,101.845955,36.584834,韵家口镇,,630102,0971,630102101000,,,,,,,,,,2,100,1028,1515,4823,50946,,,
50947,7,101.886223,36.554323,东川工业园,,630102,0971,630102400000,,,,,,,,,,2,100,1028,1515,4823,50947,,,
50948,7,101.781947,36.619941,人民街街道,,630103,0971,630103001000,,,,,,,,,,2,100,1028,1515,4824,50948,,,
50949,7,101.777711,36.614616,南滩街道,,630103,0971,630103002000,,,,,,,,,,2,100,1028,1515,4824,50949,,,
50950,7,101.786991,36.618861,仓门街街道,,630103,0971,630103003000,,,,,,,,,,2,100,1028,1515,4824,50950,,,
50951,7,101.779013,36.621785,礼让街街道,,630103,0971,630103004000,,,,,,,,,,2,100,1028,1515,4824,50951,,,
50952,7,101.787781,36.621024,饮马街街道,,630103,0971,630103005000,,,,,,,,,,2,100,1028,1515,4824,50952,,,
50953,7,101.767488,36.613425,南川东路街道,,630103,0971,630103006000,,,,,,,,,,2,100,1028,1515,4824,50953,,,
50954,7,101.759108,36.595901,南川西路街道,,630103,0971,630103007000,,,,,,,,,,2,100,1028,1515,4824,50954,,,
50955,7,101.68607,36.54178,总寨镇,,630103,0971,630103100000,,,,,,,,,,2,100,1028,1515,4824,50955,,,
50956,7,101.704361,36.553337,南川工业园,,630103,0971,630103400000,,,,,,,,,,2,100,1028,1515,4824,50956,,,
50957,7,101.768429,36.624374,西关大街街道,,630104,0971,630104001000,,,,,,,,,,2,100,1028,1515,4825,50957,,,
50958,7,101.761315,36.626802,古城台街道,,630104,0971,630104002000,,,,,,,,,,2,100,1028,1515,4825,50958,,,
50959,7,101.728519,36.633397,虎台街道,,630104,0971,630104003000,,,,,,,,,,2,100,1028,1515,4825,50959,,,
50960,7,101.756487,36.637258,胜利路街道,,630104,0971,630104004000,,,,,,,,,,2,100,1028,1515,4825,50960,,,
50961,7,101.772279,36.631294,兴海路街道,,630104,0971,630104005000,,,,,,,,,,2,100,1028,1515,4825,50961,,,
50962,7,101.723669,36.652429,文汇路街道,,630105,0971,630104006000,,,,,,,,,,2,100,1028,1515,4825,50962,,,
50963,7,101.701243,36.645714,通海路街道,,630104,0971,630104007000,,,,,,,,,,2,100,1028,1515,4825,50963,,,
50964,7,101.70339,36.639606,彭家寨镇,,630104,0971,630104100000,,,,,,,,,,2,100,1028,1515,4825,50964,,,
50965,7,101.768188,36.656425,朝阳街道,,630105,0971,630105001000,,,,,,,,,,2,100,1028,1515,4826,50965,,,
50966,7,101.755056,36.643452,小桥大街街道,,630105,0971,630105002000,,,,,,,,,,2,100,1028,1515,4826,50966,,,
50967,7,101.685599,36.665369,马坊街道,,630105,0971,630105003000,,,,,,,,,,2,100,1028,1515,4826,50967,,,
50968,7,101.690265,36.65748,火车西站街道,,630105,0971,630105004000,,,,,,,,,,2,100,1028,1515,4826,50968,,,
50969,7,101.63232,36.666438,大堡子镇,,630105,0971,630105100000,,,,,,,,,,2,100,1028,1515,4826,50969,,,
50970,7,101.757077,36.718677,廿里铺镇,,630105,0971,630105101000,,,,,,,,,,2,100,1028,1515,4826,50970,,,
50971,7,101.747764,36.691225,生物科技产业园,,630105,0971,630105400000,,,,,,,,,,2,100,1028,1515,4826,50971,,,
50972,7,101.683475,36.927788,桥头镇,,630121,0971,630121100000,,,,,,,,,,2,100,1028,1515,4827,50972,,,
50973,7,101.543943,37.032624,城关镇,,630121,0971,630121101000,,,,,,,,,,2,100,1028,1515,4827,50973,,,
50974,7,101.640817,36.996951,塔尔镇,,630121,0971,630121102000,,,,,,,,,,2,100,1028,1515,4827,50974,,,
50975,7,101.809478,37.038057,东峡镇,,630121,0971,630121103000,,,,,,,,,,2,100,1028,1515,4827,50975,,,
