gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
18359,7,126.625929,45.770393,兆麟街道,,230102,0451,230102001000,,,,,,,,,,2,100,1007,1260,2624,18359,,,
18360,7,126.62051,45.761337,新阳路街道,,230102,0451,230102002000,,,,,,,,,,2,100,1007,1260,2624,18360,,,
18361,7,126.620077,45.756876,抚顺街道,,230102,0451,230102003000,,,,,,,,,,2,100,1007,1260,2624,18361,,,
18362,7,126.609046,45.749047,共乐街道,,230102,0451,230102004000,,,,,,,,,,2,100,1007,1260,2624,18362,,,
18363,7,126.590988,45.73592,新华街道,,230102,0451,230102005000,,,,,,,,,,2,100,1007,1260,2624,18363,,,
18364,7,126.582073,45.729242,城乡路街道,,230102,0451,230102006000,,,,,,,,,,2,100,1007,1260,2624,18364,,,
18365,7,126.558422,45.7194,工农街道,,230102,0451,230102007000,,,,,,,,,,2,100,1007,1260,2624,18365,,,
18366,7,126.616957,45.755777,尚志街道,,230102,0451,230102008000,,,,,,,,,,2,100,1007,1260,2624,18366,,,
18367,7,126.614049,45.779575,斯大林街道,,230102,0451,230102009000,,,,,,,,,,2,100,1007,1260,2624,18367,,,
18368,7,126.617259,45.7749,通江街道,,230102,0451,230102010000,,,,,,,,,,2,100,1007,1260,2624,18368,,,
18369,7,126.617525,45.768485,经纬街道,,230102,0451,230102011000,,,,,,,,,,2,100,1007,1260,2624,18369,,,
18370,7,126.604325,45.771493,工程街道,,230102,0451,230102012000,,,,,,,,,,2,100,1007,1260,2624,18370,,,
18371,7,126.61471,45.761856,安静街道,,230102,0451,230102013000,,,,,,,,,,2,100,1007,1260,2624,18371,,,
18372,7,126.613015,45.755135,安和街道,,230102,0451,230102014000,,,,,,,,,,2,100,1007,1260,2624,18372,,,
18373,7,126.601641,45.753998,正阳河街道,,230102,0451,230102015000,,,,,,,,,,2,100,1007,1260,2624,18373,,,
18374,7,126.597489,45.745318,建国街道,,230102,0451,230102016000,,,,,,,,,,2,100,1007,1260,2624,18374,,,
18375,7,126.310654,45.631669,康安街道,,230102,0451,230102017000,,,,,,,,,,2,100,1007,1260,2624,18375,,,
18376,7,126.59937,45.762488,爱建街道,,230102,0451,230102018000,,,,,,,,,,2,100,1007,1260,2624,18376,,,
18377,7,126.616957,45.755777,群力街道,,230102,0451,230102019000,,,,,,,,,,2,100,1007,1260,2624,18377,,,
18378,7,126.198561,45.634359,太平镇,,230102,0451,230102101000,,,,,,,,,,2,100,1007,1260,2624,18378,,,
18379,7,126.481827,45.666134,新发镇,,230102,0451,230102102000,,,,,,,,,,2,100,1007,1260,2624,18379,,,
18380,7,126.353615,45.640072,新农镇,,230102,0451,230102103000,,,,,,,,,,2,100,1007,1260,2624,18380,,,
18381,7,126.462324,45.596,榆树镇,,230102,0451,230102104000,,,,,,,,,,2,100,1007,1260,2624,18381,,,
18382,7,126.315384,45.633328,闫家岗农场,,230102,0451,230102500000,,,,,,,,,,2,100,1007,1260,2624,18382,,,
18383,7,126.505565,45.70745,道里区农垦,,230102,0451,230102579000,,,,,,,,,,2,100,1007,1260,2624,18383,,,
18384,7,126.64584,45.751059,花园街道,,230103,0451,230103001000,,,,,,,,,,2,100,1007,1260,2625,18384,,,
18385,7,126.661634,45.749517,奋斗路街道,,230103,0451,230103002000,,,,,,,,,,2,100,1007,1260,2625,18385,,,
18386,7,126.657272,45.75043,革新街道,,230103,0451,230103003000,,,,,,,,,,2,100,1007,1260,2625,18386,,,
18387,7,126.65085,45.742692,文化街道,,230103,0451,230103004000,,,,,,,,,,2,100,1007,1260,2625,18387,,,
18388,7,126.664247,45.76191,大成街道,,230103,0451,230103005000,,,,,,,,,,2,100,1007,1260,2625,18388,,,
18389,7,126.667145,45.756022,芦家街道,,230103,0451,230103006000,,,,,,,,,,2,100,1007,1260,2625,18389,,,
18390,7,126.643211,45.760753,荣市街道,,230103,0451,230103007000,,,,,,,,,,2,100,1007,1260,2625,18390,,,
18391,7,126.657386,45.76929,燎原街道,,230103,0451,230103009000,,,,,,,,,,2,100,1007,1260,2625,18391,,,
18392,7,126.631665,45.753207,松花江街道,,230103,0451,230103010000,,,,,,,,,,2,100,1007,1260,2625,18392,,,
18393,7,126.623897,45.748194,曲线街道,,230103,0451,230103011000,,,,,,,,,,2,100,1007,1260,2625,18393,,,
18394,7,126.620027,45.73869,通达街道,,230103,0451,230103012000,,,,,,,,,,2,100,1007,1260,2625,18394,,,
18395,7,126.624552,45.733922,七政街道,,230103,0451,230103013000,,,,,,,,,,2,100,1007,1260,2625,18395,,,
18396,7,126.613551,45.726958,和兴路街道,,230103,0451,230103015000,,,,,,,,,,2,100,1007,1260,2625,18396,,,
18397,7,126.668788,45.75997,哈西街道,,230103,0451,230103016000,,,,,,,,,,2,100,1007,1260,2625,18397,,,
18398,7,126.633818,45.699873,保健路街道,,230103,0451,230103017000,,,,,,,,,,2,100,1007,1260,2625,18398,,,
18399,7,126.67516,45.765128,先锋路街道,,230103,0451,230103018000,,,,,,,,,,2,100,1007,1260,2625,18399,,,
18400,7,126.711269,45.748865,新春街道,,230103,0451,230103019000,,,,,,,,,,2,100,1007,1260,2625,18400,,,
18401,7,126.620505,45.667556,跃进街道,,230103,0451,230103020000,,,,,,,,,,2,100,1007,1260,2625,18401,,,
18402,7,126.591415,45.686153,王岗镇,,230103,0451,230103101000,,,,,,,,,,2,100,1007,1260,2625,18402,,,
18403,7,126.516076,45.578577,红旗满族乡,,230103,0451,230103201000,,,,,,,,,,2,100,1007,1260,2625,18403,,,
18404,7,126.548542,45.667917,红旗农场,,230103,0451,230103500000,,,,,,,,,,2,100,1007,1260,2625,18404,,,
18405,7,126.560056,45.672227,南岗区农垦,,230103,0451,230103579000,,,,,,,,,,2,100,1007,1260,2625,18405,,,
18406,7,126.64927,45.787371,靖宇街道,,230104,0451,230104001000,,,,,,,,,,2,100,1007,1260,2626,18406,,,
18407,7,126.652378,45.781973,太古街道,,230104,0451,230104002000,,,,,,,,,,2,100,1007,1260,2626,18407,,,
18408,7,126.649749,45.779626,东莱街道,,230104,0451,230104003000,,,,,,,,,,2,100,1007,1260,2626,18408,,,
18409,7,126.657776,45.778737,滨江街道,,230104,0451,230104004000,,,,,,,,,,2,100,1007,1260,2626,18409,,,
18410,7,126.660465,45.788878,仁里街道,,230104,0451,230104005000,,,,,,,,,,2,100,1007,1260,2626,18410,,,
