级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,111.66704,40.841739,海拉尔东路街道,,150102,0471,150102001000,,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,海拉尔东路街道,,,
镇,111.665059,40.827792,锡林路街道,,150102,0471,150102002000,,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,锡林路街道,,,
镇,111.671109,40.819498,中山东路街道,,150102,0471,150102003000,,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,中山东路街道,,,
镇,111.692937,40.823569,东街街道,,150102,0471,150102004000,,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,东街街道,,,
镇,111.68187,40.826131,西街街道,,150102,0471,150102005000,,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,西街街道,,,
镇,111.707377,40.834103,东风路街道,,150102,0471,150102006000,,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,东风路街道,,,
镇,111.730575,40.838206,迎新路街道,,150102,0471,150102007000,,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,迎新路街道,,,
镇,111.701737,40.888407,成吉思汗大街街道,,150102,0471,150102008000,,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,成吉思汗大街街道,,,
镇,111.942808,40.912936,保合少镇,,150102,0471,150102101000,,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,保合少镇,,,
镇,111.665544,40.858289,新城区鸿盛高科技园区,,150102,0471,150102400000,,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,新城区鸿盛高科技园区,,,
镇,111.623001,40.807497,新华西路街道,,150103,0471,150103001000,,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,回民区,新华西路街道,,,
镇,111.664594,40.803213,中山西路街道,,150103,0471,150103002000,,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,回民区,中山西路街道,,,
镇,111.646061,40.824033,光明路街道,,150103,0471,150103003000,,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,回民区,光明路街道,,,
镇,111.647689,40.835266,海拉尔西路街道,,150103,0471,150103004000,,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,回民区,海拉尔西路街道,,,
镇,111.623692,40.808608,环河街街道,,150103,0471,150103005000,,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,回民区,环河街街道,,,
镇,111.657567,40.81269,通道街街道,,150103,0471,150103006000,,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,回民区,通道街街道,,,
镇,111.62571,40.81022,钢铁路街道,,150103,0471,150103007000,,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,回民区,钢铁路街道,,,
镇,111.594709,40.833628,攸攸板镇,,150103,0471,150103100000,,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,回民区,攸攸板镇,,,
镇,111.65969,40.800821,小召前街街道,,150104,0471,150104001000,,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,玉泉区,小召前街街道,,,
镇,111.661413,40.796523,兴隆巷街道,,150104,0471,150104002000,,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,玉泉区,兴隆巷街道,,,
镇,111.653585,40.793742,长和廊街道,,150104,0471,150104003000,,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,玉泉区,长和廊街道,,,
镇,111.669395,40.799868,石东路街道,,150104,0471,150104004000,,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,玉泉区,石东路街道,,,
镇,111.65227,40.805815,大南街街道,,150104,0471,150104005000,,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,玉泉区,大南街街道,,,
镇,111.628127,40.795094,鄂尔多斯路街道,,150103,0471,150104006000,,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,玉泉区,鄂尔多斯路街道,,,
镇,111.643616,40.791022,西菜园街道,,150104,0471,150104007000,,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,玉泉区,西菜园街道,,,
