级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,125.350173,43.863989,南岭街道,,220102,0431,220102001000,,,,,,,,,,亚洲,中国,吉林,长春,南关区,南岭街道,,,
镇,125.331474,43.884234,自强街道,,220102,0431,220102002000,,,,,,,,,,亚洲,中国,吉林,长春,南关区,自强街道,,,
镇,125.343187,43.881957,民康街道,,220102,0431,220102003000,,,,,,,,,,亚洲,中国,吉林,长春,南关区,民康街道,,,
镇,125.342651,43.893426,新春街道,,220102,0431,220102004000,,,,,,,,,,亚洲,中国,吉林,长春,南关区,新春街道,,,
镇,125.350173,43.863989,长通街道,,220102,0431,220102005000,,,,,,,,,,亚洲,中国,吉林,长春,南关区,长通街道,,,
镇,125.346562,43.879861,全安街道,,220102,0431,220102006000,,,,,,,,,,亚洲,中国,吉林,长春,南关区,全安街道,,,
镇,125.331789,43.874748,曙光街道,,220102,0431,220102007000,,,,,,,,,,亚洲,中国,吉林,长春,南关区,曙光街道,,,
镇,125.342887,43.877727,永吉街道,,220102,0431,220102008000,,,,,,,,,,亚洲,中国,吉林,长春,南关区,永吉街道,,,
镇,125.355968,43.8914,桃源街道,,220102,0431,220102009000,,,,,,,,,,亚洲,中国,吉林,长春,南关区,桃源街道,,,
镇,125.35409,43.83652,鸿城街道,,220102,0431,220102010000,,,,,,,,,,亚洲,中国,吉林,长春,南关区,鸿城街道,,,
镇,125.314973,43.824171,明珠街道,,220102,0431,220102011000,,,,,,,,,,亚洲,中国,吉林,长春,南关区,明珠街道,,,
镇,125.360263,43.81499,富裕街道,,220102,0431,220102012000,,,,,,,,,,亚洲,中国,吉林,长春,南关区,富裕街道,,,
镇,125.276963,43.788321,幸福乡,,220102,0431,220102200000,,,,,,,,,,亚洲,中国,吉林,长春,南关区,幸福乡,,,
镇,125.326628,43.901167,新发街道,,220103,0431,220103001000,,,,,,,,,,亚洲,中国,吉林,长春,宽城区,新发街道,,,
镇,125.307148,43.901079,站前街道,,220103,0431,220103002000,,,,,,,,,,亚洲,中国,吉林,长春,宽城区,站前街道,,,
镇,125.329837,43.90456,南广街道,,220103,0431,220103003000,,,,,,,,,,亚洲,中国,吉林,长春,宽城区,南广街道,,,
镇,125.347389,43.907711,东广街道,,220103,0431,220103004000,,,,,,,,,,亚洲,中国,吉林,长春,宽城区,东广街道,,,
镇,125.351718,43.920108,群英街道,,220103,0431,220103005000,,,,,,,,,,亚洲,中国,吉林,长春,宽城区,群英街道,,,
镇,125.342836,43.936996,兴业街道,,220103,0431,220103006000,,,,,,,,,,亚洲,中国,吉林,长春,宽城区,兴业街道,,,
镇,125.319563,43.931179,凯旋街道,,220103,0431,220103007000,,,,,,,,,,亚洲,中国,吉林,长春,宽城区,凯旋街道,,,
镇,125.354998,43.93233,团山街道,,220103,0431,220103008000,,,,,,,,,,亚洲,中国,吉林,长春,宽城区,团山街道,,,
镇,125.305143,43.944573,柳影街道,,220103,0431,220103009000,,,,,,,,,,亚洲,中国,吉林,长春,宽城区,柳影街道,,,
镇,125.326578,43.943614,欣园街道,,220103,0431,220103010000,,,,,,,,,,亚洲,中国,吉林,长春,宽城区,欣园街道,,,
镇,125.242718,44.004403,兰家镇,,220103,0431,220103100000,,,,,,,,,,亚洲,中国,吉林,长春,宽城区,兰家镇,,,
镇,125.47605,44.129161,米沙子镇,,220103,0431,220103101000,,,,,,,,,,亚洲,中国,吉林,长春,宽城区,米沙子镇,,,
镇,125.353482,44.144111,万宝镇,,220103,0431,220103102000,,,,,,,,,,亚洲,中国,吉林,长春,宽城区,万宝镇,,,
镇,125.181359,44.060011,合隆镇,,220103,0431,220103171000,,,,,,,,,,亚洲,中国,吉林,长春,宽城区,合隆镇,,,
镇,125.288319,43.833513,前进街道,,220104,0431,220104001000,,,,,,,,,,亚洲,中国,吉林,长春,朝阳区,前进街道,,,
镇,125.323337,43.86009,桂林街道,,220104,0431,220104002000,,,,,,,,,,亚洲,中国,吉林,长春,朝阳区,桂林街道,,,
镇,125.30126,43.845728,南湖街道,,220104,0431,220104003000,,,,,,,,,,亚洲,中国,吉林,长春,朝阳区,南湖街道,,,
镇,125.321383,43.872545,永昌街道,,220104,0431,220104004000,,,,,,,,,,亚洲,中国,吉林,长春,朝阳区,永昌街道,,,
镇,125.317672,43.891886,重庆街道,,220104,0431,220104005000,,,,,,,,,,亚洲,中国,吉林,长春,朝阳区,重庆街道,,,
镇,125.30764,43.893343,清和街道,,220104,0431,220104006000,,,,,,,,,,亚洲,中国,吉林,长春,朝阳区,清和街道,,,
镇,125.28844,43.87099,红旗街道,,220104,0431,220104007000,,,,,,,,,,亚洲,中国,吉林,长春,朝阳区,红旗街道,,,
镇,125.27905,43.860335,湖西街道,,220104,0431,220104008000,,,,,,,,,,亚洲,中国,吉林,长春,朝阳区,湖西街道,,,
镇,125.205164,43.79635,富锋街道,,220104,0431,220104009000,,,,,,,,,,亚洲,中国,吉林,长春,朝阳区,富锋街道,,,
镇,125.302328,43.572881,乐山镇,,220104,0431,220104100000,,,,,,,,,,亚洲,中国,吉林,长春,朝阳区,乐山镇,,,
镇,125.307514,43.737942,永春镇,,220104,0431,220104101000,,,,,,,,,,亚洲,中国,吉林,长春,朝阳区,永春镇,,,
镇,125.367187,43.881637,东盛街道,,220105,0431,220105001000,,,,,,,,,,亚洲,中国,吉林,长春,二道区,东盛街道,,,
镇,125.358479,43.88326,吉林街道,,220105,0431,220105002000,,,,,,,,,,亚洲,中国,吉林,长春,二道区,吉林街道,,,
镇,125.386634,43.870801,荣光街道,,220105,0431,220105003000,,,,,,,,,,亚洲,中国,吉林,长春,二道区,荣光街道,,,
镇,125.363192,43.892706,东站街道,,220105,0431,220105004000,,,,,,,,,,亚洲,中国,吉林,长春,二道区,东站街道,,,
镇,125.397398,43.920164,远达街道,,220105,0431,220105005000,,,,,,,,,,亚洲,中国,吉林,长春,二道区,远达街道,,,
镇,125.372012,43.933987,八里堡街道,,220105,0431,220105006000,,,,,,,,,,亚洲,中国,吉林,长春,二道区,八里堡街道,,,
镇,125.422132,43.891689,长青街道,,220105,0431,220105007000,,,,,,,,,,亚洲,中国,吉林,长春,二道区,长青街道,,,
镇,125.470344,43.865983,英俊镇,,220105,0431,220105100000,,,,,,,,,,亚洲,中国,吉林,长春,二道区,英俊镇,,,
镇,125.699561,43.805632,劝农山镇,,220105,0431,220105173000,,,,,,,,,,亚洲,中国,吉林,长春,二道区,劝农山镇,,,
镇,125.54513,43.871056,泉眼镇,,220105,0431,220105174000,,,,,,,,,,亚洲,中国,吉林,长春,二道区,泉眼镇,,,
镇,125.780784,43.830351,四家乡,,220105,0431,220105270000,,,,,,,,,,亚洲,中国,吉林,长春,二道区,四家乡,,,
镇,125.271663,43.883067,正阳街道,,220106,0431,220106001000,,,,,,,,,,亚洲,中国,吉林,长春,绿园区,正阳街道,,,
镇,125.272,43.879474,春城街道,,220106,0431,220106003000,,,,,,,,,,亚洲,中国,吉林,长春,绿园区,春城街道,,,
镇,125.256136,43.880975,青年街道,,220106,0431,220106005000,,,,,,,,,,亚洲,中国,吉林,长春,绿园区,青年街道,,,
镇,125.281532,43.884865,普阳街道,,220106,0431,220106006000,,,,,,,,,,亚洲,中国,吉林,长春,绿园区,普阳街道,,,
镇,125.302887,43.904188,铁西街道,,220106,0431,220106007000,,,,,,,,,,亚洲,中国,吉林,长春,绿园区,铁西街道,,,
镇,125.278985,43.916726,林园街道,,220106,0431,220106010000,,,,,,,,,,亚洲,中国,吉林,长春,绿园区,林园街道,,,
镇,125.185594,43.857921,同心街道,,220106,0431,220106011000,,,,,,,,,,亚洲,中国,吉林,长春,绿园区,同心街道,,,
镇,125.142217,43.951509,合心镇,,220106,0431,220106100000,,,,,,,,,,亚洲,中国,吉林,长春,绿园区,合心镇,,,
镇,125.185508,43.858169,西新镇,,220106,0431,220106101000,,,,,,,,,,亚洲,中国,吉林,长春,绿园区,西新镇,,,
镇,125.242057,43.884674,城西镇,,220106,0431,220106102000,,,,,,,,,,亚洲,中国,吉林,长春,绿园区,城西镇,,,
镇,125.179618,43.937991,绿园经济开发区,,220106,0431,220106400000,,,,,,,,,,亚洲,中国,吉林,长春,绿园区,绿园经济开发区,,,
镇,125.667146,43.531697,云山街道,,220112,0431,220112001000,,,,,,,,,,亚洲,中国,吉林,长春,双阳区,云山街道,,,
镇,125.664662,43.525311,平湖街道,,220112,0431,220112002000,,,,,,,,,,亚洲,中国,吉林,长春,双阳区,平湖街道,,,
镇,125.548871,43.665431,奢岭街道,,220112,0431,220112003000,,,,,,,,,,亚洲,中国,吉林,长春,双阳区,奢岭街道,,,
镇,125.922758,43.42051,山河街道,,220112,0431,220112004000,,,,,,,,,,亚洲,中国,吉林,长春,双阳区,山河街道,,,
镇,125.711967,43.688942,齐家镇,,220112,0431,220112100000,,,,,,,,,,亚洲,中国,吉林,长春,双阳区,齐家镇,,,
镇,125.73774,43.404808,太平镇,,220112,0431,220112101000,,,,,,,,,,亚洲,中国,吉林,长春,双阳区,太平镇,,,
镇,125.485698,43.565499,鹿乡镇,,220112,0431,220112102000,,,,,,,,,,亚洲,中国,吉林,长春,双阳区,鹿乡镇,,,
镇,125.588202,43.577999,双营子回族乡,,220112,0431,220112270000,,,,,,,,,,亚洲,中国,吉林,长春,双阳区,双营子回族乡,,,
镇,125.839869,44.14484,九台街道,,220113,0431,220113001000,,,,,,,,,,亚洲,中国,吉林,长春,九台区,九台街道,,,
镇,125.872099,44.157269,营城街道,,220113,0431,220113002000,,,,,,,,,,亚洲,中国,吉林,长春,九台区,营城街道,,,
镇,125.830968,44.154649,九郊街道,,220113,0431,220113003000,,,,,,,,,,亚洲,中国,吉林,长春,九台区,九郊街道,,,
镇,125.804785,44.033102,西营城街道,,220113,0431,220113004000,,,,,,,,,,亚洲,中国,吉林,长春,九台区,西营城街道,,,
镇,125.817139,43.957986,土们岭街道,,220113,0431,220113005000,,,,,,,,,,亚洲,中国,吉林,长春,九台区,土们岭街道,,,
镇,125.896258,44.209117,苇子沟街道,,220113,0431,220113006000,,,,,,,,,,亚洲,中国,吉林,长春,九台区,苇子沟街道,,,
镇,125.745705,44.310366,兴隆街道,,220113,0431,220113007000,,,,,,,,,,亚洲,中国,吉林,长春,九台区,兴隆街道,,,
镇,125.63932,44.26224,纪家街道,,220113,0431,220113008000,,,,,,,,,,亚洲,中国,吉林,长春,九台区,纪家街道,,,
镇,125.884867,43.89381,波泥河街道,,220113,0431,220113009000,,,,,,,,,,亚洲,中国,吉林,长春,九台区,波泥河街道,,,
镇,125.562939,44.022321,卡伦湖街道,,220113,0431,220113010000,,,,,,,,,,亚洲,中国,吉林,长春,九台区,卡伦湖街道,,,
镇,125.662115,43.941279,东湖街道,,220113,0431,220113011000,,,,,,,,,,亚洲,中国,吉林,长春,九台区,东湖街道,,,
镇,125.839574,44.151742,龙嘉街道,,220113,0431,220113012000,,,,,,,,,,亚洲,中国,吉林,长春,九台区,龙嘉街道,,,
镇,125.839574,44.151742,兴港街道,,220113,0431,220113013000,,,,,,,,,,亚洲,中国,吉林,长春,九台区,兴港街道,,,
镇,126.098251,44.226166,沐石河街道,,220113,0431,220113014000,,,,,,,,,,亚洲,中国,吉林,长春,九台区,沐石河街道,,,
镇,126.011794,44.367506,城子街街道,,220113,0431,220113015000,,,,,,,,,,亚洲,中国,吉林,长春,九台区,城子街街道,,,
镇,126.34014,44.368755,其塔木镇,,220113,0431,220113102000,,,,,,,,,,亚洲,中国,吉林,长春,九台区,其塔木镇,,,
镇,126.200159,44.490294,上河湾镇,,220113,0431,220113103000,,,,,,,,,,亚洲,中国,吉林,长春,九台区,上河湾镇,,,
镇,126.33644,44.274586,胡家回族乡,,220113,0431,220113200000,,,,,,,,,,亚洲,中国,吉林,长春,九台区,胡家回族乡,,,
镇,126.41734,44.264901,莽卡满族乡,,220113,0431,220113201000,,,,,,,,,,亚洲,中国,吉林,长春,九台区,莽卡满族乡,,,
镇,125.184742,44.432889,兴农街道,,220122,0431,220122001000,,,,,,,,,,亚洲,中国,吉林,长春,农安县,兴农街道,,,
镇,125.17414,44.4376,宝塔街道,,220122,0431,220122002000,,,,,,,,,,亚洲,中国,吉林,长春,农安县,宝塔街道,,,
镇,125.184742,44.432889,和谐街道,,220122,0431,220122003000,,,,,,,,,,亚洲,中国,吉林,长春,农安县,和谐街道,,,
镇,125.184742,44.432889,黄龙街道,,220122,0431,220122004000,,,,,,,,,,亚洲,中国,吉林,长春,农安县,黄龙街道,,,
镇,125.175067,44.434602,农安镇,,220122,0431,220122100000,,,,,,,,,,亚洲,中国,吉林,长春,农安县,农安镇,,,
镇,124.634721,44.408228,伏龙泉镇,,220122,0431,220122101000,,,,,,,,,,亚洲,中国,吉林,长春,农安县,伏龙泉镇,,,
镇,125.129958,44.669739,哈拉海镇,,220122,0431,220122102000,,,,,,,,,,亚洲,中国,吉林,长春,农安县,哈拉海镇,,,
镇,125.659045,44.779902,靠山镇,,220122,0431,220122103000,,,,,,,,,,亚洲,中国,吉林,长春,农安县,靠山镇,,,
镇,125.195315,44.170127,开安镇,,220122,0431,220122104000,,,,,,,,,,亚洲,中国,吉林,长春,农安县,开安镇,,,
镇,125.013277,43.995684,烧锅镇,,220122,0431,220122105000,,,,,,,,,,亚洲,中国,吉林,长春,农安县,烧锅镇,,,
镇,125.265308,44.67903,高家店镇,,220122,0431,220122106000,,,,,,,,,,亚洲,中国,吉林,长春,农安县,高家店镇,,,
镇,125.132121,44.289945,华家镇,,220122,0431,220122107000,,,,,,,,,,亚洲,中国,吉林,长春,农安县,华家镇,,,
镇,124.810001,44.550381,三盛玉镇,,220122,0431,220122108000,,,,,,,,,,亚洲,中国,吉林,长春,农安县,三盛玉镇,,,
镇,124.829151,44.34385,巴吉垒镇,,220122,0431,220122109000,,,,,,,,,,亚洲,中国,吉林,长春,农安县,巴吉垒镇,,,
镇,124.877145,44.104732,三岗镇,,220122,0431,220122110000,,,,,,,,,,亚洲,中国,吉林,长春,农安县,三岗镇,,,
镇,125.271289,44.264022,前岗乡,,220122,0431,220122200000,,,,,,,,,,亚洲,中国,吉林,长春,农安县,前岗乡,,,
镇,125.184742,44.432889,龙王乡,,220122,0431,220122201000,,,,,,,,,,亚洲,中国,吉林,长春,农安县,龙王乡,,,
镇,124.97318,44.522441,万顺乡,,220122,0431,220122203000,,,,,,,,,,亚洲,中国,吉林,长春,农安县,万顺乡,,,
镇,124.913316,44.675427,杨树林乡,,220122,0431,220122204000,,,,,,,,,,亚洲,中国,吉林,长春,农安县,杨树林乡,,,
镇,124.683306,44.509924,永安乡,,220122,0431,220122205000,,,,,,,,,,亚洲,中国,吉林,长春,农安县,永安乡,,,
镇,125.597415,44.850621,青山口乡,,220122,0431,220122206000,,,,,,,,,,亚洲,中国,吉林,长春,农安县,青山口乡,,,
镇,125.466971,44.816298,黄鱼圈乡,,220122,0431,220122207000,,,,,,,,,,亚洲,中国,吉林,长春,农安县,黄鱼圈乡,,,
镇,125.529812,44.709339,新农乡,,220122,0431,220122208000,,,,,,,,,,亚洲,中国,吉林,长春,农安县,新农乡,,,
镇,125.401532,44.619425,万金塔乡,,220122,0431,220122209000,,,,,,,,,,亚洲,中国,吉林,长春,农安县,万金塔乡,,,
镇,125.351166,44.77479,小城子乡,,220122,0431,220122210000,,,,,,,,,,亚洲,中国,吉林,长春,农安县,小城子乡,,,
镇,124.802746,44.239154,洼中高农场,,220122,0431,220122400000,,,,,,,,,,亚洲,中国,吉林,长春,农安县,洼中高农场,,,
镇,125.369421,43.862313,临河街道,,220105,0431,220171001000,,,,,,,,,,亚洲,中国,吉林,长春,长春经济技术开发区,临河街道,,,
镇,125.407876,43.875386,东方广场街道,,220105,0431,220171002000,,,,,,,,,,亚洲,中国,吉林,长春,长春经济技术开发区,东方广场街道,,,
镇,125.427188,43.879016,会展街道,,220102,0431,220171003000,,,,,,,,,,亚洲,中国,吉林,长春,长春经济技术开发区,会展街道,,,
镇,125.427188,43.879016,世纪街道,,220102,0431,220171004000,,,,,,,,,,亚洲,中国,吉林,长春,长春经济技术开发区,世纪街道,,,
镇,125.417671,43.926914,兴隆山镇,,220105,0431,220171100000,,,,,,,,,,亚洲,中国,吉林,长春,长春经济技术开发区,兴隆山镇,,,
