级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,117.18696,39.12523,劝业场街道,,120101,022,120101001000,,,,,,,,,,亚洲,中国,天津,市辖区,和平区,劝业场街道,,,
镇,117.212052,39.118992,小白楼街道,,120101,022,120101002000,,,,,,,,,,亚洲,中国,天津,市辖区,和平区,小白楼街道,,,
镇,117.200739,39.110617,五大道街道,,120101,022,120101003000,,,,,,,,,,亚洲,中国,天津,市辖区,和平区,五大道街道,,,
镇,117.18634,39.105538,新兴街道,,120101,022,120101004000,,,,,,,,,,亚洲,中国,天津,市辖区,和平区,新兴街道,,,
镇,117.187309,39.117157,南营门街道,,120101,022,120101005000,,,,,,,,,,亚洲,中国,天津,市辖区,和平区,南营门街道,,,
镇,117.1815,39.127565,南市街道,,120101,022,120101006000,,,,,,,,,,亚洲,中国,天津,市辖区,和平区,南市街道,,,
镇,117.222164,39.126678,大王庄街道,,120102,022,120102001000,,,,,,,,,,亚洲,中国,天津,市辖区,河东区,大王庄街道,,,
镇,117.246534,39.109686,大直沽街道,,120102,022,120102002000,,,,,,,,,,亚洲,中国,天津,市辖区,河东区,大直沽街道,,,
镇,117.27065,39.102209,中山门街道,,120102,022,120102003000,,,,,,,,,,亚洲,中国,天津,市辖区,河东区,中山门街道,,,
镇,117.252172,39.092503,富民路街道,,120102,022,120102004000,,,,,,,,,,亚洲,中国,天津,市辖区,河东区,富民路街道,,,
镇,117.289855,39.095578,二号桥街道,,120102,022,120102005000,,,,,,,,,,亚洲,中国,天津,市辖区,河东区,二号桥街道,,,
镇,117.20848,39.140014,春华街道,,120102,022,120102006000,,,,,,,,,,亚洲,中国,天津,市辖区,河东区,春华街道,,,
镇,117.241001,39.127777,唐家口街道,,120102,022,120102007000,,,,,,,,,,亚洲,中国,天津,市辖区,河东区,唐家口街道,,,
镇,117.245048,39.134597,向阳楼街道,,120102,022,120102008000,,,,,,,,,,亚洲,中国,天津,市辖区,河东区,向阳楼街道,,,
镇,117.24028,39.146624,常州道街道,,120102,022,120102009000,,,,,,,,,,亚洲,中国,天津,市辖区,河东区,常州道街道,,,
镇,117.260614,39.12815,上杭路街道,,120102,022,120102010000,,,,,,,,,,亚洲,中国,天津,市辖区,河东区,上杭路街道,,,
镇,117.276584,39.14234,东新街道,,120102,022,120102011000,,,,,,,,,,亚洲,中国,天津,市辖区,河东区,东新街道,,,
镇,117.281549,39.156303,鲁山道街道,,120102,022,120102012000,,,,,,,,,,亚洲,中国,天津,市辖区,河东区,鲁山道街道,,,
镇,117.251587,39.128291,天津铁厂街道,,120102,022,120102013000,,,,,,,,,,亚洲,中国,天津,市辖区,河东区,天津铁厂街道,,,
镇,117.21477,39.108836,大营门街道,,120103,022,120103001000,,,,,,,,,,亚洲,中国,天津,市辖区,河西区,大营门街道,,,
镇,117.225289,39.106094,下瓦房街道,,120103,022,120103002000,,,,,,,,,,亚洲,中国,天津,市辖区,河西区,下瓦房街道,,,
镇,117.213659,39.101926,桃园街道,,120103,022,120103003000,,,,,,,,,,亚洲,中国,天津,市辖区,河西区,桃园街道,,,
镇,117.221729,39.098031,挂甲寺街道,,120103,022,120103004000,,,,,,,,,,亚洲,中国,天津,市辖区,河西区,挂甲寺街道,,,
镇,117.188636,39.095777,马场街道,,120103,022,120103005000,,,,,,,,,,亚洲,中国,天津,市辖区,河西区,马场街道,,,
镇,117.213936,39.096976,越秀路街道,,120103,022,120103006000,,,,,,,,,,亚洲,中国,天津,市辖区,河西区,越秀路街道,,,
镇,117.214529,39.076082,友谊路街道,,120103,022,120103007000,,,,,,,,,,亚洲,中国,天津,市辖区,河西区,友谊路街道,,,
镇,117.185247,39.08158,天塔街道,,120103,022,120103008000,,,,,,,,,,亚洲,中国,天津,市辖区,河西区,天塔街道,,,
镇,117.23089,39.076271,尖山街道,,120103,022,120103009000,,,,,,,,,,亚洲,中国,天津,市辖区,河西区,尖山街道,,,
镇,117.257352,39.072435,陈塘庄街道,,120103,022,120103010000,,,,,,,,,,亚洲,中国,天津,市辖区,河西区,陈塘庄街道,,,
镇,117.283493,39.061473,柳林街道,,120103,022,120103011000,,,,,,,,,,亚洲,中国,天津,市辖区,河西区,柳林街道,,,
镇,117.253747,39.055498,东海街道,,120103,022,120103012000,,,,,,,,,,亚洲,中国,天津,市辖区,河西区,东海街道,,,
镇,117.223372,39.109563,梅江街道,,120103,022,120103013000,,,,,,,,,,亚洲,中国,天津,市辖区,河西区,梅江街道,,,
镇,117.235749,39.082059,太湖路街道,,120103,022,120103014000,,,,,,,,,,亚洲,中国,天津,市辖区,河西区,太湖路街道,,,
镇,117.152781,39.140826,长虹街道,,120104,022,120104001000,,,,,,,,,,亚洲,中国,天津,市辖区,南开区,长虹街道,,,
镇,117.175523,39.142985,鼓楼街道,,120104,022,120104002000,,,,,,,,,,亚洲,中国,天津,市辖区,南开区,鼓楼街道,,,
镇,117.176528,39.12622,兴南街道,,120104,022,120104003000,,,,,,,,,,亚洲,中国,天津,市辖区,南开区,兴南街道,,,
镇,117.16666,39.135493,广开街道,,120104,022,120104004000,,,,,,,,,,亚洲,中国,天津,市辖区,南开区,广开街道,,,
镇,117.150738,39.138203,万兴街道,,120104,022,120104005000,,,,,,,,,,亚洲,中国,天津,市辖区,南开区,万兴街道,,,
镇,117.166075,39.112805,学府街道,,120104,022,120104006000,,,,,,,,,,亚洲,中国,天津,市辖区,南开区,学府街道,,,
镇,117.131181,39.138758,向阳路街道,,120104,022,120104007000,,,,,,,,,,亚洲,中国,天津,市辖区,南开区,向阳路街道,,,
镇,117.141129,39.127564,嘉陵道街道,,120104,022,120104008000,,,,,,,,,,亚洲,中国,天津,市辖区,南开区,嘉陵道街道,,,
镇,117.145219,39.102616,王顶堤街道,,120104,022,120104009000,,,,,,,,,,亚洲,中国,天津,市辖区,南开区,王顶堤街道,,,
镇,117.153513,39.095653,水上公园街道,,120104,022,120104010000,,,,,,,,,,亚洲,中国,天津,市辖区,南开区,水上公园街道,,,
镇,117.177848,39.067965,体育中心街道,,120104,022,120104011000,,,,,,,,,,亚洲,中国,天津,市辖区,南开区,体育中心街道,,,
镇,117.126661,39.085784,华苑街道,,120104,022,120104012000,,,,,,,,,,亚洲,中国,天津,市辖区,南开区,华苑街道,,,
镇,117.209389,39.147069,光复道街道,,120105,022,120105001000,,,,,,,,,,亚洲,中国,天津,市辖区,河北区,光复道街道,,,
镇,117.207713,39.161065,望海楼街道,,120105,022,120105002000,,,,,,,,,,亚洲,中国,天津,市辖区,河北区,望海楼街道,,,
镇,117.195351,39.158445,鸿顺里街道,,120105,022,120105003000,,,,,,,,,,亚洲,中国,天津,市辖区,河北区,鸿顺里街道,,,
镇,117.183976,39.175714,新开河街道,,120105,022,120105004000,,,,,,,,,,亚洲,中国,天津,市辖区,河北区,新开河街道,,,
镇,117.203684,39.189008,铁东路街道,,120105,022,120105005000,,,,,,,,,,亚洲,中国,天津,市辖区,河北区,铁东路街道,,,
镇,117.230074,39.171039,建昌道街道,,120105,022,120105006000,,,,,,,,,,亚洲,中国,天津,市辖区,河北区,建昌道街道,,,
镇,117.218621,39.161467,宁园街道,,120105,022,120105007000,,,,,,,,,,亚洲,中国,天津,市辖区,河北区,宁园街道,,,
镇,117.229277,39.159945,王串场街道,,120105,022,120105008000,,,,,,,,,,亚洲,中国,天津,市辖区,河北区,王串场街道,,,
镇,117.236049,39.163264,江都路街道,,120105,022,120105009000,,,,,,,,,,亚洲,中国,天津,市辖区,河北区,江都路街道,,,
镇,117.246644,39.164044,月牙河街道,,120105,022,120105010000,,,,,,,,,,亚洲,中国,天津,市辖区,河北区,月牙河街道,,,
