级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,117.036726,36.665082,解放路街道,,370102,0531,370102001000,,,,,,,,,,亚洲,中国,山东,济南,历下区,解放路街道,,,
镇,117.039982,36.642855,千佛山街道,,370102,0531,370102002000,,,,,,,,,,亚洲,中国,山东,济南,历下区,千佛山街道,,,
镇,117.01786,36.659508,趵突泉街道,,370102,0531,370102003000,,,,,,,,,,亚洲,中国,山东,济南,历下区,趵突泉街道,,,
镇,117.02039,36.666344,泉城路街道,,370102,0531,370102004000,,,,,,,,,,亚洲,中国,山东,济南,历下区,泉城路街道,,,
镇,117.03301,36.67052,大明湖街道,,370102,0531,370102005000,,,,,,,,,,亚洲,中国,山东,济南,历下区,大明湖街道,,,
镇,117.032904,36.678877,东关街道,,370102,0531,370102006000,,,,,,,,,,亚洲,中国,山东,济南,历下区,东关街道,,,
镇,117.076455,36.666412,文东街道,,370102,0531,370102007000,,,,,,,,,,亚洲,中国,山东,济南,历下区,文东街道,,,
镇,117.049764,36.670794,建新街道,,370102,0531,370102008000,,,,,,,,,,亚洲,中国,山东,济南,历下区,建新街道,,,
镇,117.076455,36.666412,甸柳街道,,370102,0531,370102009000,,,,,,,,,,亚洲,中国,山东,济南,历下区,甸柳街道,,,
镇,117.062335,36.659475,燕山街道,,370102,0531,370102010000,,,,,,,,,,亚洲,中国,山东,济南,历下区,燕山街道,,,
镇,117.092981,36.660346,姚家街道,,370102,0531,370102011000,,,,,,,,,,亚洲,中国,山东,济南,历下区,姚家街道,,,
镇,117.10125,36.640531,龙洞街道,,370102,0531,370102012000,,,,,,,,,,亚洲,中国,山东,济南,历下区,龙洞街道,,,
镇,117.167811,36.666714,智远街道,,370102,0531,370102013000,,,,,,,,,,亚洲,中国,山东,济南,历下区,智远街道,,,
镇,116.995013,36.659091,大观园街道,,370103,0531,370103002000,,,,,,,,,,亚洲,中国,山东,济南,市中区,大观园街道,,,
