级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,113.2483,23.107235,沙面街道,,440103,020,440103001000,,,,,,,,,,亚洲,中国,广东,广州,荔湾区,沙面街道,,,
镇,113.247694,23.110019,岭南街道,,440103,020,440103002000,,,,,,,,,,亚洲,中国,广东,广州,荔湾区,岭南街道,,,
镇,113.243446,23.11782,华林街道,,440103,020,440103003000,,,,,,,,,,亚洲,中国,广东,广州,荔湾区,华林街道,,,
镇,113.238196,23.116253,多宝街道,,440103,020,440103004000,,,,,,,,,,亚洲,中国,广东,广州,荔湾区,多宝街道,,,
镇,113.235955,23.11561,昌华街道,,440103,020,440103005000,,,,,,,,,,亚洲,中国,广东,广州,荔湾区,昌华街道,,,
镇,113.242893,23.12339,逢源街道,,440103,020,440103006000,,,,,,,,,,亚洲,中国,广东,广州,荔湾区,逢源街道,,,
镇,113.248614,23.122688,龙津街道,,440103,020,440103007000,,,,,,,,,,亚洲,中国,广东,广州,荔湾区,龙津街道,,,
镇,113.249816,23.127538,金花街道,,440103,020,440103008000,,,,,,,,,,亚洲,中国,广东,广州,荔湾区,金花街道,,,
镇,113.237818,23.128855,彩虹街道,,440103,020,440103009000,,,,,,,,,,亚洲,中国,广东,广州,荔湾区,彩虹街道,,,
镇,113.234523,23.137531,南源街道,,440103,020,440103010000,,,,,,,,,,亚洲,中国,广东,广州,荔湾区,南源街道,,,
镇,113.23906,23.144299,西村街道,,440103,020,440103011000,,,,,,,,,,亚洲,中国,广东,广州,荔湾区,西村街道,,,
镇,113.247835,23.139892,站前街道,,440103,020,440103012000,,,,,,,,,,亚洲,中国,广东,广州,荔湾区,站前街道,,,
镇,113.224984,23.120577,桥中街道,,440103,020,440103013000,,,,,,,,,,亚洲,中国,广东,广州,荔湾区,桥中街道,,,
镇,113.246758,23.079236,白鹤洞街道,,440103,020,440103014000,,,,,,,,,,亚洲,中国,广东,广州,荔湾区,白鹤洞街道,,,
镇,113.246917,23.085414,冲口街道,,440103,020,440103015000,,,,,,,,,,亚洲,中国,广东,广州,荔湾区,冲口街道,,,
镇,113.234166,23.098943,花地街道,,440103,020,440103016000,,,,,,,,,,亚洲,中国,广东,广州,荔湾区,花地街道,,,
镇,113.212597,23.111935,石围塘街道,,440103,020,440103017000,,,,,,,,,,亚洲,中国,广东,广州,荔湾区,石围塘街道,,,
镇,113.224691,23.08783,茶滘街道,,440103,020,440103018000,,,,,,,,,,亚洲,中国,广东,广州,荔湾区,茶滘街道,,,
镇,113.224579,23.079956,东漖街道,,440103,020,440103019000,,,,,,,,,,亚洲,中国,广东,广州,荔湾区,东漖街道,,,
镇,113.212928,23.072749,海龙街道,,440103,020,440103020000,,,,,,,,,,亚洲,中国,广东,广州,荔湾区,海龙街道,,,
镇,113.24431,23.05541,东沙街道,,440103,020,440103021000,,,,,,,,,,亚洲,中国,广东,广州,荔湾区,东沙街道,,,
镇,113.221608,23.051783,中南街道,,440103,020,440103022000,,,,,,,,,,亚洲,中国,广东,广州,荔湾区,中南街道,,,
镇,113.269843,23.1336,洪桥街道,,440104,020,440104001000,,,,,,,,,,亚洲,中国,广东,广州,越秀区,洪桥街道,,,
镇,113.270881,23.128834,北京街道,,440104,020,440104003000,,,,,,,,,,亚洲,中国,广东,广州,越秀区,北京街道,,,
