级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,108.338104,22.838207,民生街道,,450102,0771,450102001000,,,,,,,,,,亚洲,中国,广西,南宁,兴宁区,民生街道,,,
镇,108.320158,22.822731,朝阳街道,,450102,0771,450102002000,,,,,,,,,,亚洲,中国,广西,南宁,兴宁区,朝阳街道,,,
镇,108.368871,22.854021,兴东街道,,450102,0771,450102003000,,,,,,,,,,亚洲,中国,广西,南宁,兴宁区,兴东街道,,,
镇,108.418471,22.877257,三塘镇,,450102,0771,450102101000,,,,,,,,,,亚洲,中国,广西,南宁,兴宁区,三塘镇,,,
镇,108.548954,22.939549,五塘镇,,450102,0771,450102102000,,,,,,,,,,亚洲,中国,广西,南宁,兴宁区,五塘镇,,,
镇,108.368871,22.854021,昆仑镇,,450102,0771,450102104000,,,,,,,,,,亚洲,中国,广西,南宁,兴宁区,昆仑镇,,,
镇,108.352119,22.814255,新竹街道,,450103,0771,450103001000,,,,,,,,,,亚洲,中国,广西,南宁,青秀区,新竹街道,,,
镇,108.352393,22.79333,中山街道,,450103,0771,450103002000,,,,,,,,,,亚洲,中国,广西,南宁,青秀区,中山街道,,,
镇,108.357966,22.833692,建政街道,,450103,0771,450103003000,,,,,,,,,,亚洲,中国,广西,南宁,青秀区,建政街道,,,
镇,108.37302,22.82459,南湖街道,,450103,0771,450103004000,,,,,,,,,,亚洲,中国,广西,南宁,青秀区,南湖街道,,,
镇,108.338628,22.796419,津头街道,,450103,0771,450103005000,,,,,,,,,,亚洲,中国,广西,南宁,青秀区,津头街道,,,
镇,108.643667,22.725924,刘圩镇,,450103,0771,450103100000,,,,,,,,,,亚洲,中国,广西,南宁,青秀区,刘圩镇,,,
镇,108.794746,22.76661,南阳镇,,450103,0771,450103101000,,,,,,,,,,亚洲,中国,广西,南宁,青秀区,南阳镇,,,
镇,108.764251,22.852798,伶俐镇,,450103,0771,450103102000,,,,,,,,,,亚洲,中国,广西,南宁,青秀区,伶俐镇,,,
镇,108.651389,22.828318,长塘镇,,450103,0771,450103103000,,,,,,,,,,亚洲,中国,广西,南宁,青秀区,长塘镇,,,
镇,108.44864,22.810838,仙葫经济开发区管理委员会,,450103,0771,450103400000,,,,,,,,,,亚洲,中国,广西,南宁,青秀区,仙葫经济开发区管理委员会,,,
镇,108.365641,22.796502,青秀山管理委员会,,450103,0771,450103451000,,,,,,,,,,亚洲,中国,广西,南宁,青秀区,青秀山管理委员会,,,
镇,108.314803,22.79642,福建园街道,,450105,0771,450105001000,,,,,,,,,,亚洲,中国,广西,南宁,江南区,福建园街道,,,
镇,108.277617,22.799986,江南街道,,450105,0771,450105002000,,,,,,,,,,亚洲,中国,广西,南宁,江南区,江南街道,,,
镇,108.247238,22.780873,沙井街道,,450105,0771,450105003000,,,,,,,,,,亚洲,中国,广西,南宁,江南区,沙井街道,,,
镇,108.292058,22.777784,那洪街道,,450105,0771,450105004000,,,,,,,,,,亚洲,中国,广西,南宁,江南区,那洪街道,,,
镇,108.305598,22.766988,金凯街道,,450105,0771,450105005000,,,,,,,,,,亚洲,中国,广西,南宁,江南区,金凯街道,,,
镇,108.224283,22.64638,吴圩镇,,450105,0771,450105102000,,,,,,,,,,亚洲,中国,广西,南宁,江南区,吴圩镇,,,
