级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,115.898544,28.68224,公园街道,,360102,0791,360102001000,,,,,,,,,,亚洲,中国,江西,南昌,东湖区,公园街道,,,
镇,115.885624,28.678054,滕王阁街道,,360102,0791,360102002000,,,,,,,,,,亚洲,中国,江西,南昌,东湖区,滕王阁街道,,,
镇,115.884441,28.685276,八一桥街道,,360102,0791,360102003000,,,,,,,,,,亚洲,中国,江西,南昌,东湖区,八一桥街道,,,
镇,115.890023,28.681517,百花洲街道,,360102,0791,360102004000,,,,,,,,,,亚洲,中国,江西,南昌,东湖区,百花洲街道,,,
镇,115.89429,28.68618,墩子塘街道,,360102,0791,360102005000,,,,,,,,,,亚洲,中国,江西,南昌,东湖区,墩子塘街道,,,
镇,115.912109,28.674382,大院街道,,360102,0791,360102006000,,,,,,,,,,亚洲,中国,江西,南昌,东湖区,大院街道,,,
镇,115.894088,28.689362,豫章街道,,360102,0791,360102007000,,,,,,,,,,亚洲,中国,江西,南昌,东湖区,豫章街道,,,
镇,115.904618,28.691978,董家窑街道,,360102,0791,360102008000,,,,,,,,,,亚洲,中国,江西,南昌,东湖区,董家窑街道,,,
镇,115.918997,28.709835,彭家桥街道,,360102,0791,360102009000,,,,,,,,,,亚洲,中国,江西,南昌,东湖区,彭家桥街道,,,
镇,115.856445,28.696548,沙井街道,,360111,0791,360102050000,,,,,,,,,,亚洲,中国,江西,南昌,东湖区,沙井街道,,,
镇,115.916288,28.722205,扬子洲镇,,360102,0791,360102100000,,,,,,,,,,亚洲,中国,江西,南昌,东湖区,扬子洲镇,,,
镇,115.918852,28.689574,贤士湖管理处,,360102,0791,360102400000,,,,,,,,,,亚洲,中国,江西,南昌,东湖区,贤士湖管理处,,,
镇,115.91804,28.757066,扬农管理处,,360111,0791,360102401000,,,,,,,,,,亚洲,中国,江西,南昌,东湖区,扬农管理处,,,
镇,115.9035,28.674875,凤凰洲管理处,,360102,0791,360102450000,,,,,,,,,,亚洲,中国,江西,南昌,东湖区,凤凰洲管理处,,,
