级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,114.514005,38.051387,建北街道,,130102,0311,130102001000,,,,,,,,,,亚洲,中国,河北,石家庄,长安区,建北街道,,,
镇,114.517235,38.044668,青园街道,,130102,0311,130102002000,,,,,,,,,,亚洲,中国,河北,石家庄,长安区,青园街道,,,
镇,114.52378,38.049301,广安街道,,130102,0311,130102003000,,,,,,,,,,亚洲,中国,河北,石家庄,长安区,广安街道,,,
镇,114.53666,38.05545,育才街道,,130102,0311,130102004000,,,,,,,,,,亚洲,中国,河北,石家庄,长安区,育才街道,,,
镇,114.553188,38.051006,跃进街道,,130102,0311,130102005000,,,,,,,,,,亚洲,中国,河北,石家庄,长安区,跃进街道,,,
镇,114.54454,38.042938,河东街道,,130102,0311,130102007000,,,,,,,,,,亚洲,中国,河北,石家庄,长安区,河东街道,,,
镇,114.521684,38.075892,长丰街道,,130102,0311,130102010000,,,,,,,,,,亚洲,中国,河北,石家庄,长安区,长丰街道,,,
镇,114.574751,38.05032,谈固街道,,130102,0311,130102011000,,,,,,,,,,亚洲,中国,河北,石家庄,长安区,谈固街道,,,
镇,114.504796,38.04376,中山东路街道,,130102,0311,130102012000,,,,,,,,,,亚洲,中国,河北,石家庄,长安区,中山东路街道,,,
镇,114.501066,38.050718,阜康街道,,130102,0311,130102013000,,,,,,,,,,亚洲,中国,河北,石家庄,长安区,阜康街道,,,
镇,114.507816,38.052423,建安街道,,130102,0311,130102014000,,,,,,,,,,亚洲,中国,河北,石家庄,长安区,建安街道,,,
镇,114.490887,38.037726,胜利北街道,,130104,0311,130102015000,,,,,,,,,,亚洲,中国,河北,石家庄,长安区,胜利北街道,,,
镇,114.603521,38.075327,西兆通镇,,130102,0311,130102100000,,,,,,,,,,亚洲,中国,河北,石家庄,长安区,西兆通镇,,,
镇,114.645657,38.062428,南村镇,,130102,0311,130102101000,,,,,,,,,,亚洲,中国,河北,石家庄,长安区,南村镇,,,
镇,114.540413,38.077652,高营镇,,130102,0311,130102102000,,,,,,,,,,亚洲,中国,河北,石家庄,长安区,高营镇,,,
镇,114.519723,38.07976,桃园镇,,130102,0311,130102103000,,,,,,,,,,亚洲,中国,河北,石家庄,长安区,桃园镇,,,
镇,114.470224,38.030352,东里街道,,130104,0311,130104001000,,,,,,,,,,亚洲,中国,河北,石家庄,桥西区,东里街道,,,
镇,114.481796,38.042896,中山街道,,130104,0311,130104002000,,,,,,,,,,亚洲,中国,河北,石家庄,桥西区,中山街道,,,
镇,114.480384,38.031907,南长街道,,130104,0311,130104004000,,,,,,,,,,亚洲,中国,河北,石家庄,桥西区,南长街道,,,
镇,114.470273,38.042337,维明街道,,130104,0311,130104005000,,,,,,,,,,亚洲,中国,河北,石家庄,桥西区,维明街道,,,
镇,114.449096,38.035364,友谊街道,,130104,0311,130104007000,,,,,,,,,,亚洲,中国,河北,石家庄,桥西区,友谊街道,,,
镇,114.451413,38.002049,红旗街道,,130104,0311,130104008000,,,,,,,,,,亚洲,中国,河北,石家庄,桥西区,红旗街道,,,
镇,114.474828,38.012237,新石街道,,130104,0311,130104009000,,,,,,,,,,亚洲,中国,河北,石家庄,桥西区,新石街道,,,
镇,114.418365,38.029294,苑东街道,,130104,0311,130104010000,,,,,,,,,,亚洲,中国,河北,石家庄,桥西区,苑东街道,,,
镇,114.456836,38.038156,西里街道,,130104,0311,130104011000,,,,,,,,,,亚洲,中国,河北,石家庄,桥西区,西里街道,,,
镇,114.45967,38.012591,振头街道,,130104,0311,130104012000,,,,,,,,,,亚洲,中国,河北,石家庄,桥西区,振头街道,,,
