级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,112.988764,28.188617,文艺路街道,,430102,0731,430102001000,,,,,,,,,,亚洲,中国,湖南,长沙,芙蓉区,文艺路街道,,,
镇,113.01059,28.190151,朝阳街街道,,430102,0731,430102002000,,,,,,,,,,亚洲,中国,湖南,长沙,芙蓉区,朝阳街街道,,,
镇,112.992286,28.196152,韭菜园街道,,430102,0731,430102003000,,,,,,,,,,亚洲,中国,湖南,长沙,芙蓉区,韭菜园街道,,,
镇,113.010271,28.195408,五里牌街道,,430102,0731,430102008000,,,,,,,,,,亚洲,中国,湖南,长沙,芙蓉区,五里牌街道,,,
镇,113.021667,28.204384,火星街道,,430102,0731,430102009000,,,,,,,,,,亚洲,中国,湖南,长沙,芙蓉区,火星街道,,,
镇,113.017497,28.185844,马王堆街道,,430102,0731,430102010000,,,,,,,,,,亚洲,中国,湖南,长沙,芙蓉区,马王堆街道,,,
镇,113.038722,28.190736,东屯渡街道,,430102,0731,430102011000,,,,,,,,,,亚洲,中国,湖南,长沙,芙蓉区,东屯渡街道,,,
镇,113.010569,28.208378,湘湖街道,,430102,0731,430102012000,,,,,,,,,,亚洲,中国,湖南,长沙,芙蓉区,湘湖街道,,,
镇,112.98333,28.188463,定王台街道,,430102,0731,430102013000,,,,,,,,,,亚洲,中国,湖南,长沙,芙蓉区,定王台街道,,,
镇,113.01866,28.187851,荷花园街道,,430102,0731,430102014000,,,,,,,,,,亚洲,中国,湖南,长沙,芙蓉区,荷花园街道,,,
镇,113.032539,28.185386,东岸街道,,430102,0731,430102015000,,,,,,,,,,亚洲,中国,湖南,长沙,芙蓉区,东岸街道,,,
镇,113.050357,28.2006,马坡岭街道,,430102,0731,430102016000,,,,,,,,,,亚洲,中国,湖南,长沙,芙蓉区,马坡岭街道,,,
镇,113.085335,28.196562,东湖街道,,430102,0731,430102017000,,,,,,,,,,亚洲,中国,湖南,长沙,芙蓉区,东湖街道,,,
镇,113.06649,28.21579,隆平高科技园,,430102,0731,430102400000,,,,,,,,,,亚洲,中国,湖南,长沙,芙蓉区,隆平高科技园,,,
镇,112.974005,28.189685,坡子街街道,,430103,0731,430103002000,,,,,,,,,,亚洲,中国,湖南,长沙,天心区,坡子街街道,,,
镇,112.979125,28.183083,城南路街道,,430103,0731,430103004000,,,,,,,,,,亚洲,中国,湖南,长沙,天心区,城南路街道,,,
镇,112.971184,28.163918,裕南街街道,,430103,0731,430103005000,,,,,,,,,,亚洲,中国,湖南,长沙,天心区,裕南街街道,,,
镇,112.982738,28.155251,金盆岭街道,,430103,0731,430103006000,,,,,,,,,,亚洲,中国,湖南,长沙,天心区,金盆岭街道,,,
镇,112.971813,28.13453,新开铺街道,,430103,0731,430103007000,,,,,,,,,,亚洲,中国,湖南,长沙,天心区,新开铺街道,,,
镇,113.00031,28.121899,青园街道,,430103,0731,430103008000,,,,,,,,,,亚洲,中国,湖南,长沙,天心区,青园街道,,,
镇,112.988747,28.099586,桂花坪街道,,430103,0731,430103009000,,,,,,,,,,亚洲,中国,湖南,长沙,天心区,桂花坪街道,,,
镇,112.971119,28.146691,赤岭路街道,,430103,0731,430103010000,,,,,,,,,,亚洲,中国,湖南,长沙,天心区,赤岭路街道,,,
镇,112.99542,28.128389,文源街道,,430103,0731,430103011000,,,,,,,,,,亚洲,中国,湖南,长沙,天心区,文源街道,,,
镇,112.9887,28.06308,先锋街道,,430103,0731,430103012000,,,,,,,,,,亚洲,中国,湖南,长沙,天心区,先锋街道,,,
镇,112.988419,28.084668,黑石铺街道,,430103,0731,430103013000,,,,,,,,,,亚洲,中国,湖南,长沙,天心区,黑石铺街道,,,
镇,112.93694,28.080523,大托铺街道,,430103,0731,430103014000,,,,,,,,,,亚洲,中国,湖南,长沙,天心区,大托铺街道,,,
镇,113.002413,28.012563,暮云街道,,430103,0731,430103015000,,,,,,,,,,亚洲,中国,湖南,长沙,天心区,暮云街道,,,
镇,112.981035,28.021078,南托街道,,430103,0731,430103016000,,,,,,,,,,亚洲,中国,湖南,长沙,天心区,南托街道,,,
镇,112.952503,28.20142,望月湖街道,,430104,0731,430104001000,,,,,,,,,,亚洲,中国,湖南,长沙,岳麓区,望月湖街道,,,
镇,112.929475,28.160134,岳麓街道,,430104,0731,430104002000,,,,,,,,,,亚洲,中国,湖南,长沙,岳麓区,岳麓街道,,,
镇,112.95131,28.16475,桔子洲街道,,430104,0731,430104003000,,,,,,,,,,亚洲,中国,湖南,长沙,岳麓区,桔子洲街道,,,
镇,112.954465,28.221593,银盆岭街道,,430104,0731,430104004000,,,,,,,,,,亚洲,中国,湖南,长沙,岳麓区,银盆岭街道,,,
镇,112.951962,28.232501,观沙岭街道,,430104,0731,430104005000,,,,,,,,,,亚洲,中国,湖南,长沙,岳麓区,观沙岭街道,,,
镇,112.917019,28.20468,望城坡街道,,430104,0731,430104006000,,,,,,,,,,亚洲,中国,湖南,长沙,岳麓区,望城坡街道,,,
