级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,91.132694,29.649356,八廓街道,,540102,0891,540102002000,,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,八廓街道,,,
镇,91.137981,29.649606,吉日街道,,540102,0891,540102003000,,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,吉日街道,,,
镇,91.131496,29.655325,吉崩岗街道,,540102,0891,540102004000,,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,吉崩岗街道,,,
镇,91.145404,29.672299,扎细街道,,540102,0891,540102005000,,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,扎细街道,,,
镇,91.117428,29.665029,公德林街道,,540102,0891,540102006000,,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,公德林街道,,,
镇,91.154441,29.653,嘎玛贡桑街道,,540102,0891,540102007000,,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,嘎玛贡桑街道,,,
镇,91.1193,29.642511,两岛街道,,540102,0891,540102008000,,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,两岛街道,,,
镇,91.05112,29.63703,金珠西路街道,,540102,0891,540102009000,,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,金珠西路街道,,,
镇,91.197848,29.631435,蔡公堂街道,,540102,0891,540102010000,,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,蔡公堂街道,,,
镇,91.140435,29.654792,夺底街道,,540102,0891,540102011000,,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,夺底街道,,,
镇,91.11894,29.6542,娘热街道,,540102,0891,540102012000,,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,娘热街道,,,
镇,91.140435,29.654792,纳金街道,,540102,0891,540102013000,,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,纳金街道,,,
镇,91.030366,29.652006,东嘎街道,,540103,0891,540103001000,,,,,,,,,,亚洲,中国,西藏,拉萨,堆龙德庆区,东嘎街道,,,
镇,90.986029,29.630313,乃琼街道,,540103,0891,540103002000,,,,,,,,,,亚洲,中国,西藏,拉萨,堆龙德庆区,乃琼街道,,,
镇,90.952631,29.662911,羊达街道,,540103,0891,540103003000,,,,,,,,,,亚洲,中国,西藏,拉萨,堆龙德庆区,羊达街道,,,
镇,91.089381,29.607424,柳梧街道,,540103,0891,540103004000,,,,,,,,,,亚洲,中国,西藏,拉萨,堆龙德庆区,柳梧街道,,,
镇,91.140856,29.645554,古荣镇,,540100,0891,540103102000,,,,,,,,,,亚洲,中国,西藏,拉萨,堆龙德庆区,古荣镇,,,
镇,91.140856,29.645554,马镇,,540100,0891,540103103000,,,,,,,,,,亚洲,中国,西藏,拉萨,堆龙德庆区,马镇,,,
镇,91.140856,29.645554,德庆镇,,540100,0891,540103104000,,,,,,,,,,亚洲,中国,西藏,拉萨,堆龙德庆区,德庆镇,,,
镇,91.366711,29.669212,德庆镇,,540126,0891,540104100000,,,,,,,,,,亚洲,中国,西藏,拉萨,达孜区,德庆镇,,,
镇,91.349867,29.66941,塔杰乡,,540126,0891,540104200000,,,,,,,,,,亚洲,中国,西藏,拉萨,达孜区,塔杰乡,,,
镇,91.491575,29.779146,章多乡,,540126,0891,540104201000,,,,,,,,,,亚洲,中国,西藏,拉萨,达孜区,章多乡,,,
镇,91.553591,29.837043,唐嘎乡,,540126,0891,540104202000,,,,,,,,,,亚洲,中国,西藏,拉萨,达孜区,唐嘎乡,,,
镇,91.488038,29.823737,雪乡,,540126,0891,540104203000,,,,,,,,,,亚洲,中国,西藏,拉萨,达孜区,雪乡,,,
镇,91.377968,29.697496,帮堆乡,,540126,0891,540104204000,,,,,,,,,,亚洲,中国,西藏,拉萨,达孜区,帮堆乡,,,
镇,91.259712,29.895656,甘丹曲果镇,,540121,0891,540121100000,,,,,,,,,,亚洲,中国,西藏,拉萨,林周县,甘丹曲果镇,,,
镇,91.033581,29.934479,春堆乡,,540121,0891,540121200000,,,,,,,,,,亚洲,中国,西藏,拉萨,林周县,春堆乡,,,
