级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,126.625929,45.770393,兆麟街道,,230102,0451,230102001000,,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,兆麟街道,,,
镇,126.62051,45.761337,新阳路街道,,230102,0451,230102002000,,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,新阳路街道,,,
镇,126.620077,45.756876,抚顺街道,,230102,0451,230102003000,,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,抚顺街道,,,
镇,126.609046,45.749047,共乐街道,,230102,0451,230102004000,,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,共乐街道,,,
镇,126.590988,45.73592,新华街道,,230102,0451,230102005000,,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,新华街道,,,
镇,126.582073,45.729242,城乡路街道,,230102,0451,230102006000,,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,城乡路街道,,,
镇,126.558422,45.7194,工农街道,,230102,0451,230102007000,,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,工农街道,,,
镇,126.616957,45.755777,尚志街道,,230102,0451,230102008000,,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,尚志街道,,,
镇,126.614049,45.779575,斯大林街道,,230102,0451,230102009000,,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,斯大林街道,,,
镇,126.617259,45.7749,通江街道,,230102,0451,230102010000,,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,通江街道,,,
镇,126.617525,45.768485,经纬街道,,230102,0451,230102011000,,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,经纬街道,,,
镇,126.604325,45.771493,工程街道,,230102,0451,230102012000,,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,工程街道,,,
镇,126.61471,45.761856,安静街道,,230102,0451,230102013000,,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,安静街道,,,
镇,126.613015,45.755135,安和街道,,230102,0451,230102014000,,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,安和街道,,,
镇,126.601641,45.753998,正阳河街道,,230102,0451,230102015000,,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,正阳河街道,,,
镇,126.597489,45.745318,建国街道,,230102,0451,230102016000,,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,建国街道,,,
镇,126.310654,45.631669,康安街道,,230102,0451,230102017000,,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,康安街道,,,
镇,126.59937,45.762488,爱建街道,,230102,0451,230102018000,,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,爱建街道,,,
镇,126.616957,45.755777,群力街道,,230102,0451,230102019000,,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,群力街道,,,
