级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
县,116.416357,39.928353,东城区,,110101,010,110101000000,,,东城,,,,,,,亚洲,中国,北京,市辖区,东城区,,,,
县,116.365868,39.912289,西城区,,110102,010,110102000000,,,西城,,,,,,,亚洲,中国,北京,市辖区,西城区,,,,
县,116.601144,39.948574,朝阳区,,110105,010,110105000000,,,朝阳,,,,,,,亚洲,中国,北京,市辖区,朝阳区,,,,
县,116.287149,39.858427,丰台区,,110106,010,110106000000,,,丰台,,,,,,,亚洲,中国,北京,市辖区,丰台区,,,,
县,116.222982,39.906611,石景山区,,110107,010,110107000000,,,石景山,,,,,,,亚洲,中国,北京,市辖区,石景山区,,,,
县,116.329519,39.972134,海淀区,,110108,010,110108000000,,,海淀,,,,,,,亚洲,中国,北京,市辖区,海淀区,,,,
县,116.102009,39.940646,门头沟区,,110109,010,110109000000,,,门头沟,,,,,,,亚洲,中国,北京,市辖区,门头沟区,,,,
县,116.143267,39.749144,房山区,,110111,010,110111000000,,,房山,,,,,,,亚洲,中国,北京,市辖区,房山区,,,,
县,116.656435,39.909946,通州区,,110112,010,110112000000,,,通州,,,,,,,亚洲,中国,北京,市辖区,通州区,,,,
县,116.654561,40.130347,顺义区,,110113,010,110113000000,,,顺义,,,,,,,亚洲,中国,北京,市辖区,顺义区,,,,
县,116.231204,40.22066,昌平区,,110114,010,110114000000,,,昌平,,,,,,,亚洲,中国,北京,市辖区,昌平区,,,,
县,116.341014,39.784747,大兴区,,110115,010,110115000000,,,大兴,,,,,,,亚洲,中国,北京,市辖区,大兴区,,,,
县,116.642349,40.315704,怀柔区,,110116,010,110116000000,,,怀柔,,,,,,,亚洲,中国,北京,市辖区,怀柔区,,,,
县,117.121383,40.140701,平谷区,,110117,010,110117000000,,,平谷,,,,,,,亚洲,中国,北京,市辖区,平谷区,,,,
县,116.843177,40.376834,密云区,,110118,010,110118000000,,,密云,,,,,,,亚洲,中国,北京,市辖区,密云区,,,,
县,115.974848,40.456951,延庆区,,110119,010,110119000000,,,延庆,,,,,,,亚洲,中国,北京,市辖区,延庆区,,,,
县,117.208125,39.118897,和平区,,120101,022,120101000000,,,和平,,,,,,,亚洲,中国,天津,市辖区,和平区,,,,
县,117.251587,39.128291,河东区,,120102,022,120102000000,,,河东,,,,,,,亚洲,中国,天津,市辖区,河东区,,,,
县,117.223372,39.109563,河西区,,120103,022,120103000000,,,河西,,,,,,,亚洲,中国,天津,市辖区,河西区,,,,
县,117.150738,39.138203,南开区,,120104,022,120104000000,,,南开,,,,,,,亚洲,中国,天津,市辖区,南开区,,,,
县,117.196648,39.147869,河北区,,120105,022,120105000000,,,河北,,,,,,,亚洲,中国,天津,市辖区,河北区,,,,
县,117.151533,39.167345,红桥区,,120106,022,120106000000,,,红桥,,,,,,,亚洲,中国,天津,市辖区,红桥区,,,,
县,117.314324,39.086569,东丽区,,120110,022,120110000000,,,东丽,,,,,,,亚洲,中国,天津,市辖区,东丽区,,,,
县,117.013949,39.141591,西青区,,120111,022,120111000000,,,西青,,,,,,,亚洲,中国,天津,市辖区,西青区,,,,
县,117.391976,38.984526,津南区,,120112,022,120112000000,,,津南,,,,,,,亚洲,中国,天津,市辖区,津南区,,,,
县,117.139343,39.217817,北辰区,,120113,022,120113000000,,,北辰,,,,,,,亚洲,中国,天津,市辖区,北辰区,,,,
县,117.044388,39.384119,武清区,,120114,022,120114000000,,,武清,,,,,,,亚洲,中国,天津,市辖区,武清区,,,,
县,117.309863,39.717379,宝坻区,,120115,022,120115000000,,,宝坻,,,,,,,亚洲,中国,天津,市辖区,宝坻区,,,,
县,117.78067,39.246083,滨海新区,,120116,022,120116000000,,,滨海,,,,,,,亚洲,中国,天津,市辖区,滨海新区,,,,
县,117.826625,39.329858,宁河区,,120117,022,120117000000,,,宁河,,,,,,,亚洲,中国,天津,市辖区,宁河区,,,,
县,116.97413,38.947512,静海区,,120118,022,120118000000,,,静海,,,,,,,亚洲,中国,天津,市辖区,静海区,,,,
县,117.408307,40.04606,蓟州区,,120119,022,120119000000,,,蓟州,,,,,,,亚洲,中国,天津,市辖区,蓟州区,,,,
县,114.53906,38.036654,长安区,,130102,0311,130102000000,,,长安,,,,,,,亚洲,中国,河北,石家庄,长安区,,,,
县,114.461154,38.004043,桥西区,,130104,0311,130104000000,,,桥西,,,,,,,亚洲,中国,河北,石家庄,桥西区,,,,
县,114.463347,38.05106,新华区,,130105,0311,130105000000,,,新华,,,,,,,亚洲,中国,河北,石家庄,新华区,,,,
县,114.514859,38.042306,井陉矿区,,130100,0311,130107000000,,,井陉,,,,,,,亚洲,中国,河北,石家庄,井陉矿区,,,,
县,114.531362,38.006453,裕华区,,130108,0311,130108000000,,,裕华,,,,,,,亚洲,中国,河北,石家庄,裕华区,,,,
县,114.847075,38.021567,藁城区,,130109,0311,130109000000,,,藁城,,,,,,,亚洲,中国,河北,石家庄,藁城区,,,,
县,114.313724,38.085958,鹿泉区,,130110,0311,130110000000,,,鹿泉,,,,,,,亚洲,中国,河北,石家庄,鹿泉区,,,,
县,114.648318,37.9002,栾城区,,130111,0311,130111000000,,,栾城,,,,,,,亚洲,中国,河北,石家庄,栾城区,,,,
县,114.14524,38.032148,井陉县,,130121,0311,130121000000,,,井陉,,,,,,,亚洲,中国,河北,石家庄,井陉县,,,,
县,114.570941,38.146445,正定县,,130123,0311,130123000000,,,正定,,,,,,,亚洲,中国,河北,石家庄,正定县,,,,
县,114.552737,38.438411,行唐县,,130125,0311,130125000000,,,行唐,,,,,,,亚洲,中国,河北,石家庄,行唐县,,,,
县,114.37614,38.30611,灵寿县,,130126,0311,130126000000,,,灵寿,,,,,,,亚洲,中国,河北,石家庄,灵寿县,,,,
县,114.611433,37.615159,高邑县,,130127,0311,130127000000,,,高邑,,,,,,,亚洲,中国,河北,石家庄,高邑县,,,,
县,115.20091,38.184072,深泽县,,130128,0311,130128000000,,,深泽,,,,,,,亚洲,中国,河北,石家庄,深泽县,,,,
县,114.386155,37.665576,赞皇县,,130129,0311,130129000000,,,赞皇,,,,,,,亚洲,中国,河北,石家庄,赞皇县,,,,
县,114.976337,38.179141,无极县,,130130,0311,130130000000,,,无极,,,,,,,亚洲,中国,河北,石家庄,无极县,,,,
县,114.199134,38.247144,平山县,,130131,0311,130131000000,,,平山,,,,,,,亚洲,中国,河北,石家庄,平山县,,,,
县,114.52558,37.766651,元氏县,,130132,0311,130132000000,,,元氏,,,,,,,亚洲,中国,河北,石家庄,元氏县,,,,
县,114.776187,37.756498,赵县,,130133,0311,130133000000,,,,,,,,,,亚洲,中国,河北,石家庄,赵县,,,,
县,114.469069,38.008101,石家庄高新技术产业开发区,,130104,0311,130171000000,,,,,,,,,,亚洲,中国,河北,石家庄,石家庄高新技术产业开发区,,,,
县,114.69345,37.99674,石家庄循环化工园区,,130109,0311,130172000000,,,石家庄循环化工园,,,,,,,亚洲,中国,河北,石家庄,石家庄循环化工园区,,,,
县,115.218057,37.943315,辛集市,,130181,0311,130181000000,,,辛集,,,,,,,亚洲,中国,河北,石家庄,辛集市,,,,
县,115.044185,38.033629,晋州市,,130183,0311,130183000000,,,晋州,,,,,,,亚洲,中国,河北,石家庄,晋州市,,,,
县,114.684014,38.343296,新乐市,,130184,0311,130184000000,,,新乐,,,,,,,亚洲,中国,河北,石家庄,新乐市,,,,
县,118.154354,39.625059,路南区,,130202,0315,130202000000,,,路南,,,,,,,亚洲,中国,河北,唐山,路南区,,,,
县,118.200692,39.624437,路北区,,130203,0315,130203000000,,,路北,,,,,,,亚洲,中国,河北,唐山,路北区,,,,
县,118.447635,39.733578,古冶区,,130204,0315,130204000000,,,古冶,,,,,,,亚洲,中国,河北,唐山,古冶区,,,,
县,118.261842,39.671001,开平区,,130205,0315,130205000000,,,开平,,,,,,,亚洲,中国,河北,唐山,开平区,,,,
县,118.085169,39.576031,丰南区,,130207,0315,130207000000,,,丰南,,,,,,,亚洲,中国,河北,唐山,丰南区,,,,
县,118.162216,39.832582,丰润区,,130208,0315,130208000000,,,丰润,,,,,,,亚洲,中国,河北,唐山,丰润区,,,,
县,118.460379,39.27307,曹妃甸区,,130209,0315,130209000000,,,曹妃甸,,,,,,,亚洲,中国,河北,唐山,曹妃甸区,,,,
县,118.682379,39.518997,滦南县,,130224,0315,130224000000,,,滦南,,,,,,,亚洲,中国,河北,唐山,滦南县,,,,
县,118.912571,39.425608,乐亭县,,130225,0315,130225000000,,,乐亭,,,,,,,亚洲,中国,河北,唐山,乐亭县,,,,
县,118.314715,40.1415,迁西县,,130227,0315,130227000000,,,迁西,,,,,,,亚洲,中国,河北,唐山,迁西县,,,,
县,117.738658,39.900401,玉田县,,130229,0315,130229000000,,,玉田,,,,,,,亚洲,中国,河北,唐山,玉田县,,,,
县,118.144879,39.806215,河北唐山芦台经济开发区,,130208,0315,130271000000,,,,,,,,,,亚洲,中国,河北,唐山,河北唐山芦台经济开发区,,,,
县,117.88353,39.362495,唐山市汉沽管理区,,130207,0315,130272000000,,,,,,,,,,亚洲,中国,河北,唐山,唐山市汉沽管理区,,,,
县,118.180193,39.630867,唐山高新技术产业开发区,,130200,0315,130273000000,,,,,,,,,,亚洲,中国,河北,唐山,唐山高新技术产业开发区,,,,
县,119.003392,39.231911,河北唐山海港经济开发区,,130225,0315,130274000000,,,,,,,,,,亚洲,中国,河北,唐山,河北唐山海港经济开发区,,,,
县,117.965892,40.189202,遵化市,,130281,0315,130281000000,,,遵化,,,,,,,亚洲,中国,河北,唐山,遵化市,,,,
县,118.701144,39.999175,迁安市,,130283,0315,130283000000,,,迁安,,,,,,,亚洲,中国,河北,唐山,迁安市,,,,
县,118.689775,39.74038,滦州市,,130223,0315,130284000000,,,滦州,,,,,,,亚洲,中国,河北,唐山,滦州市,,,,
县,119.564962,39.94756,海港区,,130302,0335,130302000000,,,海港,,,,,,,亚洲,中国,河北,秦皇岛,海港区,,,,
县,119.775799,39.978849,山海关区,,130303,0335,130303000000,,,山海关,,,,,,,亚洲,中国,河北,秦皇岛,山海关区,,,,
县,119.488914,39.834751,北戴河区,,130304,0335,130304000000,,,北戴河,,,,,,,亚洲,中国,河北,秦皇岛,北戴河区,,,,
县,119.235739,39.889241,抚宁区,,130306,0335,130306000000,,,抚宁,,,,,,,亚洲,中国,河北,秦皇岛,抚宁区,,,,
县,118.949684,40.407578,青龙满族自治县,,130321,0335,130321000000,,,,,,,,,,亚洲,中国,河北,秦皇岛,青龙满族自治县,,,,
县,119.162694,39.712813,昌黎县,,130322,0335,130322000000,,,昌黎,,,,,,,亚洲,中国,河北,秦皇岛,昌黎县,,,,
县,118.892986,39.891947,卢龙县,,130324,0335,130324000000,,,卢龙,,,,,,,亚洲,中国,河北,秦皇岛,卢龙县,,,,
县,119.463801,39.931654,秦皇岛市经济技术开发区,,130302,0335,130371000000,,,,,,,,,,亚洲,中国,河北,秦皇岛,秦皇岛市经济技术开发区,,,,
县,119.473228,39.826088,北戴河新区,,130304,0335,130372000000,,,北戴河,,,,,,,亚洲,中国,河北,秦皇岛,北戴河新区,,,,
县,114.490431,36.580358,邯山区,,130402,0310,130402000000,,,邯山,,,,,,,亚洲,中国,河北,邯郸,邯山区,,,,
县,114.492897,36.63641,丛台区,,130403,0310,130403000000,,,丛台,,,,,,,亚洲,中国,河北,邯郸,丛台区,,,,
县,114.462058,36.639022,复兴区,,130404,0310,130404000000,,,复兴,,,,,,,亚洲,中国,河北,邯郸,复兴区,,,,
县,114.538961,36.625657,峰峰矿区,,130400,0310,130406000000,,,峰峰,,,,,,,亚洲,中国,河北,邯郸,峰峰矿区,,,,
县,114.800166,36.548132,肥乡区,,130407,0310,130407000000,,,肥乡,,,,,,,亚洲,中国,河北,邯郸,肥乡区,,,,
县,114.538961,36.625657,永年区,,130400,0310,130408000000,,,永年,,,,,,,亚洲,中国,河北,邯郸,永年区,,,,
县,114.619544,36.3353,临漳县,,130423,0310,130423000000,,,临漳,,,,,,,亚洲,中国,河北,邯郸,临漳县,,,,
县,114.670032,36.444407,成安县,,130424,0310,130424000000,,,成安,,,,,,,亚洲,中国,河北,邯郸,成安县,,,,
县,115.147814,36.285616,大名县,,130425,0310,130425000000,,,大名,,,,,,,亚洲,中国,河北,邯郸,大名县,,,,
县,113.691401,36.584995,涉县,,130426,0310,130426000000,,,,,,,,,,亚洲,中国,河北,邯郸,涉县,,,,
县,114.373947,36.374012,磁县,,130427,0310,130427000000,,,,,,,,,,亚洲,中国,河北,邯郸,磁县,,,,
县,115.186792,36.811133,邱县,,130430,0310,130430000000,,,,,,,,,,亚洲,中国,河北,邯郸,邱县,,,,
县,114.878299,36.92035,鸡泽县,,130431,0310,130431000000,,,鸡泽,,,,,,,亚洲,中国,河北,邯郸,鸡泽县,,,,
县,114.948607,36.483484,广平县,,130432,0310,130432000000,,,广平,,,,,,,亚洲,中国,河北,邯郸,广平县,,,,
县,115.282468,36.547557,馆陶县,,130433,0310,130433000000,,,馆陶,,,,,,,亚洲,中国,河北,邯郸,馆陶县,,,,
县,114.938976,36.359861,魏县,,130434,0310,130434000000,,,,,,,,,,亚洲,中国,河北,邯郸,魏县,,,,
县,114.945131,36.78017,曲周县,,130435,0310,130435000000,,,曲周,,,,,,,亚洲,中国,河北,邯郸,曲周县,,,,
县,114.490431,36.580358,邯郸经济技术开发区,,130402,0310,130471000000,,,,,,,,,,亚洲,中国,河北,邯郸,邯郸经济技术开发区,,,,
县,114.490431,36.580358,邯郸冀南新区,,130402,0310,130473000000,,,邯郸冀南新,,,,,,,亚洲,中国,河北,邯郸,邯郸冀南新区,,,,
县,114.203697,36.696506,武安市,,130481,0310,130481000000,,,武安,,,,,,,亚洲,中国,河北,邯郸,武安市,,,,
县,114.492019,37.061614,桥东区,,130502,0319,130502000000,,,桥东,,,,,,,亚洲,中国,河北,邢台,桥东区,,,,
县,114.468435,37.059882,桥西区,,130503,0319,130503000000,,,桥西,,,,,,,亚洲,中国,河北,邢台,桥西区,,,,
县,114.507416,37.072954,邢台县,,130502,0319,130521000000,,,邢台,,,,,,,亚洲,中国,河北,邢台,邢台县,,,,
县,114.498762,37.444499,临城县,,130522,0319,130522000000,,,临城,,,,,,,亚洲,中国,河北,邢台,临城县,,,,
县,114.512128,37.286669,内丘县,,130523,0319,130523000000,,,内丘,,,,,,,亚洲,中国,河北,邢台,内丘县,,,,
县,114.693426,37.482423,柏乡县,,130524,0319,130524000000,,,柏乡,,,,,,,亚洲,中国,河北,邢台,柏乡县,,,,
县,114.770419,37.350173,隆尧县,,130525,0319,130525000000,,,隆尧,,,,,,,亚洲,中国,河北,邢台,隆尧县,,,,
县,114.671936,37.120983,任县,,130526,0319,130526000000,,,,,,,,,,亚洲,中国,河北,邢台,任县,,,,
