级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
市,116.407526,39.90403,市辖区,,110000,010,500100000000,,,,,,,,,,亚洲,中国,北京,市辖区,,,,,
市,117.200983,39.084158,市辖区,,120000,022,120100000000,,,,,,,,,,亚洲,中国,天津,市辖区,,,,,
市,114.514859,38.042306,石家庄,,130100,0311,130100000000,,,石家庄市,,,,,,,亚洲,中国,河北,石家庄,,,,,
市,118.180193,39.630867,唐山,,130200,0315,130200000000,,,唐山市,,,,,,,亚洲,中国,河北,唐山,,,,,
市,119.600492,39.935385,秦皇岛,,130300,0335,130300000000,,,秦皇岛市,,,,,,,亚洲,中国,河北,秦皇岛,,,,,
市,114.538961,36.625657,邯郸,,130400,0310,130400000000,,,邯郸市,,,,,,,亚洲,中国,河北,邯郸,,,,,
市,114.504844,37.070589,邢台,,130500,0319,130500000000,,,邢台市,,,,,,,亚洲,中国,河北,邢台,,,,,
市,115.464806,38.873891,保定,,130600,0312,130600000000,,,保定市,,,,,,,亚洲,中国,河北,保定,,,,,
市,114.887543,40.824418,张家口,,130700,0313,130700000000,,,张家口市,,,,,,,亚洲,中国,河北,张家口,,,,,
市,117.96241,40.954071,承德,,130800,0314,130800000000,,,承德市,,,,,,,亚洲,中国,河北,承德,,,,,
市,116.838834,38.304477,沧州,,130900,0317,130900000000,,,沧州市,,,,,,,亚洲,中国,河北,沧州,,,,,
市,116.683752,39.538047,廊坊,,131000,0316,131000000000,,,廊坊市,,,,,,,亚洲,中国,河北,廊坊,,,,,
市,115.670177,37.73892,衡水,,131100,0318,131100000000,,,衡水市,,,,,,,亚洲,中国,河北,衡水,,,,,
市,112.548879,37.87059,太原,,140100,0351,140100000000,,,太原市,,,,,,,亚洲,中国,山西,太原,,,,,
市,113.300129,40.076762,大同,,140200,0352,140200000000,,,大同市,,,,,,,亚洲,中国,山西,大同,,,,,
市,113.580519,37.856971,阳泉,,140300,0353,140300000000,,,阳泉市,,,,,,,亚洲,中国,山西,阳泉,,,,,
市,113.116255,36.195386,长治,,140400,0355,140400000000,,,长治市,,,,,,,亚洲,中国,山西,长治,,,,,
市,112.851831,35.490701,晋城,,140500,0356,140500000000,,,晋城市,,,,,,,亚洲,中国,山西,晋城,,,,,
市,112.432825,39.331595,朔州,,140600,0349,140600000000,,,朔州市,,,,,,,亚洲,中国,山西,朔州,,,,,
市,112.752694,37.687024,晋中,,140700,0354,140700000000,,,晋中市,,,,,,,亚洲,中国,山西,晋中,,,,,
市,111.007528,35.026412,运城,,140800,0359,140800000000,,,运城市,,,,,,,亚洲,中国,山西,运城,,,,,
市,112.734174,38.416663,忻州,,140900,0350,140900000000,,,忻州市,,,,,,,亚洲,中国,山西,忻州,,,,,
市,111.518976,36.088005,临汾,,141000,0357,141000000000,,,临汾市,,,,,,,亚洲,中国,山西,临汾,,,,,
市,111.144319,37.518314,吕梁,,141100,0358,141100000000,,,吕梁市,,,,,,,亚洲,中国,山西,吕梁,,,,,
