dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
250833,8,121.471941,31.226107,云南中路居委会,,310101,021,310101002001,111,,,,,,,,,2,100,1008,1273,2751,20278,250833,,
250834,8,121.477418,31.237163,龙泉园路居委会,,310101,021,310101002002,111,,,,,,,,,2,100,1008,1273,2751,20278,250834,,
250835,8,121.471941,31.226107,贵州路居委会,,310101,021,310101002003,111,,,,,,,,,2,100,1008,1273,2751,20278,250835,,
250836,8,121.46511,31.23927,新桥居委会,,310101,021,310101002006,111,,,,,,,,,2,100,1008,1273,2751,20278,250836,,
250837,8,121.471941,31.226107,牛庄路居委会,,310101,021,310101002007,111,,,,,,,,,2,100,1008,1273,2751,20278,250837,,
250838,8,121.471941,31.226107,厦门路居委会,,310101,021,310101002008,111,,,,,,,,,2,100,1008,1273,2751,20278,250838,,
250839,8,121.469843,31.236874,福海居委会,,310101,021,310101002009,111,,,,,,,,,2,100,1008,1273,2751,20278,250839,,
250840,8,121.46884,31.237266,承兴居委会,,310101,021,310101002010,111,,,,,,,,,2,100,1008,1273,2751,20278,250840,,
250841,8,121.46677,31.237204,三德居委会,,310101,021,310101002011,111,,,,,,,,,2,100,1008,1273,2751,20278,250841,,
250842,8,121.47225,31.23842,福瑞居委会,,310101,021,310101002013,111,,,,,,,,,2,100,1008,1273,2751,20278,250842,,
250843,8,121.471941,31.226107,平望街居委会,,310101,021,310101002014,111,,,,,,,,,2,100,1008,1273,2751,20278,250843,,
250844,8,121.480364,31.234445,小花园居委会,,310101,021,310101002015,111,,,,,,,,,2,100,1008,1273,2751,20278,250844,,
250845,8,121.471941,31.226107,长江居委会,,310101,021,310101002017,111,,,,,,,,,2,100,1008,1273,2751,20278,250845,,
250846,8,121.46909,31.229591,江阴居委会,,310101,021,310101002018,111,,,,,,,,,2,100,1008,1273,2751,20278,250846,,
250847,8,121.471333,31.225904,均乐居委会,,310101,021,310101002019,111,,,,,,,,,2,100,1008,1273,2751,20278,250847,,
