级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
村,102.701281,25.04414,翠湖西路社区,,530102,0871,530102001001,111,,,,,,,,,亚洲,中国,云南,昆明,五华区,华山街道,翠湖西路社区,,
村,102.708442,25.048579,水晶宫社区,,530102,0871,530102001002,111,,,,,,,,,亚洲,中国,云南,昆明,五华区,华山街道,水晶宫社区,,
村,102.711535,25.045,五华山社区,,530102,0871,530102001003,111,,,,,,,,,亚洲,中国,云南,昆明,五华区,华山街道,五华山社区,,
村,102.699006,25.052865,文化巷社区,,530102,0871,530102001004,111,,,,,,,,,亚洲,中国,云南,昆明,五华区,华山街道,文化巷社区,,
村,102.701356,25.050861,翠湖北路社区,,530102,0871,530102001005,111,,,,,,,,,亚洲,中国,云南,昆明,五华区,华山街道,翠湖北路社区,,
村,102.708041,25.052617,北门社区,,530102,0871,530102001006,111,,,,,,,,,亚洲,中国,云南,昆明,五华区,华山街道,北门社区,,
村,102.70715,25.04663,翠湖社区,,530102,0871,530102001007,111,,,,,,,,,亚洲,中国,云南,昆明,五华区,华山街道,翠湖社区,,
村,102.676393,25.050557,圆通西路社区,,530102,0871,530102001008,111,,,,,,,,,亚洲,中国,云南,昆明,五华区,华山街道,圆通西路社区,,
村,102.701292,25.043924,云南大学社区,,530102,0871,530102001009,111,,,,,,,,,亚洲,中国,云南,昆明,五华区,华山街道,云南大学社区,,
村,102.710927,25.057237,圆通社区,,530102,0871,530102001010,111,,,,,,,,,亚洲,中国,云南,昆明,五华区,华山街道,圆通社区,,
村,102.694056,25.056257,云南师范大学社区,,530102,0871,530102001011,111,,,,,,,,,亚洲,中国,云南,昆明,五华区,华山街道,云南师范大学社区,,
村,102.701292,25.043924,云南民族大学社区,,530102,0871,530102001012,111,,,,,,,,,亚洲,中国,云南,昆明,五华区,华山街道,云南民族大学社区,,
村,102.71209,25.03976,威远街社区,,530102,0871,530102002001,111,,,,,,,,,亚洲,中国,云南,昆明,五华区,护国街道,威远街社区,,
村,102.711418,25.036319,南屏街社区,,530102,0871,530102002002,111,,,,,,,,,亚洲,中国,云南,昆明,五华区,护国街道,南屏街社区,,
村,102.71248,25.03649,祥云街社区,,530102,0871,530102002003,111,,,,,,,,,亚洲,中国,云南,昆明,五华区,护国街道,祥云街社区,,
村,102.71647,25.03948,青年路社区,,530102,0871,530102002004,111,,,,,,,,,亚洲,中国,云南,昆明,五华区,护国街道,青年路社区,,
村,102.707623,25.039667,景星街社区,,530102,0871,530102002005,111,,,,,,,,,亚洲,中国,云南,昆明,五华区,护国街道,景星街社区,,
村,102.715666,25.044951,金牛街社区,,530102,0871,530102002006,111,,,,,,,,,亚洲,中国,云南,昆明,五华区,护国街道,金牛街社区,,
村,102.712508,25.045228,文庙社区,,530102,0871,530102002007,111,,,,,,,,,亚洲,中国,云南,昆明,五华区,护国街道,文庙社区,,
村,102.702386,25.041708,富春社区,,530102,0871,530102003001,111,,,,,,,,,亚洲,中国,云南,昆明,五华区,大观街道,富春社区,,
村,102.697947,25.040502,东风西路中段社区,,530102,0871,530102003002,111,,,,,,,,,亚洲,中国,云南,昆明,五华区,大观街道,东风西路中段社区,,
村,102.701374,25.039555,三合营社区,,530102,0871,530102003003,111,,,,,,,,,亚洲,中国,云南,昆明,五华区,大观街道,三合营社区,,
村,102.692304,25.034632,新闻里社区,,530102,0871,530102003004,111,,,,,,,,,亚洲,中国,云南,昆明,五华区,大观街道,新闻里社区,,
村,102.694808,25.036631,篆塘社区,,530102,0871,530102003005,111,,,,,,,,,亚洲,中国,云南,昆明,五华区,大观街道,篆塘社区,,
村,102.705794,25.034942,顺城社区,,530102,0871,530102003006,111,,,,,,,,,亚洲,中国,云南,昆明,五华区,大观街道,顺城社区,,
村,102.689655,25.043001,棕树营东区社区,,530102,0871,530102003007,111,,,,,,,,,亚洲,中国,云南,昆明,五华区,大观街道,棕树营东区社区,,
村,102.691921,25.039391,建工社区,,530102,0871,530102003008,111,,,,,,,,,亚洲,中国,云南,昆明,五华区,大观街道,建工社区,,
