gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
676044,8,102.701281,25.04414,翠湖西路社区,,530102,0871,530102001001,111,,,,,,,,,2,100,1024,1468,4421,46034,676044,,
676045,8,102.708442,25.048579,水晶宫社区,,530102,0871,530102001002,111,,,,,,,,,2,100,1024,1468,4421,46034,676045,,
676046,8,102.711535,25.045,五华山社区,,530102,0871,530102001003,111,,,,,,,,,2,100,1024,1468,4421,46034,676046,,
676047,8,102.699006,25.052865,文化巷社区,,530102,0871,530102001004,111,,,,,,,,,2,100,1024,1468,4421,46034,676047,,
676048,8,102.701356,25.050861,翠湖北路社区,,530102,0871,530102001005,111,,,,,,,,,2,100,1024,1468,4421,46034,676048,,
676049,8,102.708041,25.052617,北门社区,,530102,0871,530102001006,111,,,,,,,,,2,100,1024,1468,4421,46034,676049,,
676050,8,102.70715,25.04663,翠湖社区,,530102,0871,530102001007,111,,,,,,,,,2,100,1024,1468,4421,46034,676050,,
676051,8,102.676393,25.050557,圆通西路社区,,530102,0871,530102001008,111,,,,,,,,,2,100,1024,1468,4421,46034,676051,,
676052,8,102.701292,25.043924,云南大学社区,,530102,0871,530102001009,111,,,,,,,,,2,100,1024,1468,4421,46034,676052,,
676053,8,102.710927,25.057237,圆通社区,,530102,0871,530102001010,111,,,,,,,,,2,100,1024,1468,4421,46034,676053,,
676054,8,102.694056,25.056257,云南师范大学社区,,530102,0871,530102001011,111,,,,,,,,,2,100,1024,1468,4421,46034,676054,,
676055,8,102.701292,25.043924,云南民族大学社区,,530102,0871,530102001012,111,,,,,,,,,2,100,1024,1468,4421,46034,676055,,
676056,8,102.71209,25.03976,威远街社区,,530102,0871,530102002001,111,,,,,,,,,2,100,1024,1468,4421,46035,676056,,
676057,8,102.711418,25.036319,南屏街社区,,530102,0871,530102002002,111,,,,,,,,,2,100,1024,1468,4421,46035,676057,,
676058,8,102.71248,25.03649,祥云街社区,,530102,0871,530102002003,111,,,,,,,,,2,100,1024,1468,4421,46035,676058,,
676059,8,102.71647,25.03948,青年路社区,,530102,0871,530102002004,111,,,,,,,,,2,100,1024,1468,4421,46035,676059,,
676060,8,102.707623,25.039667,景星街社区,,530102,0871,530102002005,111,,,,,,,,,2,100,1024,1468,4421,46035,676060,,
676061,8,102.715666,25.044951,金牛街社区,,530102,0871,530102002006,111,,,,,,,,,2,100,1024,1468,4421,46035,676061,,
676062,8,102.712508,25.045228,文庙社区,,530102,0871,530102002007,111,,,,,,,,,2,100,1024,1468,4421,46035,676062,,
676063,8,102.702386,25.041708,富春社区,,530102,0871,530102003001,111,,,,,,,,,2,100,1024,1468,4421,46036,676063,,
676064,8,102.697947,25.040502,东风西路中段社区,,530102,0871,530102003002,111,,,,,,,,,2,100,1024,1468,4421,46036,676064,,
676065,8,102.701374,25.039555,三合营社区,,530102,0871,530102003003,111,,,,,,,,,2,100,1024,1468,4421,46036,676065,,
676066,8,102.692304,25.034632,新闻里社区,,530102,0871,530102003004,111,,,,,,,,,2,100,1024,1468,4421,46036,676066,,
676067,8,102.694808,25.036631,篆塘社区,,530102,0871,530102003005,111,,,,,,,,,2,100,1024,1468,4421,46036,676067,,
676068,8,102.705794,25.034942,顺城社区,,530102,0871,530102003006,111,,,,,,,,,2,100,1024,1468,4421,46036,676068,,
676069,8,102.689655,25.043001,棕树营东区社区,,530102,0871,530102003007,111,,,,,,,,,2,100,1024,1468,4421,46036,676069,,
676070,8,102.691921,25.039391,建工社区,,530102,0871,530102003008,111,,,,,,,,,2,100,1024,1468,4421,46036,676070,,
676071,8,102.698103,25.041359,大观商业城社区,,530102,0871,530102003009,111,,,,,,,,,2,100,1024,1468,4421,46036,676071,,
676072,8,102.695746,25.044181,人民西路社区,,530102,0871,530102004001,111,,,,,,,,,2,100,1024,1468,4421,46037,676072,,
676073,8,102.694379,25.053038,西站社区,,530102,0871,530102004002,111,,,,,,,,,2,100,1024,1468,4421,46037,676073,,
676074,8,102.687428,25.048556,茭菱社区,,530102,0871,530102004003,111,,,,,,,,,2,100,1024,1468,4421,46037,676074,,
676075,8,102.695299,25.049844,凤翥社区,,530102,0871,530102004004,111,,,,,,,,,2,100,1024,1468,4421,46037,676075,,
676076,8,102.684813,25.050011,菱角塘社区,,530102,0871,530102004005,111,,,,,,,,,2,100,1024,1468,4421,46037,676076,,
676077,8,102.685065,25.048531,红菱社区,,530102,0871,530102004006,111,,,,,,,,,2,100,1024,1468,4421,46037,676077,,
676078,8,102.684417,25.050795,西园北路社区,,530102,0871,530102004007,111,,,,,,,,,2,100,1024,1468,4421,46037,676078,,
676079,8,102.681812,25.056825,昆建路社区,,530102,0871,530102005001,111,,,,,,,,,2,100,1024,1468,4421,46038,676079,,
676080,8,102.675888,25.050256,春晖社区,,530102,0871,530102005002,111,,,,,,,,,2,100,1024,1468,4421,46038,676080,,
676081,8,102.685001,25.061755,虹山东路社区,,530102,0871,530102005003,111,,,,,,,,,2,100,1024,1468,4421,46038,676081,,
676082,8,102.677842,25.061103,虹山中路社区,,530102,0871,530102005004,111,,,,,,,,,2,100,1024,1468,4421,46038,676082,,
676083,8,102.671028,25.060091,洪园社区,,530102,0871,530102005005,111,,,,,,,,,2,100,1024,1468,4421,46038,676083,,
676084,8,102.674371,25.050033,丰宁社区,,530102,0871,530102005006,111,,,,,,,,,2,100,1024,1468,4421,46038,676084,,
676085,8,102.674074,25.066468,黄土坡社区,,530102,0871,530102005007,111,,,,,,,,,2,100,1024,1468,4421,46038,676085,,
676086,8,102.687881,25.057367,虹山南路社区,,530102,0871,530102005008,111,,,,,,,,,2,100,1024,1468,4421,46038,676086,,
676087,8,102.700164,25.063977,教场中路社区,,530102,0871,530102006001,111,,,,,,,,,2,100,1024,1468,4421,46039,676087,,
676088,8,102.69821,25.07497,教场北路社区,,530102,0871,530102006002,111,,,,,,,,,2,100,1024,1468,4421,46039,676088,,
676089,8,102.697134,25.069189,昆明理工大学社区,,530102,0871,530102006003,111,,,,,,,,,2,100,1024,1468,4421,46039,676089,,
676090,8,102.690912,25.062515,苏家塘社区,,530102,0871,530102006004,111,,,,,,,,,2,100,1024,1468,4421,46039,676090,,
676091,8,102.697134,25.069189,马村社区,,530102,0871,530102006005,111,,,,,,,,,2,100,1024,1468,4421,46039,676091,,
676092,8,102.694544,25.066036,虹山社区,,530102,0871,530102006006,111,,,,,,,,,2,100,1024,1468,4421,46039,676092,,
676093,8,102.715147,25.078582,云南财经大学社区,,530102,0871,530102006007,111,,,,,,,,,2,100,1024,1468,4421,46039,676093,,
676094,8,102.712953,25.066709,江岸社区,,530102,0871,530102006008,111,,,,,,,,,2,100,1024,1468,4421,46039,676094,,
676095,8,102.711569,25.063229,江北社区,,530102,0871,530102006009,111,,,,,,,,,2,100,1024,1468,4421,46039,676095,,
676096,8,102.697134,25.069189,昆明冶金高等专科学校社区,,530102,0871,530102006010,111,,,,,,,,,2,100,1024,1468,4421,46039,676096,,
676097,8,102.702616,25.070544,教场东路社区,,530102,0871,530102006011,111,,,,,,,,,2,100,1024,1468,4421,46039,676097,,
676098,8,102.699592,25.060506,学府社区,,530102,0871,530102006012,111,,,,,,,,,2,100,1024,1468,4421,46039,676098,,
676099,8,102.697134,25.069189,云南省第二监狱社区,,530102,0871,530102006013,111,,,,,,,,,2,100,1024,1468,4421,46039,676099,,
676100,8,102.713667,25.120689,右营社区,,530102,0871,530102007001,111,,,,,,,,,2,100,1024,1468,4421,46040,676100,,
