dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
100001,8,116.413146,39.922958,多福巷社区居委会,,110101,010,110101001001,111,,,,,,,,,2,100,1000,1201,2001,10001,,,
100002,8,116.406051,39.919478,银闸社区居委会,,110101,010,110101001002,111,,,,,,,,,2,100,1000,1201,2001,10001,,,
100003,8,116.408328,39.923083,东厂社区居委会,,110101,010,110101001005,111,,,,,,,,,2,100,1000,1201,2001,10001,,,
100004,8,116.402984,39.917822,智德社区居委会,,110101,010,110101001006,111,,,,,,,,,2,100,1000,1201,2001,10001,,,
100005,8,116.404393,39.911838,南池子社区居委会,,110101,010,110101001007,111,,,,,,,,,2,100,1000,1201,2001,10001,,,
100006,8,116.408885,39.920967,黄图岗社区居委会,,110101,010,110101001008,111,,,,,,,,,2,100,1000,1201,2001,10001,,,
100007,8,116.416,39.918361,灯市口社区居委会,,110101,010,110101001009,111,,,,,,,,,2,100,1000,1201,2001,10001,,,
100008,8,116.406338,39.902261,正义路社区居委会,,110101,010,110101001010,111,,,,,,,,,2,100,1000,1201,2001,10001,,,
100009,8,116.416936,39.916906,甘雨社区居委会,,110101,010,110101001011,111,,,,,,,,,2,100,1000,1201,2001,10001,,,
100010,8,116.415543,39.905297,台基厂社区居委会,,110101,010,110101001013,111,,,,,,,,,2,100,1000,1201,2001,10001,,,
100011,8,116.407328,39.916841,韶九社区居委会,,110101,010,110101001014,111,,,,,,,,,2,100,1000,1201,2001,10001,,,
100012,8,116.414757,39.914358,王府井社区居委会,,110101,010,110101001015,111,,,,,,,,,2,100,1000,1201,2001,10001,,,
100013,8,116.412882,39.926039,隆福寺社区居委会,,110101,010,110101002001,111,,,,,,,,,2,100,1000,1201,2001,10002,,,
100014,8,116.404745,39.932053,吉祥社区居委会,,110101,010,110101002002,111,,,,,,,,,2,100,1000,1201,2001,10002,,,
100015,8,116.400582,39.930402,黄化门社区居委会,,110101,010,110101002003,111,,,,,,,,,2,100,1000,1201,2001,10002,,,
100016,8,116.403456,39.92901,钟鼓社区居委会,,110101,010,110101002004,111,,,,,,,,,2,100,1000,1201,2001,10002,,,
100017,8,116.416054,39.929845,魏家社区居委会,,110101,010,110101002005,111,,,,,,,,,2,100,1000,1201,2001,10002,,,
100018,8,116.41207,39.932645,汪芝麻社区居委会,,110101,010,110101002006,111,,,,,,,,,2,100,1000,1201,2001,10002,,,
100019,8,116.402242,39.925514,景山东街社区居委会,,110101,010,110101002008,111,,,,,,,,,2,100,1000,1201,2001,10002,,,
100020,8,116.406838,39.925927,皇城根北街社区居委会,,110101,010,110101002009,111,,,,,,,,,2,100,1000,1201,2001,10002,,,
100021,8,116.412251,39.940607,交东社区居委会,,110101,010,110101003001,111,,,,,,,,,2,100,1000,1201,2001,10003,,,
100022,8,116.398965,39.936243,福祥社区居委会,,110101,010,110101003002,111,,,,,,,,,2,100,1000,1201,2001,10003,,,
100023,8,116.409757,39.938427,大兴社区居委会,,110101,010,110101003003,111,,,,,,,,,2,100,1000,1201,2001,10003,,,
100024,8,116.411456,39.93519,府学社区居委会,,110101,010,110101003005,111,,,,,,,,,2,100,1000,1201,2001,10003,,,
100025,8,116.400635,39.938978,鼓楼苑社区居委会,,110101,010,110101003007,111,,,,,,,,,2,100,1000,1201,2001,10003,,,
100026,8,116.405676,39.939335,菊儿社区居委会,,110101,010,110101003008,111,,,,,,,,,2,100,1000,1201,2001,10003,,,
100027,8,116.40098,39.93576,南锣鼓巷社区居委会,,110101,010,110101003009,111,,,,,,,,,2,100,1000,1201,2001,10003,,,
100028,8,116.409921,39.941843,交北头条社区居委会,,110101,010,110101004001,111,,,,,,,,,2,100,1000,1201,2001,10004,,,
100029,8,116.402618,39.94814,北锣鼓巷社区居委会,,110101,010,110101004002,111,,,,,,,,,2,100,1000,1201,2001,10004,,,
100030,8,116.415476,39.946554,国子监社区居委会,,110101,010,110101004003,111,,,,,,,,,2,100,1000,1201,2001,10004,,,
100031,8,116.397712,39.942132,钟楼湾社区居委会,,110101,010,110101004004,111,,,,,,,,,2,100,1000,1201,2001,10004,,,
100032,8,116.401922,39.944594,宝钞南社区居委会,,110101,010,110101004005,111,,,,,,,,,2,100,1000,1201,2001,10004,,,
100033,8,116.410045,39.947029,五道营社区居委会,,110101,010,110101004006,111,,,,,,,,,2,100,1000,1201,2001,10004,,,
100034,8,116.405262,39.94264,分司厅社区居委会,,110101,010,110101004009,111,,,,,,,,,2,100,1000,1201,2001,10004,,,
100035,8,116.397536,39.946825,国旺社区居委会,,110101,010,110101004011,111,,,,,,,,,2,100,1000,1201,2001,10004,,,
