dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
225117,8,125.3478,43.855655,华阳社区,,220102,0431,220102001001,111,,,,,,,,,2,100,1006,1251,2555,17315,,,
225118,8,125.327101,43.844634,恒安社区,,220102,0431,220102001002,111,,,,,,,,,2,100,1006,1251,2555,17315,,,
225119,8,125.34854,43.858403,百屹社区,,220102,0431,220102001003,111,,,,,,,,,2,100,1006,1251,2555,17315,,,
225120,8,125.330032,43.89444,北安社区,,220102,0431,220102002001,111,,,,,,,,,2,100,1006,1251,2555,17316,,,
225121,8,125.333191,43.892881,重庆路北社区,,220102,0431,220102002002,111,,,,,,,,,2,100,1006,1251,2555,17316,,,
225122,8,125.328424,43.890699,重庆路南社区,,220102,0431,220102002004,111,,,,,,,,,2,100,1006,1251,2555,17316,,,
225123,8,125.331627,43.888467,自强社区,,220102,0431,220102002005,111,,,,,,,,,2,100,1006,1251,2555,17316,,,
225124,8,125.33137,43.884233,庆利社区,,220102,0431,220102002006,111,,,,,,,,,2,100,1006,1251,2555,17316,,,
225125,8,125.338819,43.886416,健康胡同社区,,220102,0431,220102003001,111,,,,,,,,,2,100,1006,1251,2555,17317,,,
225126,8,125.343003,43.881363,九圣祠社区,,220102,0431,220102003002,111,,,,,,,,,2,100,1006,1251,2555,17317,,,
225127,8,125.337622,43.879911,园东路社区,,220102,0431,220102003003,111,,,,,,,,,2,100,1006,1251,2555,17317,,,
225128,8,125.330621,43.879915,西门里社区,,220102,0431,220102003004,111,,,,,,,,,2,100,1006,1251,2555,17317,,,
225129,8,125.332343,43.895422,通顺社区,,220102,0431,220102004001,111,,,,,,,,,2,100,1006,1251,2555,17318,,,
225130,8,125.337924,43.899771,松竹梅社区,,220102,0431,220102004002,111,,,,,,,,,2,100,1006,1251,2555,17318,,,
225131,8,125.340404,43.897277,永长社区,,220102,0431,220102004003,111,,,,,,,,,2,100,1006,1251,2555,17318,,,
225132,8,125.335749,43.900656,永春社区,,220102,0431,220102004004,111,,,,,,,,,2,100,1006,1251,2555,17318,,,
225133,8,125.342019,43.89371,和平社区,,220102,0431,220102004006,111,,,,,,,,,2,100,1006,1251,2555,17318,,,
225134,8,125.34513,43.901356,光复路南社区,,220103,0431,220102005001,111,,,,,,,,,2,100,1006,1251,2555,17319,,,
225135,8,125.352225,43.901318,清真寺社区,,220103,0431,220102005002,111,,,,,,,,,2,100,1006,1251,2555,17319,,,
225136,8,125.35561,43.896504,东大社区,,220102,0431,220102005003,111,,,,,,,,,2,100,1006,1251,2555,17319,,,
225137,8,125.342528,43.899167,龙兴社区,,220102,0431,220102005004,111,,,,,,,,,2,100,1006,1251,2555,17319,,,
225138,8,125.359053,43.90448,东莱南社区,,220103,0431,220102005005,111,,,,,,,,,2,100,1006,1251,2555,17319,,,
225139,8,125.353615,43.905888,永宁社区,,220103,0431,220102005006,111,,,,,,,,,2,100,1006,1251,2555,17319,,,
225140,8,125.350173,43.863989,东安村委会,,220102,0431,220102005200,111,,,,,,,,,2,100,1006,1251,2555,17319,,,
225141,8,125.339685,43.890095,长大社区,,220102,0431,220102006001,111,,,,,,,,,2,100,1006,1251,2555,17320,,,
225142,8,125.342131,43.887038,财神庙社区,,220102,0431,220102006002,111,,,,,,,,,2,100,1006,1251,2555,17320,,,
225143,8,125.344667,43.888433,天利南社区,,220102,0431,220102006003,111,,,,,,,,,2,100,1006,1251,2555,17320,,,
225144,8,125.349687,43.879749,全安广场社区,,220102,0431,220102006004,111,,,,,,,,,2,100,1006,1251,2555,17320,,,
225145,8,125.346591,43.887647,天乐胡同社区,,220102,0431,220102006005,111,,,,,,,,,2,100,1006,1251,2555,17320,,,
225146,8,125.344938,43.884972,塘子胡同社区,,220102,0431,220102006006,111,,,,,,,,,2,100,1006,1251,2555,17320,,,
225147,8,125.328501,43.873503,岳阳社区,,220102,0431,220102007001,111,,,,,,,,,2,100,1006,1251,2555,17321,,,
225148,8,125.334501,43.874018,平阳社区,,220102,0431,220102007002,111,,,,,,,,,2,100,1006,1251,2555,17321,,,
225149,8,125.329255,43.876823,电力社区,,220102,0431,220102007003,111,,,,,,,,,2,100,1006,1251,2555,17321,,,
225150,8,125.327603,43.87051,师大东电社区,,220102,0431,220102007004,111,,,,,,,,,2,100,1006,1251,2555,17321,,,
225151,8,125.338668,43.872867,珲春社区,,220102,0431,220102007005,111,,,,,,,,,2,100,1006,1251,2555,17321,,,
225152,8,125.353606,43.872161,南泉社区,,220102,0431,220102008001,111,,,,,,,,,2,100,1006,1251,2555,17322,,,
225153,8,125.353523,43.867484,职工新村社区,,220102,0431,220102008002,111,,,,,,,,,2,100,1006,1251,2555,17322,,,
225154,8,125.350475,43.86966,自由大路社区,,220102,0431,220102008003,111,,,,,,,,,2,100,1006,1251,2555,17322,,,
225155,8,125.344146,43.875354,吉顺社区,,220102,0431,220102008004,111,,,,,,,,,2,100,1006,1251,2555,17322,,,
225156,8,125.345116,43.879166,全安小区社区,,220102,0431,220102008005,111,,,,,,,,,2,100,1006,1251,2555,17322,,,
225157,8,125.345055,43.87598,平泉社区,,220102,0431,220102008006,111,,,,,,,,,2,100,1006,1251,2555,17322,,,
225158,8,125.353457,43.891193,桃源社区,,220102,0431,220102009001,111,,,,,,,,,2,100,1006,1251,2555,17323,,,
225159,8,125.355907,43.884958,滨河社区,,220105,0431,220102009002,111,,,,,,,,,2,100,1006,1251,2555,17323,,,
225160,8,125.349056,43.894856,长源社区,,220102,0431,220102009003,111,,,,,,,,,2,100,1006,1251,2555,17323,,,
225161,8,125.35203,43.892186,春源社区,,220102,0431,220102009004,111,,,,,,,,,2,100,1006,1251,2555,17323,,,
225162,8,125.349365,43.894533,文庙社区,,220102,0431,220102009005,111,,,,,,,,,2,100,1006,1251,2555,17323,,,
225163,8,125.353553,43.853182,伊水社区,,220102,0431,220102010001,111,,,,,,,,,2,100,1006,1251,2555,17324,,,
225164,8,125.349505,43.85907,鹏程社区,,220102,0431,220102010002,111,,,,,,,,,2,100,1006,1251,2555,17324,,,
225165,8,125.353658,43.835904,东风社区,,220102,0431,220102010003,111,,,,,,,,,2,100,1006,1251,2555,17324,,,
225166,8,125.349149,43.836957,达兴社区,,220102,0431,220102010004,111,,,,,,,,,2,100,1006,1251,2555,17324,,,
225167,8,125.332621,43.836642,繁荣社区,,220102,0431,220102010005,111,,,,,,,,,2,100,1006,1251,2555,17324,,,
225168,8,125.33796,43.84831,东风村委会,,220102,0431,220102010200,111,,,,,,,,,2,100,1006,1251,2555,17324,,,
225169,8,125.338209,43.831605,明珠社区,,220102,0431,220102011001,111,,,,,,,,,2,100,1006,1251,2555,17325,,,
225170,8,125.315494,43.8245,新城社区,,220102,0431,220102011002,111,,,,,,,,,2,100,1006,1251,2555,17325,,,
225171,8,125.3005,43.799561,佳园社区,,220102,0431,220102011004,111,,,,,,,,,2,100,1006,1251,2555,17325,,,
225172,8,125.307243,43.821057,新里社区,,220102,0431,220102011005,111,,,,,,,,,2,100,1006,1251,2555,17325,,,
225173,8,125.299176,43.79037,光明村委会,,220102,0431,220102011200,112,,,,,,,,,2,100,1006,1251,2555,17325,,,
225174,8,125.314973,43.824171,黑嘴子村委会,,220102,0431,220102011201,112,,,,,,,,,2,100,1006,1251,2555,17325,,,
225175,8,125.360375,43.815142,中海南溪社区,,220102,0431,220102012001,111,,,,,,,,,2,100,1006,1251,2555,17326,,,
225176,8,125.360514,43.815352,环城社区,,220102,0431,220102012002,111,,,,,,,,,2,100,1006,1251,2555,17326,,,
225177,8,125.364369,43.807614,富裕村委会,,220102,0431,220102012200,112,,,,,,,,,2,100,1006,1251,2555,17326,,,
225178,8,125.276963,43.788321,惠民嘉苑社区,,220102,0431,220102200001,111,,,,,,,,,2,100,1006,1251,2555,17327,,,
225179,8,125.276963,43.788321,八一社区,,220102,0431,220102200002,111,,,,,,,,,2,100,1006,1251,2555,17327,,,
225180,8,125.276963,43.788321,国信社区,,220102,0431,220102200003,111,,,,,,,,,2,100,1006,1251,2555,17327,,,
225181,8,125.294791,43.795213,八一村委会,,220102,0431,220102200201,111,,,,,,,,,2,100,1006,1251,2555,17327,,,
225182,8,125.276963,43.788321,红嘴子村委会,,220102,0431,220102200203,112,,,,,,,,,2,100,1006,1251,2555,17327,,,
225183,8,125.330528,43.900787,贵阳街社区,,220103,0431,220103001001,111,,,,,,,,,2,100,1006,1251,2556,17328,,,
225184,8,125.333229,43.90196,上海路社区,,220103,0431,220103001002,111,,,,,,,,,2,100,1006,1251,2556,17328,,,
225185,8,125.32929,43.906164,长江路社区,,220103,0431,220103002001,111,,,,,,,,,2,100,1006,1251,2556,17329,,,
225186,8,125.3199,43.90744,丹东路社区,,220103,0431,220103002002,111,,,,,,,,,2,100,1006,1251,2556,17329,,,
225187,8,125.318127,43.906756,北京大街社区,,220103,0431,220103002003,111,,,,,,,,,2,100,1006,1251,2556,17329,,,
