dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
166269,8,112.575813,37.82032,师范街社区居委会,,140105,0351,140105001001,111,,,,,,,,,2,100,1003,1214,2224,12998,,,
166270,8,112.575813,37.82032,山西大学社区居委会,,140105,0351,140105001002,111,,,,,,,,,2,100,1003,1214,2224,12998,,,
166271,8,112.575813,37.82032,八一社区居委会,,140105,0351,140105001003,111,,,,,,,,,2,100,1003,1214,2224,12998,,,
166272,8,112.575813,37.82032,许坦西街社区居委会,,140105,0351,140105001004,111,,,,,,,,,2,100,1003,1214,2224,12998,,,
166273,8,112.593493,37.792944,坞城南路社区居委会,,140105,0351,140105001005,111,,,,,,,,,2,100,1003,1214,2224,12998,,,
166274,8,112.575813,37.82032,坞城路东社区居委会,,140105,0351,140105001006,111,,,,,,,,,2,100,1003,1214,2224,12998,,,
166275,8,112.575813,37.82032,坞城路西社区居委会,,140105,0351,140105001007,111,,,,,,,,,2,100,1003,1214,2224,12998,,,
166276,8,112.575134,37.835975,并州南路一社区居委会,,140105,0351,140105001008,111,,,,,,,,,2,100,1003,1214,2224,12998,,,
166277,8,112.586318,37.819854,并州南路二社区居委会,,140105,0351,140105001009,111,,,,,,,,,2,100,1003,1214,2224,12998,,,
166278,8,112.578086,37.821982,太航社区居委会,,140105,0351,140105001010,111,,,,,,,,,2,100,1003,1214,2224,12998,,,
166279,8,112.575813,37.82032,学府街东社区居委会,,140105,0351,140105001011,111,,,,,,,,,2,100,1003,1214,2224,12998,,,
166280,8,112.573498,37.793171,国际大都会社区居委会,,140105,0351,140105001012,111,,,,,,,,,2,100,1003,1214,2224,12998,,,
166281,8,112.573009,37.802651,开元社区居委会,,140105,0351,140105001013,111,,,,,,,,,2,100,1003,1214,2224,12998,,,
166282,8,112.577926,37.808178,坞城社区居委会,,140105,0351,140105001014,111,,,,,,,,,2,100,1003,1214,2224,12998,,,
166283,8,112.570739,37.795108,锦绣社区居委会,,140105,0351,140105001015,111,,,,,,,,,2,100,1003,1214,2224,12998,,,
166284,8,112.575813,37.82032,南中环社区居委会,,140105,0351,140105001016,111,,,,,,,,,2,100,1003,1214,2224,12998,,,
166285,8,112.576426,37.793418,北张社区居委会,,140105,0351,140105001017,111,,,,,,,,,2,100,1003,1214,2224,12998,,,
166286,8,112.575813,37.82032,云水明珠社区居委会,,140105,0351,140105001018,111,,,,,,,,,2,100,1003,1214,2224,12998,,,
166287,8,112.590266,37.832729,南十方张家巷社区居委会,,140105,0351,140105002001,111,,,,,,,,,2,100,1003,1214,2224,12999,,,
166288,8,112.580415,37.826378,东岗路一社区居委会,,140105,0351,140105002002,111,,,,,,,,,2,100,1003,1214,2224,12999,,,
166289,8,112.580415,37.826378,东岗路二社区居委会,,140105,0351,140105002003,111,,,,,,,,,2,100,1003,1214,2224,12999,,,
166290,8,112.575134,37.835975,并州南路一社区居委会,,140105,0351,140105002004,111,,,,,,,,,2,100,1003,1214,2224,12999,,,
166291,8,112.586318,37.819854,并州南路二社区居委会,,140105,0351,140105002005,111,,,,,,,,,2,100,1003,1214,2224,12999,,,
166292,8,112.580415,37.826378,并州南路三社区居委会,,140105,0351,140105002006,111,,,,,,,,,2,100,1003,1214,2224,12999,,,
166293,8,112.580415,37.826378,并州南路西一巷社区居委会,,140105,0351,140105002007,111,,,,,,,,,2,100,1003,1214,2224,12999,,,
166294,8,112.580415,37.826378,并州南路西二巷社区居委会,,140105,0351,140105002008,111,,,,,,,,,2,100,1003,1214,2224,12999,,,
166295,8,112.580415,37.826378,体育路一社区居委会,,140105,0351,140105002009,111,,,,,,,,,2,100,1003,1214,2224,12999,,,
166296,8,112.580415,37.826378,体育路二社区居委会,,140105,0351,140105002010,111,,,,,,,,,2,100,1003,1214,2224,12999,,,
166297,8,112.580415,37.826378,南内环街一社区居委会,,140105,0351,140105002011,111,,,,,,,,,2,100,1003,1214,2224,12999,,,
166298,8,112.580415,37.826378,南内环街二社区居委会,,140105,0351,140105002012,111,,,,,,,,,2,100,1003,1214,2224,12999,,,
166299,8,112.580415,37.826378,长治路一社区居委会,,140105,0351,140105002013,111,,,,,,,,,2,100,1003,1214,2224,12999,,,
