dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
548920,8,113.247338,23.107211,翠洲社区居民委员会,,440103,020,440103001101,111,,,,,,,,,2,100,1018,1396,3850,35941,,,
548921,8,113.247694,23.110019,扬仁东社区居民委员会,,440103,020,440103002101,111,,,,,,,,,2,100,1018,1396,3850,35942,,,
548922,8,113.247694,23.110019,扬仁西社区居民委员会,,440103,020,440103002102,111,,,,,,,,,2,100,1018,1396,3850,35942,,,
548923,8,113.247694,23.110019,故衣街社区居民委员会,,440103,020,440103002103,111,,,,,,,,,2,100,1018,1396,3850,35942,,,
548924,8,113.250389,23.110642,十三行社区居民委员会,,440103,020,440103002104,111,,,,,,,,,2,100,1018,1396,3850,35942,,,
548925,8,113.24688,23.111228,冼基社区居民委员会,,440103,020,440103002105,111,,,,,,,,,2,100,1018,1396,3850,35942,,,
548926,8,113.24776,23.109455,沙基社区居民委员会,,440103,020,440103002106,111,,,,,,,,,2,100,1018,1396,3850,35942,,,
548927,8,113.245273,23.109507,清平社区居民委员会,,440103,020,440103002108,111,,,,,,,,,2,100,1018,1396,3850,35942,,,
548928,8,113.247694,23.110019,和平社区居民委员会,,440103,020,440103002109,111,,,,,,,,,2,100,1018,1396,3850,35942,,,
548929,8,113.243446,23.11782,光复社区居民委员会,,440103,020,440103003101,111,,,,,,,,,2,100,1018,1396,3850,35943,,,
548930,8,113.243446,23.11782,德星社区居民委员会,,440103,020,440103003102,111,,,,,,,,,2,100,1018,1396,3850,35943,,,
548931,8,113.243446,23.11782,荔广社区居民委员会,,440103,020,440103003103,111,,,,,,,,,2,100,1018,1396,3850,35943,,,
548932,8,113.243446,23.11782,寺前社区居民委员会,,440103,020,440103003104,111,,,,,,,,,2,100,1018,1396,3850,35943,,,
548933,8,113.243446,23.11782,彩园社区居民委员会,,440103,020,440103003106,111,,,,,,,,,2,100,1018,1396,3850,35943,,,
548934,8,113.243446,23.11782,兴贤社区居民委员会,,440103,020,440103003107,111,,,,,,,,,2,100,1018,1396,3850,35943,,,
548935,8,113.243446,23.11782,曾巷社区居民委员会,,440103,020,440103003108,111,,,,,,,,,2,100,1018,1396,3850,35943,,,
548936,8,113.243446,23.11782,连登社区居民委员会,,440103,020,440103003109,111,,,,,,,,,2,100,1018,1396,3850,35943,,,
548937,8,113.243446,23.11782,怀远社区居民委员会,,440103,020,440103003111,111,,,,,,,,,2,100,1018,1396,3850,35943,,,
548938,8,113.243446,23.11782,福安社区居民委员会,,440103,020,440103003112,111,,,,,,,,,2,100,1018,1396,3850,35943,,,
548939,8,113.243446,23.11782,河傍社区居民委员会,,440103,020,440103003113,111,,,,,,,,,2,100,1018,1396,3850,35943,,,
548940,8,113.243446,23.11782,湛露社区居民委员会,,440103,020,440103003114,111,,,,,,,,,2,100,1018,1396,3850,35943,,,
548941,8,113.238196,23.116253,恒宝社区居民委员会,,440103,020,440103004101,111,,,,,,,,,2,100,1018,1396,3850,35944,,,
548942,8,113.238196,23.116253,莲塘社区居民委员会,,440103,020,440103004102,111,,,,,,,,,2,100,1018,1396,3850,35944,,,
548943,8,113.240076,23.115247,泰华社区居民委员会,,440103,020,440103004103,111,,,,,,,,,2,100,1018,1396,3850,35944,,,
548944,8,113.238196,23.116253,丛桂社区居民委员会,,440103,020,440103004105,111,,,,,,,,,2,100,1018,1396,3850,35944,,,
548945,8,113.238196,23.116253,宝源社区居民委员会,,440103,020,440103004107,111,,,,,,,,,2,100,1018,1396,3850,35944,,,
548946,8,113.238196,23.116253,至宝社区居民委员会,,440103,020,440103004109,111,,,,,,,,,2,100,1018,1396,3850,35944,,,
548947,8,113.238196,23.116253,恩宁社区居民委员会,,440103,020,440103004110,111,,,,,,,,,2,100,1018,1396,3850,35944,,,
548948,8,113.238196,23.116253,谊园社区居民委员会,,440103,020,440103004111,111,,,,,,,,,2,100,1018,1396,3850,35944,,,
548949,8,113.238196,23.116253,天佑社区居民委员会,,440103,020,440103004112,111,,,,,,,,,2,100,1018,1396,3850,35944,,,
548950,8,113.238196,23.116253,御景社区居民委员会,,440103,020,440103004113,111,,,,,,,,,2,100,1018,1396,3850,35944,,,
548951,8,113.235955,23.11561,荔湖社区居民委员会,,440103,020,440103005101,111,,,,,,,,,2,100,1018,1396,3850,35945,,,
548952,8,113.235955,23.11561,如意坊社区居民委员会,,440103,020,440103005102,111,,,,,,,,,2,100,1018,1396,3850,35945,,,
548953,8,113.235955,23.11561,逢庆社区居民委员会,,440103,020,440103005103,111,,,,,,,,,2,100,1018,1396,3850,35945,,,
548954,8,113.235955,23.11561,昌华苑社区居民委员会,,440103,020,440103005104,111,,,,,,,,,2,100,1018,1396,3850,35945,,,
548955,8,113.235955,23.11561,西关大屋社区居民委员会,,440103,020,440103005106,111,,,,,,,,,2,100,1018,1396,3850,35945,,,
548956,8,113.235965,23.124275,泮塘社区居民委员会,,440103,020,440103005107,111,,,,,,,,,2,100,1018,1396,3850,35945,,,
548957,8,113.242893,23.12339,惠城社区居民委员会,,440103,020,440103006101,111,,,,,,,,,2,100,1018,1396,3850,35946,,,
548958,8,113.242893,23.12339,泰兴社区居民委员会,,440103,020,440103006102,111,,,,,,,,,2,100,1018,1396,3850,35946,,,
548959,8,113.242893,23.12339,源胜社区居民委员会,,440103,020,440103006103,111,,,,,,,,,2,100,1018,1396,3850,35946,,,
548960,8,113.242893,23.12339,华贵社区居民委员会,,440103,020,440103006104,111,,,,,,,,,2,100,1018,1396,3850,35946,,,
548961,8,113.242241,23.12066,何家祠社区居民委员会,,440103,020,440103006105,111,,,,,,,,,2,100,1018,1396,3850,35946,,,
548962,8,113.242893,23.12339,耀华社区居民委员会,,440103,020,440103006106,111,,,,,,,,,2,100,1018,1396,3850,35946,,,
548963,8,113.242893,23.12339,厚福社区居民委员会,,440103,020,440103006107,111,,,,,,,,,2,100,1018,1396,3850,35946,,,
548964,8,113.242893,23.12339,马基涌社区居民委员会,,440103,020,440103006108,111,,,,,,,,,2,100,1018,1396,3850,35946,,,
548965,8,113.242893,23.12339,隆城社区居民委员会,,440103,020,440103006109,111,,,,,,,,,2,100,1018,1396,3850,35946,,,
548966,8,113.242893,23.12339,富力东社区居民委员会,,440103,020,440103006110,111,,,,,,,,,2,100,1018,1396,3850,35946,,,
548967,8,113.242893,23.12339,富力西社区居民委员会,,440103,020,440103006111,111,,,,,,,,,2,100,1018,1396,3850,35946,,,
548968,8,113.237675,23.119499,逢源北社区居民委员会,,440103,020,440103006114,111,,,,,,,,,2,100,1018,1396,3850,35946,,,
548969,8,113.248614,23.122688,人民中社区居民委员会,,440103,020,440103007101,111,,,,,,,,,2,100,1018,1396,3850,35947,,,
