dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
278987,8,120.159386,30.237621,清波门社区,,330102,0571,330102001051,111,,,,,,,,,2,100,1010,1287,2874,22045,,,
278988,8,120.160144,30.242452,劳动路社区,,330102,0571,330102001052,111,,,,,,,,,2,100,1010,1287,2874,22045,,,
278989,8,120.167103,30.244247,定安路社区,,330102,0571,330102001053,111,,,,,,,,,2,100,1010,1287,2874,22045,,,
278990,8,120.170447,30.242079,清河坊社区,,330102,0571,330102001055,111,,,,,,,,,2,100,1010,1287,2874,22045,,,
278991,8,120.171769,30.244119,柳翠井巷社区,,330102,0571,330102001057,111,,,,,,,,,2,100,1010,1287,2874,22045,,,
278992,8,120.165449,30.246832,涌金门社区,,330102,0571,330102003050,111,,,,,,,,,2,100,1010,1287,2874,22046,,,
278993,8,120.16751,30.248352,青年路社区,,330102,0571,330102003052,111,,,,,,,,,2,100,1010,1287,2874,22046,,,
278994,8,120.169532,30.248353,东平巷社区,,330102,0571,330102003053,111,,,,,,,,,2,100,1010,1287,2874,22046,,,
278995,8,120.169706,30.255297,岳王路社区,,330102,0571,330102003055,111,,,,,,,,,2,100,1010,1287,2874,22046,,,
278996,8,120.165606,30.257491,东坡路社区,,330102,0571,330102003057,111,,,,,,,,,2,100,1010,1287,2874,22046,,,
278997,8,120.169762,30.251823,吴山路社区,,330102,0571,330102003058,111,,,,,,,,,2,100,1010,1287,2874,22046,,,
278998,8,120.175713,30.252753,小营巷社区,,330102,0571,330102004051,111,,,,,,,,,2,100,1010,1287,2874,22047,,,
278999,8,120.175438,30.25577,马市街社区,,330102,0571,330102004052,111,,,,,,,,,2,100,1010,1287,2874,22047,,,
279000,8,120.174227,30.256598,紫金社区,,330102,0571,330102004053,111,,,,,,,,,2,100,1010,1287,2874,22047,,,
279001,8,120.184724,30.254937,老浙大社区,,330102,0571,330102004057,111,,,,,,,,,2,100,1010,1287,2874,22047,,,
279002,8,120.182663,30.252055,大学路社区,,330102,0571,330102004058,111,,,,,,,,,2,100,1010,1287,2874,22047,,,
279003,8,120.18152,30.252799,葵巷社区,,330102,0571,330102004059,111,,,,,,,,,2,100,1010,1287,2874,22047,,,
279004,8,120.174653,30.246139,茅廊巷社区,,330102,0571,330102004060,111,,,,,,,,,2,100,1010,1287,2874,22047,,,
279005,8,120.176411,30.248591,金钱巷社区,,330102,0571,330102004061,111,,,,,,,,,2,100,1010,1287,2874,22047,,,
279006,8,120.173131,30.244166,梅花碑社区,,330102,0571,330102004062,111,,,,,,,,,2,100,1010,1287,2874,22047,,,
279007,8,120.182959,30.248809,长明寺巷社区,,330102,0571,330102004063,111,,,,,,,,,2,100,1010,1287,2874,22047,,,
279008,8,120.179144,30.240899,姚园寺巷社区,,330102,0571,330102004064,111,,,,,,,,,2,100,1010,1287,2874,22047,,,
279009,8,120.176576,30.23746,西牌楼社区,,330102,0571,330102004065,111,,,,,,,,,2,100,1010,1287,2874,22047,,,
279010,8,120.168171,30.225548,馒头山社区,,330102,0571,330102008051,111,,,,,,,,,2,100,1010,1287,2874,22048,,,
279011,8,120.170629,30.212092,美政桥社区,,330102,0571,330102008053,111,,,,,,,,,2,100,1010,1287,2874,22048,,,
279012,8,120.172826,30.21222,紫花埠社区,,330102,0571,330102008055,111,,,,,,,,,2,100,1010,1287,2874,22048,,,
279013,8,120.160728,30.205987,海月桥社区,,330102,0571,330102008058,111,,,,,,,,,2,100,1010,1287,2874,22048,,,
279014,8,120.143508,30.200389,白塔岭社区,,330102,0571,330102008059,111,,,,,,,,,2,100,1010,1287,2874,22048,,,
279015,8,120.169651,30.210005,复兴街社区,,330102,0571,330102008060,111,,,,,,,,,2,100,1010,1287,2874,22048,,,
279016,8,120.150856,30.206745,玉皇山社区,,330102,0571,330102008061,111,,,,,,,,,2,100,1010,1287,2874,22048,,,
279017,8,120.153848,30.20461,水澄桥社区,,330102,0571,330102008062,111,,,,,,,,,2,100,1010,1287,2874,22048,,,
279018,8,120.169597,30.236073,十五奎巷社区,,330102,0571,330102009051,111,,,,,,,,,2,100,1010,1287,2874,22049,,,
279019,8,120.176196,30.225438,北落马营社区,,330102,0571,330102009052,111,,,,,,,,,2,100,1010,1287,2874,22049,,,
279020,8,120.174138,30.230877,彩霞岭社区,,330102,0571,330102009055,111,,,,,,,,,2,100,1010,1287,2874,22049,,,
279021,8,120.173788,30.227877,候潮门社区,,330102,0571,330102009056,111,,,,,,,,,2,100,1010,1287,2874,22049,,,
279022,8,120.167623,30.234176,太庙社区,,330102,0571,330102009058,111,,,,,,,,,2,100,1010,1287,2874,22049,,,
279023,8,120.179312,30.232562,木场巷社区,,330102,0571,330102009059,111,,,,,,,,,2,100,1010,1287,2874,22049,,,
279024,8,120.174569,30.220554,新工社区,,330102,0571,330102009060,111,,,,,,,,,2,100,1010,1287,2874,22049,,,
279025,8,120.17634,30.218941,凤凰社区,,330102,0571,330102009061,111,,,,,,,,,2,100,1010,1287,2874,22049,,,
279026,8,120.183845,30.229304,海潮社区,,330102,0571,330102009062,111,,,,,,,,,2,100,1010,1287,2874,22049,,,
279027,8,120.17558,30.234965,上羊市街社区,,330102,0571,330102009063,111,,,,,,,,,2,100,1010,1287,2874,22049,,,
279028,8,120.183633,30.215529,春江社区,,330102,0571,330102009064,111,,,,,,,,,2,100,1010,1287,2874,22049,,,
279029,8,120.191142,30.223275,甬江社区,,330102,0571,330102009065,111,,,,,,,,,2,100,1010,1287,2874,22049,,,
279030,8,120.191819,30.242552,清泰门社区,,330102,0571,330102010051,111,,,,,,,,,2,100,1010,1287,2874,22050,,,
279031,8,120.189403,30.242094,莫邪塘社区,,330102,0571,330102010052,111,,,,,,,,,2,100,1010,1287,2874,22050,,,
279032,8,120.185028,30.238929,始版桥社区,,330102,0571,330102010053,111,,,,,,,,,2,100,1010,1287,2874,22050,,,
279033,8,120.183558,30.238292,大通桥社区,,330102,0571,330102010054,111,,,,,,,,,2,100,1010,1287,2874,22050,,,
279034,8,120.188969,30.240706,兴隆社区,,330102,0571,330102010057,111,,,,,,,,,2,100,1010,1287,2874,22050,,,
279035,8,120.198644,30.236648,耀华社区,,330102,0571,330102010060,111,,,,,,,,,2,100,1010,1287,2874,22050,,,
