dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
716064,8,103.8335,36.049769,畅家巷社区居委会,,620102,0931,620102001001,111,,,,,,,,,2,100,1027,1501,4735,49513,,,
716065,8,103.833485,36.049783,张家园社区居委会,,620102,0931,620102001002,111,,,,,,,,,2,100,1027,1501,4735,49513,,,
716066,8,103.82855,36.052437,中街子社区居委会,,620102,0931,620102001003,111,,,,,,,,,2,100,1027,1501,4735,49513,,,
716067,8,103.830918,36.052929,南稍门社区居委会,,620102,0931,620102001004,111,,,,,,,,,2,100,1027,1501,4735,49513,,,
716068,8,103.833485,36.049783,杨家园社区居委会,,620102,0931,620102001005,111,,,,,,,,,2,100,1027,1501,4735,49513,,,
716069,8,103.821,36.058007,陇西路社区居委会,,620102,0931,620102002001,111,,,,,,,,,2,100,1027,1501,4735,49514,,,
716070,8,103.82213,36.061549,山字石社区居委会,,620102,0931,620102002002,111,,,,,,,,,2,100,1027,1501,4735,49514,,,
716071,8,103.82213,36.061549,贡元巷社区居委会,,620102,0931,620102002003,111,,,,,,,,,2,100,1027,1501,4735,49514,,,
716072,8,103.82213,36.061549,曹家厅社区居委会,,620102,0931,620102002004,111,,,,,,,,,2,100,1027,1501,4735,49514,,,
716073,8,103.82213,36.061549,大众巷社区居委会,,620102,0931,620102002005,111,,,,,,,,,2,100,1027,1501,4735,49514,,,
716074,8,103.82213,36.061549,金塔巷社区居委会,,620102,0931,620102002006,111,,,,,,,,,2,100,1027,1501,4735,49514,,,
716075,8,103.878983,36.060588,雁宁路社区居委会,,620102,0931,620102003001,111,,,,,,,,,2,100,1027,1501,4735,49515,,,
716076,8,103.878983,36.060588,滩尖子社区居委会,,620102,0931,620102003002,111,,,,,,,,,2,100,1027,1501,4735,49515,,,
716077,8,103.878983,36.060588,大雁滩社区居委会,,620102,0931,620102003003,111,,,,,,,,,2,100,1027,1501,4735,49515,,,
716078,8,103.877942,36.059691,沙洼河社区居委会,,620102,0931,620102003004,111,,,,,,,,,2,100,1027,1501,4735,49515,,,
716079,8,103.878983,36.060588,张苏滩社区居委会,,620102,0931,620102003005,111,,,,,,,,,2,100,1027,1501,4735,49515,,,
716080,8,103.881982,36.05713,天庆嘉园社区,,620102,0931,620102003006,111,,,,,,,,,2,100,1027,1501,4735,49515,,,
716081,8,103.878983,36.060588,南河社区居委会,,620102,0931,620102003007,111,,,,,,,,,2,100,1027,1501,4735,49515,,,
716082,8,103.878983,36.060588,张苏滩村民委员会,,620102,0931,620102003201,111,,,,,,,,,2,100,1027,1501,4735,49515,,,
716083,8,103.878983,36.060588,滩尖子村民委员会,,620102,0931,620102003202,111,,,,,,,,,2,100,1027,1501,4735,49515,,,
716084,8,103.878983,36.060588,大雁滩村民委员会,,620102,0931,620102003203,111,,,,,,,,,2,100,1027,1501,4735,49515,,,
716085,8,103.878983,36.060588,沙洼河村民委员会,,620102,0931,620102003204,111,,,,,,,,,2,100,1027,1501,4735,49515,,,
716086,8,103.814097,36.059028,木塔巷社区居委会,,620102,0931,620102004001,111,,,,,,,,,2,100,1027,1501,4735,49516,,,
716087,8,103.814481,36.058909,付家巷社区居委会,,620102,0931,620102004002,111,,,,,,,,,2,100,1027,1501,4735,49516,,,
716088,8,103.814481,36.058909,静安门社区居委会,,620102,0931,620102004003,111,,,,,,,,,2,100,1027,1501,4735,49516,,,
716089,8,103.814097,36.059028,桥门社区居委会,,620102,0931,620102004004,111,,,,,,,,,2,100,1027,1501,4735,49516,,,
716090,8,103.814097,36.059028,西城巷社区居委会,,620102,0931,620102004005,111,,,,,,,,,2,100,1027,1501,4735,49516,,,
