级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
村,111.66704,40.841739,公主府社区居委会,,150102,0471,150102001001,111,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,海拉尔东路街道,公主府社区居委会,,
村,111.66704,40.841739,内蒙古军区社区居委会,,150102,0471,150102001006,111,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,海拉尔东路街道,内蒙古军区社区居委会,,
村,111.66704,40.841739,哲里木路社区居委会,,150102,0471,150102001007,111,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,海拉尔东路街道,哲里木路社区居委会,,
村,111.671111,40.85328,体校巷社区居委会,,150102,0471,150102001008,111,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,海拉尔东路街道,体校巷社区居委会,,
村,111.66704,40.841739,内蒙古工业大学社区居委会,,150102,0471,150102001009,111,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,海拉尔东路街道,内蒙古工业大学社区居委会,,
村,111.66704,40.841739,公安厅社区居委会,,150102,0471,150102001010,111,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,海拉尔东路街道,公安厅社区居委会,,
村,111.690389,40.84238,长海社区居委会,,150102,0471,150102001012,111,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,海拉尔东路街道,长海社区居委会,,
村,111.663612,40.837812,气象局东巷社区居委会,,150102,0471,150102001014,111,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,海拉尔东路街道,气象局东巷社区居委会,,
村,111.667213,40.854443,八一路社区居委会,,150102,0471,150102001015,111,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,海拉尔东路街道,八一路社区居委会,,
村,111.665059,40.827792,车站西街社区居委会,,150102,0471,150102002001,111,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,锡林路街道,车站西街社区居委会,,
村,111.665059,40.827792,车站东街社区居委会,,150102,0471,150102002002,111,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,锡林路街道,车站东街社区居委会,,
村,111.665059,40.827792,三角线社区居委会,,150102,0471,150102002003,111,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,锡林路街道,三角线社区居委会,,
村,111.668737,40.832939,中山里社区居委会,,150102,0471,150102002005,111,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,锡林路街道,中山里社区居委会,,
村,111.665059,40.827792,电厂前街社区居委会,,150102,0471,150102002006,111,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,锡林路街道,电厂前街社区居委会,,
村,111.673374,40.825503,新华社区居委会,,150102,0471,150102003001,111,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,中山东路街道,新华社区居委会,,
村,111.671059,40.819578,迎宾南路社区居委会,,150102,0471,150102003002,111,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,中山东路街道,迎宾南路社区居委会,,
村,111.67699,40.8144,中山社区居委会,,150102,0471,150102003003,111,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,中山东路街道,中山社区居委会,,
村,111.674318,40.81553,团结社区居委会,,150102,0471,150102003004,111,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,中山东路街道,团结社区居委会,,
村,111.691711,40.835851,东库街社区居委会,,150102,0471,150102004001,111,,,,,,,,,亚洲,中国,内蒙古,呼和浩特,新城区,东街街道,东库街社区居委会,,
