级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
村,125.3478,43.855655,华阳社区,,220102,0431,220102001001,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,南岭街道,华阳社区,,
村,125.327101,43.844634,恒安社区,,220102,0431,220102001002,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,南岭街道,恒安社区,,
村,125.34854,43.858403,百屹社区,,220102,0431,220102001003,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,南岭街道,百屹社区,,
村,125.330032,43.89444,北安社区,,220102,0431,220102002001,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,自强街道,北安社区,,
村,125.333191,43.892881,重庆路北社区,,220102,0431,220102002002,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,自强街道,重庆路北社区,,
村,125.328424,43.890699,重庆路南社区,,220102,0431,220102002004,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,自强街道,重庆路南社区,,
村,125.331627,43.888467,自强社区,,220102,0431,220102002005,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,自强街道,自强社区,,
村,125.33137,43.884233,庆利社区,,220102,0431,220102002006,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,自强街道,庆利社区,,
村,125.338819,43.886416,健康胡同社区,,220102,0431,220102003001,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,民康街道,健康胡同社区,,
村,125.343003,43.881363,九圣祠社区,,220102,0431,220102003002,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,民康街道,九圣祠社区,,
村,125.337622,43.879911,园东路社区,,220102,0431,220102003003,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,民康街道,园东路社区,,
村,125.330621,43.879915,西门里社区,,220102,0431,220102003004,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,民康街道,西门里社区,,
村,125.332343,43.895422,通顺社区,,220102,0431,220102004001,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,新春街道,通顺社区,,
村,125.337924,43.899771,松竹梅社区,,220102,0431,220102004002,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,新春街道,松竹梅社区,,
村,125.340404,43.897277,永长社区,,220102,0431,220102004003,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,新春街道,永长社区,,
村,125.335749,43.900656,永春社区,,220102,0431,220102004004,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,新春街道,永春社区,,
村,125.342019,43.89371,和平社区,,220102,0431,220102004006,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,新春街道,和平社区,,
村,125.34513,43.901356,光复路南社区,,220103,0431,220102005001,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,长通街道,光复路南社区,,
村,125.352225,43.901318,清真寺社区,,220103,0431,220102005002,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,长通街道,清真寺社区,,
村,125.35561,43.896504,东大社区,,220102,0431,220102005003,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,长通街道,东大社区,,
村,125.342528,43.899167,龙兴社区,,220102,0431,220102005004,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,长通街道,龙兴社区,,
村,125.359053,43.90448,东莱南社区,,220103,0431,220102005005,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,长通街道,东莱南社区,,
村,125.353615,43.905888,永宁社区,,220103,0431,220102005006,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,长通街道,永宁社区,,
村,125.350173,43.863989,东安村委会,,220102,0431,220102005200,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,长通街道,东安村委会,,
村,125.339685,43.890095,长大社区,,220102,0431,220102006001,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,全安街道,长大社区,,
村,125.342131,43.887038,财神庙社区,,220102,0431,220102006002,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,全安街道,财神庙社区,,
村,125.344667,43.888433,天利南社区,,220102,0431,220102006003,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,全安街道,天利南社区,,
村,125.349687,43.879749,全安广场社区,,220102,0431,220102006004,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,全安街道,全安广场社区,,
村,125.346591,43.887647,天乐胡同社区,,220102,0431,220102006005,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,全安街道,天乐胡同社区,,
村,125.344938,43.884972,塘子胡同社区,,220102,0431,220102006006,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,全安街道,塘子胡同社区,,
村,125.328501,43.873503,岳阳社区,,220102,0431,220102007001,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,曙光街道,岳阳社区,,
村,125.334501,43.874018,平阳社区,,220102,0431,220102007002,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,曙光街道,平阳社区,,
村,125.329255,43.876823,电力社区,,220102,0431,220102007003,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,曙光街道,电力社区,,
村,125.327603,43.87051,师大东电社区,,220102,0431,220102007004,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,曙光街道,师大东电社区,,
村,125.338668,43.872867,珲春社区,,220102,0431,220102007005,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,曙光街道,珲春社区,,
村,125.353606,43.872161,南泉社区,,220102,0431,220102008001,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,永吉街道,南泉社区,,
村,125.353523,43.867484,职工新村社区,,220102,0431,220102008002,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,永吉街道,职工新村社区,,
村,125.350475,43.86966,自由大路社区,,220102,0431,220102008003,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,永吉街道,自由大路社区,,
村,125.344146,43.875354,吉顺社区,,220102,0431,220102008004,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,永吉街道,吉顺社区,,
村,125.345116,43.879166,全安小区社区,,220102,0431,220102008005,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,永吉街道,全安小区社区,,
村,125.345055,43.87598,平泉社区,,220102,0431,220102008006,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,永吉街道,平泉社区,,
村,125.353457,43.891193,桃源社区,,220102,0431,220102009001,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,桃源街道,桃源社区,,
村,125.355907,43.884958,滨河社区,,220105,0431,220102009002,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,桃源街道,滨河社区,,
村,125.349056,43.894856,长源社区,,220102,0431,220102009003,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,桃源街道,长源社区,,
村,125.35203,43.892186,春源社区,,220102,0431,220102009004,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,桃源街道,春源社区,,
村,125.349365,43.894533,文庙社区,,220102,0431,220102009005,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,桃源街道,文庙社区,,
村,125.353553,43.853182,伊水社区,,220102,0431,220102010001,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,鸿城街道,伊水社区,,
村,125.349505,43.85907,鹏程社区,,220102,0431,220102010002,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,鸿城街道,鹏程社区,,
村,125.353658,43.835904,东风社区,,220102,0431,220102010003,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,鸿城街道,东风社区,,
村,125.349149,43.836957,达兴社区,,220102,0431,220102010004,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,鸿城街道,达兴社区,,
村,125.332621,43.836642,繁荣社区,,220102,0431,220102010005,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,鸿城街道,繁荣社区,,
村,125.33796,43.84831,东风村委会,,220102,0431,220102010200,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,鸿城街道,东风村委会,,
村,125.338209,43.831605,明珠社区,,220102,0431,220102011001,111,,,,,,,,,亚洲,中国,吉林,长春,南关区,明珠街道,明珠社区,,
