级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
村,106.256801,38.472304,崇安社区居委会,,640104,0951,640104001002,111,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,凤凰北街街道,崇安社区居委会,,
村,106.256801,38.472304,兴隆社区居委会,,640104,0951,640104001003,111,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,凤凰北街街道,兴隆社区居委会,,
村,106.262198,38.486777,北安社区居委会,,640104,0951,640104001005,111,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,凤凰北街街道,北安社区居委会,,
村,106.256801,38.472304,安秀社区居委会,,640104,0951,640104001007,111,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,凤凰北街街道,安秀社区居委会,,
村,106.256801,38.472304,阳澄社区居委会,,640104,0951,640104001008,111,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,凤凰北街街道,阳澄社区居委会,,
村,106.26293,38.493348,北塔社区居委会,,640104,0951,640104001010,111,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,凤凰北街街道,北塔社区居委会,,
村,106.261096,38.491372,民运社区居委会,,640104,0951,640104001011,111,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,凤凰北街街道,民运社区居委会,,
村,106.269627,38.478796,文艺社区居委会,,640104,0951,640104002001,111,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,解放西街街道,文艺社区居委会,,
村,106.269627,38.478796,北苑社区居委会,,640104,0951,640104002003,111,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,解放西街街道,北苑社区居委会,,
村,106.269627,38.478796,健康社区居委会,,640104,0951,640104002004,111,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,解放西街街道,健康社区居委会,,
村,106.273961,38.477432,银湖社区居委会,,640104,0951,640104002006,111,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,解放西街街道,银湖社区居委会,,
村,106.273699,38.482352,海宝社区居委会,,640104,0951,640104002008,111,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,解放西街街道,海宝社区居委会,,
村,106.270119,38.485651,华新社区居委会,,640104,0951,640104002009,111,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,解放西街街道,华新社区居委会,,
村,106.282879,38.467263,山河湾社区居委会,,640104,0951,640104003001,111,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,文化街街道,山河湾社区居委会,,
村,106.286858,38.470203,丰收社区居委会,,640104,0951,640104003004,111,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,文化街街道,丰收社区居委会,,
村,106.286858,38.470203,幸福社区居委会,,640104,0951,640104003006,111,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,文化街街道,幸福社区居委会,,
村,106.286858,38.470203,游乐社区居委会,,640104,0951,640104003007,111,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,文化街街道,游乐社区居委会,,
村,106.285686,38.467449,信义社区居委会,,640104,0951,640104003008,111,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,文化街街道,信义社区居委会,,
村,106.286858,38.470203,天成社区居委会,,640104,0951,640104003009,111,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,文化街街道,天成社区居委会,,
村,106.263688,38.466446,中寺社区居委会,,640104,0951,640104004001,111,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,富宁街街道,中寺社区居委会,,
村,106.264267,38.459924,利群社区居委会,,640104,0951,640104004003,111,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,富宁街街道,利群社区居委会,,
