级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
村,117.309021,31.865925,填海巷社区居委会,,340102,0551,340102001001,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,明光路街道,填海巷社区居委会,,
村,117.307179,31.856484,金大塘社区居委会,,340102,0551,340102001002,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,明光路街道,金大塘社区居委会,,
村,117.307596,31.851988,全椒路社区居委会,,340102,0551,340102001003,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,明光路街道,全椒路社区居委会,,
村,117.303463,31.862915,凤凰桥社区居委会,,340102,0551,340102003001,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,胜利路街道,凤凰桥社区居委会,,
村,117.301437,31.862853,滁洲路社区居委会,,340102,0551,340102003002,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,胜利路街道,滁洲路社区居委会,,
村,117.301437,31.862853,大窑湾社区居委会,,340102,0551,340102003003,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,胜利路街道,大窑湾社区居委会,,
村,117.301437,31.862853,建设社区居委会,,340102,0551,340102003004,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,胜利路街道,建设社区居委会,,
村,117.290293,31.860147,红旗社区居委会,,340103,0551,340102003005,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,胜利路街道,红旗社区居委会,,
村,117.301437,31.862853,戴安桥社区居委会,,340102,0551,340102003006,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,胜利路街道,戴安桥社区居委会,,
村,117.301437,31.862853,濉溪东路社区居委会,,340102,0551,340102003007,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,胜利路街道,濉溪东路社区居委会,,
村,117.314844,31.871238,临淮路社区居委会,,340102,0551,340102004001,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,三里街街道,临淮路社区居委会,,
村,117.316549,31.872984,三里一村社区居委会,,340102,0551,340102004002,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,三里街街道,三里一村社区居委会,,
村,117.316586,31.866542,三里三村社区居委会,,340102,0551,340102004003,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,三里街街道,三里三村社区居委会,,
村,117.311501,31.873137,铁路一村社区居委会,,340102,0551,340102004004,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,三里街街道,铁路一村社区居委会,,
村,117.316549,31.872984,凤阳一村社区居委会,,340102,0551,340102004005,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,三里街街道,凤阳一村社区居委会,,
村,117.316549,31.872984,凤阳路社区居委会,,340102,0551,340102004006,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,三里街街道,凤阳路社区居委会,,
村,117.320116,31.870314,天长路社区居委会,,340102,0551,340102004007,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,三里街街道,天长路社区居委会,,
村,117.320535,31.864977,来安路社区居委会,,340102,0551,340102004008,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,三里街街道,来安路社区居委会,,
村,117.328624,31.867026,五里井社区居委会,,340102,0551,340102005001,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,铜陵路街道,五里井社区居委会,,
村,117.328692,31.86832,合浦北村社区居委会,,340102,0551,340102005002,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,铜陵路街道,合浦北村社区居委会,,
村,117.322946,31.870626,泗洲路社区居委会,,340102,0551,340102005003,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,铜陵路街道,泗洲路社区居委会,,
村,117.322946,31.870626,铜陵新村社区居委会,,340102,0551,340102005004,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,铜陵路街道,铜陵新村社区居委会,,
村,117.328212,31.866082,铜南社区居委会,,340102,0551,340102005005,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,铜陵路街道,铜南社区居委会,,
村,117.335239,31.862599,花溪社区居委会,,340102,0551,340102005006,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,铜陵路街道,花溪社区居委会,,
村,117.329504,31.861922,花冲社区居委会,,340102,0551,340102005007,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,铜陵路街道,花冲社区居委会,,
村,117.340709,31.865339,紫竹苑社区居委会,,340102,0551,340102006001,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,七里站街道,紫竹苑社区居委会,,
村,117.33912,31.87048,站塘社区居委会,,340102,0551,340102006002,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,七里站街道,站塘社区居委会,,
村,117.347648,31.865128,学苑社区居委会,,340102,0551,340102006003,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,七里站街道,学苑社区居委会,,
村,117.357139,31.869884,恒通社区居委会,,340102,0551,340102006004,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,七里站街道,恒通社区居委会,,
村,117.338854,31.866845,廿埠社区居委会,,340102,0551,340102006005,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,七里站街道,廿埠社区居委会,,
村,117.34206,31.867661,东七社区居委会,,340102,0551,340102006006,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,七里站街道,东七社区居委会,,
村,117.346698,31.847709,枞阳路社区居委会,,340102,0551,340102007001,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,红光街道,枞阳路社区居委会,,
村,117.348457,31.854155,钢北新村社区居委会,,340102,0551,340102007002,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,红光街道,钢北新村社区居委会,,
村,117.346725,31.860285,土山南路社区居委会,,340102,0551,340102007003,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,红光街道,土山南路社区居委会,,
村,117.34183,31.8422,化南社区居委会,,340102,0551,340102007005,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,红光街道,化南社区居委会,,
村,117.32634,31.853872,肥东路社区居委会,,340102,0551,340102008001,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,和平路街道,肥东路社区居委会,,
村,117.323818,31.854652,茂林路社区居委会,,340102,0551,340102008002,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,和平路街道,茂林路社区居委会,,
村,117.323818,31.854652,当涂路社区居委会,,340102,0551,340102008003,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,和平路街道,当涂路社区居委会,,
村,117.323818,31.854652,裕溪路社区居委会,,340102,0551,340102008004,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,和平路街道,裕溪路社区居委会,,
村,117.324211,31.858752,华业社区居委会,,340102,0551,340102008005,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,和平路街道,华业社区居委会,,
村,117.316876,31.858384,荻港路社区居委会,,340102,0551,340102008006,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,和平路街道,荻港路社区居委会,,
村,117.32329,31.85446,繁昌路社区居委会,,340102,0551,340102008007,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,和平路街道,繁昌路社区居委会,,
村,117.323818,31.854652,绿苑社区居委会,,340102,0551,340102008008,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,和平路街道,绿苑社区居委会,,
村,117.33416,31.851088,唐桥社区居委会,,340102,0551,340102010001,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,城东街道,唐桥社区居委会,,
村,117.320941,31.848086,隆岗村社区居委会,,340102,0551,340102010002,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,城东街道,隆岗村社区居委会,,
村,117.345072,31.844479,柳荫塘社区居委会,,340102,0551,340102010003,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,城东街道,柳荫塘社区居委会,,
村,117.314278,31.850894,合裕路社区居委会,,340102,0551,340102010004,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,城东街道,合裕路社区居委会,,
村,117.334335,31.851272,大王庙社区居委会,,340102,0551,340102010005,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,城东街道,大王庙社区居委会,,
村,117.305065,31.875407,长淮社区居委会,,340102,0551,340102011001,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,长淮街道,长淮社区居委会,,
村,117.302065,31.88283,胜利社区居委会,,340102,0551,340102011002,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,长淮街道,胜利社区居委会,,
村,117.308614,31.871842,临泉中路社区居委会,,340102,0551,340102011003,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,长淮街道,临泉中路社区居委会,,
村,117.311104,31.884134,火车站广场社区居委会,,340102,0551,340102011004,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,长淮街道,火车站广场社区居委会,,
村,117.309215,31.882098,红星村社区居委会,,340102,0551,340102011006,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,长淮街道,红星村社区居委会,,
村,117.308614,31.871842,元一社区居委会,,340102,0551,340102011007,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,长淮街道,元一社区居委会,,
村,117.307487,31.887008,长春社区居委会,,340102,0551,340102011008,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,长淮街道,长春社区居委会,,
村,117.374804,31.87593,大市场社区居委会,,340102,0551,340102012001,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,方庙街道,大市场社区居委会,,
村,117.374804,31.87593,汪塘社区居委会,,340102,0551,340102012002,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,方庙街道,汪塘社区居委会,,
村,117.323782,31.875395,万绿园社区居委会,,340102,0551,340102012003,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,方庙街道,万绿园社区居委会,,
村,117.374804,31.87593,香格里拉社区居委会,,340102,0551,340102012006,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,方庙街道,香格里拉社区居委会,,
村,117.339183,31.876784,森海社区居委会,,340102,0551,340102012007,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,方庙街道,森海社区居委会,,
村,117.33912,31.87048,站塘社区居委会,,340102,0551,340102012008,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,方庙街道,站塘社区居委会,,
村,117.374804,31.87593,天辉社区居委会,,340102,0551,340102012009,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,方庙街道,天辉社区居委会,,
村,117.323303,31.886147,香江佳元社区居委会,,340102,0551,340102012010,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,方庙街道,香江佳元社区居委会,,
村,117.302517,31.889553,七里塘社区居委会,,340102,0551,340102014001,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,嘉山路街道,七里塘社区居委会,,
村,117.291491,31.881227,板桥社区居委会,,340102,0551,340102014002,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,嘉山路街道,板桥社区居委会,,
村,117.295413,31.884134,三角线社区居委会,,340102,0551,340102014003,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,嘉山路街道,三角线社区居委会,,
村,117.381813,31.835974,四岗社区居委会,,340102,0551,340102100001,111,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,大兴镇,四岗社区居委会,,
村,117.382057,31.835948,钟油坊社区居委会,,340102,0551,340102100002,112,,,,,,,,,亚洲,中国,安徽,合肥,瑶海区,大兴镇,钟油坊社区居委会,,
