级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
村,108.319961,22.813467,兴宁社区居委会,,450102,0771,450102001003,111,,,,,,,,,亚洲,中国,广西,南宁,兴宁区,民生街道,兴宁社区居委会,,
村,108.323846,22.816744,北宁社区居委会,,450102,0771,450102001004,111,,,,,,,,,亚洲,中国,广西,南宁,兴宁区,民生街道,北宁社区居委会,,
村,108.315723,22.81589,高峰社区居委会,,450102,0771,450102001006,111,,,,,,,,,亚洲,中国,广西,南宁,兴宁区,民生街道,高峰社区居委会,,
村,108.315254,22.81821,人民中社区居委会,,450102,0771,450102001007,111,,,,,,,,,亚洲,中国,广西,南宁,兴宁区,民生街道,人民中社区居委会,,
村,108.327291,22.824572,人民东社区居委会,,450102,0771,450102001010,111,,,,,,,,,亚洲,中国,广西,南宁,兴宁区,民生街道,人民东社区居委会,,
村,108.33578,22.829576,望仙坡社区居委会,,450102,0771,450102001012,111,,,,,,,,,亚洲,中国,广西,南宁,兴宁区,民生街道,望仙坡社区居委会,,
村,108.338104,22.838207,金牛桥社区居委会,,450102,0771,450102001013,111,,,,,,,,,亚洲,中国,广西,南宁,兴宁区,民生街道,金牛桥社区居委会,,
村,108.344812,22.83371,长堽西社区居委会,,450102,0771,450102001014,111,,,,,,,,,亚洲,中国,广西,南宁,兴宁区,民生街道,长堽西社区居委会,,
村,108.338104,22.838207,燕子岭社区居委会,,450102,0771,450102001015,111,,,,,,,,,亚洲,中国,广西,南宁,兴宁区,民生街道,燕子岭社区居委会,,
村,108.355192,22.837199,长堽东社区居委会,,450102,0771,450102001016,111,,,,,,,,,亚洲,中国,广西,南宁,兴宁区,民生街道,长堽东社区居委会,,
村,108.334408,22.835975,望州南社区居委会,,450102,0771,450102001018,111,,,,,,,,,亚洲,中国,广西,南宁,兴宁区,民生街道,望州南社区居委会,,
村,108.340142,22.845378,望州东社区居委会,,450102,0771,450102001019,111,,,,,,,,,亚洲,中国,广西,南宁,兴宁区,民生街道,望州东社区居委会,,
村,108.342208,22.830102,官桥村委会,,450103,0771,450102001201,111,,,,,,,,,亚洲,中国,广西,南宁,兴宁区,民生街道,官桥村委会,,
村,108.319056,22.824163,朝阳社区居委会,,450102,0771,450102002001,111,,,,,,,,,亚洲,中国,广西,南宁,兴宁区,朝阳街道,朝阳社区居委会,,
村,108.317336,22.820506,华东社区居委会,,450102,0771,450102002002,111,,,,,,,,,亚洲,中国,广西,南宁,兴宁区,朝阳街道,华东社区居委会,,
村,108.320457,22.826038,运德社区居委会,,450102,0771,450102002004,111,,,,,,,,,亚洲,中国,广西,南宁,兴宁区,朝阳街道,运德社区居委会,,
村,108.323723,22.829688,中华社区居委会,,450102,0771,450102002005,111,,,,,,,,,亚洲,中国,广西,南宁,兴宁区,朝阳街道,中华社区居委会,,
村,108.340118,22.84526,望州社区居委会,,450102,0771,450102002006,111,,,,,,,,,亚洲,中国,广西,南宁,兴宁区,朝阳街道,望州社区居委会,,
