级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
村,120.159386,30.237621,清波门社区,,330102,0571,330102001051,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,清波街道,清波门社区,,
村,120.160144,30.242452,劳动路社区,,330102,0571,330102001052,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,清波街道,劳动路社区,,
村,120.167103,30.244247,定安路社区,,330102,0571,330102001053,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,清波街道,定安路社区,,
村,120.170447,30.242079,清河坊社区,,330102,0571,330102001055,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,清波街道,清河坊社区,,
村,120.171769,30.244119,柳翠井巷社区,,330102,0571,330102001057,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,清波街道,柳翠井巷社区,,
村,120.165449,30.246832,涌金门社区,,330102,0571,330102003050,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,湖滨街道,涌金门社区,,
村,120.16751,30.248352,青年路社区,,330102,0571,330102003052,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,湖滨街道,青年路社区,,
村,120.169532,30.248353,东平巷社区,,330102,0571,330102003053,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,湖滨街道,东平巷社区,,
村,120.169706,30.255297,岳王路社区,,330102,0571,330102003055,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,湖滨街道,岳王路社区,,
村,120.165606,30.257491,东坡路社区,,330102,0571,330102003057,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,湖滨街道,东坡路社区,,
村,120.169762,30.251823,吴山路社区,,330102,0571,330102003058,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,湖滨街道,吴山路社区,,
村,120.175713,30.252753,小营巷社区,,330102,0571,330102004051,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,小营街道,小营巷社区,,
村,120.175438,30.25577,马市街社区,,330102,0571,330102004052,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,小营街道,马市街社区,,
村,120.174227,30.256598,紫金社区,,330102,0571,330102004053,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,小营街道,紫金社区,,
村,120.184724,30.254937,老浙大社区,,330102,0571,330102004057,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,小营街道,老浙大社区,,
村,120.182663,30.252055,大学路社区,,330102,0571,330102004058,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,小营街道,大学路社区,,
村,120.18152,30.252799,葵巷社区,,330102,0571,330102004059,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,小营街道,葵巷社区,,
村,120.174653,30.246139,茅廊巷社区,,330102,0571,330102004060,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,小营街道,茅廊巷社区,,
村,120.176411,30.248591,金钱巷社区,,330102,0571,330102004061,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,小营街道,金钱巷社区,,
村,120.173131,30.244166,梅花碑社区,,330102,0571,330102004062,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,小营街道,梅花碑社区,,
村,120.182959,30.248809,长明寺巷社区,,330102,0571,330102004063,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,小营街道,长明寺巷社区,,
村,120.179144,30.240899,姚园寺巷社区,,330102,0571,330102004064,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,小营街道,姚园寺巷社区,,
村,120.176576,30.23746,西牌楼社区,,330102,0571,330102004065,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,小营街道,西牌楼社区,,
村,120.168171,30.225548,馒头山社区,,330102,0571,330102008051,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,南星街道,馒头山社区,,
村,120.170629,30.212092,美政桥社区,,330102,0571,330102008053,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,南星街道,美政桥社区,,
村,120.172826,30.21222,紫花埠社区,,330102,0571,330102008055,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,南星街道,紫花埠社区,,
村,120.160728,30.205987,海月桥社区,,330102,0571,330102008058,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,南星街道,海月桥社区,,
村,120.143508,30.200389,白塔岭社区,,330102,0571,330102008059,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,南星街道,白塔岭社区,,
村,120.169651,30.210005,复兴街社区,,330102,0571,330102008060,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,南星街道,复兴街社区,,
村,120.150856,30.206745,玉皇山社区,,330102,0571,330102008061,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,南星街道,玉皇山社区,,
村,120.153848,30.20461,水澄桥社区,,330102,0571,330102008062,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,南星街道,水澄桥社区,,
村,120.169597,30.236073,十五奎巷社区,,330102,0571,330102009051,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,紫阳街道,十五奎巷社区,,
村,120.176196,30.225438,北落马营社区,,330102,0571,330102009052,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,紫阳街道,北落马营社区,,
村,120.174138,30.230877,彩霞岭社区,,330102,0571,330102009055,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,紫阳街道,彩霞岭社区,,
村,120.173788,30.227877,候潮门社区,,330102,0571,330102009056,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,紫阳街道,候潮门社区,,
村,120.167623,30.234176,太庙社区,,330102,0571,330102009058,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,紫阳街道,太庙社区,,
村,120.179312,30.232562,木场巷社区,,330102,0571,330102009059,111,,,,,,,,,亚洲,中国,浙江,杭州,上城区,紫阳街道,木场巷社区,,
