级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
村,110.286275,20.001139,秀华社区居民委员会,,460105,0898,460105001001,111,,,,,,,,,亚洲,中国,海南,海口,秀英区,秀英街道,秀华社区居民委员会,,
村,110.281955,20.006122,秀海社区居民委员会,,460105,0898,460105001002,111,,,,,,,,,亚洲,中国,海南,海口,秀英区,秀英街道,秀海社区居民委员会,,
村,110.290371,20.002589,秀中社区居民委员会,,460105,0898,460105001003,111,,,,,,,,,亚洲,中国,海南,海口,秀英区,秀英街道,秀中社区居民委员会,,
村,110.290371,20.002589,秀新社区居民委员会,,460105,0898,460105001004,111,,,,,,,,,亚洲,中国,海南,海口,秀英区,秀英街道,秀新社区居民委员会,,
村,110.261388,20.002243,高新居委会,,460105,0898,460105001006,111,,,,,,,,,亚洲,中国,海南,海口,秀英区,秀英街道,高新居委会,,
村,110.290371,20.002589,向荣村委会,,460105,0898,460105001200,111,,,,,,,,,亚洲,中国,海南,海口,秀英区,秀英街道,向荣村委会,,
村,110.290371,20.002589,书场村委会,,460105,0898,460105001201,111,,,,,,,,,亚洲,中国,海南,海口,秀英区,秀英街道,书场村委会,,
村,110.285858,20.010722,海港社区居民委员会,,460105,0898,460105002001,111,,,,,,,,,亚洲,中国,海南,海口,秀英区,海秀街道,海港社区居民委员会,,
村,110.290906,20.015895,东方洋社区居民委员会,,460105,0898,460105002002,111,,,,,,,,,亚洲,中国,海南,海口,秀英区,海秀街道,东方洋社区居民委员会,,
村,110.285858,20.010722,长秀社区居民委员会,,460105,0898,460105002003,111,,,,,,,,,亚洲,中国,海南,海口,秀英区,海秀街道,长秀社区居民委员会,,
村,110.285858,20.010722,金鼎社区居民委员会,,460105,0898,460105002004,111,,,,,,,,,亚洲,中国,海南,海口,秀英区,海秀街道,金鼎社区居民委员会,,
村,110.285858,20.010722,十一支队家属社区居民委员会,,460105,0898,460105002005,111,,,,,,,,,亚洲,中国,海南,海口,秀英区,海秀街道,十一支队家属社区居民委员会,,
