级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
村,91.135205,29.647753,绕赛社区居委会,,540102,0891,540102002001,111,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,八廓街道,绕赛社区居委会,,
村,91.131896,29.647559,白林社区居委会,,540102,0891,540102002002,111,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,八廓街道,白林社区居委会,,
村,91.12972,29.647687,鲁固社区居委会,,540102,0891,540102002003,111,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,八廓街道,鲁固社区居委会,,
村,91.135137,29.64934,八廓社区居委会,,540102,0891,540102002004,111,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,八廓街道,八廓社区居委会,,
村,91.134504,29.651852,冲赛康社区居委会,,540102,0891,540102002005,111,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,八廓街道,冲赛康社区居委会,,
村,91.13096,29.651609,丹杰林社区居委会,,540102,0891,540102002006,111,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,八廓街道,丹杰林社区居委会,,
村,91.132812,29.652229,夏萨苏社区居委会,,540102,0891,540102002007,111,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,八廓街道,夏萨苏社区居委会,,
村,91.138421,29.648994,铁崩岗社区居委会,,540102,0891,540102003001,111,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,吉日街道,铁崩岗社区居委会,,
村,91.140271,29.650614,八朗学社区居委会,,540102,0891,540102003002,111,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,吉日街道,八朗学社区居委会,,
村,91.139267,29.644824,河坝林社区居委会,,540102,0891,540102003003,111,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,吉日街道,河坝林社区居委会,,
村,91.137071,29.65134,吉日社区居委会,,540102,0891,540102003004,111,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,吉日街道,吉日社区居委会,,
村,91.133849,29.653698,吉崩岗社区居委会,,540102,0891,540102004001,111,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,吉崩岗街道,吉崩岗社区居委会,,
村,91.131863,29.65557,热木其社区居委会,,540102,0891,540102004002,111,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,吉崩岗街道,热木其社区居委会,,
村,91.131424,29.653347,策门林社区居委会,,540102,0891,540102004003,111,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,吉崩岗街道,策门林社区居委会,,
村,91.136707,29.654335,木如社区居委会,,540102,0891,540102004004,111,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,吉崩岗街道,木如社区居委会,,
村,91.142065,29.673664,扎细社区居委会,,540102,0891,540102005001,111,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,扎细街道,扎细社区居委会,,
村,91.134098,29.668606,扎细新村社区居委会,,540102,0891,540102005002,111,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,扎细街道,扎细新村社区居委会,,
村,91.145404,29.672299,雄嘎社区居委会,,540102,0891,540102005003,111,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,扎细街道,雄嘎社区居委会,,
村,91.129354,29.662674,团结新村社区居委会,,540102,0891,540102005004,111,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,扎细街道,团结新村社区居委会,,
村,91.154957,29.673594,尼卓林社区居委会,,540102,0891,540102005006,111,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,扎细街道,尼卓林社区居委会,,
村,91.091765,29.656087,加措社区居委会,,540102,0891,540102006001,111,,,,,,,,,亚洲,中国,西藏,拉萨,城关区,公德林街道,加措社区居委会,,
