级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
村,106.701026,26.551774,山水黔城居委会,,520102,0851,520102200001,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,后巢乡,山水黔城居委会,,
村,106.701026,26.551774,太慈村委会,,520102,0851,520102200201,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,后巢乡,太慈村委会,,
村,106.703778,26.547253,朝阳村委会,,520102,0851,520102200202,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,后巢乡,朝阳村委会,,
村,106.67599,26.53472,四方河村委会,,520102,0851,520102200203,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,后巢乡,四方河村委会,,
村,106.701026,26.551774,后巢村委会,,520102,0851,520102200204,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,后巢乡,后巢村委会,,
村,106.724929,26.558599,油榨村民委员会,,520102,0851,520102201201,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,云关乡,油榨村民委员会,,
村,106.731906,26.509905,二戈村民委员会,,520102,0851,520102201202,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,云关乡,二戈村民委员会,,
村,106.725975,26.561126,红岩村民委员会,,520102,0851,520102201203,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,云关乡,红岩村民委员会,,
村,106.725975,26.561126,云关村民委员会,,520102,0851,520102201204,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,云关乡,云关村民委员会,,
村,106.725975,26.561126,木头村民委员会,,520102,0851,520102201205,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,云关乡,木头村民委员会,,
村,106.725975,26.561126,摆郎村民委员会,,520102,0851,520102201206,112,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,云关乡,摆郎村民委员会,,
村,106.791194,26.535375,云盘村委会,,520102,0851,520102202201,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,小碧布依族苗族乡,云盘村委会,,
村,106.791194,26.535375,水坝村委会,,520102,0851,520102202202,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,小碧布依族苗族乡,水坝村委会,,
村,106.791194,26.535375,小碧村委会,,520102,0851,520102202203,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,小碧布依族苗族乡,小碧村委会,,
村,106.79235,26.525977,甘庄村委会,,520102,0851,520102202204,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,小碧布依族苗族乡,甘庄村委会,,
村,106.791194,26.535375,下坝村委会,,520102,0851,520102202205,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,小碧布依族苗族乡,下坝村委会,,
村,106.813724,26.526795,二堡村委会,,520102,0851,520102202206,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,小碧布依族苗族乡,二堡村委会,,
村,106.791194,26.535375,黄泥哨村委会,,520102,0851,520102202207,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,小碧布依族苗族乡,黄泥哨村委会,,
村,106.791194,26.535375,黄泥甫村委会,,520102,0851,520102202208,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,小碧布依族苗族乡,黄泥甫村委会,,
村,106.791194,26.535375,猫洞村委会,,520102,0851,520102202209,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,小碧布依族苗族乡,猫洞村委会,,
村,106.791194,26.535375,秦棋村委会,,520102,0851,520102202210,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,小碧布依族苗族乡,秦棋村委会,,
村,106.791194,26.535375,马寨村委会,,520102,0851,520102202211,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,小碧布依族苗族乡,马寨村委会,,
村,106.791194,26.535375,大地村委会,,520102,0851,520102202212,122,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,小碧布依族苗族乡,大地村委会,,
村,106.874229,26.59799,罗吏村委会,,520102,0851,520102203200,210,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,永乐乡,罗吏村委会,,
村,106.874229,26.59799,永乐村委会,,520102,0851,520102203201,210,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,永乐乡,永乐村委会,,
村,106.874229,26.59799,羊角村委会,,520102,0851,520102203202,220,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,永乐乡,羊角村委会,,
村,106.874229,26.59799,石塘村委会,,520102,0851,520102203203,220,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,永乐乡,石塘村委会,,
村,106.874229,26.59799,水塘村委会,,520102,0851,520102203204,220,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,永乐乡,水塘村委会,,
村,106.874229,26.59799,干井村委会,,520102,0851,520102203205,220,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,永乐乡,干井村委会,,
村,106.874229,26.59799,柏杨村委会,,520102,0851,520102203206,210,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,永乐乡,柏杨村委会,,
村,106.719305,26.565477,纪念塔居委会,,520102,0851,520102400001,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,新华社区服务中心,纪念塔居委会,,
村,106.719305,26.565477,新华路居委会,,520102,0851,520102400002,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,新华社区服务中心,新华路居委会,,
村,106.719305,26.565477,甲秀楼居委会,,520102,0851,520102400003,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,新华社区服务中心,甲秀楼居委会,,
村,106.719305,26.565477,兴隆街居委会,,520102,0851,520102400004,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,新华社区服务中心,兴隆街居委会,,
村,106.719305,26.565477,箭道街居委会,,520102,0851,520102400005,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,新华社区服务中心,箭道街居委会,,
村,106.719305,26.565477,电力巷居委会,,520102,0851,520102400006,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,新华社区服务中心,电力巷居委会,,
村,106.719305,26.565477,神奇路居委会,,520102,0851,520102400007,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,新华社区服务中心,神奇路居委会,,
村,106.72328,26.571113,南明堂居委会,,520102,0851,520102401001,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,西湖社区服务中心,南明堂居委会,,
村,106.72328,26.571113,观风台居委会,,520102,0851,520102401002,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,西湖社区服务中心,观风台居委会,,
村,106.72328,26.571113,西湖路居委会,,520102,0851,520102401003,111,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,西湖社区服务中心,西湖路居委会,,
