级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
村,123.384191,41.766976,水源地社区,,210102,024,210102001002,111,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,浑河湾街道,水源地社区,,
村,123.382098,41.766834,砂阳南社区,,210102,024,210102001003,111,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,浑河湾街道,砂阳南社区,,
村,123.387013,41.766839,南京南社区,,210102,024,210102001005,111,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,浑河湾街道,南京南社区,,
村,123.382301,41.763174,河北社区,,210102,024,210102001007,111,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,浑河湾街道,河北社区,,
村,123.381255,41.760331,万和社区,,210102,024,210102001010,111,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,浑河湾街道,万和社区,,
村,123.378514,41.756299,玉屏二社区,,210102,024,210102001012,111,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,浑河湾街道,玉屏二社区,,
村,123.384534,41.761616,砂山新村社区,,210102,024,210102001014,111,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,浑河湾街道,砂山新村社区,,
村,123.386797,41.759905,和平湾社区,,210102,024,210102001015,111,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,浑河湾街道,和平湾社区,,
村,123.387869,41.768206,丰泽社区,,210102,024,210102002001,111,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,新华街道,丰泽社区,,
村,123.386039,41.776837,南十社区,,210102,024,210102002003,111,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,新华街道,南十社区,,
村,123.386828,41.773802,临沂路社区,,210102,024,210102002005,111,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,新华街道,临沂路社区,,
村,123.389106,41.781532,华光社区,,210102,024,210102002006,111,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,新华街道,华光社区,,
村,123.393234,41.780977,红星社区,,210102,024,210102002008,111,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,新华街道,红星社区,,
村,123.395797,41.780502,中兴社区,,210102,024,210102002009,111,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,新华街道,中兴社区,,
村,123.391605,41.778195,新华西社区,,210102,024,210102002010,111,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,新华街道,新华西社区,,
村,123.392521,41.783839,平安社区,,210102,024,210102002011,111,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,新华街道,平安社区,,
村,123.391475,41.780743,宜春社区,,210102,024,210102002012,111,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,新华街道,宜春社区,,
村,123.383512,41.769702,砂阳北社区,,210102,024,210102002013,111,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,新华街道,砂阳北社区,,
村,123.409925,41.809754,西铁社区,,210102,024,210102007001,111,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,西塔街道,西铁社区,,
村,123.407893,41.806444,安图社区,,210102,024,210102007002,111,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,西塔街道,安图社区,,
村,123.413877,41.809253,方迪社区,,210102,024,210102007004,111,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,西塔街道,方迪社区,,
